THE ABOLITION OF WORK	労働廃絶論
by Bob Black	ボブ・ブラック
No one should ever work.	人は皆、労働をやめるべきである。
Work is the source of nearly all the misery in the world.	労働こそが、この世のほとんど全ての不幸の源泉なのである。
Almost any evil you'd care to name comes from working or from living in a world designed for work.	この世の悪と呼べるものはほとんど全てが、労働、あるいは労働を前提として作られた世界に住むことから発生するのだ。
In order to stop suffering, we have to stop working.	苦しみを終わらせたければ、我々は労働をやめなければならない。
That doesn't mean we have to stop doing things.	それは、「何もするな」という意味ではない。
It does mean creating a new way of life based on play;	私は 「遊び(play)」＜注1＞に基づいた、新しい生き方を主張しているのだ。
in other words, a ludic conviviality, commensality, and maybe even art.	言い替えれば、私は「ばか(ludic)」革命＜注2＞を主張しているのである。
There is more to play than child's play, as worthy as that is.	そこには、「子供の遊び」よりもずっと多くの意味がある。
I call for a collective adventure in generalized joy	私は、皆と喜びを分かち合うことの中に共同の冒険があることを主張したい。
and freely interdependent exuberance.	自由な相互依存関係がお互いを豊かにすることを主張したいのである。
Play isn't passive.	「遊び」は受動的ではない。
Doubtless we all need a lot more time for sheer sloth and slack than we ever enjoy now, regardless of income or occupation,	収入や仕事のことなどすっかり忘れて、まったく無精と怠惰になる時間を、誰もが今よりもっと必要としていることはまちがいない。
but once recovered from employment-induced exhaustion nearly all of us want to act.	雇用によって引き起こされる極度の疲労から回復すれば、誰だって行動したくなるものなのだ。
Oblomovism and Stakhanovism are two sides of the same debased coin.	オブローモフ主義＜注3＞とスタハノフ主義＜注4＞は、けっきょく悪貨の裏表にすぎないのである。
The ludic life is totally incompatible with existing reality.	「ばか(Ludic)」生活は、今の現実とは全く相いれない。
So much the worse for "reality,"	「現実」はまったくタチが悪いからだ。
the gravity hole that sucks the vitality from the little in life that still distinguishes it from mere survival.	それは、人生を単なる生存以上のものにしようとする我々の活力を、全て吸いとってしまうブラックホールのようなものだ。
Curiously -- or maybe not -- all the old ideologies are conservative	不思議なことに、不思議ではないかもしれないが、全ての古いイデオロギーが保守的である。
because they believe in work.	なぜなら、古いイデオロギーはたいてい「労働」を信仰の対象にしているからだ。
Some of them, like Marxism and most brands of anarchism, believe in work all the more fiercely because they believe in so little else.	中には、マルクス主義や大半のアナキズムのように、ほかに信じられるものがないので、一層頑なに労働を信仰するものさえある。
Liberals say we should end employment discrimination.	リベラル派は、雇用差別を終わらせるべきであると言う。
I say we should end employment.	私は、雇用を終わらせるべきであると言いたい。
Conservatives support right-to-work laws.	保守派は労働の権利を主張する。
Following Karl Marx's wayward son-in-law Paul Lafargue I support the right to be lazy.	カール・マルクスの義理の息子で気まぐれなポール・ラファルグ＜注5＞に習って言えば、私は怠ける権利を主張する。
Leftists favor full employment.	左翼は完全雇用がよろしいと考える。
Like the surrealists -- except that I'm not kidding -- I favor full unemployment.	シュールレアリストを真似て言うと、 − 私はふざけているわけではない − 私は完全失業がよろしいと考える。
Trotskyists agitate for permanent revolution.	トロツキストは永久革命を目指して闘う。
I agitate for permanent revelry.	私は永久のばか騒ぎ(revelry)を目指して闘う。
