The Adventure of Shamrock Jolnes	シャムロック・ジョーンズの冒険
O Henry	Ｏ・ヘンリー
I am so fortunate as to count Shamrock Jolnes, the great New York detective, among my muster of friends.	私にはいろいろな友人がいるが、その中でもニューヨークの探偵・シャムロック・ジョーンズと知己であるのは幸運としか言いようがない。
Jolnes is what is called the "inside man" of the city detective force.	ジョーンズはこの街の探偵界のいわゆる「一味」である。
He is an expert in the use of the typewriter, and it is his duty, whenever there is a "murder mystery" to be solved, to sit at a desk telephone at headquarters and take down the messages of "cranks" who 'phone in their confessions to having committed the crime.	タイプライターの扱いに習熟しており、その仕事は、未解決の「猟奇殺人」があるかぎり、本社の卓上電話の前に座って「法螺吹き」たちが電話してくる犯行声明をタイプすることだ。
But on certain "off" days when confessions are coming in slowly and three or four newspapers have run to earth as many different guilty persons, Jolnes will knock about the town with me, exhibiting, to my great delight and instruction, his marvellous powers of observation and deduction.	けれども「オフ」の日――つまり、声明が一向にやってこず、各紙がそれぞれ異なる真犯人を追って世界中を駆けずり回っているときは、ジョーンズも私と一緒に街をうろつき、私にとって喜びでありまた学ぶべきところも多い、その驚くべき観察力と推理力を披露してくれるのである。
The other day I dropped in at Headquarters and found the great detective gazing thoughtfully at a string that was tied tightly around his little finger.	ある日私が本社によってみたところ、かの偉大な探偵は自分の小指にきつく結ばれた紐をじっと見つめながら考えこんでいた。
"Good morning, Whatsup,"	「おはよう、ワツァップ」
he said, without turning his head.	と彼は振りかえることなく言った。
"I'm glad to notice that you've had your house fitted up with electric lights at last."	「どうやら、ついに君は家に電灯をとりつけたようだね」
"Will you please tell me,"	私は驚いてたずねた。
I said, in surprise,	「教えて欲しいな、どうして知ってるんだ？
I am sure that I never mentioned the fact to any one,	まだ誰にも言ったことがないんだぜ。
and the wiring was a rush order not completed until this morning."	配線工事もオーダーがたてこんでてやっと今朝になって完了したばかりだってのに」
"Nothing easier,"	「このうえなく簡単なことだ」
said Jolnes, genially.	とジョーンズは穏やかに言った。
"As you came in I caught the odour of the cigar you are smoking.	「君が入ってきたとたんにね、君が吸ってる葉巻の匂いがしたんだよ。
I know an expensive cigar;	ある、きわめて高価な葉巻だ。
and I know that not more than three men in New York can afford to smoke cigars and pay gas bills too at the present time.	そして、あの葉巻を吸いながらガス料金を払える人間はニューヨークに4人といないだろう。
That was an easy one.	簡単に分かったよ。
But I am working just now on a little problem of my own."	だけど僕はね、今は自分の問題で手一杯なんだ」
"Why have you that string on your finger?"	「その指に結んでる紐は？」
"That's the problem,"	「これがその問題なんだよ。
"My wife tied that on this morning to remind me of something I was to send up to the house.	うちのやつが今朝結んでくれたもので、何かうちに持って帰ってこなきゃいけないものを忘れないようにという目的があったはずなんだ。
Sit down, Whatsup,	座れよ、ワツァップ。
and excuse me for a few moments."	それでほんのしばらく静かにしていてくれ」
The distinguished detective went to a wall telephone, and stood with the receiver to his ear for probably ten minutes.	この傑出した探偵は壁掛け電話のところにゆき、受話器を耳に当てて10分ほど立ち尽くしていた。
"Were you listening to a confession?"	「声明を聞いてたのかい？」
I asked, when he had returned to his chair.	彼が椅子にもどったところで私はたずねた。
"Perhaps,"	「ひょっとしたら」
said Jolnes, with a smile,	とほほえんだ。
"it might be called something of the sort.	「そう呼んでもさしつかえないものかもしれないな。
To be frank with you, Whatsup, I've cut out the dope.	率直に言うとね、ワツァップ、薬を切らしてるんだよ。
I've been increasing the quantity for so long that morphine doesn't have much effect on me any more.	ちっとも睡眠薬が効かないものだから、だんだん量が増えててさ。
I've got to have something more powerful.	僕には何かもっと強力なやつが必要だ。
That telephone I just went to is connected with a room in the Waldorf	さっきの電話はウォルドフの部屋に繋いでたんだよ。
where there's an author's reading in progress.	あそこにはとある作家の書きかけの作品があるからね。
Now, to get at the solution of this string."	さ、この紐の問題を解くことにしよう」
After five minutes of silent pondering, Jolnes looked at me, with a smile, and nodded his head.	5分の沈黙の後、ジョーンズは私に目を向けて微笑むと、うなずいてみせた。
"Wonderful man!"	「さすがだな！
"already?"	もう、か？」
"It is quite simple,"	「きわめて簡単なことだよ」
he said, holding up his finger.	そう言ってジョーンズは指を立てた。
"You see that knot?	「この結び目をごらん？
That is to prevent my forgetting.	僕がうっかり忘れてしまったりしないようにするための結び目だ。
It is, therefore, a forget-me-knot.	つまり、forget-me-knot だ。
A forget-me-not is a flower.	forget-me-not と言えば勿忘草、つまり花（flower）だ。
It was a sack of flour that I was to send home!"	答えは、家に帰る前に小麦粉（flour）を一袋買ってこい、ということだよ！」
"Beautiful!"	「見事だ！」
