ADVENTURE I. A SCANDAL IN BOHEMIA	ボヘミアンスキャンダル
To Sherlock Holmes she is always THE woman.	シャーロック・ホームズがあの女(ひと)と言えば彼女のことだった。
I have seldom heard him mention her under any other name.	彼女の話をするのにほかの呼び方を聞いたことはめったにない。
In his eyes she eclipses and predominates the whole of her sex.	彼からすると彼女は女性すべてを凌駕し、その輝きを奪うのである。
It was not that he felt any emotion akin to love for Irene Adler.	彼がアイリーン・アドラーに恋愛に似た感情を抱いたというのではない。
All emotions, and that one particularly, were abhorrent to his cold, precise but admirably balanced mind.	あらゆる感情、特にその種のものは彼の冷静で緻密ながら見事に均衡の取れた精神と相入れないものだった。
He was, I take it, the most perfect reasoning and observing machine that the world has seen, but as a lover he would have placed himself in a false position.	思うに彼はこの世に現れた最も完璧な推理・観察の機械であるが、恋する人としてはお門違いをすることになったろう。
He never spoke of the softer passions, save with a gibe and a sneer.	彼が嘲弄、冷笑を抜きにして情愛に傾く心を語ることはなかった。
They were admirable things for the observer--excellent for drawing the veil from men's motives and actions.	そういうものは観察者としては結構なものだった−−効果的に人間の動機と行動をあらわにするからである。
But for the trained reasoner to admit such intrusions into his own delicate and finely adjusted temperament was to introduce a distracting factor which might throw a doubt upon all his mental results.	しかし訓練を積んだ理論家としては、自らの繊細で精密に調整された気質にそうしたものの侵入を許すことは、その知的成果に疑いを招きかねない気を散らす要因を持ち込むことになるのだった。
Grit in a sensitive instrument, or a crack in one of his own high-power lenses, would not be more disturbing than a strong emotion in a nature such as his.	高感度の計器に入った砂粒、あるいは彼が持っている高性能のレンズのひびとても、彼のような心における強い情動ほど邪魔にはならなかったろう。
And yet there was but one woman to him, and that woman was the late Irene Adler, of dubious and questionable memory.	それでも彼にはただ一人の女性があり、その女性とは今は亡き、故アイリーン・アドラーであった。
I had seen little of Holmes lately.	このところホームズとはほとんど会うことがなかった。
My marriage had drifted us away from each other.	私の結婚により互いに疎遠になっていたのだ。
My own complete happiness, and the home-centred interests which rise up around the man who first finds himself master of his own establishment, were sufficient to absorb all my attention, while Holmes, who loathed every form of society with his whole Bohemian soul, remained in our lodgings in Baker Street, buried among his old books, and alternating from week to week between cocaine and ambition, the drowsiness of the drug, and the fierce energy of his own keen nature.	自らのこの上ない幸福、そして初めて自分の所帯の主人となった男の周りに持ち上がる家庭を中心とした利害は私の注意をすべて奪うのに十分だったし、ホームズの方は、ボヘミアンそのものであるその精神のためにどんなものであれ社交を嫌い、ベーカー街の私たちの下宿に残って古い本に埋もれ、週ごとにコカインと野心、麻薬による惰眠と、彼本来の情熱的な性質の示す猛烈な気力の間を行きつ戻りつしていた。
He was still, as ever, deeply attracted by the study of crime, and occupied his immense faculties and extraordinary powers of observation in following out those clues, and clearing up those mysteries which had been abandoned as hopeless by the official police.	彼は相変わらず犯罪の研究に強く引きつけられ、その計り知れない才能、並外れた観察力を傾けて、警察が絶望的と断念した手がかりを追い、謎を解いていた。
From time to time I heard some vague account of his doings:	時折彼がしていることが耳に入った。
