Aesop's Fables	タウンゼント版イソップ寓話集
The Wolf and the Lamb	１．オオカミと仔ヒツジ
WOLF, meeting with a Lamb astray from the fold,	ある日のこと、オオカミは、群とはぐれて迷子になった仔ヒツジと出会った。
resolved not to lay violent hands on him,	オオカミは、仔ヒツジを食ってやろうと思ったが、牙を剥いて襲いかかるばかりが能じゃない。
but to find some plea to justify to the Lamb the Wolf's right to eat him.	何か上手い理由をでっち上げて手に入れてやろうと考えた。
He thus addressed him:	そこで、オオカミはこんなことを言った。
"Sirrah, last year you grossly insulted me."	「昨年お前は、俺様にひどい悪口を言ったな！」
"Indeed,"	仔ヒツジは、声を震わせて答えた。
bleated the Lamb in a mournful tone of voice,	「誓って真実を申しますが、私はその頃、まだ生まれていませんでした。」
Then said the Wolf,	するとオオカミが言った。
"You feed in my pasture."	「お前は、俺様の牧草を食べただろう！」
"No, good sir," replied the Lamb, "I have not yet tasted grass."	「いえいえ、私はまだ、草を食べたことがありません。」
Again said the Wolf,	するとまたしてもオオカミが言った。
"You drink of my well."	「お前は、俺様の井戸の水を飲んだな！」
"No,"	仔ヒツジは悲鳴を上げて答えた。
exclaimed the Lamb,	「いえ。
"I never yet drank water,	まだ、水も飲んだことがありません。
for as yet my mother's milk is both food and drink to me."	……だって、お母さんのお乳以外は、まだ何も口にしたことがないのですから……」
Upon which the Wolf seized him and ate him up, saying,	「ええい！
"Well!	もうたくさんだ！
I won't remain supperless, even though you refute every one of my imputations."	お前がなんと言おうとも、俺様が、夜飯を抜いたままでいるとでも思っているのか？」
The tyrant will always find a pretext for his tyranny.	オオカミはそう言うと、仔ヒツジに襲いかかった。
The Bat and the Weasels	２．コウモリと二匹のイタチ
A BAT who fell upon the ground and was caught by a Weasel pleaded to be spared his life.	コウモリが、地面に落っこちてイタチに捕まった。
The Weasel refused, saying that he was by nature the enemy of all birds.	しかしこのイタチは生まれてこの方ずうっと、鳥と戦ってきたと言うのだ。
The Bat assured him that he was not a bird, but a mouse,	そこでコウモリは、自分は鳥ではない……ネズミだと言い張った。
and thus was set free.	それを聞いてイタチは、コウモリを逃がしてやった。
Shortly afterwards the Bat again fell to the ground and was caught by another Weasel,	それからまもなく、コウモリは、また、地面に落っこち、そしてまたしても、イタチに捕まってしまった。
whom he likewise entreated not to eat him.	コウモリは今度も……命ばかりはお助けを……と懇願した。
The Weasel said that he had a special hostility to mice.	しかし今度のイタチは、ネズミを大変憎んでいると言う……。
The Bat assured him that he was not a mouse, but a bat,	そこでコウモリは、自分はネズミではなくコウモリだと言った。
and thus a second time escaped.	こうして、コウモリは、二度までも窮地を脱した。
It is wise to turn circumstances to good account.	賢い人は、その場その場でうまく立ち回る。
The Ass and the Grasshopper	３．ロバとキリギリス
