Alice's Adventures in Wonderland	不思議の国のアリス
CHAPTER I   Down the Rabbit-Hole	1. うさぎの穴をまっさかさま
Alice was beginning to get very tired of sitting by her sister on the bank, and of having nothing to do:	アリスは川辺でおねえさんのよこにすわって、なんにもすることがないのでとても退屈（たいくつ）しはじめていました。
once or twice she had peeped into the book her sister was reading, but it had no pictures or conversations in it,	一、二回はおねえさんの読んでいる本をのぞいてみたけれど、そこには絵も会話もないのです。
`and what is the use of a book,' thought Alice `without pictures or conversation?'	「絵や会話のない本なんて、なんの役にもたたないじゃないの」とアリスは思いました。
So she was considering in her own mind (as well as she could, for the hot day made her feel very sleepy and stupid), whether the pleasure of making a daisy-chain would be worth the trouble of getting up and picking the daisies,	そこでアリスは、頭のなかで、ひなぎくのくさりをつくったら楽しいだろうけれど、起きあがってひなぎくをつむのもめんどくさいし、どうしようかと考えていました（といっても、昼間で暑いし、とってもねむくて頭もまわらなかったので、これもたいへんだったのですが）。
when suddenly a White Rabbit with pink eyes ran close by her.	そこへいきなり、ピンクの目をした白うさぎが近くを走ってきたのです。
There was nothing so VERY remarkable in that;	それだけなら、そんなにめずらしいことでもありませんでした。
nor did Alice think it so VERY much out of the way to hear the Rabbit say to itself, `Oh dear!  Oh dear!  I shall be late!'	さらにアリスとしては、そのうさぎが「どうしよう！どうしよう！ちこくしちゃうぞ！」とつぶやくのを聞いたときも、それがそんなにへんてこだとは思いませんでした
(when she thought it over afterwards, it occurred to her that she ought to have wondered at this, but at the time it all seemed quite natural);	（あとから考えてみたら、これも不思議に思うべきだったのですけれど、でもこのときには、それがごく自然なことに思えたのです）。
but when the Rabbit actually TOOK A WATCH OUT OF ITS WAISTCOAT-POCKET, and looked at it, and then hurried on, Alice started to her feet,	でもそのうさぎがほんとうに、チョッキのポケットから懐中時計（かいちゅうどけい）をとりだしてそれをながめ、そしてまたあわててかけだしたとき、アリスもとびあがりました。
for it flashed across her mind that she had never before seen a rabbit with either a waistcoat-pocket, or a watch to take out of it,	というのも、チョッキのポケットなんかがあるうさぎはこれまで見たことがないし、そこからとりだす時計をもっているうさぎなんかも見たことないぞ、というのに急に気がついたからです。
and burning with curiosity, she ran across the field after it, and fortunately was just in time to see it pop down a large rabbit-hole under the hedge.	そこで、興味（きょうみ）しんしんになったアリスは、うさぎのあとを追っかけて野原をよこぎって、それがしげみの下の、おっきなうさぎの穴にとびこむのを、ぎりぎりのところで見つけました。
In another moment down went Alice after it,	次のしゅんかんに、アリスもそのあとを追っかけてとびこみました。
never once considering how in the world she was to get out again.	いったいぜんたいどうやってそこから出ようか、なんてことはちっとも考えなかったのです。
The rabbit-hole went straight on like a tunnel for some way, and then dipped suddenly down,	うさぎの穴は、しばらくはトンネルみたいにまっすぐつづいて、それからいきなりズドンと下におりていました。
so suddenly that Alice had not a moment to think about stopping herself before she found herself falling down a very deep well.	それがすごくいきなりで、アリスがとまろうとか思うひまもあればこそ、気がつくとなにやら深い井戸みたいなところを落っこちているところでした。
Either the well was very deep, or she fell very slowly,	井戸がとっても深かったのか、それともアリスの落ちかたがゆっくりだったのかもしれません。
for she had plenty of time as she went down to look about her and to wonder what was going to happen next.	だってアリスは落ちながら、まわりを見まわして、これからどうなっちゃうんだろうと考えるだけの時間がたっぷりあったからです。
First, she tried to look down and make out what she was coming to,	まずは下をながめて、どこに向かおうとしているのかを見きわめようとしました。
but it was too dark to see anything;	でも暗すぎてなにも見えません。
then she looked at the sides of the well,	それから井戸の横のかべを見てみました。
and noticed that they were filled with cupboards and book-shelves;	するとそこは、食器だなと本だなだらけでした。
