Through the Looking Glass: And What Alice Found There	鏡の国のアリス
Looking-Glass house	第 1 章　鏡のおうち
One thing was certain, that the WHITE kitten had had nothing to do with it:	[イラスト: 黒い子ネコ]
--it was the black kitten's fault entirely.	――もうなにもかも、黒い子ネコのせいだったのです。
For the white kitten had been having its face washed by the old cat for the last quarter of an hour	というのも、白い子ネコは年寄りネコに、もう四半時も顔を洗ってもらっていたからです
(and bearing it pretty well, considering);	（そしてその状況を考えれば、なかなかがんばって耐えていたと言えましょう）。
so you see that it COULDN'T have had any hand in the mischief.	というわけで、白い子ネコはどう考えてもいたずらにはまったく荷担していなかったのはわかるでしょう。
The way Dinah washed her children's faces was this:	ダイナはこんなふうにして子どもたちの顔を洗ったのでした：
first she held the poor thing down by its ear with one paw, and then with the other paw she rubbed its face all over,	まずかわいそうな子を耳のところで前足片方を使っておさえこみ、そして残った前足で、子どもの顔中をこすります。
the wrong way, beginning at the nose:	それも鼻からはじめて変な方向に。
and just now, as I said, she was hard at work on the white kitten,	そしてちょうどいま、ぼくがこうして話している間にも、ダイナはいっしょうけんめい白い子ネコを片づけています。
which was lying quite still and trying to purr	白い子ネコはほとんど身動きせずに、のどをならそうとしていました
--no doubt feeling that it was all meant for its good.	――これもみんな自分のためを思ってのことなんだ、というのを感じていたのはまちがいありません。
But the black kitten had been finished with earlier in the afternoon, and so, while Alice was sitting curled up in a corner of the great arm-chair, half talking to herself and half asleep, the kitten had been having a grand game of romps with the ball of worsted Alice had been trying to wind up, and had been rolling it up and down till it had all come undone again;	でも黒い子ネコは、午後の早い時期に顔を洗ってもらったので、アリスが半分ぶつぶつ、半分眠りながら、大きなソファのすみに丸まっている間に、アリスが巻いておこうとした毛糸の玉とせいだいにじゃれて、あちこちころがしてまわり、やがて毛糸玉はぜんぶほどけてしまいました。
and there it was, spread over the hearth-rug, all knots and tangles, with the kitten running after its own tail in the middle.	おかげで毛糸玉はこの通り、暖炉前のじゅうたんいちめんに広がって、そこらじゅうに結び目ができたりからまったりして、そのまん中で子ネコが自分のしっぽを追いかけているのでした。
`Oh, you wicked little thing!'	「まあこのいたずらっ子め！」
cried Alice, catching up the kitten, and giving it a little kiss to make it understand that it was in disgrace.	とアリスはさけんで子ネコを抱え上げ、ちょっとキスをして、しかられているんだとわからせてあげました。
`Really, Dinah ought to have taught you better manners!	「まったく、ダイナがもっとちゃんとしつけてくれないと！
You OUGHT, Dinah, you know you ought!'	そうでしょ、ダイナ、わかってるわよね！」
she added, looking reproachfully at the old cat, and speaking in as cross a voice as she could manage	とアリスはつけくわえながら、非難がましい目つきで年寄りネコのほうをながめて、できるだけきびしい声を出そうとします
--and then she scrambled back into the arm-chair, taking the kitten and the worsted with her, and began winding up the ball again.	――それから子ネコと毛糸を持ってソファにかけもどり、また毛糸を巻きはじめました。
But she didn't get on very fast,	でも、あまり手早くはありません。
as she was talking all the time, sometimes to the kitten, and sometimes to herself.	というのもときには子ネコに向かって、ときには自分に向かって、ずっとしゃべりどおしだったからです。
Kitty sat very demurely on her knee, pretending to watch the progress of the winding, and now and then putting out one paw and gently touching the ball, as if it would be glad to help, if it might.	子ネコちゃんはとてもとりすましてアリスのひざにすわり、毛糸を巻くすすみ具合を見ているふりをしつつ、ときどき前足を片方出して毛糸玉に軽くさわり、できるものなら喜んでお手伝いするところですが、とでも言うようです。
`Do you know what to-morrow is, Kitty?' Alice began.	「明日がなんの日か知ってる、子ネコちゃん？
`You'd have guessed if you'd been up in the window with me	あたしといっしょに窓のところにいたら、見当ついたと思うけど
--only Dinah was making you tidy, so you couldn't.	――でもダイナにきれいにしてもらってたから、窓は見られなかったのよね。
I was watching the boys getting in sticks for the bonfire	男の子たちがたき火用に棒を集めるのを見てたのよ
--and it wants plenty of sticks, Kitty!	――それで棒がいっぱい集まってね！
Only it got so cold, and it snowed so, they had to leave off.	ただ、すごく寒くなってきて、しかもいっぱい雪もふって、それでみんな途中でやめちゃったの。
Never mind, Kitty,	でも別にいいわ、子ネコちゃん。
we'll go and see the bonfire to-morrow.'	たき火は明日いっしょに見に行きましょう」
Here Alice wound two or three turns of the worsted round the kitten's neck,	ここでアリスは、毛糸を二、三回子ネコの首に巻きつけました。
just to see how it would look:	どんな風に見えるか試してみたかっただけなのですが、
this led to a scramble, in which the ball rolled down upon the floor, and yards and yards of it got unwound again.	これは大騒動になって、おかげで毛糸玉は床に転がり落ちて、何ヤード分もの毛糸がまたほどけてしまいました。
`Do you know, I was so angry, Kitty,'	「わかってるの、子ネコちゃん」
Alice went on as soon as they were comfortably settled again,	とアリスは、両者がもういちど気持ちよくソファにおさまると同時に口を開きます。
`when I saw all the mischief you had been doing, I was very nearly opening the window, and putting you out into the snow!	「おまえのやってたいたずらを見て、あたしはもうホントに腹がたって、もうちょっとで窓をあけて、おまえを雪のなかに放り出すところだったのよ！
And you'd have deserved it, you little mischievous darling!	そしてそれは自業自得（じごうじとく）ってもんよ、このいたずらっ子のおちびちゃんめ！
What have you got to say for yourself?	なにかいいわけはあるの？
Now don't interrupt me!'	さ、だまってるのよ！」
she went on, holding up one finger.	とアリスは人差し指をたてて見せます。
`I'm going to tell you all your faults.	「おまえのやったいけないことを全部教えてあげますからね。
Number one:	その一：
you squeaked twice while Dinah was washing your face this morning.	今朝、ダイナがおまえの顔を洗ってるときに、二回鳴いたわね。
Now you can't deny it, Kitty:	ごまかしてもだめよ、子ネコちゃん。
I heard you!	ちゃんと聞いてたんですからね！
What that you say?'	え？なんですって？」
(pretending that the kitten was speaking.)	（と子ネコが口をきいたふりをします）
`Her paw went into your eye?	「ダイナの前足が目に入ったんだもん、ですって？
Well, that's YOUR fault, for keeping your eyes open	ふん、それはおまえのせいですよ、目を開けてるほうが悪い！
--if you'd shut them tight up, it wouldn't have happened.	しっかり閉じていれば、そんなことにはならなかったはずでしょ。
Now don't make any more excuses,	さ、いいわけはおよし。
but listen!	聴いてなさい！
Number two:	その二：
you pulled Snowdrop away by the tail just as I had put down the saucer of milk before her!	あたしがスノードロップの前にミルクのお皿をおいたとたんに、スノードロップのしっぽをひっぱってどかせたわね？
What, you were thirsty, were you?	なに、のどがかわいてた、ですって？
How do you know she wasn't thirsty too?	あの子だってのどがかわいてたかもしれないでしょうに。
Now for number three:	そしてその三：
you unwound every bit of the worsted while I wasn't looking!	ちょっとよそ見をしてるうちに、毛糸をぜーんぶほどいちゃったじゃない！
`That's three faults, Kitty, and you've not been punished for any of them yet.	これでおいたが三つよ、子ネコちゃん、そしてまだそのどれについても罰を受けてないでしょう。
You know I'm saving up all your punishments for Wednesday week	あたし、おまえの罰は、水曜の週までぜーんぶためてあるのよ
--Suppose they had saved up all MY punishments!'	――あたしの罰もそうやってためてあったらどうだろ」
she went on, talking more to herself than the kitten.	とアリスは、子ネコよりは自分に向かってしゃべりつづけました。
`What WOULD they do at the end of a year?	「そうなったら、年末にはいったいぜんたいどんな目にあわされるかな。
I should be sent to prison, I suppose, when the day came.	その日がきたら、牢屋に入れられちゃうかもしれないぞ。
--let me see	――うーんとそうだな
--suppose each punishment was to be going without a dinner:	――かりにその罰がみんな、晩ごはんぬきになることだったとしたら：
then, when the miserable day came, I should have to go without fifty dinners at once!	するとその悲惨な日がきたら、あたしは一度に五十回の晩ごはん抜きになるってことか！
Well, I shouldn't mind THAT much!	うん、それならそんなには気にならないわ。
I'd far rather go without them than eat them!	そんなに食べるよりは、ぬきにしてもらったほうがずっといいもん！
`Do you hear the snow against the window-panes, Kitty?	ねえ、窓にあたる雪の音がきこえてる？
How nice and soft it sounds!	すっごくすてきでやわらかい音よね！
Just as if some one was kissing the window all over outside.	だれかが窓一面、外からキスしてるみたい。
I wonder if the snow LOVES the trees and fields, that it kisses them so gently?	雪って、木や野原が大好きなのかな、だってすごく優しくキスするでしょう。
And then it covers them up snug, you know, with a white quilt;	それで、白いキルトでしっかりくるみこんじゃうわよね。
and perhaps it says,	それで
"Go to sleep, darlings, till the summer comes again."	「さあいい子だから、夏がくるまでおやすみ」とか言うのかも。
And when they wake up in the summer, Kitty, they dress themselves all in green, and dance about	それで夏がきてみんな目をさますと、全身を緑で着飾ってそこらじゅうで踊るの
