Stay for me there  !	この地にて我を待たなむ！
I will not fail. To meet thee in that hollow vale.	空ろなるこの狭間にて、我、必ずや君とあい見む
[_Exequy on the death of his wife, by Henry King, Bishop of Chichester_.]	（妻の埋葬に立ち会って。　詠人　チチェスターの司教 ヘンリーキング）
ILL-FATED and mysterious man  !	何という謎を秘めた不仕合わせな人よ！
- bewildered in the brilliancy of thine own imagination, and fallen in the flames of thine own youth !	己が魂の輝きに戸惑い、燃え立つ青春の炎で己が身を焼き崩してしまうとは！
Again in fancy I behold thee !	いま一度、空想の世界で君の姿を捉えよう！
Once more thy form hath risen before me !	再び私の前に君が立ち現れるのだ！
- not - oh not as thou art - in the cold valley and shadow -	否、冷たく陰鬱な谷底に眠る今の姿ではない。
but as thou _shouldst be_ - squandering away a life of magnificent meditation in that city of dim visions, thine own Venice	君のベニス、幻の如きその街で、 壮美な世界に浸り続け、意味もなく日々を過ごしていた日の真実の君の姿だ。
- which is a star-beloved Elysium of the sea, and the wide windows of whose Palladian palaces look down with a deep and bitter meaning upon the secrets of her silent waters.	ベニスは天に愛でられし海の桃源郷、だが、運河に面して建つパラディオン様式の館の広い窓は、静かな流れに隠された秘め事を、耐え難く計り知れない思いで見下ろしている。
Yes !	そうだ！
I repeat it	もう一度言おう。
- as thou _shouldst be_.	君の真実の姿と。
There are surely other worlds than this	確かに、この世界とは違う別の世界がある。
- other thoughts than the thoughts of the multitude - other speculations than the speculations of the sophist.	多くの凡人達の思想とは相容れない思想があり、詭弁家の理論とは異なる理論があるのだ。
Who then shall call thy conduct into question  ?	そうならば、一体誰が君のふるまいに異論を差し挟むことができようか？
who blame thee for thy visionary hours, or denounce those occupations as a wasting away of life, which were but the overflowings of thine everlasting energies ?	空想の世界に参じている君を誰が責め、それに明け暮れる生き方など人生の浪費だ、尽きることを知らない精力が全て溢れ出ているだけなのだ、と誰が君を非難できよう？
It was at Venice, beneath the covered archway there called the _Ponte di Sospiri_, that I met for the third or fourth time the person of whom I speak.	私がいま話している人物に３度目か４度目に会ったのはベニスの溜息橋と呼ばれている屋根付きの橋の下でした。
It is with a confused recollection that I bring to mind the circumstances of that meeting.	その時のことを思い出そうとしているのですが、別の記憶と入り交ざって混乱してしまうのです。
Yet I remember - ah!	でも、覚えているのは、ああ！
how should I forget  ?	そうですとも、どうして忘れられるでしょう？
- the deep midnight, the Bridge of Sighs, the beauty of woman, and the Genius of Romance that stalked up and down the narrow canal.	暗黒の夜、美しき女人、「溜息橋」、狭い運河を上がったり下がったりゆっくり忍び寄る「恋の守り神たち」のことを。
It was a night of unusual gloom.	その日は、いつになく暗い宵でした。
The great clock of the Piazza had sounded the fifth hour of the Italian evening.	サンマルコ広場の大時計はイタリアの日没を知らせる第５時の鐘をとっくにならし終えていました。
The square of the Campanile lay silent and deserted,	鐘楼のある広場には人の姿は全く見えず、静寂に包まれていました。
