BLUE BEARD.	青ひげ
Once upon a time there was a man who had fine houses, both in town and country, a deal of silver and gold plate, carved furniture, and coaches gilded all over.	むかしむかし、町といなかに、大きなやしきをかまえて、金の盆（ぼん）と銀のお皿（さら）をもって、きれいなお飾（かざ）りとぬいはくのある、いす、つくえと、それに、総金（そうきん）ぬりの馬車までももっている男がありました。
But unhappily this man had a blue beard, which made him so ugly and so terrible that all the women and girls ran away from him.	こんなしあわせな身分でしたけれど、ただひとつ、運のわるいことは、おそろしい青ひげをはやしていることで、それはどこのおくさんでも、むすめさんでも、この男の顔を見て、あっといって、逃げ出さないものはありませんでした。
One of his neighbors, a lady of quality, had two daughters who were perfect beauties.	さて、この男のやしき近くに、身分のいい奥（おく）さんがあって、ふたり、美しいむすめさんをもっていました。
He asked for one of them in marriage, leaving to her the choice of which she would bestow on him.	この男は、このむすめさんのうちどちらでもいいから、ひとり、およめさんにもらいたいといって、たびたび、この奥さんをせめました。
They would neither of them have him, and they sent him backward and forward from one to the other,	けれど、ふたりがふたりとも、むすめたちは、この男を、それはそれはきらっていて、逃げまわってばかりいました。
neither being able to make up her mind to marry a man who had a blue beard.	なにしろ青ひげをはやした男なんか、考えただけでも、ぞっとするくらいですし、
Another thing which made them averse to him was that he had already married several wives, and nobody knew what had become of them.	それに、胸のわるいほどいやなことには、この男は、まえからも、いく人か奥さまをもっていて、しかもそれがひとりのこらず、どこへどう行ってしまったか、ゆくえが分からなくなっていることでした。
Blue Beard, to become better acquainted,	そこで、青ひげは、これは、このむすめさん親子のごきげんをとって、じぶんがすきになるようにしむけることが、なによりちか道だと考えました。
took them, with their mother and three or four of their best friends, with some young people of the neighborhood to one of his country seats, where they stayed a whole week.	そこで、あるとき、親子と、そのほか近所（きんじょ）で知りあいの若い人たちをおおぜい、いなかのやしきにまねいて、一週間（しゅうかん）あまりもとめて、ありったけのもてなしぶりをみせました。
There was nothing going on but pleasure parties, hunting, fishing, dancing, mirth, and feasting.	それは、まい日、まい日、野あそびに出る、狩（かり）に行く、釣（つり）をする、ダンスの会だの、夜会（やかい）だの、お茶の会だのと、目のまわるようなせわしさでした。
Nobody went to bed,	夜（よる）になっても、たれもねどこにはいろうとするものもありません。
but all passed the night in playing pranks on each other.	宵（よい）がすぎても、夜中がすぎても、みんなそこでもここでも、おしゃべりをして、わらいさざめいて、ふざけっこしたり、歌をうたいあったり、それはそれは、にぎやかなことでした。
In short, everything succeeded so well that the youngest daughter began to think that the beard of the master of the house was not so very blue, and that he was a very civil gentleman.	とうとうこんなことで、なにもかも、とんとんびょうしにうまくはこんで、すえの妹のほうがまず、このやしきの主人のひげを、もうそんなに青くは思わないようになり、おまけに、りっぱな、礼儀（れいぎ）ただしい紳士（しんし）だとまでおもうようになりました。
So as soon as they returned home, the marriage was concluded.	さて、うちへかえるとまもなく、ご婚礼（こんれい）の式がすみました。
About a month afterward	それから、ひと月ばかりたったのちのことでした。
Blue Beard told his wife that he was obliged to take a country journey for six weeks at least, upon business of great importance.	青ひげは、ある日、奥（おく）がたにむかって、これから、あるたいせつな用むきで、どうしても六週間（しゅうかん）、いなかへ旅をしてこなければならない。
He desired her to amuse herself well in his absence, to send for her friends, to take them into the country, if she pleased, and to live well wherever she was.	そのかわり、るすのあいだの気ばらしに、お友だちや知りあいの人たちを、やしきに呼んで、里の家にいたじぶんとおなじように、おもしろおかしく遊んで、くらしてもかまわないから、といいました。
"Here,"	「さて、」
said he,	と、そのあとで、青ひげは奥がたにいいました。
