THE SLEEPING BEAUTY IN THE WOODS.	眠る森のお姫さま
Perrault	ペロー
Once upon a time there was a king and a queen,	むかしむかし、王様とお妃がありました。
who were very sorry that they had no children,	おふたりは、こどものないことを、なにより悲しがっておいでになりました。
--so sorry that it cannot be told.	それは、どんなに悲しがっていたでしょうか、とても口ではいいつくせないほどでした。
At last, however, the Queen had a daughter.	でもそのうち、とうとう信心のまことがとどいて、お妃に、ひいさまの赤ちゃんが生まれました。
There was a very fine christenin; and the Princess had for her godmothers all the fairies they could find in the whole kingdom	それでさっそく、さかんな洗礼（せんれい）の式をあげることになって、お姫（ひめ）さまの名づけ親になる教母（きょうぼ）には、国じゅうの妖女（ようじょ）が、のこらず呼び出されました。
(there were seven of them),	その数は、みんなで七人でした。
so that every one of them might confer a gift upon her, as was the custom of fairies in those days.	そのじぶんの妖女なかまのならわしにしたがい、七人の妖女は、めいめい、ひとつずつ、りっぱなおくりものを持って来るはずでした。
By this means the Princess had all the perfections imaginable.	ですから、生まれたときから、お姫さまには、もうこの世でのぞめるかぎりのことで、なにひとつ身にそなわらないものはなかったのでございます。
After the christening was over, the company returned to the King's palace, where was prepared a great feast for the fairies.	さて洗礼式がすんだあと、呼ばれた七人のなかま一同が、王様のお城にかえりますと、そこには、妖女たちのために、りっぱなごちそうのしたくが、できていました。
There was placed before every one of them a magnificent cover with a case of massive gold, wherein were a spoon, and a knife and fork, all of pure gold set with diamonds and rubies.	ひとりひとりの食卓（しょくたく）の上には、お皿（さら）や杯（さかずき）の食器（しょっき）がひとそろいならべてあって、それは、大きな金の箱にはいっている、さじだの、ナイフだの、フォークだので、こののこらずが、ダイヤモンドとルビーをちりばめた、純金製（じゅんきんせい）のものでした。
But as they were all sitting down at table they saw a very old fairy come into the hall.	ところで、みんなならんで食卓（しょくたく）についたとき、ふと見ると、いつどこからやって来たか、たいへん年をとった妖女がひとり、のそのそと広間にはいって来ました。
She had not been invited,	けれどこの妖女は、この席に呼ばれてはいなかったのです。
because for more than fifty years she had not been out of a certain tower, and she was believed to be either dead or enchanted.	というわけは、このおばあさんの妖女は、今から五十年もまえ、ある塔（とう）の中にこもったなり、すがたをかくしてしまって、もういまでは、死んでしまっているか、魔法（まほう）にでもかけられて、なにかかわったものにされてしまった、とおもわれていたからです。
The King ordered her a cover,	王様はあわてて、この妖女の前にも、ひとそろい食器を並べさせました。
but he could not give her a case of gold as the others had,	でも、それはもう、大きな金の箱に入れた純金製（じゅんきんせい）のものではありませんでした。
because seven only had been made for the seven fairies.	なにしろお客は七人のはずでしたから、七人まえのしたくしか、できてはいなかったのです。
The old fairy fancied she was slighted, and muttered threats between her teeth.	するとおばあさんの妖女は、じぶんだけが、けいべつされたようにおもって、口の中で、なにかぶつぶつ、口こごとをいっていました。
One of the young fairies who sat near heard her,	そのとき、ほかの若い妖女のひとりが、そばにとなりあわせていて、おばあさんのくどくどいうことばを、そっと聞いていました。
and, judging that she might give the little Princess some unlucky gift, hid herself behind the curtains as soon as they left the table.	それで、このおばあさんが、王女になにかよくないおくりものをしようと、たくらんでいることがわかりましたから、食事がすんで、みんなが食卓（しょくたく）から立ちあがると、そのまま、その妖女は、とばりのかげにかくれていました。
She hoped that she might speak last and undo as much as she could the evil which the old fairy might do.	それは、こうしてかくれていて、そのおばあさんが、なにをたくらもうとも、じぶんがそのあとに出て、すぐ、そののろいのことばを、うち消すようなことをいって、それをお姫（ひめ）さまへのおくりものにしよう、とおもったからです。
In the meanwhile all the fairies began to give their gifts to the Princess.	そうこうするうちに、いよいよ、妖女たちは、それぞれ、お姫さまにおくりもののことばをのべることになりました。
The youngest gave her for her gift that she should be the most beautiful person in the world;	なかで、いちばん若い妖女は、お姫さまが世界一美しい人になられますように、といいました。
the next, that she should have the wit of an angel;	つぎの妖女は、天使のようなおこころがさずかりますように、といいました。
the third, that she should be able to do everything she did gracefully;	三ばんめの妖女は、王女のたちいふるまいの、やさしく、しとやかにありますように、といいました。
the fourth, that she should dance perfectly;	四ばんめの妖女は、たれおよぶもののないダンスの上手（じょうず）になられますように、といいました。
the fifth, that she should sing like a nightingale;	五ばんめの妖女は、小夜啼鳥（さよなきどり）のような、やさしい声でおうたいになりますように、といいました。
and the sixth, that she should play all kinds of musical instruments to the fullest perfection.	六ばんめの妖女は、どんな楽器（がっき）にも、名人（めいじん）の名をおとりになりますように、といいました。
The old fairy's turn coming next,	いよいよおしまいに、おばあさんの妖女の番になりました。
her head shaking more with spite than with age, she said that the Princess should pierce her hand with a spindle and die of the wound.	この妖女は、さもいまいましそうに首をふりながら、王女は、その手を糸車のつむにさされて、けがをして死ぬだろうよといいました。
This terrible gift made the whole company tremble, and everybody fell a-crying.	このおそろしいおくりものは、身ぶるいの出るほど、みんなをびっくりさせて、たれもお姫（ひめ）さまのために泣かないものはありませんでした。
At this very instant the young fairy came from behind the curtains and said these words in a loud voice:--	そのときです、若い妖女が、とばりのかげから出て来て、とても大きな声で、つぎのようなことばをいいました。
"Assure yourselves, O King and Queen, that your daughter shall not die of this disaster.	「いいえ、王様、お妃様、だいじょうぶ、あなたがたのだいじなおひいさまは、いのちをおなくしになるようなことはありません。
It is true, I have no power to undo entirely what my elder has done.	もっとも、わたくしには、この年よりのいったんかけたのろいを、のこらずときほごすまでの力はございません。
The Princess shall indeed pierce her hand with a spindle;	おひいさまは、なるほど手のひらに、つむをおつきたてになるでしょう。
but, instead of dying,	けれどそのために、おかくれになるということはありません。
she shall only fall into a deep sleep, which shall last a hundred years,	ただ、ぐっすりと、ねこんでおしまいになって、それは百年のあいだ、目をおさましになることがないでしょう。
at the end of which a king's son shall come and awake her."	そして、ちょうど百年めに、ある国の王子さまが来て、おひいさまの目をおさまし申すことになるでしょう。」
The King, to avoid the misfortune foretold by the old fairy,	王様は、妖女（ようじょ）のおばあさんのよげんしたさいなんを、どうかしてよけたいとおもいました。
issued orders forbidding any one, on pain of death, to spin with a distaff and spindle, or to have a spindle in his house.	そこで、その日さっそく、国じゅうにおふれをまわして、たれでも、糸車につむをつかうことはならぬ。
About fifteen or sixteen years after,	さてそれから、十五六年は、ぶじにすぎました。
the King and Queen being absent at one of their country villas,	あるとき、王様とお妃様が、おそろいで、離宮（りきゅう）へ遊びにお出かけになりました。
the young Princess was one day running up and down the palace;	そのおるすに、ある日、若い王女は、お城の中をあちこちとかけあるいておいでになりました。
she went from room to room, and at last she came into a little garret on the top of the tower,	するうち、下のへやから上のへやへと、かけあがって行って、とうとう塔（とう）のてっぺんの、ちいさなへやにはいりました。
