SILVER BLAZE	白銀の失踪
Conan Doyle	コナンドイル
``I am afraid, Watson that I shall have to go,''	「ワトソン君、僕は行（ゆ）かなきゃならないんだがね」
said Holmes as we sat down together to our breakfast one morning.	ある朝、一緒に食事をしている時にホームズがいった。
``Go! Where to?''	「行くってどこへ？」
``To Dartmoor;	「ダートムアだ
to King's Pyland.''	――キングス・パイランドだ」
I was not surprised.	私は格別おどろきもしなかった。
Indeed, my only wonder was that he had not already been mixed up in this extraordinary case, which was the one topic of conversation through the length and breadth of England.	事実、私は、今全イングランドの噂の種になっているこの驚くべき事件に、ホームズが関係しないということをむしろ不思議にさえ思っていたのである。
For a whole day my companion had rambled about the room with his chin upon his chest and his brows knitted, charging and recharging his pipe with the strongest black tobacco, and absolutely deaf to any of my questions or remarks.	前の日、ホームズは終日眉根をよせた顔を首垂（うなだ）れて、強い黒煙草をパイプにつめかえつめかえ部屋の中を歩き廻ってばかりいて、私が何を話しかけても何を訊ねても石のように黙りこくっていた。
Fresh editions of every paper had been sent up by our news agent, only to be glanced over and tossed down into a corner.	あらゆる新聞の新らしい版が出るごとに、いちいち配達所から届けられたが、それすらちょっと眼を通すだけですぐに部屋の隅へ投げすてた。
Yet, silent as he was, I knew perfectly well what it was over which he was brooding.	しかも、彼が一言も口をきかないにも拘らず、彼の頭脳（あたま）の中で考えられていることは、私にはよく分っていた。
There was but one problem before the public which could challenge his powers of analysis, and that was the singular disappearance of the favourite for the Wessex Cup, and the tragic murder of its trainer.	いま彼の推理力と太刀打ちの出来る問題といえばただ一つ、ウェセックス賞杯（カップ）争覇戦出場の名馬の奇怪なる失踪と、その調馬師の惨殺された事件があるのみだ。
When, therefore, he suddenly announced his intention of setting out for the scene of the drama, it was only what I had both expected and hoped for.	だから彼が突然、その悲劇の現場（げんじょう）へ行くといい出したことは、私にとっては予期していたことでありまた希望していたことでもあったのだ。
``I should be most happy to go down with you if I should not be in the way,''	「差支えがなければ僕も行ってみたいんだがね」
said I.	と、私はいった。
