I had called upon my friend Sherlock Holmes upon the second morning after Christmas, with the intention of wishing him the compliments of the season.	クリスマス後2日目の朝、私はシャーロック・ホームズに祝いを言っておこうと思い、部屋を訪れた。
He was lounging upon the sofa in a purple dressing-gown,	ホームズは紫色のガウンにくるまってソファに持たれかかっていた。
a pipe-rack within his reach upon the right, and a pile of crumpled morning papers, evidently newly studied, near at hand.	右側のパイプ置きは手が届くところにあり、手元には、調べたばかりに違いない、皺だらけの朝刊が山積みされている。
Beside the couch was a wooden chair, and on the angle of the back hung a very seedy and disreputable hard-felt hat,	ソファのそばには木製の椅子があって、背もたれの角にひどくみっともない帽子がかかっていた。
much the worse for wear, and cracked in several places.	かなりくたびれており、ひび割れているところがいくつもある。
A lens and a forceps lying upon the seat of the chair suggested that the hat had been suspended in this manner for the purpose of examination.	レンズとピンセットが椅子に乗っているところからして、この帽子は分析するためにこうしてあるらしい。
"You are engaged,"	「仕事中か」
said I;	と私。
"perhaps I interrupt you."	「邪魔かな」
"Not at all.	「ちっとも。
I am glad to have a friend with whom I can discuss my results.	成果を話す相手がきたんで嬉しいよ。
The matter is a perfectly trivial one"	問題はじつにくだらない」
--he jerked his thumb in the direction of the old hat--	――ホームズは例の古帽子に親指を向けた――
"but there are points in connection with it which are not entirely devoid of interest and even of instruction."	「が、その裏にはおもしろい点もあるし、ためになる点だってないわけじゃない」
I seated myself in his armchair and warmed my hands before his crackling fire,	私はホームズの肱掛椅子に腰を下ろし、ホームズの前の爆ぜかえる暖炉で両手を暖めた。
for a sharp frost had set in, and the windows were thick with the ice crystals.	外には厳しい霜がおり、窓は厚い氷のクリスタルで覆われていた。
"I suppose,"	「どうやら」
I remarked,	と私は言った。
"that, homely as it looks, this thing has some deadly story linked on to it	「見た目こそありふれているけど、これにまつわる恐ろしい話があるらしいね
--that it is the clew which will guide you in the solution of some mystery and the punishment of some crime."	――そして、それが手がかりとなり、君は謎を解き明かしてその犯罪を裁く」
"No, no. No crime,"	「違う、違う、犯罪とは違うんだ」
said Sherlock Holmes, laughing.	ホームズは笑い出した。
"Only one of those whimsical little incidents	「気まぐれな、くだらない偶発事のひとつだよ。
which will happen when you have four million human beings all jostling each other within the space of a few square miles.	ほんの数平方マイルの土地で400万の人間が押し合いへし合いやっていれば、こんな事件も起きるもんだ。
Amid the action and reaction of so dense a swarm of humanity, every possible combination of events may be expected to take place,	こうも密集した人の群れによる作用と反作用の中では、さまざまな出来事のあらゆる組み合わせが起こりうる。
and many a little problem will be presented which may be striking and bizarre without being criminal.	そして、犯罪性とは無縁ながらも、突飛な小事が無数に姿をあらわすんだ。
We have already had experience of such."	ぼくらはそういう事件もすでに経験してきた」
"So much so," l remarked,	「そうだね。
"that of the last six cases which I have added to my notes, three have been entirely free of any legal crime."	ぼくが記録に加えた最近の6事件も、3つはまったく法律に触れていなかったな」
"Precisely.	「まったくだ。
You allude to my attempt to recover the Irene Adler papers,	それで思い出したよ。アイリーン・アドラー文書。
to the singular case of Miss Mary Sutherland,	ミス・メアリ・サザーランドの奇妙な事件。
and to the adventure of the man with the twisted lip.	唇のねじれた男の冒険、か。
Well, I have no doubt that this small matter will fall into the same innocent category.	そう、この小さな事件が同じカテゴリーに収まるのは間違いないな。
You know Peterson, the commissionaire?"	守衛のピータースンを知っているね？」
"Yes."	「ああ」
"It is to him that this trophy belongs."	「これはピータースンの戦利品だよ」
"It is his hat."	「ピータースンの帽子だったのか」
"No, no, he found it.	「違う、違う、拾ったんだ。
Its owner is unknown.	所有者は不明。
I beg that you will look upon it not as a battered billycock but as an intellectual problem.	使い古しの山高帽としてではなく、知的な問題として見てもらいたいな。
And, first, as to how it came here.	では最初にこれがどうやってここにきたのかを。
It arrived upon Christmas morning,	こいつはクリスマスの朝にやってきた。
in company with a good fat goose,	立派な太った鵞鳥と一緒にね。
which is, I have no doubt, roasting at this moment in front of Peterson's fire.	鵞鳥の方は、間違いなく、いまこの瞬間にピータースン家の暖炉であぶられている。
The facts are these:	事実はこうだ。
about four o'clock on Christmas morning, Peterson, who, as you know, is a very honest fellow, was returning from some small jollification and was making his way homeward down Tottenham Court Road.	クリスマスの朝4時ごろ、ピータースンという、知ってのとおり、きわめて誠実な人物が、ささやかなお祭り騒ぎからの帰り道、トテナム・コート街を通った。
In front of him he saw, in the gaslight, a tallish man, walking with a slight stagger, and carrying a white goose slung over his shoulder.	前方を見ると、ガス灯に照らされて、背の高い男が、白い鵞鳥を肩にぶらさげ、よろめきながら歩いている。
As he reached the corner of Goodge Street, a row broke out between this stranger and a little knot of roughs.	グッジ街の角のところで、男と乱暴者の群れとの間に騒動が持ちあがった。
One of the latter knocked off the man's hat, on which he raised his stick to defend himself and,	乱暴者の1人が男の帽子を叩き落し、男がステッキを構えて身を守ろうとする。
swinging it over his head, smashed the shop window behind him.	そして、頭上で降り回したところ、背後にあった商店の窓に派手にぶつけてしまった。
Peterson had rushed forward to protect the stranger from his assailants;	ピータースンが、この見知らぬ男を乱暴者から守ろうと駆けよった。
but the man, shocked at having broken the window, and seeing an official-looking person in uniform rushing towards him, dropped his goose, took to his heels, and vanished amid the labyrinth of small streets which lie at the back of Tottenham Court Road.	ところがその男は、窓を割ってしまったことにショックを受けており、また制服をきた警官のような人物が駆け寄ってくるのを目にしたので、鵞鳥を落として逃げ出し、トテナム・コート街の背後に横たわる迷路のような街並に姿を消してしまった。
The roughs had also fled at the appearance of Peterson, so that he was left in possession of the field of battle,	乱暴者もピータースンの出現と同時に逃げ出したので、ピータースンは孤軍戦場に勝ちを占め、勝利の略奪品をものにした。
and also of the spoils of victory in the shape of this battered hat and a most unimpeachable Christmas goose."	それが、このくたびれた帽子と、まったく非のうちどころのないクリスマスの鵞鳥というわけだ」
"Which surely he restored to their owner?"	「持ち主に返そうとはしたのかい？」
"My dear fellow, there lies the problem.	「それには問題があるね、ワトスンくん。
It is true that 'For Mrs. Henry Baker' was printed upon a small card which was tied to the bird's left leg, and it is also true that the initials 'H. B.' are legible upon the lining of this hat, but as there are some thousands of Bakers, and some hundreds of Henry Bakers in this city of ours,	確かに、『ミセス・ヘンリー・ベイカーへ』と印刷された小さなカードが鳥の左足につけられていたし、これまた確かに、『Ｈ・Ｂ』のイニシャルが帽子の裏地に書いてあるけど、この街にはベイカーさんなんて何千人もいるし、ヘンリー・ベイカーさんとやらも何百人といるんだよ。
it is not easy to restore lost property to any one of them."	彼らのうち、特定の1人に品物を返すのは簡単なことじゃない」
"What, then, did Peterson do?"	「じゃあ、ピータースンはどうしたんだ？」
"He brought round both hat and goose to me on Christmas morning,	「クリスマスの朝に、ぼくに帽子と鵞鳥の両方を持ち込んできた。
knowing that even the smallest problems are of interest to me.	ぼくがきわめて小さな問題にも興味を持つことを知っていたからね。
The goose we retained until this morning,	鵞鳥も今朝まではとってあった。
when there were signs that, in spite of the slight frost, it would be well that it should be eaten without unnecessary delay.	霜が降りるような天気だというのに、今朝見てみるとどうにもすぐに食べてしまわないとまずいことになりそうだったから、
Its finder has carried it off, therefore, to fulfil the ultimate destiny of a goose, while I continue to retain the hat of the unknown gentleman who lost his Christmas dinner."	鵞鳥は拾い主の家でその究極的な目的を果たさせてやることにして、その一方、クリスマスディナーを失ったどこか紳士の帽子をここに残しておくことにしたんだ」
"Did he not advertise?"	「広告は出ていないのか？」
"No."	「ああ」
"Then, what clew could you have as to his identity?"	「じゃあ、その人物に関する手がかりは？」
"Only as much as we can deduce."	「推理できるだけ」
"From his hat?"	「その帽子から？」
"Precisely."	「まったくそのとおり」
"But you are joking.	「冗談はよせ。
What can you gather from this old battered felt?"	この使い古しのフェルトから何が分かる？」
"Here is my lens.	「ここにぼくのレンズがある。
You know my methods.	君はぼくのやり口を知っている。
What can you gather yourself as to the individuality of the man who has worn this article?"	さて、この品物をかぶっていた人物の特徴について、君なら何が分かる？」
I took the tattered object in my hands and turned it over rather ruefully.	私はボロボロの物体を手に取り、いくぶんうんざりしながら調べていった。
It was a very ordinary black hat of the usual round shape, hard and much the worse for wear.	ごくありふれた黒い帽子で、普通に丸い形をしており、かたくて、たいへんくたびれている。
The lining had been of red silk, but was a good deal discolored.	裏地は赤いシルクだが、かなり色あせてしまっていた。
There was no maker's name;	メーカーの名前はなく、
but, as Holmes had remarked, the initials "H. B." werescrawled upon one side.	ただ、ホームズが言ったとおり、片面に「Ｈ・Ｂ」というイニシャルが殴り書きされている。
It was pierced in the brim for a hat-securer, but the elastic was missing.	へりには帽子止めの穴を開けられているものの、ゴム紐はなし。
For the rest, it was cracked, exceedingly dusty, and spotted in several places,	あとは、ひび、ひどい埃、いくつものしみ。
although there seemed to have been some attempt to hide the discolored patches by smearing them with ink.	ただし、色あせた部分はインクを塗りつけて隠そうとしたようだ。
"I can see nothing,"	「何も見えてこないな」
said I, handing it back to my friend.	私は帽子をホームズの手に返した。
"On the contrary, Watson, you can see everything.	「逆だよ、ワトスン、君にはすべてが見えているんだ。
You fail, however, to reason from what you see.	ただし、見たものから原因を考えることにつまづいている。
You are too timid in drawing your inferences."	臆病すぎて推理を描けないんだよ」
"Then, pray tell me	「じゃあ、どうか教えてくれよ。
what it is that you can infer from this hat?"	いったい何がこの帽子から推理できるんだ？」
He picked it up and gazed at it in the peculiar introspective fashion which was characteristic of him.	ホームズは帽子をつまみあげ、ホームズ特有の内視的な雰囲気でそれを見つめた。
"It is perhaps less suggestive than it might have been,"	「かつてあったほどの手がかりは、もうないのかもしれない」
he remarked,	ホームズが話しだした。
"and yet thereare a few inferences which are very distinct,	「それでも、いくつかの点では、きわめてはっきりとした推理を立てられる。
and a few others which represent at least a strong balance of probability.	またいくつかの点では、とりあえず確率的には問題のなさそうな推理は立つね。
That the man was highly intellectual is of course obvious upon the face of it, and also that he was fairly well-to-do within the last three years, although he has now fallen upon evil days.	高い知性を持つ男だったという点は、もちろん見た目だけで分かるし、また、ここ3年以内にうまくいっていたことがあるが、今は不遇の日々に落ちこんでいるのだと思われる。
He had foresight, but has less now than formerly,	彼には先見の明があったが、今となってはそれも衰え、堕落しつつある。
pointing to a moral retrogression, which, when taken with the decline of his fortunes, seems to indicate some evil influence,	彼の運勢が下り坂になっていることと考え合わせると、何かから悪い影響を受けているようだ。
probably drink, at work upon him.	たぶん酒。
This may account also for the obvious fact that his wife has ceased to love him."	妻に愛してもらえなくなったという明らかな事実もそれが原因かもしれない」
"My dear Holmes!"	「ホームズくん？」
"He has, however, retained some degree of self-respect,"	「ただし、ある程度の自尊心は残している」
he continued, disregarding my remonstrance.	ホームズは、私の声に耳を貸さずに先を続けた。
"He is a man who leads a sedentary life, goes out little, is out of training entirely, is middle-aged,	「1日のほとんどを座ってすごし、ほとんど外出することのない、完全な運動不足の中年男性。
has grizzled hair which he has had cut within the last few days, and which he anoints with lime-cream.	白髪混じりの髪はここ数日中に切られており、ライムクリームが塗られている。
These are the more patent facts which are to be deduced from his hat.	……こういったところかな、この帽子から見て取れる特徴的な事実は。
Also, by the way, that it is extremely improbable that he has gas laid on in his house."	そうそうそれと、彼が家にガスを引いているのはまずありえないね」
"You are certainly joking, Holmes."	「もう冗談はいいよ、ホームズ」
"Not in the least.	「よくないよ。
Is it possible that even now, when I give you these results, you are unable to see how they are attained?"	今になっても、結果を教えてやっても、まだそれをたどれないのかい？」
"I have no doubt that I am very stupid, but I must confess that I am unable to follow you.	「ぼくがひどい馬鹿なのは間違いないけど、正直に言って君の意見には賛成しないね。
For example, how did you deduce that this man was intellectual?"	たとえばさ、その男が知的だというのはどうやって推理したんだ？」
For answer Holmes clapped the hat upon his head.	それに答える形で、ホームズは帽子を自分の頭に落とした。
It came right over the forehead and settled upon the bridge of his nose.	額はすっかり隠れ、鼻柱にきたところで止まった。
"It is a question of cubic capacity,"	「容積の問題だよ」
said he;	と、ホームズ。
"a man with so large a brain must have something in it."	「これほど大きな頭を持っているのなら、中身もあるに違いない」
"The decline of his fortunes, then?"	「じゃあ、運勢が下り坂というのは？」
"This hat is three years old.	「これは3年前に作られた帽子だ。
These flat brims curled at the edge came in then.	平べったいへりが端の方で内側に巻いている。
It is a hat of the very best quality.	まさに極上品だね。
Look at the band of ribbed silk and the excellent lining.	このシルクのバンドや、すばらしい裏地を見てくれ。
If this man could afford to buy so expensive a hat three years ago, and has had no hat since,	こんな贅沢な帽子を買う余裕が3年前にはあって、それから買い換えていない。
then he has assuredly gone down in the world."	となると、きっとこの男は落ちぶれてしまったんだ」
"Well, that is clear enough, certainly.	「なるほど、それは十分に分かったよ、そうだとも。
But how about the foresight and the moral retrogression?"	だけど、先見の明とか堕落しつつあるとかはどうなんだ？」
Sherlock Holmes laughed.	シャーロック・ホームズは笑い飛ばした。
"Here is the foresight,"	「先見の明はここに」
said he putting his finger upon the little disc and loop of the hat-securer.	と、帽子止めの小さな輪の上に指を置いた。
"They are never sold upon hats.	「店は絶対に帽子止めを売りこまないんだ。
If this man ordered one, it is a sign of a certain amount of foresight,	この男が注文をつけたのだとしたら、それはある程度の先見の明の表れだよ。
since he went out of his way to take this precaution against the wind.	手数をかけて風に対する予防策を採ったんだから。
But since we see that he has broken the elastic and has not troubled to replace it, it is obvious that he has less foresight now than formerly, which is a distinct proof of a weakening nature.	だけど、見てのとおりゴム紐が切れてしまっているのに、それを取り替える手間を惜しむあたり、明らかに以前ほど先見の明を持ち合わせておらず、さらにここで、天性の衰退がはっきりと証明されている。
On the other hand, he has endeavored to conceal some of these stains upon the felt by daubing them with ink, which is a sign that he has not entirely lost his self-respect."	一方では、フェルトの痛みをインクで隠そうとするあたり、自尊心を完全には失っていない、となるわけだ」
"Your reasoning is certainly plausible."	「たしかにもっともらしい論法だけどね」
"The further points, that he is middle-aged, that his hair is grizzled, that it has been recently cut, and that he uses imecream, are all to be gathered from a close examination of the lower part of the lining.	「残りの部分、中年だとか、白髪交じりだとか、最近髪を切ったとか、ライムクリームだとかいうのはね、裏地の下のほうに顔を近づけてみれば推測できるんだよ。
The lens discloses a large number of hair-ends, clean cut by the scissors of the barber.	レンズを使うと、理髪店の鋏できれいに切り落とされた大量の髪の毛先が見える。
They all appear to be adhesive, and there is a distinct odour of lime-cream.	どれもべとべとしているようだし、ライムクリームの香りもしている。
This dust, you will observe, is not the gritty, gray dust of the street but the fluffy brown dust of the house, showing that it has been hung up indoors most of the time, while the marks of moisture upon the inside are proof positive that the wearer perspired very freely, and could therefore, hardly be in the best of training."	この埃は、観察してみるといい、道端でつく砂や灰色の埃ではなく、家屋の茶色い埃であり、この帽子がほぼ常に室内にかけられていることが分かるし、また内側の湿気の跡は、持ち主がきわめてさかんに汗をかく人物でありほとんど体を鍛えていない人物である可能性を裏づけている」
"But his wife--you said that she had ceased to love him."	「だけど奥さんは――君は妻に愛されなくなったなんて言ったけど？」
"This hat has not been brushed for weeks.	「この帽子には数週間、ブラシがかけられていない。
When I see you, my dear Watson, with a week's accumulation of dust upon your hat, and when your wife allows you to go out in such a state, I shall fear	君に会ったときにさ、ワトスンくん、数週間分の埃が積もった帽子をかぶっていたり、そんな格好で奥さんに見送られたりしていたら、そのときは心配してやるよ。
that you also have been unfortunate enough to lose your wife's affection."	君もまた運命の悪戯か奥さんの愛情を失いつつあるということだからね」
"But he might be a bachelor."	「だけど独身かもしれないじゃないか」
"Nay, he was bringing home the goose as a peace-offering to his wife.	「否、彼は妻との和解の品として鵞鳥を運んでいた。
Remember the card upon the bird's leg."	鳥の足についていたカードを思い出せ」
"You have an answer to everything.	「何に対しても答えを握っているんだな。
But how on earth do you deduce that the gas is not laid on in his house?"	だけど、ガスが家にひかれていないというのはいったい？」
"One tallow stain, or even two, might come by chance;	「獣脂のしみひとつ、あるいはふたつまでは、偶然といってもいい。
but when I see no less than five, I think that there can be little doubt	が、5つもあるようだと、絶対に間違いないね。
that the individual must be brought into frequent contact with burning tallow	この男は燃えさかる獣脂にたびたび触れている
--walks upstairs at night probably with his hat in one hand and a guttering candle in the other.	――たとえば、夜、帽子と獣脂がしたたる蝋燭とを別々の手に持って階段を昇るのかもしれないな。
Anyhow, he never got tallow-stains from a gas-jet.	いずれにせよ、ガス灯から獣脂のしみができることは決してない。
Are you satisfied?"	ご満足いただけましたか？」
"Well, it is very ingenious,"	「うむ、実に見事であった」
said I, laughing;	私は笑いながら言った。
"but since, as you said just now, there has been no crime committed, and no harm done save the loss of a goose, all this seems to be rather a waste of energy."	「だけどさ、さっき君が言ったように、犯罪にはかかわってきていないし、鵞鳥を除けば損害もないし、どっちかというとエネルギーの無駄使いのような気がするね」
Sherlock Holmes had opened his mouth to reply, when the door flew open, and Peterson, the commissionaire, rushed into the apartment	シャーロック・ホームズが口を開きかけたそのとき、いきなりドアが開いて、ピータースン、例の守衛が頬を真っ赤にして飛びこんできた。
with flushed cheeks and the face of a man who is dazed with astonishment.	驚嘆のあまり呆然としたような面持ちである。
"The goose, Mr. Holmes!	「鵞鳥が、ミスター・ホームズ！
The goose, sir!"	鵞鳥が！」
he gasped.	ピータースンは息を喘がせた。
"Eh?	「ん？
What of it, then?	何だ、どうしたんだ？
Has it returned to life and flapped off through the kitchen window?"	鵞鳥が生き返って、キッチンの窓から飛んでいきでもしたのか？」
Holmes twisted himself round upon the sofa to get a fairer view of the man's excited face.	ホームズはソファに座ったまま体をひねると、興奮している男の顔を正面にとらえた。
"See here, sir!	「ほらこれを！
See what my wife found in its crop!"	うちのが餌袋の中からこれを！」
He held out his hand and displayed upon the centre of the palm a brilliantly scintillating blue stone,	ピータースンは手を差し出し、手のひらの中央に煌々と輝く青い石を広げた。
rather smaller than a bean in size, but of such purity and radiance that it twinkled like an electric point in the dark hollow of his hand.	サイズは豆粒よりも小さかったが、その純度と輝度の高さゆえに、ピータースンの手の薄暗いくぼみの中で電光のようにきらめいていた。
Sherlock Holmes sat up with a whistle.	シャーロック・ホームズは口笛を吹いて立ちあがった。
"By Jove, Peterson!"	「ジュピターに誓おう、ピータースン！」
said he,	とホームズ。
"this is treasure trove indeed.	「これはまさしくお宝だよ。
I suppose you know what you have got?"	手に入れたのが何か、分かっているだろうね？」
"A diamond, sir?	「ダイアモンド？
A precious stone.	とにかく貴重な宝石です。
It cuts into glass as though it were putty."	ガラスがまるでパテのように切れるんです」
"It's more than a precious stone.	「単なる貴重な宝石どころじゃないんだよ。
It is the precious stone."	例の貴重な宝石なんだ」
"Not the Countess of Morcar's blue carbuncle!"	「モルカー伯爵婦人のブルー・カーバンクルじゃないか！」
I ejaculated.	私は絶叫した。
"Precisely so.	「そう、まったくそのとおり。
I ought to know its size and shape, seeing that I have read the advertisement about it in The Times every day lately.	ぼくがサイズと形を知っているのも当然だ、こいつに関する広告を連日タイムズで読んでいるからね。
It is absolutely unique, and its value can only be conjectured, but the reward offered of 1000 pounds is certainly not within a twentieth part of the market price."	まったく他に類のない代物で、価値は推測するしかないが、報奨金の千ポンドなど市場価格の20分の1にも届かないだろう」
"A thousand pounds!	「千ポンド！
Great Lord of mercy!"	なんてこった！」
The commissionaire plumped down into a chair and stared from one to the other of us.	守衛は椅子にしりもちをついて、我々をかわるがわる見つめた。
"That is the reward,	「それは賞金だ。
and I have reason to know that there are sentimental considerations in the background which would induce the Countess to part with half her fortune if she could but recover the gem."	そしてあの伯爵婦人は、宝石の背景に思い入れがあって、ただ取り戻すことさえできれば財産の半分でも分け与える気になるのも、ぼくは訳あって知っている」
"It was lost, if I remember aright, at the Hotel Cosmopolitan,"	「紛失したんだ、もし記憶どおりなら、ホテル・コスモポリタンで」
I remarked.	私が言った。
