THE BOARDING HOUSE	下宿屋
MRS. MOONEY was a butcher's daughter.	ミセス・ムーニーは肉屋の娘に生まれた。
She was a woman who was quite able to keep things to herself:	彼女はあくまで物事を自分一人の胸に秘めておける女、
a determined woman.	意思の強い女だった。
She had married her father's foreman and opened a butcher's shop near Spring Gardens.	彼女は父親の店の職人頭と結婚し、スプリング・ガーデンの近くに肉屋の店を開いた。
But as soon as his father-in-law was dead Mr. Mooney began to go to the devil.	しかししゅうとが死んでまもなくミスター・ムーニーは落ちぶれだした。
He drank, plundered the till, ran headlong into debt.	彼は酒を飲み、引き出しから盗み、無茶な借金をした。
It was no use making him take the pledge:	彼に誓いをたてさせてもむだだった。
he was sure to break out again a few days after.	数日後には必ずまた破ることになった。
By fighting his wife in the presence of customers and by buying bad meat he ruined his business.	お得意の前で妻とけんかをしたり、悪い肉を買ったりで彼は店をだめにした。
One night he went for his wife with the cleaver and she had to sleep a neighbour's house.	ある晩彼が妻に肉切り包丁で襲い掛かり、彼女は仕方なく近所の家で寝た。
After that they lived apart.	その後彼らは別々に暮らした。
She went to the priest and got a separation from him with care of the children.	彼女は司祭の所へ行き、子供たちの保護も含めて彼とは別居した。
She would give him neither money nor food nor house-room;	彼女は彼に金も食料も居場所も与えようとしなかった。
and so he was obliged to enlist himself as a sheriff's man.	それで彼は余儀なく執行官の手下になった。
He was a shabby stooped little drunkard with a white face and a white moustache white eyebrows, pencilled above his little eyes, which were veined and raw;	彼はむさくるしい、猫背で小柄の飲んだくれで、白い顔に白い口ひげ、そして白い眉毛が赤い筋の浮いた粗野で小さな目の上に引かれていた。
and all day long he sat in the bailiff's room, waiting to be put on a job.	そして一日中彼は執行吏の部屋に座って、仕事をやらされるのを待っていた。
Mrs. Mooney, who had taken what remained of her money out of the butcher business and set up a boarding house in Hardwicke Street, was a big imposing woman.	ミセス・ムーニーは堂々たる大きな女で、彼女の金のうち残ったものを肉屋の店から引き上げ、ハードウィック・ストリートで下宿屋を始めた。
Her house had a floating population made up of tourists from Liverpool and the Isle of Man and, occasionally, artistes from the music halls.	彼女の下宿にはリバプールやマン島からの旅行客や、時にはミュージックホールの芸人たちからなる流動人口があった。
Its resident population was made up of clerks from the city.	居住人口は市内の事務員たちで構成されていた。
She governed the house cunningly and firmly, knew when to give credit, when to be stern and when to let things pass.	彼女は下宿を抜け目なく、手堅く運営し、信用するべき時、厳しくするべき時、物事を大目に見るべき時を心得ていた。
All the resident young men spoke of her as The Madam.	住んでいる若い男たちは皆、彼女のことをマダムと言っていた。
Mrs. Mooney's young men paid fifteen shillings a week for board and lodgings	ミセス・ムーニーのところの若い男たちはまかない付きの下宿に対して週十五シリング支払った
(beer or stout at dinner excluded).	（夕食時のビールまたはスタウトは別だ）。
They shared in common tastes and occupations and for this reason they were very chummy with one another.	彼らは共通の趣味と職業を分かち合い、そのため彼らは互いにとても仲がよかった。
They discussed with one another the chances of favourites and outsiders.	彼らは本命や無印が来るか来ないかを論じ合った。
Jack Mooney, the Madam's son, who was clerk to a commission agent in Fleet Street, had the reputation of being a hard case.	ジャック・ムーニー、フリート・ストリートのノミ屋の事務をしているマダムの息子には札つきであるとの評判があった。
He was fond of using soldiers' obscenities:	彼は軍人の卑猥な言葉を好んで使った。
usually he came home in the small hours.	いつも家には夜更けに帰ってきた。
When he met his friends he had always a good one to tell them and he was always sure to be on to a good thing	友人に会うといつも彼はうまい話があると云い、彼はいつも必ずうまい話にありつけそうなのだった
-that is to say, a likely horse or a likely artiste.	−すなわち有望な馬とか有望な芸人とか。
He was also handy with the mits and sang comic songs.	彼は巧みなボクサーでもあり、こっけいな歌を歌った。
On Sunday nights there would often be a reunion in Mrs. Mooney's front drawing-room.	日曜の夜にはミセス・ムーニーの客間でよく懇親会が行われた。
The music-hall artistes would oblige;	ミュージックホールの芸人がいつも好意を示した。
and Sheridan played waltzes and polkas and vamped accompaniments.	シェリダンはワルツやポルカを演奏したり即興で伴奏したりした。
Polly Mooney, the Madam's daughter, would also sing.	マダムの娘のポリー・ムーニーもよく歌った。
She sang:	彼女は歌った、
I'm a ... naughty girl.	あたしは・・・いやらしい娘
You needn't sham:	ごまかすことないわ
You know I am.	わかっているでしょう。
Polly was a slim girl of nineteen;	ポリーは十九のほっそりした娘だった。
she had light soft hair and a small full mouth.	彼女は明るい柔らかな髪、ふっくらした小さな口をしていた。
Her eyes, which were grey with a shade of green through them, had a habit of glancing upwards when she spoke with anyone, which made her look like a little perverse madonna.	全体に緑がかった灰色の彼女の目は誰と話すときも上目遣いをする癖があり、それが彼女をちょっとあまのじゃくなマドンナのように見せていた。
Mrs. Mooney had first sent her daughter to be a typist in a corn-factor's office but, as a disreputable sheriff's man used to come every other day to the office, asking to be allowed to say a word to his daughter, she had taken her daughter home again and set her to do housework.	ミセス・ムーニーは娘をタイピストにと穀物問屋のオフィスにやったが、外聞の悪い執行官の手下が一日おきに来ては娘に一言言わせてほしいと頼むので、彼女は娘を家へ戻し、家事をやらせた。
As Polly was very lively the intention was to give her the run of the young men.	非常に活発なポリーをいつも若い男たちのいるところにおいてみようと目論んだのだ。
Besides young men like to feel that there is a young woman not very far away.	若い男たちにとってもあまり遠からぬところに若い女がいるというのは悪くないものだ。
Polly, of course, flirted with the young men but Mrs. Mooney, who was a shrewd judge, knew that the young men were only passing the time away:	ポリーは、もちろん、若い男たちといちゃいちゃしたが、鋭い目を持つミセス・ムーニーは若い男たちがただ時間つぶしをしているだけであることを知っていた。
none of them meant business.	誰も本気ではなかった。
Things went on so for a long time and Mrs. Mooney began to think of sending Polly back to typewriting when she noticed that something was going on between Polly and one of the young men.	そんな状況が長く続き、ポリーをタイプの仕事に送り返そうかと考え始めた時、ミセス・ムーニーはポリーと若い男たちのうちの一人の間に何かが起きていることに気づいた。
She watched the pair and kept her own counsel.	彼女は二人を注意して見守り、人には考えを明かさなかった。
Polly knew that she was being watched, but still her mother's persistent silence could not be misunderstood.	ポリーは見張られていることを知っていたが、それでも母親の頑固な沈黙は誤解のしようがなかった。
There had been no open complicity between mother and daughter, no open understanding but, though people in the house began to talk of the affair, still Mrs. Mooney did not intervene.	母親と娘の間に表立った共謀、表立った合意はなかったが、家で二人のことが噂になり始めたにもかかわらず、それでもミセス・ムーニーは介入しなかった。
Polly began to grow a little strange in her manner and the young man was evidently perturbed.	ポリーの様子はちょっと変になり始めたし、若い男は明らかに狼狽していた。
At last, when she judged it to be the right moment, Mrs. Mooney intervened.	ついに、適切な時が来たと判断したミセス・ムーニーが介入した。
She dealt with moral problems as a cleaver deals with meat:	彼女は道徳上の諸問題を肉切り職人が肉を扱うように扱った。
and in this case she had made up her mind.	この問題において彼女は心を決めていたのだ。
It was a bright Sunday morning of early summer, promising heat, but with a fresh breeze blowing.	夏の初めの晴れやかな、暑くなりそうだがすがすがしいそよ風の吹く日曜の朝だった。
All the windows of the boarding house were open and the lace curtains ballooned gently towards the street beneath the raised sashes.	下宿の窓はすべて開け放たれ、レースのカーテンは、サッシを上げたその下を通りの方へ、優しく風をはらんでいた。
The belfry of George's Church sent out constant peals and worshippers, singly or in groups, traversed the little circus before the church, revealing their purpose by their self-contained demeanour no less than by the little volumes in their gloved hands.	ジョージ教会の鐘楼が絶え間ない響きを送り出し、礼拝者たちが単独で、あるいはグループで、手袋をはめた手に持つ小さな書物のみならず自制的な物腰によってもその目的を明らかにしながら、教会の前の小さな円形広場を横切っていた。
Breakfast was over in the boarding house and the table of the breakfast-room was covered with plates on which lay yellow streaks of eggs with morsels of bacon-fat and bacon-rind.	下宿では朝食が済み、朝食の部屋のテーブルは、ベーコンの皮やベーコンの脂身の切れ端とともに卵の黄色い筋のついた皿で覆われていた。
