BOTCHAN (MASTER DARLING)	坊っちゃん
by Mr. Kin-nosuke Natsume, trans. by Yasotaro Morri	夏目漱石
Because of an hereditary recklessness, I have been playing always a losing game since my childhood.	親譲（おやゆず）りの無鉄砲（むてっぽう）で小供の時から損ばかりしている。
During my grammar school days, I was once laid up for about a week by jumping from the second story of the school building.	小学校に居る時分学校の二階から飛び降りて一週間ほど腰（こし）を抜（ぬ）かした事がある。
Some may ask why I committed such a rash act.	なぜそんな無闇（むやみ）をしたと聞く人があるかも知れぬ。
There was no particular reason for doing such a thing	別段深い理由でもない。
except I happened to be looking out into the yard from the second floor of the newly-built school house, when one of my classmates, joking, shouted at me;	新築の二階から首を出していたら、同級生の一人が冗談（じょうだん）に、いくら威張（いば）っても、そこから飛び降りる事は出来まい。
"Say, you big bluff, I'll bet you can't jump down from there!	弱虫やーい。
O, you chicken-heart, ha, ha!"	と囃（はや）したからである。
So I jumped down. The janitor of the school had to carry me home on his back, and when my father saw me, he yelled derisively, "What a fellow you are to go and get your bones dislocated by jumping only from a second story!"	小使（こづかい）に負ぶさって帰って来た時、おやじが大きな眼（め）をして二階ぐらいから飛び降りて腰を抜かす奴（やつ）があるかと云（い）ったから、
"I'll see I don't get dislocated next time,"	この次は抜かさずに飛んで見せます
I answered.	と答えた。
One of my relatives once presented me with a pen-knife.	親類のものから西洋製のナイフを貰（もら）って
I was showing it to my friends, reflecting its pretty blades against the rays of the sun, when one of them chimed in that the blades gleamed all right, but seemed rather dull for cutting with.	奇麗（きれい）な刃（は）を日に翳（かざ）して、友達（ともだち）に見せていたら、一人が光る事は光るが切れそうもないと云った。
"Rather dull? See if they don't cut!" I retorted.	切れぬ事があるか、何でも切ってみせると受け合った。
"Cut your finger, then," he challenged.	そんなら君の指を切ってみろと注文したから、
And with "Finger nothing! Here goes!" I cut my thumb slant-wise.	何だ指ぐらいこの通りだと右の手の親指の甲（こう）をはすに切り込（こ）んだ。
Fortunately the knife was small and the bone of the thumb hard enough, so the thumb is still there,	幸（さいわい）ナイフが小さいのと、親指の骨が堅（かた）かったので、今だに親指は手に付いている。
but the scar will be there until my death.	しかし創痕（きずあと）は死ぬまで消えぬ。
About twenty steps to the east edge of our garden, there was a moderate-sized vegetable yard, rising toward the south, and in the centre of which stood a chestnut tree	庭を東へ二十歩に行き尽（つく）すと、南上がりにいささかばかりの菜園があって、真中（まんなか）に栗（くり）の木が一本立っている。
which was dearer to me than life.	これは命より大事な栗だ。
In the season when the chestnuts were ripe, I used to slip out of the house from the back door early in the morning to pick up the chestnuts which had fallen during the night, and eat them at the school.	実の熟する時分は起き抜けに背戸（せど）を出て落ちた奴を拾ってきて、学校で食う。
On the west side of the vegetable yard was the adjoining garden of a pawn shop called Yamashiro-ya.	菜園の西側が山城屋（やましろや）という質屋の庭続きで、
This shopkeeper's son was a boy about 13 or 14 years old named Kantaro.	この質屋に勘太郎（かんたろう）という十三四の倅（せがれ）が居た。
Kantaro was, it happens, a mollycoddle.	勘太郎は無論弱虫である。
