The Man Who Knew Too Much	知りすぎた男
Gilbert K. Chesterton	ギルバート・キース・チェスタトン
III. THE SOUL OF THE SCHOOLBOY	第三話
A large map of London would be needed to display the wild and zigzag course of one day's journey undertaken by an uncle and his nephew; or, to speak more truly, of a nephew and his uncle.	お見せするには大きなロンドンの地図が必要なほどデタラメでジグザグの道のりを、一日で旅しようという計画が、とある叔父とその甥――いや、正確には甥とその叔父により開始された。
For the nephew, a schoolboy on a holiday, was in theory the god in the car, or in the cab, tram, tube, and so on, while his uncle was at most a priest dancing before him and offering sacrifices.	なにしろ、車、タクシー、電車、地下鉄のどこであれ、理屈の上では休み中の甥が神であり、叔父はせいぜいのところ神の前で踊り供物を捧げる聖職者にすぎない。
To put it more soberly, the schoolboy had something of the stolid air of a young duke doing the grand tour, while his elderly relative was reduced to the position of a courier, who nevertheless had to pay for everything like a patron.	少し冷静に見てみれば、少年は巡遊中の若い大公みたいにのほほんとしており、パトロンみたいにお金を出すのはガイドの地位に甘んじている叔父の方だった。
The schoolboy was officially known as Summers Minor,	少年の本名はサマーズ・マイナー。
and in a more social manner as Stinks, the only public tribute to his career as an amateur photographer and electrician.	通称スティンクス、唯一の著名なる特技というのが写真と電気の愛好である。
The uncle was the Rev. Thomas Twyford,	叔父はトーマス・トワイフォード牧師。
a lean and lively old gentleman with a red, eager face and white hair.	赤ら顔で白髪の、細身の元気な老人だ。
He was in the ordinary way a country clergyman, but he was one of those who achieve the paradox of being famous in an obscure way,	普段は田舎の牧師だが、無名のままに有名になるという逆説を成し遂げた。
because they are famous in an obscure world.	なにしろ無名の世界で有名になったのだから。
In a small circle of ecclesiastical archaeologists, who were the only people who could even understand one another's discoveries, he occupied a recognized and respectable place.	互いの発見を理解し合える愛好家だけの、ごく小さな聖遺物考古学団体の中で、彼はひとかどの地位を得ていた。
And a critic might have found even in that day's journey at least as much of the uncle's hobby as of the nephew's holiday.	ものを見る目のある人ならば少なくともその日の旅行に、甥の行楽と同様に叔父の道楽をも見いだしたであろう。
His original purpose had been wholly paternal and festive.	叔父の本来の目的は、いかにも男性的で浮かれたものだ。
But, like many other intelligent people, he was not above the weakness of playing with a toy to amuse himself, on the theory that it would amuse a child.	だがたいていの識者のように、おもちゃは子供が楽しむものだ、という理屈で、大好きなおもちゃで楽しむのをやめたりはしなかった。
His toys were crowns and miters and croziers and swords of state;	〈おもちゃ〉とは王冠、司教冠、司教杖、御劔。
and he had lingered over them, telling himself that the boy ought to see all the sights of London.	男の子はロンドン中を見るべきだとひとりごちながら、〈おもちゃ〉の前で長々と時間をつぶしていた。
And at the end of the day, after a tremendous tea, he rather gave the game away by winding up with a visit in which hardly any human boy could be conceived as taking an interest	そしてすばらしいお茶を済ますと、どんな男の子だって興味を持つとは思われない訪問先でその日を締めくくろうと提案した
