Boycott Amazon!	Amazonをボイコットしよう!
If you support the boycott,	もしボイコットを支持するなら、
Please make links to this page	このページへのリンクを作ってください!
Why we boycott Amazon	なぜAmazonをボイコットするのか
Amazon has obtained a US patent (5,960,411) on an important and obvious idea for E-commerce:	AmazonはE-commerceの誰にも明らかで重要なアイデアについて 米国特許(US pat.5,960,411) を取得しました。
an idea sometimes known as one-click purchasing.	このアイデアは一般に1-クリック購入と言われるもので、
The idea is that your command in a web browser to buy a certain item can carry along information about your identity.	ある商品を購入するという指示とともに、ユーザを特定する情報を一緒にウェブブラウザが渡せるようにしたものです。
(It works by sending the server a "cookie", a kind of ID code that your browser received previously from the same server.)	(これはサーバに"cookie" --同じサーバから以前に受信した一種のID番号-- を送信する方法を利用します。)
Amazon has sued to block the use of this simple idea, showing that they truly intend to monopolize it.	Amazonは、アイデアを本気で独占しようとして、この単純なアイデアの使用を差し止める訴訟を起こしました。
This is an attack against the World Wide Web and against E-commerce in general.	これはWorld Wide WebやE-commerce全体への攻撃です。
The idea patented here is just that a company can give you something which you can subsequently show them to identify yourself for credit.	特許の取られたアイデアは、ただ企業がユーザに後で自分を特定し、証明できるものを与えるというだけです。
This is nothing new:	これは少しも新しいものではありません、
a physical credit card does the same job, after all.	結局、クレジットカードは同じ働きをします。
But the US Patent Office issues patents on obvious and well-known ideas every day.	しかし米国特許庁は 毎日、誰にでも明らかで良く知られたアイデアに特許を与えています。
Sometimes the result is a disaster.	その結果、まれに大惨事が起こります。
Today Amazon is suing one large company.	現在、Amazonは一社の大企業を訴えています。
If this were just a dispute between two companies, it would not be an important public issue.	もしこれが二企業間の争いにすぎなければ、公的に重要な問題とは 言えないでしょう。
But the patent gives Amazon the power over anyone who runs a web site in the US (and any other countries that give them similar patents)--power to control all use of this technique.	しかし特許はAmazonに米国(や同じような特許を許可する全ての国)で、ウェブサイトを 運用する誰もを支配する力 --この手法のいかなる使用をもコントロールする力-- を与えました。
Although only one company is being sued today, the issue affects the whole Internet.	今日は一つの企業が訴えられただけですが、この問題はインターネット全体に影響を及ぼすでしょう。
Amazon is not alone at fault in what is happening.	責任を負うのはAmazonだけではありません。
The US Patent Office is to blame for having very low standards, and US courts are to blame for endorsing them.	米国特許庁は非常に低い基準をもうけたことに 責任があり、米国の法廷はそれを是認したことに責任があります。
And US patent law is to blame for authorizing patents on information-manipulating techniques and patterns of communication--a policy that is harmful in general.	そして米国特許法は情報操作の 技術や通信の方法についての特許を承認している --これは一般的に有害な方針です-- ことに責任があります。
