The Adventure of the Norwood Builder	ノーウッドの建築家ノーウッドの建築家
Arthur Conan Doyle	アーサー・コナン・ドイル
``From the point of view of the criminal expert,''	「犯罪の専門家として言わせてもらえば」
said Mr. Sherlock Holmes,	と、ミスター・シャーロック・ホームズは言った。
``London has become a singularly uninteresting city since the death of the late lamented Professor Moriarty.''	「ロンドンは、モリアーティ教授の逝去以来、じつにつまらない街になったものだ」
``I can hardly think that you would find many decent citizens to agree with you,''	「数多いまともな市民が君に賛成するとは、とうてい思えないね」
I answered.	と、私は答えた。
``Well, well, I must not be selfish,''	「まあよし、勝手を言ってはならないか」
said he, with a smile, as he pushed back his chair from the breakfast-table.	と微笑みながら、ホームズは朝食のテーブルから椅子を引いた。
``The community is certainly the gainer, and no one the loser,	「社会は得をし、損をしたものは誰もいない。
save the poor out-of-work specialist, whose occupation has gone.	ひとり、失業した専門家を除けばね。
With that man in the field, one's morning paper presented infinite possibilities.	あの男が活動していれば、朝刊は無限の可能性を与えてくれるものだった。
Often it was only the smallest trace, Watson, the faintest indication, and yet it was enough to tell me that the great malignant brain was there,	ときに、それはごくごく小さな痕跡や、ごくごくかすかな兆候でしかなかったけれど、それでも十分、卓越した悪辣な頭脳の存在を僕に知らせてくれた。
as the gentlest tremors of the edges of the web remind one of the foul spider which lurks in the centre.	巣の縁でのかすかな振動が、巣の中央に潜む汚らわしい蜘蛛の1匹を暴きだすように。
Petty thefts, wanton assaults, purposeless outrage	けちな窃盗事件、理不尽な強盗事件、無益な傷害事件
-- to the man who held the clue all could be worked into one connected whole.	――手がかりを握るその男にとって、すべてをひとつの穴に結びつけることができた。
To the scientific student of the higher criminal world, no capital in Europe offered the advantages which London then possessed.	高等犯罪界の科学的学徒にとって、ロンドンは、ヨーロッパのどの首都よりも先進性を持つ街だった。
But now -- ''	だが今や――」
He shrugged his shoulders in humorous deprecation of the state of things which he had himself done so much to produce.	ホームズは肩をすくめ、自身が尽力して生みだしたこの現状を、滑稽に非難してみせた。
At the time of which I speak, Holmes had been back for some months, and I at his request had sold my practice and returned to share the old quarters in Baker Street.	この話は、ホームズが戻って数ヶ月経ったころのことで、私もまた、ホームズの要求に応じて診療所を売り払い、ベイカー街にある昔馴染みのあの部屋に戻っていた。
A young doctor, named Vemer, had purchased my small Kensington practice,	診療所を買い取ったのはヴァーナーという名前の若い医者だった。
and given with astonishingly little demur the highest price that I ventured to ask	私があえて提示したきわめて高い価格を、こっちが驚いてしまうほど文句をつけずに支払った
-- an incident which only explained itself some years later, when I found that Vemer was a distant relation of Holmes,	――数年後、ヴァーナーがホームズの遠縁にあたることを知り、事情が飲み込めた。
and that it was my friend who had really found the money.	実際に金を積んだのは、我が友だったのだ。
Our months of partnership had not been so uneventful as he had stated,	ここ数ヶ月の共同生活はホームズが言うほどに暇だったわけではない。
