The Cask of Amontillado	アモンティリャードの酒樽
The thousand injuries of Fortunato I had borne as I best could,	数え上げたらきりがないほどフォーチュネートから侮辱され、それでも私はじっとこらえて耐えてきた。
but when he ventured upon insult, I vowed revenge.	だが、そこまでして私を傷つけるのかいう言動に出たとき、復讐を誓ったのだ。
You, who so well know the nature of my soul, will not suppose, however, that I gave utterance to a threat.	私が言葉で人を脅すような性分でないことを君はよく知っているはずだ。
At length I would be avenged;	いずれ必ずこの恨みは晴らしてやる。
this was a point definitely settled--	この決心だけは揺らぐことはない。
but the very definitiveness with which it was resolved, precluded the idea of risk.	だが、私の心は決まったとはいえ、フォーチュネートに感づかれるような馬鹿な真似はしなかった。
I must not only punish, but punish with impunity.	この男に制裁を加えるだけではなくこちらが罰を受けないように事を運ばなければならない。
A wrong is unredressed when retribution overtakes its redresser.	復讐者がその報いをうけるようでは復讐したことにはならない。
It is equally unredressed when the avenger fails to make himself felt as such to him who has done the wrong.	また復讐を果たしても相手がその事に全く気づいていないときも復讐をなし遂げたとは言えないのだ。
It must be understood that neither by word nor deed had I given Fortunato cause to doubt my good will.	そこでまず承知しておいてもらいたいのはフォーチュネートに警戒心を抱かせるようなことは言いもしなければやりもしなかった。
I continued, as was my wont, to smile in his face, and he did not perceive that my smile  now was at the thought of his immolation.	私はいつものように笑顔で接したが、この男を生け贄にあげるのだと想えばこそこぼれてくる笑みだということにフォーチュネートは気づいていなかった。
He had a weak point--this Fortunato--	このフォーチュネートという男には一つだけ弱みがあった。
although in other regards he was a man to be respected and even feared.	だが、それを別にすれば、周りの者から一目おかれ、恐れられていた。
He prided himself on his connoisseurship in wine.	この男は自分がワイン通だといってうぬぼれていたのだ。
Few Italians have the true virtuoso spirit.	しかし本物の名人と呼べる者はイタリア人の中にはまずいない。
For the most part their enthusiasm is adopted to suit the time and opportunity-- to practise imposture upon the British and Austrian  millionaires.	彼らが何かに熱心に打ち込んでいるときはたいていイギリス人やアメリカ人の金持ちをペテンにかけようとよからぬ事を考えているときで、その時と場合にあわせて名人の振りをしているだけなのだ。
In painting and gemmary, Fortunato, like his countrymen, was a quack--	フォーチュネートも絵画や宝石の類では同国人の例にもれずはったり屋であった。
