A CHRISTMAS CAROL	クリスマス・カロル
Dickens	ディッケンス
Stave 1:  Marley's Ghost	第一章　マアレイの亡霊
Marley was dead:	先ず第一に、
to begin with.	マアレイは死んだ。
There is no doubt whatever about that.	それについては少しも疑いがない。
The register of his burial was signed by the clergyman, the clerk, the undertaker, and the chief mourner.	彼の埋葬の登録簿には、僧侶も、書記も、葬儀屋も、また喪主も署名した。
Scrooge signed it.	スクルージがそれに署名した。
And Scrooge's name was good upon 'Change, for anything he chose to put his hand to.	そして、スクルージの名は、取引所においては、彼の署名しようとするいかなる物に対しても十分有効であった。
Old Marley was as dead as a door-nail.	老マアレイは戸の鋲のように死に果てていた。
Mind!	注意せよ。
I don't mean to say that I know, of my own knowledge, what there is particularly dead about a door-nail.	私は、私自身の知識からして、戸の鋲に関して特に死に果てたような要素を知っていると云うつもりではない。
I might have been inclined, myself, to regard a coffin-nail as the deadest piece of ironmongery in the trade.	私一個としては、むしろ柩の鋲を取引における最も死に果てた鉄物（かなもの）と見做したいのであった。
But the wisdom of our ancestors is in the simile;	けれども、我々の祖先の智慧は直喩にある。
and my unhallowed hands shall not disturb it,	そして、私のような汚れた手でそれを掻き紊すべきではない。
or the Country's done for.	そんなことをしたら、この国は滅びて仕舞う。
You will therefore permit me to repeat, emphatically, that Marley was as dead as a door-nail.	だから諸君も、私が語気を強めて、マアレイは戸の鋲の様に死に果てていたと繰り返すのを許して下さいましょう。
Scrooge knew he was dead?	スクルージは彼が死んだことを知っていたか。
Of course he did.	もちろん知っていた。
How could it be otherwise?	どうしてそれを知らずにいることが出来よう。
Scrooge and he were partners for I don't know how many years.	スクルージと彼とは何年とも分らない長い歳月の間組合人であった。
Scrooge was his sole executor, his sole administrator, his sole assign, his sole residuary legatee, his sole friend, and sole mourner.	スクルージは彼が唯一の遺言執行人で、唯一の財産管理人で、唯一の財産譲受人で、唯一の残余受遺者で、唯一の友達で、また唯一の会葬者であった。
And even Scrooge was not so dreadfully cut up by the sad event, but that he was an excellent man of business on the very day of the funeral,	そして、そのスクルージですら、葬儀の当日卓越した商売人であることを失うほど、それほどこの悲しい事件に際して気落ちしてはいなかった。
and solemnised it with an undoubted bargain.	そして、万に一つの間違いもない取引でその日を荘厳にした。
The mention of Marley's funeral brings me back to the point I started from.	マアレイの葬儀のことを云ったので、私は出発点に立ち戻る気になった。
There is no doubt that Marley was dead.	マアレイが死んでいたことには、毛頭疑いがない。
This must be distinctly understood,	この事は明瞭に了解して置いて貰わなければならない。
or nothing wonderful can come of the story I am going to relate.	そうでないと、これから述べようとしている物語から何の不思議なことも出て来る訳に行かない。
If we were not perfectly convinced that Hamlet's Father died before the play began, there would be nothing more remarkable in his taking a stroll at night, in an easterly wind, upon his own ramparts, than there would be in any other middle-aged gentleman rashly turning out after dark in a breezy spot	あの芝居の始まる前に、ハムレットの阿父さんは死んだのだということを充分に呑み込んでいなければ、阿父さんが夜毎に、東風に乗じて、自分の城壁の上をふらふらさまよい歩いたのは、誰か他の中年の紳士が文字通りにその弱い子息の心を脅かしてやるために、日が暮れてから微風の吹く所へ
--say Saint Paul's Churchyard for instance	――まあ例えばセント・パウル寺院の墓場へでも
--literally to astonish his son's weak mind.	――やみくもに出掛けるよりも、別段変ったことは一つもない。
Scrooge never painted out Old Marley's name.	スクルージは老マアレイの名前を決して塗り消さなかった。
There it stood, years afterwards, above the warehouse door:	その後幾年もその名は倉庫の戸の上にそのままになっていた。
Scrooge and Marley.	すなわちスクルージ・エンド・マアレイと云うように。
The firm was known as Scrooge and Marley.	この商会はスクルージ・エンド・マアレイで知られて居た。
Sometimes people new to the business called Scrooge Scrooge, and sometimes Marley,	新たにこの商会へ這入って来た人はスクルージのことをスクルージと呼んだり、時にはマアレイと呼んだりした。
but he answered to both names.	が、彼は両方の名に返事をした。
It was all the same to him.	彼にはどちらでも同じ事であったのだ。
Oh!	ああ、
But he was a tight-fisted hand at the grind-stone,	しかし彼は強欲非道の男であった。
Scrooge!	このスクルージは！
a squeezing, wrenching, grasping, scraping, clutching, covetous, old sinner!	絞り取る、捩じ取る、掴む、引っ掻く、かじりつく、貪欲な我利々々爺であった！
Hard and sharp as flint, from which no steel had ever struck out generous fire;	どんな鋼でもそれからしてとんと豊富な火を打ち出したことのない火燧石のように硬く、鋭くて、
secret, and self-contained, and solitary as an oyster.	秘密を好む、人づき合いの嫌いな、牡蠣のように孤独な男であった。
The cold within him froze his old features, nipped his pointed nose, shrivelled his cheek, stiffened his gait;	彼の心の中の冷気は彼の老いたる顔つきを凍らせ、その尖った鼻を痺れさせ、その頬を皺くちゃにして、歩きつきをぎごちなくした。
made his eyes red, his thin lips blue;	また目を血走らせ、薄い唇をどす蒼くした。
and spoke out shrewdly in his grating voice.	その上彼の耳触りの悪い嗄（しわが）れ声にも冷酷にあらわれていた。
A frosty rime was on his head, and on his eyebrows, and his wiry chin.	凍った白霜は頭の上にも、眉毛にも、また針金のような顎にも降りつもっていた。
He carried his own low temperature always about with him;	彼は始終自分の低い温度を身に附けて持ち廻っていた。
he iced his office in the dogdays;	土用中にも彼の事務所を冷くした、
and didn't thaw it one degree at Christmas.	聖降誕祭にも一度といえどもそれを打ち解けさせなかった。
External heat and cold had little influence on Scrooge.	外部の暑さも寒さもスクルージにはほとんど何の影響も与えなかった。
No warmth could warm, no wintry weather chill him.	いかな暖気も彼をあたためることは出来ず、いかな寒空も彼を冷えさせることは出来なかった。
No wind that blew was bitterer than he, no falling snow was more intent upon its purpose, no pelting rain less open to entreaty.	どんなに吹く風も彼よりは厳しいものはなく、降る雪も彼ほどその目的に対して一心不乱なものはなく、どんなに土砂降りの雨も彼ほど懇願を受け容れないものはなかった。
Foul weather didn't know where to have him.	険悪な天候もどの点で彼を凌駕すべきかを知らなかった。
The heaviest rain, and snow, and hail, and sleet, could boast of the advantage over him in only one respect.	最も強い雨や、雪や、霰や、霙でも、ただ一つの点で彼に立ち優っていることを誇ることが出来るばかりであった。
They often `came down' handsomely, and Scrooge never did.	それはこれ等のものは時々どんどんと降って来た、然るにスクルージには綺麗に金子を払うと云うことは金輪際なかった。
Nobody ever stopped him in the street to say, with gladsome looks,	何人もかつて往来で彼を呼び留めて、嬉しそうな顔つきをして、
`My dear Scrooge, how are you?	「スクルージさん、御機嫌はいかがですか。
When will you come to see me?'	何日私の許へ会いに来て下さいます？」
No beggars implored him to bestow a trifle, no children asked him what it was o'clock,	乞食も彼に一文遣って下さいと縋ったことがなく、子供達も今いつです？　と彼に訊いたことがなかった。
