CLAY	土くれ
THE matron had given her leave to go out as soon as the women's tea was over and Maria looked forward to her evening out.	寮母に女たちのお茶が終わり次第外出する許可をもらっていたので、マリアは夕方出るのを楽しみにしていた。
The kitchen was spick and span:	キッチンは真新しく、
the cook said you could see yourself in the big copper boilers.	大きな炊事用ボイラーには入ることもできるよとコックが言った。
The fire was nice and bright and on one of the side-tables were four very big barmbracks.	火はすてきに輝き、サイドテーブルの一つにはとても大きなバームブラクが四つのっていた。
These barmbracks seemed uncut;	これらのバームブラクはまだ切ってないように見えたが、
but if you went closer you would see that they had been cut into long thick even slices and were ready to be handed round at tea.	近寄って見ればそれは長く厚く均一に切り分けられていてお茶の時に配る用意はできていた。
Maria had cut them herself.	マリアが自分で切ったのだ。
Maria was a very, very small person indeed but she had a very long nose and a very long chin.	マリアは本当にとても、とても小さな人だったがとても長い鼻、とても長いあごをしていた。
She talked a little through her nose, always soothingly:	彼女は少し鼻にかかった声で、いつでもなだめるように
"Yes, my dear,"	「はい、あなた」
and	「いいえ、あなた」
"No, my dear."	とか話した。
She was always sent for when the women quarrelled Over their tubs and always succeeded in making peace.	女たちがたらいのことで口論するといつも彼女が呼ばれ、いつもうまく仲直りさせた。
One day the matron had said to her:	いつだか寮母が彼女に言ったことがあった。
"Maria, you are a veritable peace-maker!"	「マリア、あなた本当に仲裁の名人ね！」
And the sub-matron and two of the Board ladies had heard the compliment.	そして副寮母と二人の寄宿している婦人もその賛辞を聞いていた。
And Ginger Mooney was always saying what she wouldn't do to the dummy who had charge of the irons if it wasn't for Maria.	そしてジンジャー・ムーニーはマリアのためじゃなかったらアイロン係のだんまり屋になんかしてやることじゃないんだけど、といつも言っていた。
Everyone was so fond of Maria.	誰もがそうしてマリアを好いていた。
The women would have their tea at six o'clock and she would be able to get away before seven.	女たちは六時にお茶にするので彼女は七時前に出られるだろう。
From Ballsbridge to the Pillar, twenty minutes;	ボールスブリッジからピラーまで二十分、
from the Pillar to Drumcondra, twenty minutes;	ピラーからドラムコンドラまで二十分、
and twenty minutes to buy the things.	そして何か買うのに二十分。
She would be there before eight.	八時前にはあそこに着ける。
She took out her purse with the silver clasps and read again the words A Present from Belfast.	彼女は銀の留め金の財布を取り出し『ベルファストからのプレゼント』という言葉を読み返した。
She was very fond of that purse because Joe had brought it to her	その財布はジョーが持ってきてくれたものなので彼女はとても気に入っていた。
five years before when he and Alphy had gone to Belfast on a Whit-Monday trip.	五年前、彼とアルフィがウィットマンデーの旅行でベルファストに行った時のものだ。
In the purse were two half-crowns and some coppers.	財布の中には半クラウンが二つと銅貨がいくつかあった。
She would have five shillings clear after paying tram fare.	電車賃を払った後彼女にはまるまる五シリング残ることになる。
What a nice evening they would have, all the children singing!	どんなにすてきな宵になるだろう、子供たちは皆歌って！
Only she hoped that Joe wouldn't come in drunk.	ただ彼女はジョーが酔って帰らなければよいがと思った。
He was so different when he took any drink.	飲んだ時の彼はそれはもう別人だった。
Often he had wanted her to go and live with them;	たびたび彼は、来て彼らと一緒に暮らすようにと彼女に望んだ。
-but she would have felt herself in the way (though Joe's wife was ever so nice with her) and she had become accustomed to the life of the laundry.	しかし彼女は（ジョーの妻はいつも彼女にそれは優しかったけれども）自分が邪魔になると思ったし、洗濯屋の暮らしに慣れていた。
Joe was a good fellow.	ジョーはいい男だ。
She had nursed him and Alphy too;	彼女が彼を育てたしアルフィもだ。
and Joe used often say:	で、ジョーはよく言っていた。
"Mamma is mamma but Maria is my proper mother."	「ママはママだけどマリアが本物のお母さんだ。」
After the break-up at home the boys had got her that position in the Dublin by Lamplight laundry, and she liked it.	故郷でばらばらになった後、息子たちはダブリンのランプライト・ランドリーに彼女の勤め口を見つけ、彼女はそれが気に入った。
She used to have such a bad opinion of Protestants but now she thought they were very nice people, a little quiet and serious, but still very nice people to live with.	以前はプロテスタントを大変悪く思っていた彼女だが、今では彼らがとても優しい人たち、ちょっと無口でまじめだが、それでも共に暮らしてとても優しい人たちだと思っていた。
Then she had her plants in the conservatory and she liked looking after them.	それに温室には彼女の草花があり、彼女はその世話をするのが好きだった。
She had lovely ferns and wax-plants and, whenever anyone came to visit her, she always gave the visitor one or two slips from her conservatory.	彼女には美しいシダやサクラランがあり、誰かが彼女を訪ねてきた時はいつも彼女の温室から一、二本の接ぎ穂を客にあげた。
There was one thing she didn't like and that was the tracts on the walks;	一つ彼女の気に入らないことがあり、それはあちこちの壁にあるパンフレットだった。
but the matron was such a nice person to deal with, so genteel.	しかし寮母は付き合っててすごく優しい人だし、それは上品だった。
When the cook told her everything was ready she went into the women's room and began to pull the big bell.	コックがすっかり準備できたと言ったので彼女は女たちの部屋に行き、大きなベルを引き、鳴らし始めた。
In a few minutes the women began to come in by twos and threes, wiping their steaming hands in their petticoats and pulling down the sleeves of their blouses over their red steaming arms.	数分のうちに女たちは三々五々、湯気の立つ手をペチコートでふいたり、湯気の立つ真っ赤な腕のブラウスの袖を引き下ろしたりしながらやってきだした。
They settled down before their huge mugs which the cook and the dummy filled up with hot tea, already mixed with milk and sugar in huge tin cans.	彼女たちが腰を落ち着けたその前にはそれぞれに巨大なマグカップがあり、それにはコックとだんまり屋が熱い茶をいっぱいに満たし、すでに巨大なブリキの缶から砂糖とミルクが混ぜられていた。
Maria superintended the distribution of the barmbrack and saw that every woman got her four slices.	マリアはバームブラクの分配を監督し、どの女も四切れ取るのを確かめた。
There was a great deal of laughing and joking during the meal.	食事の間は笑い声や冗談があふれていた。
