A Tale about a Queer Client	奇妙な依頼人
Charles Dickens	チャールズ・ディケンズ
THE PICKWICK PAPERS	「ピクウィックペーパーズ」
THE OLD MAN'S TALE ABOUT THE QUEER CLIENT	第21章「老人が語る奇妙な依頼人の話」より。
'It matters little,' said the old man, 'where, or how, I picked up this brief history.	どこで、どうやってこの短い物語を聞きこんできたのか、そんなことはたいした問題ではない（と、老人は言った）。
If I were to relate it in the order in which it reached me, I should commence in the middle, and when I had arrived at the conclusion, go back for a beginning.	それを私が聞いたその順番どおりに語るとなれば、真ん中のところからはじめて、終わりにきたところで頭にもどってこなきゃならんしな。
It is enough for me to say that some of its circumstances passed before my own eyes;	ただあらかじめ断っておくが、いまから話すことの一部はまさに私の目の前でおこったことでもある。
for the remainder I know them to have happened, and there are some persons yet living, who will remember them but too well.	そうでない部分にしても実際にあったことだというのは分かっているし、今なお生きていて、そのあたりを過剰なほどよく覚えていそうなものもいる。
'In the Borough High Street, near St.  George's Church, and on the same side of the way, stands, as most people know, the smallest of our debtors' prisons, the Marshalsea.	自治区大通りの聖ジョージ教会と同じ並びに、たいていの人が知っているとおり、いちばん小さな債務者監獄、マーシャルシー監獄がある。
Although in later times it has been a very different place from the sink of filth and dirt it once was, even its improved condition holds out but little temptation to the extravagant, or consolation to the improvident.	かつてのようなひどい場所ではなくなったけれども、改善されたからといって浪費を助長したり、先見性のなさを慰めたりできたものではない。
The condemned felon has as good a yard for air and exercise in Newgate, as the insolvent debtor in the Marshalsea Prison.	ニューゲイトの死刑囚にだって、マーシャルシーの破産した負債者と同じように、適度な運動と深呼吸のできる運動場が与えられているのだから。
[Better.	（前と比べればまだましだ。
But this is past, in a better age, and the prison exists no longer.]	もっともこれは昔のこと、まだまし程度だった時代のことで、問題の監獄はもう存在していない。）
'It may be my fancy, or it may be that I cannot separate the place from the old recollections associated with it, but this part of London I cannot bear.	単なる好みの問題かもしれないし、ただ単に私があの場所とそこにまつわる想い出とを切り離すことができずにいるだけのことかもしれないが、ロンドンのあの地域にはどうしても耐えられない。
The street is broad, the shops are spacious,	通りは広く、大きな店が並んでいる。
the noise of passing vehicles, the footsteps of a perpetual stream of people	馬車がたてる騒音、絶え間なく流れてゆく人々の足音
--all the busy sounds of traffic, resound in it from morn to midnight;	――あらゆる日常の雑音が朝から晩までせわしなく響いている。
but the streets around are mean and close;	だが、辺りの街路は狭くてみすぼらしくて、
poverty and debauchery lie festering in the crowded alleys;	貧困と堕落が雑然とした路地に渦巻き、
want and misfortune are pent up in the narrow prison;	困窮と不幸が狭苦しい監獄の中に押しこめられ、
an air of gloom and dreariness seems, in my eyes at least, to hang about the scene, and to impart to it a squalid and sickly hue.	陰気で荒涼とした雰囲気がその一帯にたちこめ、病的で劣悪な色彩で塗りたてられているように思える。
'Many eyes, that have long since been closed in the grave, have looked round upon that scene lightly enough, when entering the gate of the old Marshalsea Prison for the first time;	多くのものが、旧マーシャルシー監獄の門をくぐりながら、たいして気にとめるでもなくその風景を眺めたものだ。
for despair seldom comes with the first severe shock of misfortune.	気にとめるはずもないさ、手厳しい挫折を味わったって最初のショックで絶望してしまうことなどめったにない。
A man has confidence in untried friends, he remembers the many offers of service so freely made by his boon companions when he wanted them not;	口先だけの友人をまだ頼りにしているし、別に助けなど必要としていない時には陽気な友人たちから何度も何度も困ったときは力になろうなんて聞かされてきたのだから。
he has hope--the hope of happy inexperience	希望――幸福な、世間知らずの希望。
--and however he may bend beneath the first shock, it springs up in his bosom, and flourishes there for a brief space, until it droops beneath the blight of disappointment and neglect.	最初のショックに落ちこんだとしても、その希望が胸のうちに芽生え、かすかな隙間に花開き、やがて、落胆と孤独の荒野にしおれる。
have those same eyes, deeply sunken in the head, glared from faces wasted with famine, and sallow from confinement,	眼窩がくぼみ、衰弱と飢餓のせいでぎらぎらと輝き、監禁されているために皮膚は土気色に変わる。
