Bill Clinton's Inaugural Address	ビル・クリントン第一期大統領就任演説
My fellow citizens, today we celebrate the mystery of American renewal.	今日、われわれはアメリカの再生の神秘を祝おう。
This ceremony is held in the depth of winter, but by the words we speak and the faces we show the world, we force the spring.	この就任式は冬の最中に行なわれるが、われわれが語る言葉と世界に向ける顔で春を呼びよせようではないか。
A spring reborn in the world's oldest democracy,	春は、世界でもっとも古い民主主義において再生する。
that brings forth the vision and courage to reinvent America.	その民主主義こそがアメリカを再創生するためのビジョンと勇気を生み出すのである。
When our founders boldly declared America's independence to the world, and our purposes to the Almighty, they knew that America, to endure, would have to change.	われわれの国の創立者たちが、世界に向けてアメリカの独立を、神に向けてわれわれの目的を力強く宣言したとき、創立者たちはアメリカが続いていくとともに、変化しなければならないだろうということを分かっていたのだ。
Not change for change sake, but change to preserve America's ideals:	それは変化のための変化ではなく、アメリカの理想、
life, liberty, the pursuit of happiness.	つまり生命、自由、幸福の追求を守るための変化である。
Though we march to the music of our time, our mission is timeless.	われわれは時代の音楽に合わせて歩んでいくが、われわれの使命は時代を超越しているのである。
Each generation of American's must define what it means to be an American.	アメリカの全ての世代は、アメリカ人であるということの意味を定義しなければならない。
On behalf of our nation, I salute my predecessor, President Bush, for his half-century of service to America. . .	私はわが国を代表して、前任者のブッシュ大統領、その半世紀にわたるアメリカへの献身に敬意を表したい。
and I thank the millions of men and women whose steadfastness and sacrifice triumphed over depression, fascism and communism.	そして何百万もの男女にその堅実さと犠牲で、不況、ファシズム、共産主義を乗り越えてきたことに感謝したい。
Today, a generation raised in the shadows of the Cold War assumes new responsibilities	今日、冷戦の影響下で育った世代は、新しい責任を引きうけている。
in a world warmed by the sunshine of freedom, but threatened still by ancient hatreds and new plagues.	それは自由の日ざしで暖められてはいるが、まだ過去の憎しみと新しい災いに脅かされている世界においてである。
Raised in unrivalled prosperity, we inherit an economy that is still the world's strongest,	比類なき繁栄の下で育ち、われわれはまだ世界で最強の経済を受け継いでいる。
but is weakened by business failures, stagnant wages, increasing inequality, and deep divisions among OUR OWN people.	しかしそれは、経済での失敗、賃金の伸びの鈍化、増大する不公平性、そしてわれわれの間の深い溝によって弱体化している。
When George Washington first took the oath I have just sworn to uphold, news travelled slowly across the land by horseback, and across the ocean by boat.	ジョージ・ワシントンが、私が誓い終わったばかりの宣誓を最初に行ったとき、そのニュースは陸では馬で、海上では船でゆっくりと伝播していった。
Now the sights and sounds of this ceremony are broadcast instantaneously to billions around the world.	しかし今、この宣誓式の模様と音声は、世界中の何十億という人々に即座に放映される。
Communications and commerce are global.	コミュニケーションと経済はグローバル化し、
Investment is mobile.	投資は世界を駆けめぐり、
Technology is almost magical, and ambition for a better life is now universal.	テクノロジーはもはや魔法と区別がつかず、よりよい生活を送りたいという思いは今や世界共通のものとなっている。
We earn our livelihood in America today in peaceful competition with people all across the Earth.	われわれは、世界中の人々との平和裏に行なわれる競争を通じて生計をたてなければならない。
Profound and powerful forces are shaking and remaking our world,	より深いところからの強い力がわれわれの世界をゆりうごかし、注意をうながしている。
and the URGENT question of our time is whether we can make change our friend and not our enemy.	われわれの時代の火急の問題は、われわれの敵ではなく味方に変化をもたらすことができるかどうかということである。
This new world has already enriched the lives of MILLIONS of Americans who are able to compete and win in it.	この新しい世界ではすでに何百万ものアメリカ人が、競争して勝ち取ることで豊かな生活を送っている。
But when most people are working harder for less, when others cannot work at all,	しかし多くの人々が仕事はきびしくなり収入はいよいよ少なくなっていて、一方では全く働けない人もいる。
when the cost of health care devastates families and threatens to bankrupt our enterprises, great and small;	ヘルス・ケアの負担が家族にのしかかり、多くの大企業、中小企業を破綻させようとしている。
when the fear of crime robs law abiding citizens of their freedom;	犯罪の恐怖が法を遵守する国民から自由をうばい、
and when millions of poor children cannot even imagine the lives we are calling them to lead,	何百万もの貧しい子供たちが、われわれが送ってほしいとよびかけている生活を想像することすらできない。
we have not made change our friend.	そのようなとき、われわれは味方に変化をもたらすことができていない。
We know we have to face hard truths and take strong steps,	われわれは現実に向き合い、力強く歩んでいかなければならないことを知っている。
but we have not done so.	しかしこれまでは、そうしてこなかった。
Instead we have drifted,	その代わりに、われわれはただ漂流してきた。
and that drifting has eroded our resources, fractured our economy, and shaken our confidence.	その漂流はわれわれの資源を食いつぶし、経済を腰折れさせ、われわれの自信をゆるがせてきた。
Though our challenges are fearsome, so are our strengths.	われわれのチャレンジはひどいものだったかもしれないが、チャレンジこそがわれわれの力である。
Americans have ever been a restless, questing, hopeful people,	そしてアメリカ国民は常に歩みをとめず、何かを捜し求め、希望にみちていた。
and we must bring to our task today the vision and will of those who came before us.	われわれは、目前にいる人々のビジョンや意思を今日のわれわれの任務としなければならない。
From our Revolution to the Civil War, to the Great Depression, to the Civil Rights movement, our people have always mustered the determination to construct from these crises the pillars of our history.	アメリカ独立戦争から、冷戦を通じて、世界大恐慌、公民権運動に至るまで、われわれ国民はいつもこれらの危機から、われわれの歴史を支える柱を打ち立てる決意を奮い起こしてきた。
Thomas Jefferson believed that to preserve the very foundations of our nation we would need dramatic change from time to time.	トーマス・ジェファーソンは、われわれの国のまさに基礎となるものを守るためにこのことを信じていた。
Well, my fellow Americans,	われわれには時折大きな変化が必要なのである。
this is OUR time.	さて国民のみなさん、われわれの番だ。
Let us embrace it.	これを受け入れようではないか。
Our democracy must be not only the envy of the world but the engine of our OWN renewal.	われわれの民主主義は決して世界の羨望の的ではなく、われわれ自身の再生のための原動力でなければならない。
There is nothing WRONG with America that cannot be cured by what is RIGHT with America.	アメリカにとって正しいことで、癒すことが出来ないほど悪いところはどこにもない。
And so today we pledge an end to the era of deadlock and drift, and a new season of American renewal has begun.	そして今日、行きづまりと漂流の時代の終わりをわれわれは誓う、新しいアメリカの再生が始まったのだ。
To renew America we must be bold.	アメリカを再生させるために、われわれは大胆にならなければならない。
We must do what no generation has had to do before.	われわれは、いかなる世代もかつて義務として課せられたことがないようなことに取り組まなければならない。
We must invest more in our own people, in their jobs, and in their future, and at the same time cut our massive debt. . .	われわれは、われわれ自身に、その職務に、そしてその将来に、もっと投資しなければならない、そして同時にわれわれの大規模な負債を切りつめなければならない。
and we must do so in a world in which we must compete for every opportunity.	われわれはあらゆる機会に競争しなければならない。
It will not be easy.	それはたやすいことではない。
It will require sacrifice,	それには犠牲が必要となる。
but it can be done, and done fairly.	しかしそれは実行可能である。
Not choosing sacrifice for its own sake, but for OUR own sake.	犠牲のためではなく、われわれのために犠牲が払われ、適切にそれは実行されるだろう。
We must provide for our nation the way a family provides for its children.	われわれは、わが国を家族が子供たちを養うように養わねばならない。
Our founders saw themselves in the light of posterity.	われわれの国の創立者たちは、自身を後世の目を通してみていた。
We can do no less.	われわれも同じ行動をとることができる。
Anyone who has ever watched a child's eyes wander into sleep knows what posterity is.	眠りにまどろむ子供のまなこを見たことがある人ならだれでも、後世の目がどのようなものかは知っているだろう。
Posterity is the world to come, the world for whom hold our ideals, from whom we have borrowed our planet, and to whom we bear sacred responsibilities.	後世の目は来るべき世界であり、われわれがそのためにわれわれの理想を持ちつづける世界であり、われわれの地球を借りている世界であり、われわれが果たすべき責任を負うべき世界である。
We must do what America does best,	われわれはアメリカがベストをつくすことをすべきである。
