A LITTLE CLOUD	小さな雲
EIGHT years before he had seen his friend off at the North Wall and wished him godspeed.	八年前彼はノースウォールで友人を見送り、成功を、と祈った。
Gallaher had got on.	ガラハーはうまくやっていた。
You could tell that at once by his travelled air, his well-cut tweed suit, and fearless accent.	それは彼の旅なれた態度、仕立てのいいツイードのスーツ、恐れを知らない話しぶりからもすぐにわかった。
Few fellows had talents like his and fewer still could remain unspoiled by such success.	彼のような才能を持つ者はまれだし、あんな成功にもだめになっちまわずにいられる者はさらにまれだ。
Gallaher's heart was in the right place and he had deserved to win.	ガラハーは優しい心の持ち主だし、勝利を得るにふさわしかったんだ。
It was something to have a friend like that.	ああいう友達を持つのは大事なことだ。
Little Chandler's thoughts ever since lunch-time had been of his meeting with Gallaher, of Gallaher's invitation and of the great city London where Gallaher lived.	リトル・チャンドラーは昼食の時からずっとガラハーとの出会いのこと、ガラハーの招待のこと、ガラハーの住む大都市ロンドンのことを考えていた。
He was called Little Chandler because, though he was but slightly under the average stature, he gave one the idea of being a little man.	彼がリトル・チャンドラーと呼ばれたのは、平均身長をほんのわずかに下回るだけなのに小柄な男という感じを人に与えたからである。
His hands were white and small, his frame was fragile, his voice was quiet and his manners were refined.	彼の手は白くて小さく、からだはきゃしゃで、声は静かで、ふるまいは洗練されていた。
He took the greatest care of his fair silken hair and moustache and used perfume discreetly on his handkerchief.	彼は絹のようなブロンドの髪と口ひげに大変気を使い、ハンカチには控えめに香水をつけていた。
The half-moons of his nails were perfect and when he smiled you caught a glimpse of a row of childish white teeth.	彼のつめの半月は完璧で、彼が微笑むと子供のような白い歯並がちらりと見えた。
As he sat at his desk in the King's Inns he thought what changes those eight years had brought.	彼はキングス・インの自分の机に向かい、その八年間がどんな変化をもたらしたか考えた。
The friend whom he had known under a shabby and necessitous guise had become a brilliant figure on the London Press.	彼の知るところみすぼらしく困窮した様子だった友、それがロンドンプレスの才気あふれる人物になっていた。
He turned often from his tiresome writing to gaze out of the office window.	彼はたびたびあきあきする書き物から目をそらし、オフィスの窓から外を見つめた。
The glow of a late autumn sunset covered the grass plots and walks.	晩秋の落日の燃え上がる輝きが芝生や散歩道をおおった。
It cast a shower of kindly golden dust on the untidy nurses and decrepit old men who drowsed on the benches;	それはだらしない子守女たち、ベンチでうとうとするよぼよぼの老人たちに優しい金粉のシャワーを降り注ぎ、
it flickered upon all the moving figures	動く人影すべての上にゆらめいていた
-- on the children who ran screaming along the gravel paths and on everyone who passed through the gardens.	−−砂利道に沿って叫びながら走る子供たちや公園を通り抜ける誰も彼もに。
He watched the scene and thought of life;	彼はその光景をじっと見て人生について考えた。
and	そして
(as always happened when he thought of life)	（人生について考えるときの常として）
he became sad.	彼は悲しくなった。
A gentle melancholy took possession of him.	穏やかな憂愁が彼を支配した。
He felt how useless it was to struggle against fortune,	彼は運に逆らってもがくことがどんなに無益であるかを感じた。
