Confusing Words and Phrases that are Worth Avoiding - GNU Project - Free Software Foundation (FSF)	避けた方が良い混乱を招く言葉と言い回し - GNU プロジェクト - フリーソフトウェア財団 (FSF)
Some Confusing or Loaded Words and Phrases that are Worth Avoiding	混乱を招くかその危険がある、避けた方が良い言葉と言い回し
There are a number of words and phrases which we recommend avoiding, or avoiding in certain contexts and usages.	使うのを避けた方がよい言葉や言い回しがたくさんあります。
The reason is either that they are ambiguous, or that they imply an opinion that we hope you may not entirely agree with.	言葉や言い回しの定義が不明瞭であったり、それらが皆さんに諸手をあげて賛成して欲しくない考えを意味しているためです。
``For free''	「無料で」
If you want to say that a program is free software, please don't say that it is available ``for free.''	あるプログラムをフリーソフトウェアであると記したい場合には、「無料で」使用できますという具合には書かないようお願いします。
That term specifically means ``for zero price.''	この「無料で」という言葉は特に「タダで」ということを意味しているからです。
Free software is a matter of freedom, not price.	フリーソフトウェアであることは自由の問題であって価格の問題ではありません。
Free software copies are often available for free	フリーソフトウェアの複製物はたいてい無料で入手可能です。
--for example, by downloading via FTP.	例えば、FTP を 介してダウンロードできます。
But free software copies are also available for a price on CD-ROMs;	しかしフリーソフトウェアの複製物はまた CD-ROM に含まれて有料で使用できる場合もあります。
meanwhile, proprietary software copies are occasionally available for free in promotions, and some proprietary packages are normally available at no charge to certain users.	ところで、市販のソフ トウェアの複製物も時々販売促進を目的に無料で使用可能である場合もありますし、いくつかの市販のソフトウェアのなかには特定の使用者に対しては常に料金なしで使用できるものもあります。
To avoid confusion, you can say that the program is available ``as free software.''	混乱を避けるために、そのプログラムは「フリーソフトウェアとして」使用可能であると記すことができます。
``Freeware''	「フリーウェア」
Please don't use the term ``freeware'' as a synonym for ``free software.''	「フリーソフトウェア」の同義語として「フリーウェア」という言葉を用いないでください。
The term ``freeware'' was used often in the 1980s for programs released only as executables, with source code not available.	「フリーウェア」は 1980 年代によく使用された言葉で、ソースコードは入手できず実行形式としてのみリリースされたプログラムに使われました。
Today it has no particular agreed-on definition.	今日ではこの語には皆が承諾するような特定の定義はありません。
Also, if you use other languages than English, please try to avoid borrowing English words such as ``free software'' or ``freeware.''	英語以外の言葉をお使いの場合には、「フリーソフトウェア」や「フリーウエア」といった英単語を拝借するのを避けてください。
Try to use the often less ambiguous wording that your language offers,	自国の言葉にあるそれほどあいまいでない言葉を使うようにしてください。
e.g.	例えば、
Chinese: zi4you2 ruan3jian4	中国語: zi4you2 ruan3jian4
Dutch: vrije software	オランダ語: vrije software
Esperanto: libera programaro	エスペラント: libera programaro
French: logiciel libre	フランス語: logiciel libre
German: freie Software	ドイツ語: freie Software
Hebrew: tochna hofshit	ヘブライ語: tochna hofshit
Japanese: jiyuu [na] sofuto	日本語: 自由(な)ソフト
Portuguese: software [programa] livre	ポルトガル語: software [programa] livre
Russian: svobodny programy	ロシア語: svobodny programy
Slovak : slobodny' softve'r	スロヴァキア語: slobodby' softve'r
Spanish : Software [programa] libre	スペイン語: Software [programa] libre
Swedish: fri programvara	スウェーデン語: fri programvara
Turkish : &otilde;zg&uuml;r yazilim	トルコ語: &otilde;zg&uuml;r yazilim
By forming a word in your own language, you show that you are really referring to freedom and not just parroting some mysterious foreign marketing concept.	自国語でフリーソフトウェアにあたる語を考え出せば、この語によってきち んと自由を指し示すことができ、外国の何だか怪しい商売上の言葉を鸚鵡のように繰り返すことはなくなります。
The reference to freedom may at first seem strange or disturbing to your countrymen,	自由を強調することは、最初のうちあなたの国の方々には奇異に映るかもしれないし、混乱させるかもしれません。
but once they see that it means exactly what it says, they will really understand what the issue is.	しかし、すぐに慣れるでしょうし、フリーソフトウェアがもつ本当の意味を見い出すでしょう。
``Give away software''	「ソフトウェアをあげる」
It's misleading to use the term ``give away'' to mean ``distribute a program as  free software.''	「フリーソフトウエアとしてプログラムを配布します」という意味で「あげます」という言葉を使うと誤解を生むことになります。
It has the same problem as ``for free'':	この言葉の使用には「無料で」という言葉と同じ問題があります。
it implies the issue is price, not freedom.	つまり、「あげます」という言葉には問題が価格であって自由ではないという意味が含まれています。
One way to avoid the confusion is to say	この混乱を避けるには
``release as free software.''	「フリーソフトウエアとして公開します」といえばいいのです。
``Intellectual property''	「知的所有権」
Publishers and lawyers like to describe copyright as ``intellectual property''	出版者や法律家は著作権を「知的所有権」という言葉で表すのを好みます。
The term ``intellectual property'' carries a hidden assumption	この言葉には表には現れない仮定が含まれています。
---that the way to think about all these disparate issues is based on an analogy with physical objects, and our ideas of physical property.	つまり所有権の問題を考える自然な方法は、物理的なモノとの類推に基礎をおいていますし、加えて自分たちのアイデアを所有物としてとらえる思考方法に基礎をおいています。
When it comes to copying, this analogy disregards the crucial difference between material objects and information:	けれどこの類推は物理的なモノと情報との決定的な差異を見過ごしています。
information can be copied and shared almost effortlessly,	つまり情報はほとんど骨を折らずに複製でき共用できます。
while material objects can't be.	一方、物理的なモノの場合はそうはいきません。
Basing your thinking on this analogy is tantamount to ignoring that difference.	物理的なモノと情報との類推は両者の違いを無視するに等しいのです。
(Even the US legal system does not entirely accept the analogy,	合衆国の法体系すらこうした類推を全面的に受け入れているわけではありません。
since it does not treat copyrights or patents like physical object property rights.)	なぜなら、合衆国の法体系でも物理的なモノと同じ具合に著作権を所有権として扱ってはいないからです。
If you don't want to limit yourself to this way of thinking, it is best to avoid using the term ``intellectual property'' in your words and thoughts.	この種の考え方に自身を縛りたくないならば、会話をしたりものを考える場合にこの「知的所有権」という語を使用することを避けるべきです。
The term is a catch-all that lumps together several disparate legal systems, including copyright, patents, trademarks, and others, which have very little in common.	「知的所有権」という語に関する別の問題には、この言葉を使用することにより、著作権、特許権、登録商標といった相異なる複数の法律上の体系を同一視することがあげられます。
To give clear information and encourage clear thinking, never speak or write about ``intellectual property'';	これらの混同を避けるために、「知的所有権」に代わる言葉を探すことは最善の策ではありません。
instead, present the topic as copyright, patents, or whichever specific law you are discussing.	そうではなく、著作権、特許権、もしくは法体系上論点となる一方に関して議論すればよいのです
According to Professor Mark Lemley of the University of Texas Law School, the widespread use of term "intellectual property" is a recent fad, arising from the 1967 founding of the World Intellectual Property Organization.	テキサス大学ロースクールのMark Lemley教授によれば、「知的財産権」という語が広く使われるようになったのは1967年に世界知的財産権機関(WIPO)が設立されて以来のごく最近のことに過ぎません。
WIPO represents the interests of the holders of copyrights, patents and trademarks, and lobbies governments to increase their power.	WIPOは著作権や特許、商標の所有者たちの利権を代表しており、彼らの権力を増すために政府にロビー活動をしています。
One WIPO treaty follows the lines of the Digital Millennium Copyright Act, which has been used to censor useful free software packages in the US.	WIPO条約の一つは、有用なフリーソフトウェアパッケージのアメリカ合衆国での利用を検閲するのに使われてきた、デジタルミレニアム著作権法をなぞったものです。
See http://www.wipout.net/ for a counter-WIPO campaign.	反WIPOキャンペーンに関してはをご覧下さい。
``Piracy''	「海賊行為」
Publishers often refer to prohibited copying as ``piracy.''	出版業者は禁じている複製を「海賊行為」とよく呼びます。
In this way, they imply that illegal copying is ethically equivalent to attacking ships on the high seas, kidnaping and murdering the people on them.	この場合、出版業者 は違法コピーを海上で船舶を襲い人々を拐い殺害する行為と倫理上同じであることを暗に述べているのです。
If you don't believe that illegal copying is just like kidnaping and murder, you might prefer not to use the word ``piracy'' to describe it.	違法コピーを人を誘拐したり殺害したりする行為と同じだと考えたくないならば、 違法コピーを指すのに「海賊行為」という言葉を用いなければよいのです。
Neutral terms such as ``prohibited copying'' or ``unauthorized copying'' are available for use instead.	「禁止されている複製」あるいは「許可のない複製」といった中性の言葉を代わりに用いることができます。
Some of us might even prefer to use a positive term such as ``sharing information with your neighbor.''	我々のうちには違法コピーを指して「仲間と情報を共有する」といった肯定的な言葉を用いるのを好むひとびとがいるかも知れませんが。
``Protection''	「保護」
Publishers' lawyers love to use the term ``protection'' to describe copyright.	出版業者の顧問弁護士たちは著作権を表すのに「保護」という言葉を用いることを好みます。
This word carries the implication of preventing destruction or suffering;	この言葉は破壊や被害を防ぐという意味を暗に含んでいます。
therefore, it encourages people to identify with the owner and publisher who benefit from copyright, rather than with the users who are restricted by it.	そのため、この言葉を用いることは、著作権により制限を加えられる使用者ではなく、著作権から利益を得る所有者や出版業者に資することになります。
It is easy to avoid ``protection'' and use neutral terms instead.	「保護」という言葉の使用を避け代わりに中立的な言葉を用いるのは簡単です。
For example, instead of ``Copyright protection lasts a very long time,'' you can say, ``Copyright lasts a very long time.''	例えば、「著作権による保護は長期間存続する」という代わりに「著作権は長期間存続する」といえばよいのです。
If you want to criticize copyright instead of supporting it, you can use the term ``copyright restrictions.''	もしも著作権の存在を支持する代わりに批判したいのであれば、「著作権による制限」という表現を用いることができます。
``Sell software''	「ソフトウェアを販売する」
The term ``sell software'' is ambiguous.	「ソフトウエアを販売する」という用語は曖昧です。
Strictly speaking, exchanging a copy of a free program for a sum of money is ``selling'';	厳密に言うならば、 利益を挙げるためにフリープログラムの複製物を取り引きすることは「販売する」ことに当たります。
but people usually associate the term ``sell'' with proprietary restrictions on the subsequent use of the software.	しかし、通常、ひとは「販売する」という言葉とソフトウエアの使用に関し所有者による制限が加えられることを結び付けて考えています。
You can be more precise, and prevent confusion, by saying either ``distributing copies of a program for a fee'' or ``imposing proprietary restrictions on the use of a program,'' depending on what you mean.	だから、より正確に表現し混同を避けるには、「手数料を支払うことでプログラムの複製物を配布する」と述べるか、または「プログラムの使用に関し所有者による制限を加える」と述べればよいのです。
See Selling Free Software for more discussion of this issue.	この問題に関するより詳しい議論については フリーソフトウェアを販売する をご覧ください。
``Theft''	「窃盗」
Copyright apologists often use words like ``stolen'' and ``theft'' to describe copyright infringement.	著作権の擁護者は著作権侵害を表すのに「盗み」や「窃盗」という言葉をよく用います。
At the same time, they ask us to treat the legal system as an authority on ethics:	それと同時に彼らは私たちに倫理に関する権威として法体系をとらえるよう求めてもいるのです。
if copying is forbidden, it must be wrong.	例えば、仮に複製が禁止されているならば、複製は悪しき行為であるはずだという具合に。
So it is pertinent to mention that the legal system--at least in the US--rejects the idea that copyright infringement is ``theft.''	だから少なくとも合衆国の法体系において著作権侵害は「窃盗」であるとする立場が認められていないことに言及しておくことは適切なことです。
Copyright apologists are making an appeal to authority...and misrepresenting what the authority says.	「盗み」といった言葉を用いる著作権擁護者は自分たちが強調するところの権威を誤って伝えているのです。
The idea that laws decide what is right or wrong is mistaken in general.	一般的に言って法律が善悪を決めるという考え方は間違っています。
Laws are, at their best, an attempt to achieve justice;	せいぜい法律にできることは正当性を実現しようという試みに過ぎません。
to say that laws define justice or ethical conduct is turning things upside down.	法律が正当性や倫理的行為を決めるという考えは事実とは全くあべこべです
Also note Categories of Free Software (18k characters).	フリーソフトウェアの分類(18k キャラクタ)も参照してください。
Return to GNU's home page.	GNU のホームページに戻る。
FSF & GNU inquiries & questions to gnu@gnu.org.	FSF および GNU へのご質問、お問い合わせは gnu@gnu.orgまでどうぞ。
Other ways to contact the FSF.	FSF と連絡を取るには他の手段もあります。
Comments on these web pages to webmasters@www.gnu.org, send other questions to gnu@gnu.org.	これらのウェブページについてのご意見は webmasters@www.gnu.orgまで、その他のご質問は gnu@gnu.orgまでお送りください。
