The Cop and the Anthem	警官と賛美歌
O Henry	Ｏ・ヘンリー
On his bench in Madison Square Soapy moved uneasily.	マジソン・スクエアのいつものベンチで、ソーピーは不安そうにそわそわしていた。
When wild geese honk high of nights, and when women without sealskin coats grow kind to their husbands, and when Soapy moves uneasily on his bench in the park, you may know that winter is near at hand.	野性の鵞鳥が夜に警告の鳴き声をあげるとき、アザラシ革のコートを持たない女性が夫に優しくなるとき、ソーピーがセントラル・パークのいつものベンチでそわそわするとき、冬は近いと思っていただいてかまわない。
A dead leaf fell in Soapy's lap.	枯葉が1枚ソーピーの膝に舞い落ちた。
That was Jack Frost's card.	ジャック・フロスト（霜の妖精）の名刺だ。
Jack is kind to the regular denizens of Madison Square, and gives fair warning of his annual call.	マジソン・スクエアの住民に親切なジャックは、年1度の訪問の折、はっきりとそれを知らせてくれる。
At the corners of four streets he hands his pasteboard to the North Wind, footman of the mansion of All Outdoors,	四辻の曲がり角で、かれは自分の名刺をオール・アウトドア・マンションの執僕を務める北風に手渡す。
so that the inhabitants thereof may make ready.	そのおかげで、マンションの住民は準備にとりかからせてもらえるというわけだ。
Soapy's mind became cognisant of the fact that the time had come for him to resolve himself into a singular Committee of Ways and Means to provide against the coming rigour.	ソーピーの心は、きたるべき寒気に備えるため、生活対策委員会の唯一の委員になるときがきたということに気づきはじめた。
And therefore he moved uneasily on his bench.	それでかれはいつものベンチで不安そうにそわそわしているのだ。
The hibernatorial ambitions of Soapy were not of the highest.	ソーピーの胸にある越冬計画は、それほど立派なものではなかった。
In them there were no considerations of Mediterranean cruises, of soporific Southern skies drifting in the Vesuvian Bay.	そこには地中海のクルージングもなく、ベスビアン湾に浮かぶ眠気を催すような南国の空もない。
Three months on the Island was	アイランド（ワイト島にある刑務所を指す）での3ヶ月。
what his soul craved.	それこそがかれが心底熱望するものだった。
Three months of assured board and bed and congenial company, safe from Boreas and bluecoats,	3ヶ月に及び、食事と宿と気心のあう仲間に不足することはなく、ボレアス（ギリシャ神話の北風の神）や警官を恐れることもない。
seemed to Soapy the essence of things desirable.	ソーピーにとって、それは望むべきものの真髄のように思えた。
For years the hospitable Blackwell's had been his winter quarters.	何年もの間、もてなしのいいブラックウェルズ島がかれの避寒所になっていた。
Just as his more fortunate fellow New Yorkers had bought their tickets to Palm Beach and the Riviera each winter, so Soapy had made his humble arrangements for his annual hegira to the Island.	ニューヨークの比較的恵まれた連中がパーム・ビーチとかリヴィエラへのチケットを買うのと同じように、ソーピーもまたアイランドへの避難という慎ましい手配を毎年くりかえしてきたのだ。
And now the time was come.	そして、今年もまたそのときがやってきた。
On the previous night three Sabbath newspapers, distributed beneath his coat, about his ankles and over his lap, had failed to repulse the cold as he slept on his bench near the spurting fountain in the ancient square.	昨晩は、日曜版の新聞を3部、コートより下、膝や踝まわりにかぶせていたものの、古めかしい広場にある活動中の噴水に近いベンチで眠りながら寒さを撃退するのは無理があった。
So the Island loomed big and timely in Soapy's mind.	だから、ソーピーの心の中にタイミングよくアイランドのことが浮かんできたのである。
He scorned the provisions made in the name of charity for the city's dependents.	かれは、市中の被扶養者たちのため、チャリティーという名のもとになされる活動を嫌悪していた。
In Soapy's opinion the Law was more benign than Philanthropy.	ソーピーの意見では、法律のほうが博愛よりも優しいものなのだ。
There was an endless round of institutions, municipal and eleemosynary, on which he might set out and receive lodging and food accordant with the simple life.	公共なり慈善団体なりの施設は尽きることなくあり、そこまで出向けばシンプルな生活を送れるだけの宿と食事を受けられるかもしれない。
But to one of Soapy's proud spirit the gifts of charity are encumbered.	けれども、ソーピーの誇り高い精神のひとつからいえば、チャリティーの贈り物は逆に心苦しいものだった。
If not in coin you must pay in humiliation of spirit for every benefit received at the hands of philanthropy.	もし金銭を持ち合わせていないのならば、博愛の手から与えられるあらゆる利益には精神的屈辱で支払いをしなければならない。
As Caesar had his Brutus, every bed of charity must have its toll of a bath, every loaf of bread its compensation of a private and personal inquisition.	シーザーにブルータスがいたように、チャリティーのベッドには入浴という代価がつきものだし、パンには私的個人的質問という代償がともなう。
Wherefore it is better to be a guest of the law, which though conducted by rules, does not meddle unduly with a gentleman's private affairs.	よって、規則にしたがって運営される法律に寄食するほうが、紳士のプライベートな物事に過度に干渉しないという点で、まだましなのだ。
Soapy, having decided to go to the Island, at once set about accomplishing his desire.	ソーピーはアイランド行きを決意すると同時に、さっそく願望の達成にとりかかった。
There were many easy ways of doing this.	簡単にこれをやってのける方法がいくつもあった。
The pleasantest was to dine luxuriously at some expensive restaurant;	中でもいちばん心楽しい方法は、どこかの高級レストランで豪勢な食事をとることだ。
and then, after declaring insolvency, be handed over quietly and without uproar to a policeman.	それから、支払う金のないことを公表し、やってきた警官におとなしく逮捕されればよい。
An accommodating magistrate would do the rest.	あとのことは親切な治安判事がやってくれる。
Soapy left his bench and strolled out of the square and across the level sea of asphalt, where Broadway and Fifth Avenue flow together.	ソーピーはベンチを離れて街中をぶらつき、ブロードウェイから5番大通りに満々と湛えられている平坦なアスファルトの海を渡った。
Up Broadway he turned, and halted at a glittering cafe	ブロードウェイについたところで向きを変え、こぎれいなカフェの前で立ち止まった。
where are gathered together nightly the choicest products of the grape, the silkworm and the protoplasm.	ここは、最高に厳選された葡萄や蚕や原形質を原料とする製品が、夜な夜な集まってまくる場所である。
Soapy had confidence in himself from the lowest button of his vest upward.	ソーピーはベストの一番下のボタンから上には自信があった。
He was shaven, and his coat was decent and his neat black, ready-tied four-in-hand had been presented to him by a lady missionary on Thanksgiving Day.	髭は剃ってあるし、上着も見苦しくないし、黒のネクタイも、感謝際に婦人伝道師から送られたちゃんとした既製品だ。
If he could reach a table in the restaurant unsuspected success would be his.	レストランのテーブルにさえついてしまえば、もはやこっちのものだった。
The portion of him that would show above the table would raise no doubt in the waiter's mind.	テーブルの上から出ている部分だけなら、ウェイターの疑念を招かずに済むだろう。
A roasted mallard duck, thought Soapy, would be about the thing--	ソーピーは考えた。
with a bottle of Chablis, and then Camembert, a demi-tasse and a cigar.	それにシャブリを1本、それからカマンベールチーズ、デミタッセに葉巻を1本。
One dollar for the cigar would be enough.	葉巻は1ドルと見れば十分だ。
The total would not be so high as to call forth any supreme manifestation of revenge from the cafe management;	トータルでも経営者から極度の報復を招くほど高くはなるまいし、
and yet the meat would leave him filled and happy for the journey to his winter refuge.	それでいて、冬の避難所へと満ち足りた幸せな気分で旅立てるくらいのご馳走にはなるはずだ。
But as Soapy set foot inside the restaurant door the head waiter's eye fell upon his frayed trousers and decadent shoes.	が、ソーピーがレストランのドアをくぐったとたん、ヘッドウェイターの目がそのすりきれたズボンと退廃的な靴に落とされた。
Strong and ready hands turned him about and conveyed him in silence and haste to the sidewalk and averted the ignoble fate of the menaced mallard.	力強い手がすぐにソーピーに回れ右させ、一言もかけないままに歩道へと追い帰して、食い逃げの脅威にさらされていたマガモを不名誉な運命から救った。
Soapy turned off Broadway.	ソーピーはブロードウェイに背を向けた。
It seemed that his route to the coveted island was not to be an epicurean one.	憧れの島へと向かう道はグルメの道ではなかったようだ。
Some other way of entering limbo must be thought of.	煉獄に入るための何か別の道を考えなければならない。
At a corner of Sixth Avenue electric lights and cunningly displayed wares behind plate-glass made a shop window conspicuous.	6番街の街角には、ライトアップしつつ巧妙に商品を陳列することで、人目を集めていたショーウィンドウがあった。
Soapy took a cobblestone and dashed it through the glass.	ソーピーは敷石を拾い上げると、ガラスに向かって投げつけた。
People came running around the corner, a policeman in the lead.	人々が、警官を筆頭に、街角周辺に駆け寄ってきた。
Soapy stood still, with his hands in his pockets, and smiled at the sight of brass buttons.	ソーピーはポケットに手を突っこんだまま立っていたが、警官の制服の真鍮のボタンを見たとたん、ほほえみを浮かべた。
"Where's the man that done that?"	「これをしでかしたやつはどこに行った？」
inquired the officer excitedly.	と、警官は色めきたって尋ねた。
"Don't you figure out that I might have had something to do with it?"	「おれがやったとかいう可能性は考えてみないのかね？」
said Soapy, not without sarcasm, but friendly,	とソーピーは、皮肉抜きで、愛想よく言った。
as one greets good fortune.	あたかも、幸運を迎えいれようとするかのように。
The policeman's mind refused to accept Soapy even as a clue.	警官の精神はソーピーをひとつの手がかりとしてすら受けつけなかった。
Men who smash windows do not remain to parley with the law's minions.	ショーウインドウを粉々にした人間が法の使徒と話し合うために踏みとどまるなどということはありえない。
They take to their heels.	一目散に逃げ出すものなのだ。
