THE MIND OF CROWDS	『群集心理』
THE ERA OF CROWDS	群集の時代
The great upheavals which precede changes of civilisations such as the fall of the Roman Empire and the foundation of the Arabian Empire, seem at first sight determined more especially by political transformations, foreign invasion, or the overthrow of dynasties.	ローマ帝国の崩壊やアラビア帝国の勃興といった文明の変化を予兆するような大きな変動は、一見しただけでは、政変や外国からの侵略、王朝の打倒といったものによって引き起こされれているかのように見える。
But a more attentive study of these events shows that behind their apparent causes the real cause is generally seen to be a profound modification in the ideas of the peoples.	しかしこれらの出来事をより注意深く調査すれば、それらの表面的な原因の背後に、民衆に関する思想についての根本的な修正という原因があったことが明らかになる。
The true historical upheavals are not those which astonish us by their grandeur and violence.	真の歴史変動というものは、その規模や暴力で私たちを驚かせるたぐいのものではない。
The only important changes whence the renewal of civilisations results, affect ideas, conceptions, and beliefs.	文明の結実を一新させる唯一重要な変化とは、それ以降の思想・概念・信念*1に影響をもたらすようなものだ。
The memorable events of history are the visible effects of the invisible changes of human thought.	記憶に値する歴史上の出来事とは、人間の思考という目に見えないものに変化を与え、そこからもたらされた、目に見える結果のことである。
The reason these great events are so rare is that there is nothing so stable in a race as the inherited groundwork of its thoughts.	このような出来事がまれにしか見られないのは、人間に引き継がれている思考の枠組みというものは種そのものと同様に安定しており、他に類するものがないからである。*2
The present epoch is one of these critical moments in which the thought of mankind is undergoing a process of transformation.	現代は、人類の思考が変換の過程を経ている重要な瞬間のうちの１つである。
Two fundamental factors are at the base of this transformation.	この変換の根本には、２つの基礎的な要因がある。
The first is the destruction of those religious, political, and social beliefs in which all the elements of our civilisation are rooted.	ひとつは、我々の文明の全ての要素が基礎付けられている、宗教的・政治的・社会的信念の破壊である。
The second is the creation of entirely new conditions of existence and thought as the result of modern scientific and industrial discoveries.	もうひとつは、現代科学と産業の諸発見の結果としてもたらされた、存在と思考の全く新しい状態の創造である。
The ideas of the past, although half destroyed, being still very powerful, and the ideas which are to replace them being still in process of formation, the modern age represents a period of transition and anarchy.	過去の思考は半ば崩壊したけれども、いまだ十分に力を保っており、それに替わるべき思想もいまだ形成段階で、現代は移行期・無秩序時代とも言える。
It is not easy to say as yet what will one day be evolved from this necessarily somewhat chaotic period.	したがって現時点でこの混沌とした状況から何が生まれ出てくるかを推定することは容易ではない。
What will be the fundamental ideas on which the societies that are to succeed our own will be built up?	来るべき社会はどのような基本的思想の上に立脚したものになるのだろうか？
We do not at present know.	それは今のところはわからない。
Still it is already clear that on whatever lines the societies of the future are organised, they will have to count with a new power, with the last surviving sovereign force of modern times, the power of crowds.	しかし、未来の社会がどのようなラインの上に引かれるものであっても、現代において最後まで生きのびるであろう主権者たる新たな勢力・群集の力を重視しなければならないことは明らかである。
On the ruins of so many ideas formerly considered beyond discussion, and to-day decayed or decaying, of so many sources of authority that successive revolutions have destroyed, this power, which alone has arisen in their stead, seems soon destined to absorb the others.	かつては正しいものとして扱われたが現在では滅びてしまった思想や、相次ぐ革命により倒された政権などの廃虚の上に、この新たな勢力・群集は立ち上がり、他の勢力をも呑み込もうとしている。
While all our ancient beliefs are tottering and disappearing, while the old pillars of society are giving way one by one, the power of the crowd is the only force that nothing menaces, and of which the prestige is continually on the increase.	古い信念が揺らぎ、消滅していき、社会の古い支柱が１つずつ置き換わっていきつつある中で、群集の勢力は何者をも恐れず、増加する一方である。
The age we are about to enter will in truth be the ERA OF CROWDS.	まさに「群集の時代」を迎えようとしているのだ。
Scarcely a century ago the traditional policy of European states and the rivalries of sovereigns were the principal factors that shaped events.	ほんの１世紀前*3では、ヨーロッパ諸国の伝統的な政策や国王らの抗争が[歴史的な]事象を引き起こす主要な要因となっていた。
The opinion of the masses scarcely counted, and most frequently indeed did not count at all.	群集の世論などというものはほとんど考慮されないか、全く考慮されなかった。
To-day it is the traditions which used to obtain in politics, and the individual tendencies and rivalries of rulers which do not count;	しかし今日では、個人の性向や支配者層の抗争などとるに足らない問題となり、
while, on the contrary, the voice of the masses has become preponderant.	逆に群集の声が優勢になってきている。
It is this voice that dictates their conduct to kings, whose endeavour is to take note of its utterances.	王侯に命令を下すのがこの[群集の]声であり、
The destinies of nations are elaborated at present in the heart of the masses, and no longer in the councils of princes.	現在では、国家の運命も群集によって作り上げられるものであり、もはや王子らの会議で決定するものではないのだ。
The entry of the popular classes into political life--that is to say, in reality, their progressive transformation into governing classes--is one of the most striking characteristics of our epoch of transition.	一般大衆*4が統治階級に進出しつつあるという事実が我々の時代の最も著しい特徴である。
The introduction of universal suffrage, which exercised for a long time but little influence, is not, as might be thought, the distinguishing feature of this transference of political power.	しかし、この政治権力の移動は普通選挙制度の導入そのものによってなされたわけではない。
The progressive growth of the power of the masses took place at first by the propagation of certain ideas, which have slowly implanted themselves in men's minds, and afterwards by the gradual association of individuals bent on bringing about the realisation of theoretical conceptions.	群集*5の力が急激に大きくなったのはある思想*6が人々の中に普及し、概念の実現のために個人どうしが群れた*7からである。
It is by association that crowds have come to procure ideas with respect to their interests which are very clearly defined if not particularly just,	群れることで、群集は自分たちの利益を尊重する概念−望んでいるまさにそのものでなくとも、極めて明確に思い描いているもの−を入手するに至った。
and have arrived at a consciousness of their strength.	そしてようやく［結束した］自分たちの強さに気づいたのだ。
The masses are founding syndicates before which the authorities capitulate one after the other;	群集は、いかなる権威も服従するシンジケートを作り上げた。
they are also founding labour unions, which in spite of all economic laws tend to regulate the conditions of labour and wages.	さらにどんな経済状態でも労働と賃金の関係を支配する労働組合も作り出した。
They return to assemblies in which the Government is vested, representatives utterly lacking initiative and independence, and reduced most often to nothing else than the spokesmen of the committees that have chosen them.	群集は政府が主催する集会に代表者を派遣するが、その代表者は自主性と独立性に欠けており、結局のところ自らを選出した委員会のスポークスマンでしかない。
To-day the claims of the masses are becoming more and more sharply defined,	今日では、群集の要求はかなり明確なものとなってきた。
and amount to nothing less than a determination to utterly destroy society as it now exists, with a view to making it hark back to that primitive communism which was the normal condition of all human groups before the dawn of civilisation.	文明成立以前の人間の状態である原始共産制にもどることを目指しているかのように、今ある社会を徹底的に破壊しようとしているのだ。*8
Limitations of the hours of labour, the nationalisation of mines, railways, factories, and the soil, the equal distribution of all products, the elimination of all the upper classes for the benefit of the popular classes, &c., such are these claims.	労働時間の制限、鉱山・鉄道・工場・土地の国有化、全ての生産物の平等な分配、一般大衆のための上流階級の廃止といったことが要求の内容である。
Little adapted to reasoning, crowds, on the contrary, are quick to act.	群集は、推論させるにはほとんど適さないが、行動となると迅速である。*9
As the result of their present organisation their strength has become immense.	現在の組織の結果として、群集の力は強大になった。
