THE ADVENTURE OF THE DANCING MEN	暗号舞踏人の謎
Holmes had been seated for some hours in silence with his long, thin back curved over a chemical vessel	ホームズは全く黙りこんだまま、その脊の高い痩せた身体を猫脊にして、何時間も化学実験室に向っていた。
in which he was brewing a particularly malodorous product.	そこからは頻りに、いやな悪臭がただよって来る、
His head was sunk upon his breast, and he looked from my point of view like a strange, lank bird, with dull gray plumage and a black top-knot.	――彼の頭は胸に深くちぢこめられて、その恰好は、鈍い灰色の羽毛の、黒い鳥冠（とさか）の奇妙な鳥のようにも見えた。
"So, Watson,"	「そこで、ワトソン君、――」
said he, suddenly,	彼は突然に口を開いた。
"you do not propose to invest in South African securities?"	「君は南アフリカのある投資事業に、投資することは、思い止まってしまったのだね」
I gave a start of astonishment.	私はサッと驚かされてしまった。
Accustomed as I was to Holmes's curious faculties, this sudden intrusion into my most intimate thoughts was utterly inexplicable.	私は彼の不思議な直覚力と云ったようなものには、毎度のことでよく慣れていたが、しかしこの私の胸中の、秘中の秘事にずばりっと図星を指されたのには、全くあきれ返ってしまった。
"How on earth do you know that?"	「一たい君は、どうしてその事を知っていたのだね？」
I asked.	私は訊き返した。
"Now, Watson, confess yourself utterly taken aback,"	「さあワトソン君、ぐうの音が出まいがね」
"I am."	「いや、全くその通りだ」
"I ought to make you sign a paper to that effect."	「それではね君、とにかくきれいに参ったと云う一札（いっさつ）を入れたまえ」
"Why?"	「それはまたどうしてさ？」
"Because in five minutes you will say that it is all so absurdly simple."	「いや、実はもう五分の後には、君はきっと、それは馬鹿馬鹿しくわかり切ったことだと云うに相違ないからだよ」
"I am sure that I shall say nothing of the kind."	「いやいや、僕は決して、そんなことは云わないよ」
"You see, my dear Watson"--	「ワトソン君、それでは御説明に及ぶとしようかね」
he propped his test-tube in the rack, and began to lecture with the air of a professor addressing his class--	ホームズは試験管を架にかけて、教授が講堂で、学生たちに講義でもする時のような恰好で話し出した。
"it is not really difficult to construct a series of inferences, each dependent upon its predecessor and each simple in itself.	「先人の研究材料を基本として、それを単純化して、推論の系統を立てると云うことは、決してそう難しいことでもないのだ。
If, after doing so, one simply knocks out all the central inferences and presents one's audience with the starting-point and the conclusion, one may produce a startling, though possibly a meretricious, effect.	そしてもしこう云う試（こころみ）をして、誰かが中心思潮となっている論説を覆して、更にその聴衆に、新（あらた）な出発点と結論とを与えたら、それはたしかに、キザたっぷりなことではあるが、しかし一つの驚歎すべき結果をもたらしたと云ってよかろう。
Now, it was not really difficult, by an inspection of the groove between your left forefinger and thumb, to feel sure that you did NOT propose to invest your small capital in the gold fields."	さて、君の左の人差し指と拇指（おやゆび）の間の皮膚の筋を見て、君が採金地の株を買わなかったと云うことが、あまり首をひねりまわさない中（うち）に解ったと云うわけさ」
"I see no connection."	「どうも僕には何の事か解らないね」
