THE DEAD	死者たち
LILY, the caretaker's daughter, was literally run off her feet.	管理人の娘、リリーは文字通りてんてこ舞いだった。
Hardly had she brought one gentleman into the little pantry behind the office on the ground floor and helped him off with his overcoat than the wheezy hall-door bell clanged again and she had to scamper along the bare hallway to let in another guest.	紳士を一人、一階の事務所の裏の小さな食器室に案内して彼がコートを脱ぐのを手伝ったばっかりだのに、また玄関のゼーゼー言ってるベルががらんと鳴って、彼女は別の客を通すために玄関ホールのむき出しの通路を急いで駆けなければならなかった。
It was well for her she had not to attend to the ladies also.	ラッキーなことに彼女はご婦人たちの世話まで見る必要はなかった。
But Miss Kate and Miss Julia had thought of that and had converted the bathroom upstairs into a ladies' dressing-room.	でもミス・ケイトとミス・ジュリアはそのことを考えて、二階のバスルームをご婦人たちの化粧室に変えたのだった。
Miss Kate and Miss Julia were there, gossiping and laughing and fussing, walking after each other to the head of the stairs, peering down over the banisters and calling down to Lily to ask her who had come.	ミス・ケイトとミス・ジュリアはその辺にいて、噂話をしたり笑ったり空騒ぎをしたり、かわるがわる階段の上まで歩いてきては、手すり越しに下をじっと見て誰が来たのと訊くために下のリリーに呼びかけたりしていた。
It was always a great affair, the Misses Morkan's annual dance.	いつも大事件だった、年に一度のモーカン三嬢の舞踏会は。
Everybody who knew them came to it, members of the family, old friends of the family, the members of Julia's choir, any of Kate's pupils that were grown up enough, and even some of Mary Jane's pupils too.	一族の一員、家族の旧友、ジュリアの聖歌隊の一員、すっかり成長したケイトの生徒たち、メアリー・ジェーンの生徒さえもまた幾人か、と、彼らを知る者は皆やってきた。
Never once had it fallen flat.	一度としてまったくの期待はずれに終わったことはなかった。
For years and years it had gone off in splendid style, as long as anyone could remember;	毎年毎年、思い出せる限りの長い間、それは華麗なスタイルで行われてきた。
ever since Kate and Julia, after the death of their brother Pat, had left the house in Stoney Batter and taken Mary Jane, their only niece, to live with them in the dark, gaunt house on Usher's Island, the upper part of which they had rented from Mr. Fulham, the corn-factor on the ground floor.	ケイトとジュリアが兄のパットが死んだ後、家をストーニー・バターに残し、ただ一人の姪、メアリー・ジェーンを連れ、一階で穀物問屋を営むフルハム氏から上階の部分を借りてアシャーズ・アイランドの暗く寂しい家に暮らすようになって以来だ。
That was a good thirty years ago if it was a day.	それはどうしたって優に三十年は前のことだ。
Mary Jane, who was then a little girl in short clothes, was now the main prop of the household, for she had the organ in Haddington Road.	あの頃短い服を着た小さな少女だったメアリー・ジェーンが今では家族の大黒柱として、ハディントン・ロードのオルガンを受け持っていた。
She had been through the Academy and gave a pupils' concert every year in the upper room of the Antient Concert Rooms.	彼女はアカデミーを修了し、毎年生徒のコンサートをアンシェント・コンサート・ルームスの上階の部屋で催していた。
Many of her pupils belonged to the better-class families on the Kingstown and Dalkey line.	彼女の生徒の多くはキングスタウンとダルキー沿線の上流階級の家庭に属していた。
Old as they were, her aunts also did their share.	老いたりとはいえ、叔母たちもまた役割を果たした。
Julia, though she was quite grey, was still the leading soprano in Adam and Eve's, and Kate, being too feeble to go about much, gave music lessons to beginners on the old square piano in the back room.	ジュリアは、すっかり白髪になったがいまだにアダムアンドイヴズでは第一ソプラノであり、ケイトは、体が弱くなってあまりがんばれなかったが奥の部屋の古いスクエアピアノで初心者に音楽を教えていた。
Lily, the caretaker's daughter, did housemaid's work for them.	管理人の娘、リリーは彼らのために家政婦の務めを果たしていた。
