The Horse Dealer's Daughter	馬商の娘馬商の娘
David Herbert Lawrence	デイヴィド・ハーバート・ロレンス
'Well, Mabel, and what are you going to do with yourself?'	「よう、メイベル、で、お前はこれからどうするつもりだ？」
asked Joe, with foolish flippancy.	と、ジョーは下卑た軽薄な調子で言った。
He felt quite safe himself.	自分のことは、彼はさほど心配していなかった。
Without listening for an answer, he turned aside, worked a grain of tobacco to the tip of his tongue, and spat it out.	相手の返事に耳を傾けるつもりもなく、脇を向いて、煙草のかすを舌先に押し出し、それから唾と吐き出した。
He did not care about anything,	彼は何事も想いわずらわなかった
since he felt safe himself.	──自分の身空は安心だと思っていたのだ。
The three brothers and the sister sat round the desolate breakfast table, attempting some sort of desultory consultation.	三人の兄弟とその妹は、寒々とした朝食の卓を囲んで坐り、何かしらぼやぼやと相談をつづけていた。
The morning's post had given the final tap to the family fortunes, and all was over.	その日の朝届いた郵便が、もはや、彼らに打つ術はないことを告げ、一家の命運にとどめを刺したのだった。
The dreary dining-room itself, with its heavy mahogany furniture, looked as if it were waiting to be done away with.	彼らのいる食堂は、重々しいマホガニーの調度と相俟って、あたかも観念して処分されるのを待っているかのように、暗澹として見えた。
But the consultation amounted to nothing.	相談はどこに行き着くはずもなかった。
There was a strange air of ineffectuality about the three men, as they sprawled at table, smoking and reflecting vaguely on their own condition.	三人の兄弟たちは、手足を卓に投げ出し、煙草を吸い、自分の身の上をあいまいに考えているうちに、得体の知れない無力感にとりまかれたようになった。
The girl was alone, a rather short, sullen-looking young woman of twenty-seven.	ひとり除け者になっている妹は、たいそう小柄な、無愛敬な顔つきの、二十七歳の娘だった。
She did not share the same life as her brothers.	つねから、兄弟たちとは考えや感じ方を共有することのない彼女だった。
She would have been good-looking, save for the impassive fixity of her face, 'bull-dog', as her brothers called it.	もしその間鈍い硬い表情が抜ければ、彼女も美しい見目だったろうが、兄弟たちからは普段「ブルドッグ」と揶揄されていた。
There was a confused tramping of horses' feet outside.	戸の外には、馬がのし歩く入り乱れた足音が響いていた。
The three men all sprawled round in their chairs to watch.	三人の兄弟は椅子にだらしなく腰掛けたまま、それを眺める恰好になった。
Beyond the dark holly-bushes that separated the strip of lawn from the highroad, they could see a cavalcade of shire horses swinging out of their own yard, being taken for exercise.	街道と前庭とを隔てる、色の濃いヒイラギの茂みの向うに、勁悍な馬たちが、身体を馴らすため厩舎から連れ出され、列をなして颯爽と歩いているのが見えた。
This was the last time.	これが見納めだった。
These were the last horses that would go through their hands.	その馬たちが、彼らが売買を仲立ちする最後の馬になるはずだった。
The young men watched with critical, callous look.	その馬の歩みぶりを、彼らは荒廃した、むごいような目付きで見ていた。
They were all frightened at the collapse of their lives, and the sense of disaster in which they were involved left them no inner freedom.	彼らはみな自分の零落を恐れ、心の安らぎを奪う悲運の念に憑かれていた。
Yet they were three fine, well-set fellows enough.	とはいえ彼ら三人は皆、いかにも見目良い、逞しさのあふれる男だった。
Joe, the eldest, was a man of thirty-three, broad and handsome in a hot, flushed way.	長男のジョーは三十五歳で、その燃えるように溌剌とした物腰は頑健で、人目を引くとさえ言えた。
His face was red, he twisted his black moustache over a thick finger, his eyes were shallow and restless.	平生、ジョーの顔は赤み帯び、太々した指で黒い口髭をひねっていて、眼差しははしこく、落ちつきがなかった。
He had a sensual way of uncovering his teeth when he laughed, and his bearing was stupid.	彼は肉感あらわに歯を見せて笑い、立ち居振舞いは不遜だった。
Now he watched the horses with a glazed look of helplessness in his eyes, a certain stupor of downfall.	だが今は、自分の生活の破綻に茫然となり、諦めのぼんやりした眼差しで馬を見送っているのだった。
The great draught-horses swung past.	魁偉な馬たちが躍々と歩き過ぎて行った。
They were tied head to tail, four of them, and they heaved along to where a lane branched off from the highroad, planting their great hoofs floutingly in the fine black mud, swinging their great rounded haunches sumptuously, and trotting a few sudden steps as they were led into the lane, round the corner.	彼らは四頭ずつ、尾から頭へと繋がれて連なり、街道から枝分かれする小径へ向っていたが、滑らかに黒い泥をものともせず、大きなひづめを地に突き立て、見事に引き締った腿肉を豪奢にうねらせながら、小径にさしかかると不意に敏捷な足取りになって、角を折れて行くのだった。
Every movement showed a massive, slumbrous strength, and a stupidity which held them in subjection.	馬たちの動息一つひとつに、重みのある、眠っているような落ち着いた力強さと、人にしたがえられている従順な愚かさがあった。
The groom at the head looked back, jerking the leading rope.	先に立つ馬丁は、振り向いては、引き綱を無理に引っ張った。
And the calvalcade moved out of sight up the lane, the tail of the last horse, bobbed up tight and stiff, held out taut from the swinging great haunches as they rocked behind the hedges in a motionlike sleep.	やがて馬の行列は小径に消えたが、その一番後ろを歩く馬の尾──短く断ち切って整えた尾は、垣根を透かして、あたかも眠りながらの動きのように揺れている、馬の見事な臀の流れるに従って、しなやかに靡いていた。
Joe watched with glazed hopeless eyes.	ぼんやりした絶望の眼差しで、ジョーはそれを見ていた。
The horses were almost like his own body to him.	馬たちの境遇が彼と無縁とは思えなかった。
He felt he was done for now.	自分はもう終わりだと、彼は思っていた。
Luckily he was engaged to a woman as old as himself, and therefore her father, who was steward of a neighbouring estate, would provide him with a job.	幸いにも、彼は自分と同い年の女性と婚約しており、従って、近隣の地所の家令をしているその父親が、彼に職を与えてくれることになっている。
He would marry and go into harness.	つまり、彼はいずれ結婚して轡をはめられるのだ。
His life was over, he would be a subject animal now.	人生はついえ、もはや彼は他に隷属する動物にすぎない。
He turned uneasily aside, the retreating steps of the horses echoing in his ears.	彼は苛立ち気味に向き直ったが、遠ざかっていく馬の足音はまだ彼の耳に響いていた。
Then, with foolish restlessness, he reached for the scraps of bacon-rind from the plates, and making a faint whistling sound, flung them to the terrier that lay against the fender.	ジョーは滑稽なほど落ち着きがなく、しばらくすると、皿からベーコンの上皮の切れ端をつまんで、短く口笛を吹き、それを暖炉の前囲いに身を寄せて寝ていたテリア犬に放ってやった。
He watched the dog swallow them, and waited till the creature looked into his eyes.	ベーコンをがつがつ呑み込む犬に、眼を据えて、その獣が、彼を物欲しげに見つめ返すのを待った。
Then a faint grin came on his face, and in a high, foolish voice he said:	それから、微かな嘲笑を浮べて、甲高い、下卑た声で言った。
'You won't get much more bacon,	「ベーコンもっと欲しいか？
shall you,	ええ？
you little b----?'	欲しいだろう、このちび奴！」
The dog faintly and dismally wagged its tail, then lowered his haunches, circled round, and lay down again.	犬は怖じ怖じと惨めに尻尾を振り、臀を垂れ、ぐるりと廻ってみせたが、また身を横たえてしまった。
There was another helpless silence at the table.	ふたたびやりきれない沈黙が卓のまわりに降りた。
Joe sprawled uneasily in his seat, not willing to go till the family conclave was dissolved.	ジョーは苛立たしげに、だらしなく椅子に腰掛け、この家族会議が済むまで発って行く気も起きないようだった。
Fred Henry, the second brother, was erect, clean-limbed, alert.	次男のフレッド・ヘンリーは、姿勢の良い、身綺麗な、隙のない男だった。
He had watched the passing of the horses with more _sang-froid_.	馬の行列が過ぎ去るのを、彼は、兄よりも平静に眺めていた。
If he was an animal, like Joe, he was an animal which controls, not one which is controlled.	彼もまた兄のジョーと同じく、動物に喩えるなら、支配される側の獣ではなく、支配する側の獣だった。
He was master of any horse, and he carried himself with a well-tempered air of mastery.	彼は今までいかなる馬も掌中で扱ってきたのだし、毅然とふるまう支配者としての物腰が、自然身に付いていた。
But he was not master of the situations of life.	しかし彼も、畢竟人生の異事の支配者ではなかった。
He pushed his coarse brown moustache upwards, off his lip, and glanced irritably at his sister, who sat impassive and inscrutable.	彼は唇を覆っている茶色の粗々した口髭を、指で押し上げ、そして不気味に、ずっと無表情に坐っている妹に向って、癇の強い一瞥を投げた。
'You'll go and stop with Lucy for a bit, shan't you?'	「お前はしばらく、ルーシーのところに厄介になるんだったな？」
he asked.	彼は訊いた。
The girl did not answer.	妹は応えなかった。
'I don't see what else you can do,'	「けっ、外に身の振りようがないだろうが、」
persisted Fred Henry.	とフレッド・ヘンリーは重ねて言った。
'Go as a skivvy,'	「女中にでもなりゃいいさ、」
Joe interpolated laconically.	ジョーが言葉を挟んだ。
The girl did not move a muscle.	彼女は身じろぎ一つしなかった。
'If I was her, I should go in for training for a nurse,'	「僕が姉さんだったら、これから看護婦見習いになるだろうな、」
said Malcolm, the youngest of them all.	と、末弟のマルコムが言った。
He was the baby of the family, a young man of twenty-two, with a fresh, jaunty _museau_.	彼は一家の“ちび”で、快活な、がんぜ無い面立ちをした、二十二歳の若者だった。
But Mabel did not take any notice of him.	だがメイベルは、マルコムの言葉にも表情を動かさなかった。
They had talked at her and round her for so many years, that she hardly heard them at all.	これまで幾年ものあいだ、彼らは彼女に話しかけ、彼女の周囲で言葉を交わしてきたのだが、もはや、彼女がそれを気にかけることはほとんどないのだった。
The marble clock on the mantel-piece softly chimed the half-hour, the dog rose uneasily from the hearthrug and looked at the party at the breakfast table.	マントルピースの上の大理石の時計が、柔らかな音で正時半を告げると、犬が、不安気に敷物から身を起し、朝食の卓のまわりの彼らを見やった。
But still they sat on in ineffectual conclave.	しかし、まだ、彼らは益体無い相談をつづける恰好で、椅子に坐っていた。
'Oh, all right,'	「よし、わかった、」
said Joe suddenly, _a propos_ of nothing.	と、何についての事か、曖昧に、ジョーは突然言った。
'I'll get a move on.'	「俺はそろそろ行くぜ。」
He pushed back his chair, straddled his knees with a downward jerk, to get them free, in horsy fashion, and went to the fire.	彼は椅子を後ろへ押しやり、股を開いて、馬に乗るときような恰好で、膝を曲げてほぐすと、立ち上がって暖炉のそばへ歩み寄った。
Still he did not go out of the room;	彼は部屋を出て行こうとはしなかった
he was curious to know what the others would do or say.	──というのも、他の者がこれから何を言い、何をしようとするのか、興味があったのだ。
He began to charge his pipe, looking down at the dog and saying, in a high, affected voice:	ジョーはパイプに煙草を詰め、犬を見下ろしながら、甲高い、わざとらしい作り声で話し掛けた。
'Going wi' me?	「おい、一緒に行くか？
Going wi' me are ter?	俺に付いてくるか、お前？
Tha'rt goin' further than tha counts on just now,	お前にゃ想いもよらねえ、ずっと遠くへ行くことになるぜ。
dost hear?'	おい、いいか？」
The dog faintly wagged its tail,	犬はかすかに尾を振った。
the man stuck out his jaw and covered his pipe with his hands, and puffed intently, losing himself in the tobacco, looking down all the while at the dog with an absent brown eye.	彼は顎をしゃくりながら、パイプを手に包んでひたすら煙草を吸い、引っ切りなしに煙を吐き出していたが、そのあいだずっと、茶色の空ろな眼で、犬を見下ろしていた。
The dog looked up at him in mournful distrust.	犬の方でも彼を見上げたが、それは哀しげな不信の目色だった。
Joe stood with his knees stuck out, in real horsy fashion.	ジョーは、馬乗りのような恰好で、膝を突き出して立っていた。
'Have you had a letter from Lucy?'	「ルーシーから手紙は来たか？」
Fred Henry asked of his sister.	フレッド・ヘンリーは妹に訊ねた。
'Last week,'	「先週ね。」
came the neutral reply.	と無機質な声が返った。
'And what does she say?'	「なんて書いてあった？」
There was no answer.	相手は応えなかった。
'Does she _ask_ you to go and stop there?'	「お前に家に来いって言ってるのか？」
persisted Fred Henry.	とフレッド・ヘンリーはしつこく訊いた。
'She says I can if I like.'	「そうしたければ、そうしていいって。」
'Well, then, you'd better.	「なら、そうすりゃいい。
Tell her you'll come on Monday.'	月曜には行くって彼女に伝えてやれよ。」
This was received in silence.	その言葉の後には、深い沈黙が降りた。
'That's what you'll do then,	「そうするしかないだろ？
is it?'	ええ？」
said Fred Henry, in some exasperation.	と、フレッド・ヘンリーはやや腹立ちまぎれに言った。
But she made no answer.	だが彼女は応えなかった。
There was a silence of futility and irritation in the room.	もの憂さと苛立ちとを含んだ沈黙が、部屋に充ちた。
Malcolm grinned fatuously.	マルコムは間抜けたように、にやにや笑っていた。
'You'll have to make up your mind between now and next Wednesday,'	「来週の水曜までにはどうするか決めなきゃならんだろうな、」
said Joe loudly,	と、ジョーは声を大きくして言った、
'or else find yourself lodgings on the kerbstone.'	「でなけりゃ、野ざらしになるかだな。」
The face of the young woman darkened, but she sat on immutable.	翳りが娘の顔に差したが、やはり彼女はじっと坐っていた。
'Here's Jack Fergusson!'	「あ、ジャック・ファーガソンがいるよ！」
exclaimed Malcolm, who was looking aimlessly out of the window.	ぼんやり窓の外に眼を向けていたマルコムが、突然叫んだ。
'Where?'	「どこに？」
exclaimed Joe, loudly.	とジョーが喧しく訊ねた。
'Just gone past.'	「もう通り過ぎてった。」
'Coming in?'	「こっちに来そうか？」
Malcolm craned his neck to see the gate.	マルコムは門口の方を見ようと首を伸ばした。
'Yes,'	「来るね、」
he said.	と彼は言った。
There was a silence.	言葉は途切れた。
Mabel sat on like one condemned, at the head of the table.	メイベルはあたかも非難されているかのように、卓の上座にさらされて坐っていた。
Then a whistle was heard from the kitchen.	やがて台所に口笛の音が立った。
The dog got up and barked sharply.	犬が起き上がり鋭く吠え立てた。
Joe opened the door and shouted:	扉を開けたジョーは、大声で言った。
'Come on.'	「入りな！」
After a moment a young man entered.	少し間をおいて若い男が入って来た。
He was muffled up in overcoat and a purple woollen scarf, and his tweed cap, which he did not remove, was pulled down on his head.	彼は外套と紫の毛織りのスカーフに身を包み、ツイードの帽子を目深にかぶって、それを脱がずに立っていた。
He was of medium height, his face was rather long and pale, his eyes looked tired.	身の丈は中くらい、顔はとても縦長で蒼白く、両眼には疲れを浮べていた。
'Hello, Jack!	「こんにちは、ジャック！」
Well, Jack!'	「よう、ジャック！」
exclaimed Malcolm and Joe.	とマルコムとジョーは騒いだ。
Fred Henry merely said,	フレッド・ヘンリーは、ただ
'Jack.'	「ジャックか。」
'What's doing?'	「どんな具合だい？」
asked the newcomer, evidently addressing Fred Henry.	と客人は、マルコムとジョーにではなく、フレッド・ヘンリーに向って、訊ねた。
'Same.	「変わらんよ。
We've got to be out by Wednesday.	水曜までにはここを立ち退かなきゃならん。
--Got a cold?'	──風邪を引いたのかい？」
'I have	「まあね。
--got it bad, too.'	──こっちの具合もかんばしくないってわけだ。」
'Why don't you stop in?'	「家で寝てりゃいいじゃないか。」
'_Me_ stop in?	「家で寝る？
When I can't stand on my legs, perhaps I shall have a chance.'	まあ、いよいよ身体を壊してぶっ倒れたなら、そんな機会もあるだろうな。」
The young man spoke huskily.	と、若い男はしゃがれ声で言った。
He had a slight Scotch accent.	少しスコットランド訛りのある語気だった。
'It's a knock-out, isn't it,'	「こいつはたまげたぜ、」
said Joe, boisterously,	と、ジョーが騒々しく口を挟んだ、
'if a doctor goes round croaking with a cold.	「風邪引いて、のど嗄らした医者が、診察に参るってわけだ。
Looks bad for the patients, doesn't it?'	患者にとっちゃ良い話じゃねえな？」
The young doctor looked at him slowly.	若い医師はゆっくりとジョーに眼を向けた。
'Anything the matter with _you_, then?'	「ではあなたも、どこか具合が悪いんですね？」
he asked sarcastically.	と、彼は皮肉っぽく訊ねた。
'Not as I know of.	「別に悪かねえよ。
Damn your eyes, I hope not.	悪いわけないだろ、縁起でもねえ。
Why?'	なぜそんなこと訊くんだ？」
'I thought you were very concerned about the patients, wondered if you might be one yourself.'	「いや、あまりに患者のことを心配されているから、あなたも患者になるご予定がおありかと思ってね。」
'Damn it, no, I've never been patient to no flaming doctor, and hope I never shall be,'	「へっ、俺は今まで藪医者の世話になったことはなし、今後も世話になるつもりはないね。」
returned Joe.	とジョーは言い返した。
At this point Mabel rose from the table, and they all seemed to become aware of her existence.	そのときメイベルが卓から立ち上がり、彼らは皆、彼女の動息に少し注意を向けた。
She began putting the dishes together.	彼女は皿を重ね片付けはじめた。
The young doctor looked at her, but did not address her.	若い医師は彼女の方を見たが、声を掛けはしなかった。
He had not greeted her.	彼はまだ挨拶すらしていなかった。
She went out of the room with the tray, her face impassive and unchanged.	盆を持って部屋を出て行く彼女の顔は、やはり無表情で頑なだった。
'When are you off then, all of you?'	「皆さんは、いつ頃ここを出発するんですか？」
asked the doctor.	と医師が訊ねた。
'I'm catching the eleven-forty,'	「僕は十一時四十分のに乗るよ、」
replied Malcolm.	とマルコムが応えた、
'Are you goin' down wi' th' trap, Joe?'	「ジョー兄さん、兄さんは軽馬車で行くんだっけ？」
'Yes,	「そうさ。
I've told you I'm going down wi' th' trap, haven't I?'	さっき言ったじゃねえか、軽馬車で行くってな。」
'We'd better be getting her in then.	「じゃあそろそろ、馬の仕度をした方がいいよね。
--So long, Jack,	──ジャック、それじゃさよなら。
if I don't see you before I go,'	これが最後になるかもしれないからね、」
said Malcolm, shaking hands.	とマルコムは言って、ジャックと握手をした。
He went out, followed by Joe, who seemed to have his tail between his legs.	マルコムが部屋を出て行くのに、ジョーも従いて行ったが、彼の様子には、どこか負け犬のような物悲しさがあった。
'Well, this is the devil's own,'	「やれやれ、とんだ悲劇だな、」
exclaimed the doctor, when he was left alone with Fred Henry.	と、医師はフレッド・ヘンリーと二人きりになってから、慨嘆した。
'Going before Wednesday, are you?'	「水曜にはもう行っちまうのかい？」
'That's the orders,'	「それが定めさ。」
replied the other.	相手は応えた。
'Where,	「何処へ？
to Northampton?'	ノーサンプトンか？」
'That's it.'	「そうなるね。」
'The devil!'	「まさに悲劇だ！」
exclaimed Fergusson, with quiet chagrin.	静かな無念を噛みしめ、ファーガソンは強く言った。
And there was silence between the two.	二人のあいだにしばらく沈黙が続いた。
'All settled up, are you?'	「借金の片は付いたんだろ？」
asked Fergusson.	と、ファーガソンが訊ねた。
'About.'	「大体ね。」
There was another pause.	ふたたび言葉が途切れた。
'Well, I shall miss yer, Freddy, boy,'	「フレディ、会えなくなるのは寂しいな、」
said the young doctor.	と若い医師は言った。
'And I shall miss thee, Jack,'	「俺もさ。」
returned the other.	相手は応えた。
'Miss you like hell,'	「まったく辛いな──」
mused the doctor.	と、医師は物思わしげに言った。
Fred Henry turned aside.	フレッド・ヘンリーは脇を向いた。
There was nothing to say.	もう言うべきことは何もなかった。
Mabel came in again, to finish clearing the table.	そこへ、卓を仕舞いまで片付けるために、メイベルがふたたび入って来た。
'What are _you_ going to do, then, Miss Pervin?'	「あなたはこれからどうされるんですか、ミス・パーヴィン？」
asked Fergusson.	とファーガソンは訊ねた。
'Going to your sister's, are you?'	「お姉さんの婚家へ行くのでしたっけ？」
Mabel looked at him with her steady, dangerous eyes, that always made him uncomfortable, unsettling his superficial ease.	メイベルは、彼を剣呑な、揺るがない硬い眼つきで見返したが、それは以前から、彼を不安にさせ、つねに彼のうわべの礼節を脅かしてきた眼差しだった。
'No,'	「行きません、」
she said.	と彼女は言った。
'Well, what in the name of fortune _are_ you going to do?	「なら、これから一体全体どうするつもりだ？
Say what you mean to do,'	言え！」
cried Fred Henry, with futile intensity.	と、フレッド・ヘンリーは深追いする語勢で叫んだ。
