A Diagnosis of Death	死の診断
Ambrose Bierce	アンブローズ・ビアス
“I am not so superstitious as some of your physicians - men of science, as you are pleased to be called,”	「ぼくは、きみたち医者――きみたちの好きな呼び方で言えば、科学の徒、ということになるんだろうけど、とにかくそういう人たちの一部ほどには、迷信ぶかくない」
said Hawver, replying to an accusation that had not been made.	とホーヴァーは、いまだ為されぬ非難に答えて言った。
“Some of you -	「きみらの一部は――
only a few, I confess -	確かに、ごく少数なんだけど――
believe in the immortality of the soul,	魂の不滅や幻影などを信じている。
and in apparitions which you have not the honesty to call ghosts.	正直に幽霊と呼ぼうとはしないみたいだけどね。
I go no further than a conviction that the living are sometimes seen where they are not, but have been - where they have lived so long,	それはそれとして、人は、いま実際にはいないけれど、かつて長いこといた場所に現れることがある――
perhaps so intensely, as to have left their impress on everything about them.	おそらく、なみなみならぬ生活を送っていたところには、あらゆるものにその人の印象が染みついているんだろうな。
Doubtless the impressing personality has to be the right kind of personality as the perceiving eyes have to be the right kind of eyes -	疑いなく、そこで印象に与えられる人格は正しい人格でなきゃならない、それを受けとめる目が正しかるべき目でないといけないように――
mine, for example.”	たとえば、ぼくのがそうだ」
“Yes, the right kind of eyes, conveying sensations to the wrong kind of brain,”	「そうとも、正しかるべき目、感覚を悪しかるべき脳に伝えるようなね」
said Dr. Frayley, smiling.	と、ドクター・フレイリーは苦笑して言った。
“Thank you;	「ありがとう、
one likes to have an expectation gratified;	予想どおりってのは誰にとっても悪い気分じゃないね。
that is about the reply that I supposed you would have the civility to make.”	というのはつまり、きみの礼儀正しい返事についてだよ」
“Pardon me.	「そりゃあすまない、
But you say that you know.	きみは自分の言っていることが分かっていたわけか。
That is a good deal to say, don’t you think?	だけどやはり言いすぎだ、そう思わないかい？
Perhaps you will not mind the trouble of saying how you learned.”	いったいなにからそんなことを学んだのか、聞かせてもらいたいな」
“You will call it an hallucination,”	「きみは妄想というに決まっている」
Hawver said,	ホーヴァーは言った。
“but that does not matter.”	「けれどもまあいいさ」
And he told the story.	そしてかれは物語を始めた。
“Last summer I went, as you know, to pass the hot weather term in the town of Meridian.	「夏にね、知っていると思うけど、暑い頃をマリディアンの街で過ごしたんだ。
The relative at whose house I had intended to stay was ill, so I sought other quarters.	ぼくは親戚の家に泊まるつもりだったんだけど、その親戚が病気にかかっていたから他を当たった。
After some difficulty I succeeded in renting a vacant dwelling	ちょっと手間はかかったけど、うまいこと空いている住まいを借りられた。
that had been occupied by an eccentric doctor of the name of Mannering, who had gone away years before, no one knew where, not even his agent.	そこには以前、マナーリングという名前のおかしな医者が住んでいてね、数年前にいなくなったということで、誰も、かれの代理人でさえどこに行ったのか知らないんだそうだ。
He had built the house himself and had lived in it with an old servant for about ten years.	その医者は、自分が建てたその家に年をくった召使いと一緒に10年くらい住んでいた。
His practice, never very extensive, had after a few years been given up entirely.	医者としての仕事はあまりやっていなくて、数年後には完全にやめてしまったそうだ。
Not only so, but he had withdrawn himself almost altogether from social life and become a recluse.	それだけでなくほとんどの社会的生活から身を引いて、世捨て人のようになった。
I was told by the village doctor, about the only person with whom he held any relations,	村の医者くらいとは多少の連絡があったようだね。
that during his retirement he had devoted himself to a single line of study,	その医者から聞いたところでは、引退後はある一線をひたすら研究していたそうだ。
the result of which he had expounded in a book	その結果を一冊の本に著した。
that did not commend itself to the approval of his professional brethren, who, indeed, considered him not entirely sane.	同業者たちのうけはよくなかったらしくて、実際のところ、まったく正気の沙汰じゃないとみなされたんだと。
I have not seen the book and cannot now recall the title of it, but I am told that it expounded a rather startling theory.	ぼくはその本を見たことがないし、題名すら思い出せないけど、どちらかというととんでもない理論を連ねたものらしい。
He held that it was possible in the case of many a person in good health to forecast his death with precision, several months in advance of the event.	かれは、多数の健康的な人物について、その死の何ヶ月も前に死を予見することができると主張した。
The limit, I think, was eighteen months.	最大で、たしか18ヶ月だったかな。
There were local tales of his having exerted his powers of prognosis,	なんでもかれは予知の力を持っていたなんて噂もある。
or perhaps you would say diagnosis;	あるいは、きみらは診断と呼びたがるかもしれない。
and it was said that in every instance the person whose friends he had warned had died suddenly at the appointed time,	かれが警告した人の友人はことごとく、指定された時間に急死したんだそうだ。
and from no assignable cause.	しかも、その原因は特定できるようなものじゃなかったらしい。
All this, however, has nothing to do with what I have to tell;	けれどもこれはぜんぶ、ぼくの言おうとしていることとは関係ない。
I thought it might amuse a physician.	まあ、医者にはおもしろいかなと思っただけだ。
w“The house was furnished, just as he had lived in it.	「その家は家具つきで、かれが住んでいたころのままだった。
It was a rather gloomy dwelling for one who was neither a recluse nor a student,	どっちかというと不気味な住まいだったな、世捨て人でも学者でもない人間にとっては。
and I think it gave something of its character to me -	なにかこう、特徴的なところがあってね――
perhaps some of its former occupant’s character;	ひょっとしたら、前に住んでいたかれの特徴なのかもしれない。
for always I felt in it a certain melancholy	だって、たしかに憂鬱な気分になるんだよ、あそこにいると。
that was not in my natural disposition, nor, I think, due to loneliness.	ぼくはそもそもそういう性格じゃないし、それにたぶん、ひとりぼっちでいるからでもなかったと思う。
I had no servants that slept in the house, but I have always been, as you know, rather fond of my own society,	住みこみの召使いは置かなかったけど、それはきみも知ってのとおり、ぼくは独りでいるのほうが好きだからだ。
being much addicted to reading,	たくさん本を読めるからね。
though little to study.	まあ、研究とかはしないけど。
Whatever was the cause, the effect was dejection and a sense of impending evil;	その原因はともかくとして、落ちこむような、何か嫌な感じを受けた。
this was especially so in Dr. Mannering’s study,	これはドクター・マナーリングの書斎でとくに感じたね。
although that room was the lightest and most airy in the house.	家の中でいちばん明るくて風通しのいい部屋だったってのに。
The doctor’s life-size portrait in oil hung in that room, and seemed completely to dominate it.	ドクターを等身大で描いた油絵がその部屋にはかかっていて、部屋を完全に支配しているように見えた。
There was nothing unusual in the picture;	その絵にはまったく変なところがなかった。
the man was evidently rather good looking, about fifty years old, with iron-gray hair, a smooth-shaven face and dark, serious eyes.	どっちかというと見栄えのいい男だったね、年は50くらいで、髪は鉄灰色、きれいに髭をそった顔に、暗色の真面目そうな目をしていた。
Something in the picture always drew and held my attention.	何かその絵には気になるところがあってしょっちゅう見ていた。
The man’s appearance became familiar to me, and rather ‘haunted’ me.	それでその男の外見は身近に感じられるようになった、というか、ぼくに『取り憑いた』んだよ。
“One evening I was passing through this room to my bedroom,	「ある晩、ぼくはこの部屋を抜けて寝室に行こうとしていた。
with a lamp -	ランプを持ってね――
there is no gas in Meridian.	マリディアンにガスはきてないから。
I stopped as usual before the portrait, which seemed in the lamplight to have a new expression,	いつものように肖像画の前に立ち止まると、ランプの灯りのもとではまた違った感じがした。
not easily named, but distinctly uncanny.	言葉で言うのは難しいけど、はっきりと超常的なところがあったよ。
It interested but did not disturb me.	ただ興味深いばかりで、不安にさせるようなところはなかった。
While so engaged I felt an impulse to turn round.	そのうち、ぼくは衝動的に振りかえった。
As I did so I saw a man moving across the room directly toward me!	すると、ひとりの男が部屋の向こうからまっすぐぼくに向かってきていたんだ！
As soon as he came near enough for the lamplight to illuminate the face I saw that it was Dr. Mannering himself;	男がランプの光がとどくところまでくるとすぐに、それがドクター・マナーリングそのひとだと分かった。
it was as if the portrait were walking!	まるで肖像画から抜け出してきたみたいだったよ！
“‘I beg your pardon,’	「『失礼ですが』
I said,	とぼくは言った。
somewhat coldly,	ちょっと冷たくね。
‘but if you knocked I did not hear.’	『ノックの音はしなかったように思いますが』
“He passed me, within an arm’s length,	「かれはぼくのそば、ちょうど手が届くくらいのところを通りすぎて行った。
lifted his right forefinger, as in warning,	右の人差し指を警告するように掲げてね。
and without a word went on out of the room,	そのまま一言もいわずに部屋を出ていった。
though I observed his exit no more than I had observed his entrance.	ぼくには、かれが出てきたときと同じくらいのことしかかれが出て行くところから見て取ることができなかった。
