Cracking DES	DESをクラック
Secrets of	暗号研究、
How federal	連邦機関は
Encryption Research,	盗聴政策と
agencies	こうして
Wiretap Politics	チップ設計の
subvert	プライバシーを
& Chip Design	侵害する
Cracking DES:	DESのクラック：
Secrets of Encryption Research, Wiretap Politics, and Chip Design	暗号研究と盗聴政策、チップ設計の秘密
The test-file, bootstrap, and bootstrap2 listings in Chapter 4 are Copyright &copy;1997 by Network Associates, Inc.	第四章のテストファイル、ブートストラップ、ブートストラップ2の掲載物の著作権保有者は、&copy;1997 by Network Associates, Inc. である。
These listings may be reproduced in whole or in part without payment of royalties.	この掲載物は、全体、部分を問わず、使用料の支払いなしに複製が認められる。
Chapter 10, Architectural Considerations for Cryptanalytic Hardware, is Copyright &copy; 1996 by the authors, Ian Goldberg and David Wagner.	第10章「暗号分析ハードウェアのアーキテクチャ上の考察」は、著者Ian GoldbergとDavid Wagnerが著作権 &copy; 1996 を保有する。
who can be reached at iang@cs.berkeley.edu and daw@cs.berkeley.edu.	著者たちとは iang@cs.berkeley.edu と daw@cs.berkeley.eduで連絡がとれる。
Chapter 11, Efficient DES Key Search: An Update, is Copyright &copy; 1997 by Entrust Technologies.	第11章「効率のよいDES鍵の探索：アップデート」の著作権保有者は、Entrust Technologies &copy; 1997 である。
It may be reproduced in whole or in part without payment of royalties.	これは、全体、部分を問わず、使用料の支払いなしに複製が認められる。
Chapter 9, Breaking One Million DES Keys, is Copyright &copy; 1986.	第 9 章「100 万のDES 鍵を破る」は&copy; 1986 である。
Work done at the University of Leuven, Belgium, and supported by the NFWO, Belgium.	作業はベルギー王国の University of Leuven でおこなわれ、ベルギー王国の NFWO の支援の元で実施された。
It may not be reproduced without the permission of the author,	この部分は著者の許可なく複製を行ってはならない。
who can be reached at desmedt@cs.uwm.edu.	著者とはdesmedt@cs.uwm.eduで連絡がとれる。
Distributed by O'Reilly & Associates, Inc., 101 Morris Street, Sebastopol, CA 95472	原著発売は、O'Reilly & Associates, Inc., 101 Morris Street, Sebastopol, CA 95472 USA である。
May 1998: First Edition.	May 1998: 初版
Many of the designations used by manufacturers and sellers to distinguish their products are claimed as trademarks.	製造業者や販売業者が自分の製品を区別するために使っている名称・呼称の多くは、商標として登録されている。
Where those designations appear in this book, and the publisher was aware of a trademark claim, the designations have been printed in caps or initial caps.	こうした商標が本書に登場し、それが商標であると出版者が認識していた場合には、その名称はすべて大文字か、あるいは頭文字を大文字化して表記してある。
While many precautions have been taken in the preparation of this book, the publisher and distributor assume no responsibility for errors or omissions, or for damages resulting from the use of the information contained herein.	本書の制作にあたっては多大な注意がはらわれてはいるものの、出版者も配布者も、まちがいや欠落については責任をいっさいおわず、さらにここに含まれた情報の利用から生じた損害についてもいっさい責任をおわない。
Foreword ........................................ix	序文 ........................................ix
Preface .......................................xiii	はじめに .......................................xiii
1: Overview.....................................1-1	1: 概論.....................................1-1
Politics of Decryption ......................1-1	解読の政治性.................................1-1
Goals .......................................1-7	ねらい ......................................1-7
History of DES Cracking .....................1-8	DES クラッキングの歴史 ......................1-8
EFF's DES Cracker Project ...................1-8	EFF の DES クラッカープロジェクト ...........1-8
Architecture ................................1-9	アーキテクチャ ..............................1-9
Who Else Is Cracking DES? ..................1-16	ほかにはだれが DES をクラックしているだろう? ..1-16
What To Do If You Depend On DES ............1-17	DES を使っていたらどうすればいいの？ .........1-17
Conclusion .................................1-18	結論 ........................................1-18
2: Design for DES Key Search Array .............2-1	2: DES 鍵探索アレイのデザイン ..................2-1
On-Chip Registers ..........................2-1	チップのレジスタ ............................2-1
Commands ....................................2-4	コマンド ....................................2-4
Search Unit Operation .....................2-4	探索ユニットのはたらき ......................2-4
Sample Programming Descriptions .............2-5	見本プログラムの説明 ........................2-5
Scalability and Performance .................2-9	スケーラビリティと性能 ......................2-9
Host Computer Software ......................2-9	ホストコンピュータのソフト ..................2-9
Glossary ...................................2-10	用語集 .....................................2-10
3. Design for DES Key Search Array Chip-Level Specification ..3-1	3. DES 鍵探索アレイの設計：チップレベルの仕様 ..3-1
ASIC Description .........................................3-1	ASIC の説明 ..............................................3-1
Board description ........................................3-3	基板の説明 ...............................................3-3
Read and Write Timing ....................................3-5	リード／ライトのタイミング ...............................3-5
Addressing Registers .....................................3-7	アドレス指定用レジスタ ...................................3-7
All-active Signal ........................................3-7	All-active 信号 ..........................................3-7
ASIC Register Allocation .................................3-8	ASIC レジスタ割り当て ....................................3-8
4: Scanning the Source Code ..................................41	4: ソースコードのスキャン ..................................4-1
The Politics of Cryptographic Source Code .................4-1	暗号ソースコードの政治性 ..................................4-1
The Paper Publishing Exception ............................4-2	紙の出版物は例外 ..........................................4-2
Scanning ..................................................4-4	スキャン ..................................................4-4
Bootstrapping .............................................4-5	ブートストラップ ..........................................4-5
ftp://ftp.nic.surfnet.nl/surfnet/net-security/encryption/cracking_DES/] [Chapters 5, 6 and 7 (offsite)]	[以下の5, 6, 7 章のソースコードそのものは以下にある：
5: Software Source Code ......................................5-1	5: ソフトウェアのソースコード ......................................5-1
6: Chip Source Code ..........................................6-1	6: チップのソースコード ..........................................6-1
7: Chip Simulator Source Code ................................7-1	7: チップシミュレータのソースコード ................................7-1
8: Hardware Board Schematics (offsite) ....................................8-1	8: ハードウェア：基板の回路 ....................................8-1
Board Schematics ......................................................8-1	基板回路 ......................................................8-1
Sun-4/470 backplane modifications ................................8-10	Sun-4/470 バックプレーンの改造................................8-10
PC Interfaces .......................................................8-12	PC インターフェース .......................................................8-12
Errata ...............................................8-13	正誤表 ...............................................8-13
9: Breaking One Million DES Keys by Yvo Desmedt .........9-1	9: 百万DES鍵を破る：Yvo Desmedt著 .........9-1
Abstract .............................................9-1	概要 .................................................9-1
Introduction .........................................9-1	はじめに .............................................9-1
The basic idea .......................................9-2	基本的な考え方 .......................................9-2
Details of such a machine ............................9-2	マシンの詳細 .........................................9-2
Obtained results and remarks .........................9-4	得られた結果と考察 ...................................9-4
Conclusion ...........................................9-4	結論 .................................................9-4
Acknowledgement ......................................9-5	謝辞 .................................................9-5
vii 10: Architectural Considerations for Cryptanalytic Hardware .. 10-1	10: 暗号解析ハードウェアのアーキテクチャ考察 .. 10-1
11: Efficient DES Key Search--An Update by Michael J. Wiener 11-1	11: 効率のよいDES鍵の探索：アップデート：Michael J. Wiener 著 11-1
Advancing Technology ................11-2	技術の進歩 ..........................11-2
Programmable Hardware ...............11-3	プログラマブル・ハードウェア ........11-3
Conclusion ............................................................................11-4	結論 ............................................................................11-4
12: Authors ......................................................................12-1	12: 著者紹介 ......................................................................12-1
In 1974 the Stanford computer science community ate at Loui's.[1]	1974 年にスタンフォードの計算機科学の連中は、Loui's で食事をした。 [1]
As I sat eating one evening in the fall, Butler Lampson approached me, and in the course of inquiring what I was doing, remarked that the IBM Lucifer system was about to be made a national standard.	秋のある晩にわたしが食事をしていると、Butler Lampson がやってきて、最近なにをやっているときく中で、IBM の Lucifer システムが全国標準規格になるよ、と話してくれた。
I hadn't known it, and it set me thinking.	わたしはそれを知らなかったので、思案をはじめた。
My thoughts went as follows:	考えはこんな具合にすすんだ。
NSA doesn't want a strong cryptosystem as a national standard, because it is afraid of not being able to read the messages.	NSA は、メッセージが読めなくなるといやだから、強い暗号システムを全国標準規格にしたくないんだな。
On the other hand, if NSA endorses a weak cryptographic system and is discovered, it will get a terrible black eye.	一方で、もし NSA が弱い暗号システムを推薦して、それがばれたら、ぼこぼこにされることになる。
Hints that Butler was correct began to appear and I spent quite a lot of time thinking about this problem over the next few months.	Butler が正しいらしいということで、わたしはこの問題についてその後数ヶ月にわたっていろいろ考えることになった。
It led me to think about trap-door cryptosystems and perhaps ultimately public-key cryptography.	そこから落とし穴式の暗号システムについて考えて、そして最終的には公開鍵暗号方式のことを考えるようになった。
When the Proposed Data Encryption Standard was released on the 17th of March 1975 [2], I thought I saw what they had done.	データ暗号化規格（DES）の案が 1975 年 3 月 17 日にリリースされて[2],、わたしはかれらのやったことが見えたと思った。
