Twenty rules for writing detective stories	探偵小説を書くときの二十則探偵小説を書くときの二十則
THE DETECTIVE story is a kind of intellectual game.	探偵小説は一種の知的ゲームである。
It is more ―― it is a sporting event.	いや、それ以上に―スポーツである。
And for the writing of detective stories there are very definite laws	したがって、探偵小説を書くのにあたっては、とても厳格なルールが存在する。
―― unwritten, perhaps, but none the less binding;	もちろん、成文化されてはいないけれども、拘束力にはかわりがない。
and every respectable and self-respecting concocter of literary mysteries lives up to them.	自他ともに認める、偉大なミステリー文学の書き手はみなこのルールを守っている。
Herewith, then, is a sort Credo,	それゆえ、ここに私の”信条”としているルールを書く。
based partly on the practice of all the great writers of detective stories, and partly on the promptings of the honest author's inner conscience.	このルールは、推理小説に貢献したすべての作者の慣習と、私の内なる良心に基づいて決めたものである。
To wit:	それを以下に記す：
1. The reader must have equal opportunity with the detective for solving the mystery.	読者には、謎を解くチャンスが探偵と同じようになければならない。
All clues must be plainly stated and described.	すべての手がかりを読者の目の前に記述しておかなければならない。
2. No willful tricks or deceptions may be placed on the reader	読者に対して意図的なトリックやごまかしを用いてはならない。
other than those played legitimately by the criminal on the detective himself.	もちろん、犯人から探偵に対して当然なされるようなものは除く。
3. There must be no love interest.	恋愛のたぐいを小説に導入してはならない。
The business in hand is to bring a criminal to the bar of justice, not to bring a lovelorn couple to the hymeneal altar.	探偵小説の任務は、犯人を裁きの場に引き出すことであり、恋に悩むカップルを結婚の祭壇に導くことではない。
4. The detective himself, or one of the official investigators, should never turn out to be the culprit.	探偵自身・あるいは捜査当局の一員は決して犯人にするべきではない。
This is bald trickery, on a par with offering some one a bright penny for a five-dollar gold piece. It's false pretenses.	これは恥知らずな詐欺であり、ピカピカの１セント貨を５ドル金貨だといって人に与えるようなものだ。
5. The culprit must be determined by logical deductions ――	犯人は論理的な推理によって決定されなければならない。
not by accident or coincidence or unmotivated confession.	事故・暗号・動機なき自供によって決定してはならない。
