In recording from time to time some of the curious experiences and interesting recollections which I associate with my long and intimate friendship with Mr. Sherlock Holmes, I have continually been faced by difficulties caused by his own aversion to publicity.	ミスター・シャーロック・ホームズとの親しい友情関係もずいぶん長く続いている。
To his sombre and cynical spirit all popular applause was always abhorrent,	内向的で辛辣なホームズにとって、大衆の称賛はいつだって嫌悪すべきものだった。
and nothing amused him more at the end of a successful case than to hand over the actual exposure to some orthodox official, and to listen with a mocking smile to the general chorus of misplaced congratulation.	また成功に終わった事件についても、警察関係者に事件の摘発を任せてしまい、見当違いの方向に送られる賛辞の大合唱に冷笑を浮かべながら耳を傾けるのを何よりの愉しみにしていた。
It was indeed this attitude upon the part of my friend and certainly not any lack of interesting material which has caused me of late years to lay very few of my records before the public.	ここ数年記録をほとんど公にしていなかったのは、実際のところ、ホームズのこの態度が原因で、決して面白い題材を欠いていたわけではない。
My participation in some if his adventures was always a privilege which entailed discretion and reticence upon me.	私は、ホームズの冒険に参加したりする特権を持っていたけれども、それは思慮と沈黙を私に負わせるものでもあったのだ。
It was, then, with considerable surprise	だから、あのとき私はかなり驚いた。
that I received a telegram from Homes last Tuesday	先の火曜日、ホームズからきた電報に
--he has never been known to write where a telegram would serve	――ホームズは電報の届くところに手紙を書くような人間ではない
in the following terms:	――こんなことが書いてあったのだ。
Why not tell them of the Cornish horror	コーンワル　ノ　キョウフ　ヲ　コウヒョウセヨ
--strangest case I have handled.	――ボクガ　テガケタ モットモ　キミョウナ　ジケン　ヲ．
I have no idea what backward sweep of memory had brought the matter fresh to his mind, or what freak had caused him to desire that I should recount it;	どんなきっかけからこの事件を思い出したのか、そしてどんな酔狂から公表されるべきだと望んだのかは分からない。
but I hasten,	だが急いで
before another cancelling telegram may arrive,	――ホームズからキャンセルの電報がくるかもしれない
to hunt out the notes which give me the exact details of the case and to lay the narrative before my readers.	――この事件の詳細を正確に書き記したノートを探し出し、読者諸氏にその物語を聞かせよう。
It was, then, in the spring of the year 1897 that Holmes's iron constitution showed some symptoms of giving way	あれは、そう、1897年の春、ホームズの鋼の体にも翳りが見られるようになった。
in the face of constant hard work of a most exacting kind, aggravated, perhaps,by occasional indiscretions of his own.	きわめて厄介な依頼が連続的にやってきたこともあるし、おそらくは時折やらかす無茶の数々に拍車をかけられたのだろう。
In March of that year Dr. Moore Agar, of Harley Street,	その年の3月、ハーレー街のドクター・ムーア・アガー
whose dramatic introduction to Holmes I may some day recount,	――この人とホームズとの劇的な出会いについてはそのうちお話することがあるかもしれない
