Discourse on the Method of Rightly Conducting the Reason, and Seeking the Truth in the Sciences	もろもろの学問分野で、正しく理詰めで真理を探究するための方法についての考察
Rene Descartes	ルネ・デカルト 著
PREFATORY NOTE BY THE AUTHOR	著者による序文的な記述
If this Discourse appear too long to be read at once, it may be divided into six Parts:	もしこの論説が、一度に読むには長すぎると思ったら、6 部に分けてもかまわない。
and, in the first, will be found various considerations touching the Sciences;	最初のところには、科学に関わるいろいろな考察が書いてある。
in the second, the principal rules of the Method which the Author has discovered,	二番目のところには、著者の見いだした方法の基本的な原理が書いてある。
in the third, certain of the rules of Morals which he has deduced from this Method;	三番目には、この方法から導かれる道徳規則が書いてある。
in the fourth, the reasonings by which he establishes the existence of God and of the Human Soul,	四番目には、著者が神と人間の魂の存在を証明したときの理由づけが書いてある。
which are the foundations of his Metaphysic;	神と人間の魂は、著者の形而上学の基盤となるものだ。
in the fifth, the order of the Physical questions which he has investigated, and, in particular, the explication of the motion of the heart and of some other difficulties pertaining to Medicine,	五番目の部分には、著者が検討した肉体的な問題各種、特に心臓の動きや医学に関わるその他のさまざまな困難が書いてある。
as also the difference between the soul of man and that of the brutes;	さらには人間の魂と獣の魂とのちがいにもふれた。
and, in the last, what the Author believes to be required in order to greater advancement in the investigation of Nature than has yet been made, with the reasons that have induced him to write.	そして最後の部分には、いままでに行われてきたものよりさらに自然の探求を進歩させるにあたり、著者が必要だと信じていることが書かれ、そして著者が本書を書こうと思った理由も説明されている。
PART 1	第 1 部
Good sense is, of all things among men, the most equally distributed;	分別は、人間のもつあらゆるものの中でも、もっとも平等に分け与えられている。
for every one thinks himself so abundantly provided with it, that those even who are the most difficult to satisfy in everything else, do not usually desire a larger measure of this quality than they already possess.	というのも、だれでもみんな、自分には分別がじゅうぶんに備わっていると思っているし、その他のものについてはなかなか満足しない人だって、分別についてだけは、手持ち以上にほしいなんて願わないのがふつうだからだ。
And in this it is not likely that all are mistaken the conviction is rather to be held as testifying that the power of judging aright and of distinguishing truth from error, which is properly what is called  good sense or reason, is by nature equal in all men;	そしてこれは、正しいものを判断し、真実とまちがいとを識別する能力、つまりいみじくも分別や理性と呼ばれるものが万人に平等だという証拠だと考えるべきなのであって、この点でみんながまちがっているということは、あまりありそうにない。
and that the diversity of our opinions, consequently, does not arise from some being endowed with a larger share of reason than others, but solely from this, that we conduct our thoughts along different ways, and do not fix our attention on the same objects.	われわれの意見が多様なのは、別にもらった理性の分け前が人によって多いから起こるのではなくて、単にみんなの関心の対象がちがっていて、ものの考えかたもまちまちだからなのだ。
For to be possessed of a vigorous mind is not enough;	つまり活発な精神を持つだけでは不十分であって、
the prime requisite is rightly to apply it.	いちばんだいじな要件というのは、その精神を正しく適用することなのだ。
The greatest minds, as they are capable of the highest excellences, are open likewise to the greatest aberrations;	最高の精神は、最高にすぐれた成果を挙げることもできるが、同時にものすごくはずれていってしまうことだって、じゅうぶんに可能だ。
and those who travel very slowly may yet make far greater progress, provided they keep always to the straight road, than those who, while they run, forsake it.	そしてとてもゆっくりと旅する者であっても、必ずまっすぐな道をたどるならば、走りはするがまっすぐな道を捨てる者にくらべて、ずっと遠くまで進むことができるだろう。
For myself, I have never fancied my mind to be in any respect more perfect than those of the generality;	というのもこのわたし自身だって、どんな点でも自分の精神が人並み以上に完璧だなどと思ったことがないのだ。
on the contrary, I have often wished that I were equal to some others in promptitude of thought, or in clearness and distinctness of imagination, or in fullness and readiness of memory.	それどころか、思考のすばやさや、想像力の明晰さや独自性、あるいは記憶力の確かさやそれを思い出す素早さの点で、ほかの人たち並の水準になれたらなあ、と願うこともしょっちゅうだ。
And besides these, I know of no other qualities that contribute to the perfection of the mind;	そしていま挙げたもの以外には、精神の完成に貢献するような資質はわたしには思いつかない。
for as to the reason or sense, inasmuch as it is that alone which constitutes us men, and distinguishes us from the brutes, I am disposed to believe that it is to be found complete in each individual;	というのも、われわれ人間をつくり、獣と区別する唯一のものは理性や判断力なのだけれど、わたしはそれが各個人の中に、それぞれ完璧な形で見つかるものと信じているからだ。
and on this point to adopt the common opinion of philosophers,	そしてこの点で、哲学者たちに共通意見を採用しておこう。
who say that the difference of greater and less holds only among the accidents, and not among the forms or natures of individuals of the same species.	かれらは、優れているとか劣っているとかいうのは、accidentsのみの間に適用されるものであって、同じ種の個体の形態や性質について適用されるものではない、と言っている。
I will not hesitate, however, to avow my belief that it has been my singular good  fortune to have very early in life fallen in with certain tracks	とはいえ人生のごくはやい時期に、いまの方向に進めたのは、きわめて運がよかったことは真っ先に認めよう。
which have conducted me to considerations and maxims, of which I have formed a method that gives me the means, as I think, of gradually augmenting my knowledge, and of raising it by little and little to the highest point	この方向にきたおかげで、いろんな考察や一般原理を検討し、そこから知識をだんだん補って高めていける（と思う）ような手法を編み出せたから。
which the mediocrity of my talents and the brief duration of my life will permit me to reach.	わたしの才能は凡庸だし、人生も短いけれど、この手法を使えばその限界の中で到達できる最高点にまでたどりつけるのだ。
For I have already reaped from it such fruits that,	わたしはそこからすでにとてもたくさんの成果を得ている。
although I have been accustomed to think lowly enough of myself, and although when I look with the eye of a philosopher at the varied courses and pursuits of mankind at large, I find scarcely one which does not appear in vain and useless,	我が身については慎み深くするのが常だけれど、哲学者の目で見てやると、わたしの成果にくらべれば人類全体のいろんな分野や探求は、ほとんどすべてが無内容で役立たずに見えてしまう。
I nevertheless derive the highest satisfaction from the progress I conceive myself to have already made in the search after truth,	だから、わたしは、真理の探究で自分が達成したと思う進歩には満足しきっている。
and cannot help entertaining such expectations of the future as to believe that if, among the occupations of men as men, there is any one really excellent and important, it is that which I have chosen.	将来への期待もついつい高まってしまっていて、人の人としての職業のなかで、どれか本当に優秀で大事なものを一つ選ぶとすれば、それはわたしが選んだこの仕事だと思うほどだ。
After all, it is possible I may be mistaken;	とはいえ、わたしがまちがっていることもあるだろう。
and it is but a little copper and glass, perhaps, that I take for gold and diamonds.	ただの銅やガラスでしかないものを、黄金やダイヤモンドだと思いこんでいるだけかもしれない。
I know how very liable we are to delusion in what relates to ourselves, and also how much the judgments of our friends are to be suspected when given in our favor.	自分にかかわることについて、人がどれほど幻想に陥りやすいかは知っているし、友人の下す判断がこちらに好意的なときには、かなり疑ってかかるべきなのも知っている。
But I shall endeavor in this discourse to describe the paths I have followed,	でも、この著作では、わたしがたどってきた道を記述してみよう。
and to delineate my life as in a picture,	そして絵のようにわたしの一生を描き出してみよう。
in order that each one may also be able to judge of them for himself, and that in the general opinion entertained of them, as gathered from current report, I myself may have a new help towards instruction to be added to those I have been in the habit of employing.	みんなが自分なりの判断を下せるように、そしてこの文章から得られるものに対してもたれるいろいろな意見から、このわたしも自分がこれまで採用してきたやり方に対し、何か追加すべき方法を加えるための、新たな手助けが得られるように。
My present design, then, is not to teach the method which each ought to follow for the right conduct of his reason,	というわけで、いまのこの著作の構想というのは、理性を正しく執行するために各人がたどるべき手法を教えることではない。
but solely to describe the way in which I have endeavored to conduct my own.	わたし自身がそれを執行するときに使っている方法を記述することだ。
They who set themselves to give precepts must of course regard themselves as possessed of greater skill than those to whom they prescribe;	もちろん処方を与えようとする者は、それを受け取る側より高い能力を持っているつもりのはずだ。
and if they err in the slightest particular, they subject themselves to censure.	そして個別の点でちょっとでもまちがえたら、非難を浴びることになる。
