A DOG OF FLANDERS	フランダースの犬
OUIDA	ウィーダ
Nello and Patrasche were left all alone in the world.	ネロとパトラッシュは、この世で二人きりでした。
They were friends in a friendship closer than brotherhood.	彼らは、実の兄弟よりも仲のよい大の親友でした。
Nello was a little Ardennois;	ネロは、アルデンネ（ベルギーの地名）生まれの少年でした。
Patrasche was a big Fleming.	パトラッシュは、大きなフランダース犬でした。
They were both of the same age by length of years;	どちらも年は一緒でした。
yet one was still young, and the other was already old.	けれども、ネロはまだ若く、パトラッシュはもう年寄りでした。
They had dwelt together almost all their days;	彼らは生きている間、ほとんど一緒に暮らしていました。
both were orphaned and destitute, and owed their lives to the same hand.	どちらも両親を亡くし、非常に貧しく、同じ人の手で養われていました。
It had been the beginning of the tie between them,--their first bond of sympathy,	初めて出会った時から彼らを結びつけたきずなーーそれは共感のきずなでしたがーーはあったのでした。
--and it had strengthened day by day, and had grown with their growth, firm and indissoluble,	そして、その共感のきずなは日を追う毎に強まり、彼らが成長するに従い成長し、しっかりと切り離すことができなくなりました。
until they loved one another very greatly.	そして、ついには、お互い深く深く愛し合うようになったのでした。
Their home was a little hut on the edge of a little village	彼らの家は小さな村のはずれにある、小さな小屋でした。
--a Flemish village a league from Antwerp,	村は、フランダース地方にあり、アントワープから５キロばかり離れていました。
set amidst flat breadths of pasture and corn-lands,	村は、広々とした牧草地と、とうもろこし畑に挟まれた平野にありました。
with long lines of poplars and of alders bending in the breeze on the edge of the great canal which ran through it.	平野を横切る運河のほとりには、ポプラとハンノキの長い並木がそよ風に吹かれてたなびいていました。
It had about a score of houses and homesteads,	村には、およそ二十軒ばかりの家と農家がありました。
with shutters of bright green or sky blue, and roofs rose red or black and white, and walls whitewashed until they shone in the sun like snow.	その家々は、雨戸は明るい緑か空色で、屋根はばら色か白と黒のまだらで、壁は日差しに照らされると雪とみまがうほどに真っ白でした。
In the centre of the village stood a windmill,	村の中心には、風車小屋がありました。
placed on a little moss-grown slope;	その小屋は、少しこけの生えた斜面に建っていました。
it was a landmark to all the level country round.	風車小屋は、あたり一帯の平野からは、よい目印になっていました。
It had once been painted scarlet, sails and all;	かつて風車小屋は、帆も何もかも真っ赤に塗られていました。
