The Bolted Door	『閉ざされたドア』
Edith Wharton	イーディス・ウォートン
Hubert Granice, pacing the length of his pleasant lamp-lit library, paused to compare his watch with the clock on the chimney-piece.	心地よいランプの明かりに照らされた書斎を行きつ戻りつしていたヒューバート・グラニスは、足を止めて、暖炉の上の置き時計と腕時計をくらべてみた。
Three minutes to eight.	八時三分前。
In exactly three minutes Mr. Peter Ascham, of the eminent legal firm of Ascham and Pettilow, would have his punctual hand on the door-bell of the flat.	もう三分もすれば、著名な法律事務所アスカム・アンド・ペティローのピーター・アスカム弁護士が、時間きっかりにアパートの呼び鈴を押すことだろう。
It was a comfort to reflect that Ascham was so punctual	アスカムが時間に几帳面で助かった。
-- the suspense was beginning to make his host nervous.	どっちつかずの状態は、グラニスの神経にとって、徐々に耐え難いものになっていた。
And the sound of the door-bell would be the beginning of the end	呼び鈴の音は、最終幕が開く合図だ。
-- after that there'd be no going back, by God -- no going back!	これより先、二度と上がることのない幕の――神かけて、もう二度と。
Granice resumed his pacing.	ふたたび部屋の往復が始まった。
Each time he reached the end of the room opposite the door he caught his reflection in the Florentine mirror above the fine old walnut credence he had picked up at Dijon	ドアの反対側まで来るたびに、フィレンツェ様式の鏡――以前ディジョンで見つけた年代物の上等なクルミ戸棚の上にかかっている――に映った自分の姿が目に入る。
-- saw himself spare, quick-moving, carefully brushed and dressed, but furrowed, gray about the temples,	細身ですばやい身のこなし、念入りにブラシをかけた服を着込んではいるが、皺の刻まれた顔、こめかみには白髪が混じる。
with a stoop which he corrected by a spasmodic straightening of the shoulders whenever a glass confronted him:	鏡に向かうと、いつも反射的に背筋を伸ばしてしまう猫背。
a tired middle-aged man,	疲れた中年男がいた。
baffled, beaten, worn out.	途方に暮れ、打ちのめされ、疲れ果てた男だ。
As he summed himself up thus for the third or fourth time the door opened	そうやって自分の姿を見定めるのも三度目か四度目を数えたころ、ドアが開いた。
and he turned with a thrill of relief to greet his guest.	安堵のあまり逆に胸を高鳴らせて、やってきた客を迎えようと振り返った。
But it was only the man-servant who entered, advancing silently over the mossy surface of the old Turkey rug.	だが入ってきたのは、召使いただひとり、苔に覆われたようになめらかな古いトルコ絨毯の上を、音もなく近寄ってくる。
"Mr. Ascham telephones, sir,	「アスカム様よりお電話がございました。
to say he's unexpectedly detained and can't be here till eight-thirty."	急な御用が出来なさったそうで、八時半までお越しになれないとのことでした」
Granice made a curt gesture of annoyance.	落胆したグラニスは返事をする気にもなれない。
It was becoming harder and harder for him to control these reflexes.	反射的に動いてしまわないよう自分をコントロールすることが、だんだんむずかしくなっているのだ。
He turned on his heel, tossing to the servant over his shoulder:	きびすを返して背を向けたグラニスは、肩越しに言った。
"Very good.	「結構。
Put off dinner."	食事を遅らせてくれ」
Down his spine he felt the man's injured stare.	傷ついた召使いの視線が背中に痛い。
Mr. Granice had always been so mild-spoken to his people	旦那様は以前はいつだって、大変穏やかにお話になる方だったのに
-- no doubt the odd change in his manner had already been noticed and discussed below stairs.	――グラニスの態度が変わったことは、みんなもう気がついていて、階下でもあれこれ取りざたしているにちがいない。
And very likely they suspected the cause.	おそらくはその原因にも薄々気づいているのだろう。
He stood drumming on the writing-table till he heard the servant go out;	ライティング・テーブルの前に立ってイライラと机を叩きながら、召使いが部屋を出ていく音がするのを待った。
then he threw himself into a chair, propping his elbows on the table and resting his chin on his locked hands.	椅子に身を投げ出すようにして腰をおろし、両肘をついて、組んだ手の上に顎をのせる。
Another half hour alone with it!	あと三十分もたったひとりでこれに向き合わなければならない！
He wondered irritably what could have detained his guest.	アスカムは何の用事で遅くなったんだろう、と苛立ちまぎれに考えた。
Some professional matter, no doubt	仕事上の用件であることは、まちがいなかろう。
-- the punctilious lawyer would have allowed nothing less to interfere with a dinner engagement,	――時間に厳しい弁護士が、夕食の約束を遅らせるほどのことなのだ。
more especially since Granice, in his note, had said:	ことにグラニスは手紙で
"I shall want a little business chat afterward."	「あとで仕事上の話があります」
<2> But what professional matter could have come up at that unprofessional hour?	だが、こんな遅い時間に起こった仕事上の用件とはいったいなんだろう。
Perhaps some other soul in misery had called on the lawyer;	弁護士を呼ぶ惨めな人間がもうひとりいたということか。
and, after all, Granice's note had given no hint of his own need!	どのみち自分は、来てほしい理由をそれとなくさえ言ってはいないのだ。
No doubt Ascham thought he merely wanted to make another change in his will.	どうせアスカムは、遺言状にもうひとつ変更を加えたいんだろう、ぐらいにしか考えていないにちがいない。
Since he had come into his little property, ten years earlier, Granice had been perpetually tinkering with his will.	確かに自分は十年ほど前、小規模の地所を相続したときに、遺言状を飽くことなく手直しし続けた過去がある。
Suddenly another thought pulled him up,	不意に思い当たって、グラニスは思わず立ち上がった。
sending a flush to his sallow temples.	血色の悪いこめかみに血が上ってくる。
He remembered a word he had tossed to the lawyer some six weeks earlier, at the Century Club.	自分が六週間前、センチュリー・クラブで弁護士に言ったことばを思い出したのだ。
"Yes	「ええ
-- my play's as good as taken.	――わたしの戯曲は採用されたも同然なんです。
I shall be calling on you soon to go over the contract.	契約を検討する段になったら、すぐにお電話しますよ。
Those theatrical chaps are so slippery	演劇関係の連中なんて、まったく信用ならない。
-- I won't trust anybody but you to tie the knot for me!"	間を取り持ってくれる人は、あなた以外考えられませんから」
That, of course, was what Ascham would think he was wanted for.	もちろんアスカムは、会いたいと言っているのはその件だと思っているのだ。
Granice, at the idea, broke into an audible laugh	そのことを考えるとグラニスは、声をあげて笑い始めた。
-- a queer stage-laugh, like the cackle of a baffled villain in a melodrama.	奇妙な、芝居に出てくるような笑い声、メロドラマに面食らった悪役が不意にあげる、はじけるような笑い声。
The absurdity, the unnaturalness of the sound abashed him, and he compressed his lips angrily.	そんなことをしている愚かしさと不自然さが恥ずかしく、グラニスは腹を立てて唇を固く引き結んだ。
Would he take to soliloquy next?	おつぎはモノローグでも始めるつもりか。
He lowered his arms and pulled open the upper drawer of the writing-table.	左手を下に回してライティング・テーブルの上側の引き出しを開けた。
In the right-hand corner lay a thick manuscript, bound in paper folders, and tied with a string beneath which a letter had been slipped.	右隅にはフォルダーに綴じてある分厚い原稿があり、結わえた紐の内側に、手紙が滑りこませてある。
Next to the manuscript was a small revolver.	原稿の隣には、小型のリボルバーがあった。
Granice stared a moment at these oddly associated objects;	グラニスはこのふたつ、奇妙な組み合わせをしばらくじっと見ていた。
then he took the letter from under the string and slowly began to open it.	紐の下から手紙を抜き出し、ゆっくりと開く。
He had known he should do so from the moment his hand touched the drawer.	手が引き出しに触れたときから、自分がそうすることはわかっていた。
Whenever his eye fell on that letter some relentless force compelled him to re-read it.	視線が手紙をとらえたときは、抗うことのできない力が働いて、どうしても読み返さざるを得なくなってしまうのだった。
It was dated about four weeks back, under the letter-head of "The Diversity Theatre."	「ダイヴァーシティ・シアター」のレター・ヘッドの下には、四週間前の日付が入っていた。
"My Dear Mr. Granice:	親愛なるグラニス様
"I have given the matter my best consideration for the last month, and it's no use -- the play won't do.	先月一杯、熟考を重ねた結果、これは使えない、上演することはできないと判断いたしました。
I have talked it over with Miss Melrose	ミス・メルローズとも議論いたしました。
-- and you know there isn't a gamer artist on our stage	私どもの劇場には、敢えて博打を打とうとするものはおりません。
-- and I regret to tell you she feels just as I do about it.	残念ですがミス・メルローズも私と同じ考えです。
It isn't the poetry that scares her -- or me either.	ミス・メルローズが怖れたのは――私も同じ意見ですが――詩ではないのです。
We both want to do all we can to help along the poetic drama	私どもは、詩劇ならば、上演に向けてできる限りのお手伝いをしたいと思っております。
-- we believe the public's ready for it,	一般の人々も詩劇を待ち望んでいるでしょう。
and we're willing to take a big financial risk in order to be the first to give them what they want.	人々の待ち望むものを最初に提供する上での、財政上のリスクは、喜んで負うつもりでおります。
But we don't believe they could be made to want this.	けれどもこの作品が、待ち望まれたものであるとは思えないのです。
The fact is, there isn't enough drama in your play to the allowance of poetry	実際のところ、あなたの戯曲には、詩を受け入れるためのドラマ性に欠けています。
-- the thing drags all through.	その欠点は全編を通じてのものです。
You've got a big idea, but it's not out of swaddling clothes.	着想はすばらしいのだけれど、未だ産着を着た赤ん坊の状態を脱してはいないのです。
<3> "If this was your first play I'd say: try again.	これがグラニスさんの書いた初めての戯曲なら、書き直してください、と言うかもしれません。
But it has been just the same with all the others you've shown m.e	けれども、これまで拝見した戯曲のいずれも、まったく同じなのです。
And you remember the result of 'The Lee Shore,'	グラニスさんも『風下の海岸』がどうなったかは覚えておいででしょう。
where you carried all the expenses of production yourself, and we couldn't fill the theatre for a week.	制作費の一切をご負担してくださいましたが、あの作品は、たった一週間さえも劇場を満杯にできませんでした。
Yet 'The Lee Shore' was a modern problem play	おまけに『風下の海岸』は現代の問題劇でした。
-- much easier to swing than blank verse.	なんとかやっていこうと思えば、無韻詩よりもはるかに楽なのです。
It isn't as if you hadn't tried all kinds --"	まだ試していらっしゃらない種類の戯曲がある、と言っているわけではないのです。……
Granice folded the letter and put it carefully back into the envelope.	グラニスは手紙を畳むと、丁寧に封筒に収めた。
Why on earth was he re-reading it,	なんでまた読み返したりしたのだろう。
when he knew every phrase in it by heart,	一行一行、すべて暗記しているというのに。
when for a month past he had seen it, night after night, stand out in letters of flame against the darkness of his sleepless lids?	一ヶ月前にこれを目にして以来、夜ごと、まんじりともできない瞼の裏側に、炎に包まれた手紙が浮かび上がってくるというのに。
"It has been just the same with all the other you've shown me."	「これまで拝見した戯曲のいずれも、まったく同じなのです」
That was the way they dismissed ten years of passionate unremitting work!	それがあいつらの、十年間休むことなく、精魂込めて書いてきた仕事に対する仕打ちなのだ。
"You remember the result of 'The Lee Shore'."	「グラニスさんも『風下の海岸』がどうなったかは覚えておいででしょう」
Good God -- as if he were likely to forget it!	ちくしょう、忘れられるとでも思っているのか。
He re-lived it all now in a drowning flash:	いまになって抑えつけていた感情がどっとこみあげ、あらゆることがよみがえってきた。
the persistent rejection of the play, his sudden resolve to put it on at his own cost, to spend ten thousand dollars of his inheritance on testing his chance of success	何度頼んでも上演を拒まれたこと、自分が費用を負担すればいい、自分が相続した遺産のうちの一万ドルを、成功のチャンスがあるかどうか試すために使うんだ、と突然決意したこと。
-- the fever of preparation, the dry-mouthed agony of the "first night,"	熱に浮かされたように準備をし、舌が干上がるほど緊張した「開幕の夜」。
the flat fall,	さんざんな失敗。
the stupid press,	ばかげた報道。
his secret rush to Europe to escape the condolence of his friends!	慰めてくれる友人を振り切って、こっそりとヨーロッパへ逃げ出したこと。
"It isn't as if you hadn't tried all kinds."	「まだ試していらっしゃらない種類の戯曲がある、と言っているわけではないのです」
-- he had tried all kinds:	確かに、どんな種類も試してみたのだ。
comedy, tragedy, prose and verse, the light curtain-raiser, the short sharp drama, the bourgeoisrealistic and the lyrical-romantic	喜劇、悲劇、散文体と韻文体、軽い前座劇、短く激しい劇、中産階級の生態をリアルに描いたもの、叙情的でロマンティックなもの
-- finally deciding that he would no longer "prostitute his talent" to win popularity, but would impose on the public his own theory of art in the form of five acts of blank verse.	……そうやって最後に、一般受けをねらって「自分の才能を売り渡す」ことはもうやめよう、自分の芸術理論を五幕の無韻詩劇の形式にして、世間を圧倒しよう、と決心したのだ。
Ten years of it	十年をかけたのだ
-- ten years of dogged work and unrelieved failure.	……十年間、粘り強く取り組んできて、それが報われることなく終わったのだ。
The ten years from forty to fifty	四十から五十にかけての十年間
-- the best ten years of his life!	……人生最良のときではないか。
And if one counted the years before, the silent years of dreams, assimilation, preparation -- then call it half a man's life-time:	さらにそれ以前の歳月、夢見るだけだった年月、吸収し準備することに費やした日々を勘定に入れるなら、人生の半分と言えるだろう。
half a man's life-time thrown away!	人生の半分を浪費してしまったのだ。
And what was he to do with the remaining half?	ならば残り半分はどうしたらよいのだろう。
Well, he had settled that, thank God!	そう、ありがたいことに、自分はそれを決めてしまったのだ。
He turned and glanced anxiously at the clock.	振り向いて、不安げに時計をちらりと見た。
Ten minutes past eight	八時十分すぎ
-- only ten minutes had been consumed in that stormy rush through his whole past!	……たった十分間で、自分の半生を嵐のように駆け抜けたとは。
And he must wait another twenty minutes for Ascham.	このうえ二十分もアスカムを待っていなければならないのだ。
It was one of the worst symptoms of his case that, in proportion as he had grown to shrink from human company, he dreaded more and more to be alone. . . .	グラニスの場合、交友関係が狭くなるのと反比例するかのように、どんどんひとりになるのを怖れるようになったことが、良くない傾向のひとつとしてあらわれていた。
But why the devil was he waiting for Ascham?	なぜ自分はアスカムを待っているのだろう。
Why didn't he cut the knot himself?	自分で問題を解決しようとしないのだろう。
Since he was so unutterably sick of the whole business, why did he have to call in an outsider to rid him of this nightmare of living?	なにもかもに、ことばにできないほどうんざりしているのに、悪夢のようないまの生活から逃れるために、他人の力が必要なのだろう。
<4> He opened the drawer again and laid his hand on the revolver.	グラニスはもういちど引き出しをあけて、リボルバーに手をかけた。
It was a small slim ivory toy	小さく薄っぺらな象牙の玩具
-- just the instrument for a tired sufferer to give himself a "hypodermic" with.	――疲労困憊した人が打つ、皮下注射のための注射器。
Granice raised it slowly in one hand,	一方の手でそれをゆっくりと持ち上げた。
while with the other he felt under the thin hair at the back of his head, between the ear and the nape.	もう一方の手は、耳とうなじの間、後頭部の薄い髪の毛をかきわけて探っていく。
He knew just where to place the muzzle:	銃口をどこにあてたらいいかは、正確に知っていた。
he had once got a young surgeon to show him.	以前、若い外科医に教えてもらったことがあったのだ。
And as he found the spot, and lifted the revolver to it,	その場所を探りあて、リボルバーを持っていく。
the inevitable phenomenon occurred.	だがそこからどうしても進めない。
The hand that held the weapon began to shake, the tremor communicated itself to his arm, his heart gave a wild leap which sent up a wave of deadly nausea to his throat,	拳銃を握る手がわななき始め、その震えは腕を伝って心臓に達し、鼓動を猛り狂わせ、喉元に吐き気となってこみあげる。
he smelt the powder, he sickened at the crash of the bullet through his skull, and a sweat of fear broke out over his forehead and ran down his quivering face. . .	弾薬の臭いは鼻を突き、弾丸が頭蓋骨を砕くさまを思うと胸が悪くなり、額から吹き出した冷や汗は、がくがく震える頬を伝って落ちるのだった。
wHe laid away the revolver with an oath and, pulling out a cologne-scented handkerchief, passed it tremulously over his brow and temples.	呪いのことばを吐きながらリボルバーを置き、香水をしみこませたハンカチを出して、震える手で額とこめかみを拭う。
It was no use	無駄なこと
-- he knew he could never do it in that way.	――そんなことなどできはしないのは、わかっていたではないか。
His attempts at self-destruction were as futile as his snatches at fame!	自分に始末をつけようとすることも、名声を手に入れようとする努力と同じく、空しい企てだった。
He couldn't make himself a real life, and he couldn't get rid of the life he had.	自分に真実の人生を歩ませることもできず、これまでの人生にけりをつけることもできない。
And that was why he had sent for Ascham to help him. . .	だからこそ、アスカムに助けを求めたのだ……。
The lawyer, over the Camembert and Burgundy, began to excuse himself for his delay.	アスカム弁護士は、カマンベールチーズとブルゴーニュワインが出てくるころあいに、自分が遅れたことを詫びた。
"I didn't like to say anything while your man was about--	「使用人のいるところでこんな話をするのは気が引けるんだが……、
but the fact is, I was sent for on a rather unusual matter --"	実際、かなり奇妙な件で呼ばれたのです」
"Oh, it's all right,"	「そのことなら、気になさらんでください」
said Granice cheerfully.	グラニスは快活に言った。
He was beginning to feel the usual reaction that food and company produced.	食事をすませ、連れができたことで、普段の応対に戻っていた。
It was not any recovered pleasure in life that he felt, but only a deeper withdrawal into himself.	人生がふたたび喜ばしいものに感じられたわけではなく、単に自分自身を奥深くに引っ込めたにすぎなかったのだが。
It was easier to go on automatically with the social gestures than to uncover to any human eye the abyss within him.	機械的に人づきあいをしていくほうが、自分のなかの奈落を人目にさらすことよりも簡単だった。
