Evelin	エヴリン
from "Dubliners"	「ダブリンの人々」より
SHE sat at the window watching the evening invade the avenue.	彼女は窓辺に座り、夕暮れが通りをつつんでいくのを眺めていた。
Her head was leaned against the window curtains and in her nostrils was the odour of dusty cretonne.	頭を窓のカーテンにもたせかけていると、ほこりっぽいカーテンの香りがした。
She was tired.	彼女は疲れていた。
Few people passed.	人通りはほとんどなかった。
The man out of the last house passed on his way home;	通りのはずれの家から出てきた男は、家に向かって彼女の家の前を通り過ぎていった。
she heard his footsteps clacking along the concrete pavement	コンクリートの舗装を歩くコツコツという足音がした。
and afterwards crunching on the cinder path before the new red houses.	しばらくすると、新しい赤い家並の前の石炭殻をしいた道を歩くざくざくという音になった。
One time there used to be a field there in which they used to play every evening with other people's children.	そこには、よそのうちの子たちと毎晩遊んでいた空き地があった。
Then a man from Belfast bought the field and built houses in it	ベルファストから来た男が、その空き地を買い、家を建ててしまった。
--not like their little brown houses but bright brick houses with shining roofs.	彼らが住む小さな茶色の家ではなく、ぴかぴかした屋根の明るいレンガづくりの家だった。
The children of the avenue used to play together in that field	この通りのこどもたちは、あの空き地で遊んでいた。
--the Devines, the Waters, the Dunns, little Keogh the cripple, she and her brothers and sisters.	デヴァイン、ウォーター、ダンのうちのこどもたち、足がわるい小さなキオウ、彼女と兄弟たち。
Ernest, however, never played:	アーネストは遊んでいなかった。
he was too grown up.	彼は遊ぶには大きかった。
Her father used often to hunt them in out of the field with his blackthorn stick;	よく、父はリンボクステッキを振るって、こどもたちを空き地から追い払っていた。
but usually little Keogh used to keep nix and call out when he saw her father coming.	キオウはいつも見張りをしていたので、父が来るのを見つけると大声で叫んだものだ。
Still they seemed to have been rather happy then.	それでも、彼らはいまよりは、しあわせそうだった。
Her father was not so bad then;	父もいまほどはひどくなかった。
and besides, her mother was alive.	それに母が生きていた。
That was a long time ago;	ずいぶん昔のことだ。
she and her brothers and sisters were all grown up her mother was dead.	彼女と兄弟たちは大きくなり、母は死んだ。
Tizzie Dunn was dead, too, and the Waters had gone back to England.	ティジー・ダンも死に、ウォーターの一家はイングランドへ戻っていった。
Everything changes.	すべては変わっていく。
Now she was going to go away like the others, to leave her home.	いま、彼女も、彼らと同じように家を見捨てて出ていこうとしていた。
Home!	私の家！
She looked round the room, reviewing all its familiar object	彼女は部屋を見まわし、改めて見慣れたものを眺めてみた。
which she had dusted once a week for so many years, wondering where on earth all the dust came from.	降り積もるほこりはいったいどこから来るのだろうと思いながら、彼女は何年ものあいだ週に一度掃除してきた。
Perhaps she would never see again those familiar objects from which she had never dreamed of being divided.	これらの見慣れたものと別れるとは夢にも思わなかったが、たぶんもう二度と目にすることはないだろう。
And yet during all those years she had never found out the name of the priest whose yellowing photograph hung on the wall above the broken harmonium beside the coloured print of the promises made to Blessed Margaret Mary Alacoque.	壊れたハーモニウムの上の聖マルガリタ・マリア・アラコクとの約束の場面の色つきの版画の横にかかった黄ばんだ写真に写っている司祭の名前は、結局わからないままだった。
He had been a school friend of her father.	彼は父の学校時代の友達だ。
Whenever he showed the photograph to a visitor	父は客にその写真を見せるときはいつも
her father used to pass it with a casual word: "He is in Melbourne now."	「この司祭さんはいまメルボルンに住んでいるんですよ」とか、いい加減なことをいいながら、写真を手渡していた。
She had consented to go away, to leave her home.	彼女は、家を捨てて出ていこうという誘いを受け入れた。
Was that wise?	それは利口なこと？
She tried to weigh each side of the question.	彼女は二つの道を比べてみようと思った。
In her home anyway she had shelter and food;	家にいれば、寝る場所と食事はなんとかなるし、
she had those whom she had known all her life about her.	よく知った人たちもいる。
O course she had to work hard, both in the house and at business.	もちろん家でも勤め先でも、一生懸命働かなくてはならない。
What would they say of her in the Stores when they found out that she had run away with a fellow?	彼女が男と駆け落ちしたと知ったらデパートの人たちはなんと言うだろう。
Say she was a fool, perhaps;	たぶん、あの子は馬鹿よ、と言うに決まっている。
and her place would be filled up by advertisement.	そして、欠員は新聞広告を出せば埋まる。
Miss Gavan would be glad.	ギャバンさんは喜ぶだろう。
She had always had an edge on her,	彼女はいつもエヴリンにきつく当たった。
especially whenever there were people listening.	特に、誰か聞いている人がいるときにはいつも。
"Miss Hill, don't you see these ladies are waiting?"	「ヒルさん、お客さんたちがお待ちなのがわからないの」
"Look lively, Miss Hill, please."	「しっかり頼みますよ、ヒルさん」
She would not cry many tears at leaving the Stores.	デパートから離れても、涙はあまり流れないだろう。
But in her new home, in a distant unknown country, it would not be like that.	遠くの見知らぬ国にある新しい家では、すべてが違っているだろう。
Then she would be married--she, Eveline.	結婚する、このエヴリンが。
People would treat her with respect then.	みな、礼儀正しく接してくれるだろう。
She would not be treated as her mother had been.	母が受けてきたような扱いを受けることはないだろう。
Even now, though she was over nineteen, she sometimes felt herself in danger of her father's violence.	１９歳になったいまでも、父が暴力をふるう恐れを感じるときがある。
She knew it was that that had given her the palpitations.	胸がどきどきするのは、その恐れのせいだと気がついていた。
When they were growing up he had never gone for her like he used to go for Harry and Ernes,t	こどもたちが大きくなると、ハリーやアーネストにするようには、彼女には手をあげることはなくなった。
because she was a girl	彼女が女の子だからだ。
but latterly he had begun to threaten her and say what he would do to her only for her dead mother's sak.e	しかし、最近では、彼女を脅すようになり、死んだ母の手前言わなかったことを言うようになってきた。
And no she had nobody to protect her.	それに、いまでは彼女を守ってくれる人はだれもいなかった。
Ernest was dead and Harry, who was in the church decorating business, was nearly always down somewhere in the country.	アーネストは死に、教会の内装工事の仕事をしているハリーは、たいていどこかの田舎へ出かけていた。
Besides, the invariable squabble for money on Saturday nights had begun to weary her unspeakably.	土曜日の夜には、必ずお金のことで口げんかになり、彼女はつくづくうんざりしていた。
She always gave her entire wages--seven shillings--and Harry always sent up what he could but the trouble was to get any money from her father.	いつも、彼女は給料全部の７シリングを出し、ハリーもできる限りのお金を送ってきたが、問題は、父からいくらかのお金を出してもらうことだった。
He said she used to squander the money, that she had no head, that he wasn't going to give her his hard-earned money to throw about the streets, and much more,	おまえはいつも無駄遣いをしている、おまえは馬鹿だ、おまえが街で撒くために苦労して稼いだ金は渡すつもりはない、父はそんなことをいろいろと言った。
for he was usually fairly bad on Saturday night.	それに、土曜の夜の父親は、とても機嫌が悪かった。
In the end he would give her the money and ask her had she any intention of buying Sunday's dinner.	最後には、父は彼女にお金を渡したが、日曜の夕食の材料を買いに行くのかと確かめるのだった。
Then she had to rush out as quickly as she could and do her marketing,	それから大急ぎで家を飛び出し、買い物をしなければならなかった。
holding her black leather purse tightly in her hand as she elbowed her way through the crowds and returning home late under her load of provisions.	手に黒い革の財布をしっかりと握り、人波をひじで押しのけて、食料品の包みを持って夜遅く家に帰ってきた。
She had hard work to keep the house together and to see that the two young children who had been left to hr charge went to school regularly and got their meals regularly.	家事をして、任された二人のこどもをきちんと学校に通わせ、食事を食べさせるのはたいへんな仕事だった。
It was hard work--a hard life	たいへんな仕事、きびしい暮らし。
but now that she was about to leave it she did not find it a wholly undesirable life.	しかし、その暮らしから離れるとなると、それほどひどくもなかったような気がしてくる。
She was about to explore another life with Frank.	彼女はフランクと新しい生活を始めようとしていた。
Frank was very kind, manly, open-hearted.	彼はとてもやさしく、男らしくて、心が広かった。
She was to go away with him by the night-boat to be his wife and to live with him in Buenos Ayres where he had a home waiting for her.	彼の妻となり、彼女を待つ家があるブエノスアイレスで暮らすために、彼と一緒に夜の便の船に乗り、出ていこうとしていた。
How well she remembered the first time she had seen him;	彼とはじめて会ったときのことはよく覚えている。
he was lodging in a house on the main road where she used to visit.	彼は、彼女がよく行く表通りの宿に泊まっていた。
It seemed a few weeks ago.	２、３週間前のことのように思える。
He was standing at the gate,	彼は門の所に立っていた。
his peaked cap pushed back on his head and his hair tumbled forward over a face of bronze.	鳥打ち帽を浅くかぶり、日に焼けた顔に前髪がかかっていた。
Then they had come to know each other.	そして、お互いのことを知るようになっていった。
He used to meet her outside the Stores every evening and see her home.	彼は毎晩デパートの前で彼女を待ち、家まで送っていった。
He took her to see The Bohemian Girl	「ボヘミアン・ガール」を見に連れて行ってくれた。
and she felt elated as she sat in an unaccustomed part of the theatre with him.	彼と一緒に、なれない高い席で劇を見ていると、すごくうれしかった。
He was awfully fond of music and sang a little.	彼は音楽がとても好きで、歌うこともあった。
People knew that they were courting and, when he sang about the lass that loves a sailor, she always felt pleasantly confused.	みんなは二人がつき合っていることを知っていたから、彼が船乗りに恋をしている娘の歌を歌ってくれると、うれしかったけれど、どうしていいかわからなくなった。
He used to call her Poppens out of fun.	彼はふざけて彼女を「ポペンズ」と呼んだ。
First of all it had been an excitement for her to have a fellow and then she had begun to like him.	最初のうちは男友達ができたことがうれしく、だんだん彼のことが好きになっていった。
He had tales of distant countries.	彼は遠くの国々の話をしてくれた。
He had started as a deck boy at a pound a month on a ship of the Allan Line going out to Canada.	彼はカナダ行きのアラン汽船の月給１ポンドのデッキボーイから始めた。
He told her the names of the ships he had been on and the names of the different services.	乗ったことのある船と航路の名前を教えてくれた。
He had sailed through the Straits of Magellan and he told her stories of the terrible Patagonians.	彼はマゼラン海峡を航海したことがあり、恐ろしいパタゴニア人の話をしてくれた。
He had fallen on his feet in Buenos Ayres, he said, and had come over to the old country just for a holiday.	ブエノスアイレスでなんとかやっていけるようになり、故郷には休暇で来ていると言った。
Of course, her father had found out the affair and had forbidden her to have anything to say to him.	もちろん、父はこのつきあいに感づき、彼と口をきくことを禁じた。
"I know these sailor chaps,"	「ああいう船乗りの奴らのことはわかっているんだ」
he said.	と父は言った。
One day he had quarrelled with Frank	ある日、父はフランクとけんかをした。
and after that she had to meet her lover secretly.	それから彼女は恋人とはこっそり会わなければならなくなった。
The evening deepened in the avenue.	通りはすっかり暗くなった。
The white of two letters in her lap grew indistinct.	膝の上の二通の手紙の白さがぼんやりとしてきた。
One was to Harry;	一通はハリー宛、
the other was to her father.	もう一通は父に宛てたものだった。
Ernest had been her favourite but she liked Harry too.	アーネストのことがいちばん好きだったが、ハリーも好きだった。
Her father was becoming old lately, she noticed;	最近、父が衰えてきたことに気がついていた。
he would miss her.	父は、彼女がいなくなったら寂しがるだろう。
Sometimes he could be very nice.	たまには、父はとてもやさしいときもある。
Not long before, when she had been laid up for a day, he had read her out a ghost story and made toast for her at the fire.	つい最近も、彼女が一日寝込んだときに、父は怪談を読んでくれて、暖炉でトーストを作ってくれた。
Another day, when their mother was alive, they had all gone for a picnic to the Hill of Howth.	いつのころか、母が生きていたとき、ホースの丘へ家族全員をピクニックに連れて行ってくれた。
She remembered her father putting on her mothers bonnet to make the children laugh.	父は、母の帽子をかぶってこどもたちを笑わせたことを覚えている。
Her time was running out	時間が迫ってきた。
but she continued to sit by the window, leaning her head against the window curtain, inhaling the odour of dusty cretonne.	しかし、彼女は、ほこりっぽいカーテンの香りをかぎながら、カーテンに頭をもたせかけ、窓辺にじっと座っていた。
Down far in the avenue she could hear a street organ playing.	通りの先の方でストリートオルガンを演奏しているのが聞こえる。
She knew the air Strange	このアリアには覚えがあった。
that it should come that very night to remind her of the promise to her mother,	まさにこの夜に、そのアリアを聴いて、母との約束を思い出すことになるとは思いもよらなかった。
her promise to keep the home together as long as she could.	できるかぎりの間は家の面倒をみるという約束を。
She remembered the last night of her mother's illness;	彼女は、母が病床にあった最後の夜、
she was again in the close dark room at the other side of the hall	廊下の向かいの締め切った暗い部屋にいた。
and outside she heard a melancholy air of Italy.	家の外からイタリアのもの悲しいアリアが聞こえてきた。
The organ-player had been ordered to go away and given sixpence.	オルガン弾きはどこかへ行けと言われ、６ペンスのチップを受け取った。
She remembered her father strutting back into the sickroom saying:	父親はもったいぶって病室にもどり、こう言ったことを覚えている。
"Damned Italians!	「イタリア野郎め！
coming over here!"	こんなところに来て！」
As she mused the pitiful vision of her mother's life laid its spell on the very quick of her being	彼女がもの思いに耽っていると、母の一生の哀れな姿が、彼女の心の奥底にとりついた。
--that life of commonplace sacrifices closing in final craziness.	狂気のうちに終わったありふれた犠牲ずくめの一生の姿が。
She trembled as she heard again her mother's voice saying constantly with foolish insistence:	正気を失い、しつこく繰り返される母の声がまた聞こえてきて、ぞっとした。
"Derevaun Seraun!	「デレヴォーン、セローン！
Derevaun Seraun!"	デレヴォーン、セローン！」
She stood up in a sudden impulse of terror.	彼女は、恐怖に襲われ、思わず立ち上がった。
Escape!	逃げろ！
She must escape!	逃げなければ！
Frank would save her.	フランクが助けてくれる。
He would give her life,	彼は私に命をくれる。
perhaps love, too.	たぶん、愛も。
But she wanted to live.	彼女は生きたかった。
Why should she be unhappy?	なぜ不幸でなければならないの？
She had a right to happiness.	私にはしあわせになる権利がある。
Frank would take her in his arms, fold her in his arms.	彼は抱きしめてくれる。
He would save her.	彼は救ってくれる。
She stood among the swaying crowd in the station at the North Wall.	彼女はノースウォールにある駅の雑踏のなかに立っていた。
He held her hand	フランクは彼女の手を握っていた。
and she knew that he was speaking to her, saying something about the passage over and over again.	彼は彼女に話しかけ、船便のことを何度も話していたようだった。
The station was full of soldiers with brown baggages.	駅は、茶色の荷物を持った兵士で一杯だった。
Through the wide doors of the sheds she caught a glimpse of the black mass of the boat, lying in beside the quay wall, with illumined portholes.	税関の大きなドアの向こうに、埠頭の岸壁に横付けされ、舷窓が光っている黒い船体が見えた。
She answered nothing.	彼女は何も答えなかった。
She felt her cheek pale and cold and, out of a maze of distress, she prayed to God to direct her, to show her what was her duty.	頬が青ざめ冷たくなるのを感じながら、この迷いの苦しみから抜け出せるように、なにか指図を与えてくださいますよう、なにをすべきか教えてくださいますよう、神に祈っていた。
The boat blew a long mournful whistle into the mist.	船は霧のなかへ長い悲しげな汽笛を鳴らした。
If she went, tomorrow she would be on the sea with Frank, steaming towards Buenos Ayres.	もし、出発すれば、明日はブエノスアイレスに向け、フランクと一緒に海の上にいることになるだろう。
Their passage had been booked.	船便は予約されている。
Could she still draw back after all he had done for her?	彼が彼女のためにこれだけしてくれたあとで、彼女はまだ引き返すことができるだろうか。
Her distress awoke a nausea in her body	苦悩のあまり吐き気がこみ上げてきた。
and she kept moving her lips in silent fervent prayer.	祈りの言葉を、声には出さず、唇を動かし、熱心に唱え続けていた。
A bell clanged upon her heart.	鐘の音が胸に響いた。
She felt him seize her hand:	フランクが手をつかんだのを感じた。
"Come!"	「行こう！」
All the seas of the world tumbled about her heart.	世界中の海が彼女の心に流れ込んだ。
He was drawing her into them:	フランクは彼女を海のなかに引き込もうとしている。
he would drown her.	彼は、彼女をおぼれさせようとしてる。
She gripped with both hands at the iron railing.	彼女は、両手で鉄の手すりをつかんだ。
"Come!"	「来るんだ！」
No! No! No!	だめ！だめ！だめ！
It was impossible.	行けない。
Her hands clutched the iron in frenzy.	彼女の手は鉄の手すりをつかんでいた。
Amid the seas she sent a cry of anguish.	海のただ中で苦痛の叫び声を上げていた。
"Eveline!	「エヴリン！
Evvy!"	エヴィ！」
He rushed beyond the barrier and called to her to follow.	彼は柵の向こうに走って行き、ついてくるように呼んだ。
He was shouted at to go on but he still called to her.	彼は、先に行けと怒鳴られながらも彼女を呼び続けた。
She set her white face to him, passive, like a helpless animal.	彼女は、無力な動物のように、感情なく、蒼白な顔を彼へ向けた。
Her eyes gave him no sign of love or farewell	彼女の目からは、愛や惜別の気持ちは読みとれなかった。
or recognition.	彼女の目には、彼のことすら映っていなかった。
