THE ADVENTURE OF THE EMPTY HOUSE	空家の冒険
It was in the spring of the year 1894 that all London was interested, and the fashionable world dismayed, by the murder of the Honourable Ronald Adair under most unusual and inexplicable circumstances.	一八九四年の春、――ロナルド・アデイア氏が全く不可解な、奇怪極まる事情の下に惨殺されたのは、当時はなはだ有名な事件で、ロンドン市民は一斉に好奇の目を（みは）り、殊に社交界の驚愕は大変なものであった。
The public has already learned those particulars of the crime which came out in the police investigation, but a good deal was suppressed upon that occasion,	警察側の探査に得られた、犯罪の詳細については、世間はもう知悉（ちしつ）してしまった形であるが、しかしこの事件の発生当時は、その犯罪の大部分は、秘密に附されたのであった。
since the case for the prosecution was so overwhelmingly strong that it was not necessary to bring forward all the facts.	そしてまた起訴のためにも、その事実の詳細などは、世間に発表する必要などはないほど、圧倒的な大事件であったのである。
Only now, at the end of nearly ten years, am I allowed to supply those missing links which make up the whole of that remarkable chain.	さてその後十年、――私はようやくこの驚異すべき大事件の、散乱した記憶を集めて、精細に発表する機会を得たわけである。
The crime was of interest in itself, but that interest was as nothing to me compared to the inconceivable sequel, which afforded me the greatest shock and surprise of any event in my adventurous life.	この事件では、事件そのものも、確（たしか）に大（おおい）に興味あるものであったが、しかし私はその事件そのものよりも、むしろ全く想いもよらなかった結末に、絶大の衝動と驚異を感じさせられたのであった。
Even now, after this long interval, I find myself thrilling as I think of it,	この衝動と驚異はたしかに、私の冒険生活の中でも、断然異数とするものであったと思っている。
and feeling once more that sudden flood of joy, amazement, and incredulity which utterly submerged my mind.	その後もうかなりの長い時日が経っているのであるが、それにもかかわらずこの事件だけは、今思い出してみても、ぞくぞくと身振いを感じ、今更に盛り返して来る快感、驚異、懐疑と云ったような、かつて私の心を浸しつくした、いろいろの感懐が再燃して来るのを、しみじみと感ずる。
Let me say to that public, which has shown some interest in those glimpses which I have occasionally given them of the thoughts and actions of a very remarkable man, that they are not to blame me if I have not shared my knowledge with them,	私の折に触れて提供する、特異な人物の思想や行動に対して、多少の興味を持ってくれる読者諸君におことわりしなければならないが、私がこれほどの大事件に対して持っていた知識を、早速読者諸君に披瀝しなかったことを、非難しないようにお願いする。
for I should have considered it my first duty to do so, had I not been barred by a positive prohibition from his own lips,	私はもちろん何事にかかわらず知り得たことは、早速読者諸君の前に提供することを、私の光栄ある本務と信じているが、しかし本件だけは、彼から固い緘口令が布（し）かれてあったのであった。
which was only withdrawn upon the third of last month.	その緘口令の解除となったのは、つい先月の三日のことである。
It can be imagined that my close intimacy with Sherlock Holmes had interested me deeply in crime, and that after his disappearance I never failed to read with care the various problems which came before the public.	私はシャーロック・ホームズと親友であったと云うことから、自然犯罪と云うものに対して、特殊な興味を持つようになり、そして彼の失踪後も、世間に現われた種々の問題には、注意深く目を向けるようになったことは、諸君にも想像されることであろう、――
And I even attempted, more than once, for my own private satisfaction, to employ his methods in their solution,	私は一再ならず、ただ自分自身の満足のために、こうした問題の解決に、彼一流の解決法を適用してみた。
though with indifferent success.	しかしもちろん決して、彼のような素晴らしい結果は得られなかったが、――
