THE FALL OF THE HOUSE OF USHER	アッシャー家の崩壊
DURING the whole of a dull, dark, and soundless day in the autumn of the year, when the clouds hung oppressively low in the heavens, I had been passing alone, on horseback, through a singularly dreary tract of country ;	雲が重苦しく空に低くかかった、もの憂（う）い、暗い、寂寞（せきばく）とした秋の日を一日じゅう、私はただ一人馬にまたがって、妙にもの淋（さび）しい地方を通りすぎて行った。
and at length found myself, as the shades of the evening drew on, within view of the melancholy House of Usher.	そして黄昏（たそがれ）の影があたりに迫ってくるころ、ようやく憂鬱（ゆううつ）なアッシャー家の見えるところへまで来たのであった。
I know not how it was	どうしてなのかは知らない
- but, with the first glimpse of the building, a sense of insufferable gloom pervaded my spirit.	――がその建物を最初にちらと見たとたんに、堪えがたい憂愁の情が心にしみわたった。
I say insufferable ;	堪えがたい、と私は言う。
for the feeling was unrelieved by any of that half-pleasurable, because poetic, sentiment, with which the mind usually receives even the sternest natural images of the desolate or terrible.	なぜならその感情は、荒涼とした、あるいはもの凄（すご）い自然のもっとも峻厳（しゅんげん）な姿にたいするときでさえも常に感ずる、あの詩的な、なかば心地よい情趣によって、少しもやわらげられなかったからである。
I looked upon the scene before me	私は眼（め）の前の風景を眺（なが）めた。
- upon the mere house, and the simple landscape features of the domain	――ただの家と、その邸内の単純な景色を
- upon the bleak walls	――荒れはてた壁を
- upon the vacant eye-like windows	――眼のような、ぽかっと開いた窓を
- upon a few rank sedges	――少しばかり生い繁（しげ）った菅草（すげぐさ）を
- and upon a few white trunks of decayed trees	――四、五本の枯れた樹々（きぎ）の白い幹を――眺めた。
- with an utter depression of soul which I can compare to no earthly sensation more properly than to the after-dream of the reveller upon opium - the bitter lapse into everyday life - the hideous dropping off of the veil.	阿片耽溺者（あへんたんできしゃ）の酔いざめ心地――日常生活への痛ましい推移――夢幻の帳（とばり）のいまわしい落下――といったもののほかにはどんな現世の感覚にもたとえることのできないような、魂のまったくの沈鬱を感じながら。
There was an iciness, a sinking, a sickening of the heart - an unredeemed dreariness of thought which no goading of the imagination could torture into aught of the sublime	心は氷のように冷たく、うち沈み、いたみ、――どんなに想像力を刺激しても、壮美なものとはなしえない救いがたいもの淋しい思いでいっぱいだった。
What was it - I paused to think - what was it that so unnerved me in the contemplation of the House of Usher ?	なんだろう、――私は立ち止って考えた、――アッシャー家を見つめているうちに、このように自分の心をうち沈ませたものはなんだろう？
It was a mystery all insoluble ;	それはまったく解きがたい神秘であった。
nor could I grapple with the shadowy fancies that crowded upon me as I pondered.	それからまた私は、もの思いに沈んでいるとき自分に群がりよってくる影のようないろいろの妄想（もうそう）にうち勝つこともできなかった。
I was forced to fall back upon the unsatisfactory conclusion, that while, beyond doubt, there _are_ combinations of very simple natural objects which have the power of thus affecting us, still the analysis of this power lies among considerations beyond our depth.	で、そこにはたしかに、我々をこんなにも感動させる力を持ったまことに単純な自然物象の結合がある［＃「ある」に傍点］のだが、その力を分析することは我々の知力ではとてもかなわないのだ、という頼りない結論に落ちるより仕方なかった。
It was possible, I reflected, that a mere different arrangement of the particulars of the scene, of the details of the picture, would be sufficient to modify, or perhaps to annihilate its capacity for sorrowful impression ;	また、この景色の個々の事物の、つまりこの画面のこまごましたものの、配置をただ変えるだけで、もの悲しい印象を人に与える力を少なくするか、あるいはきっと、すっかり無くなすのではあるまいか、と私は考えた。
and, acting upon this idea, I reined my horse to the precipitous brink of a black and lurid tarn that lay in unruffled lustre by the dwelling, and gazed down - but with a shudder even more thrilling than before - upon the remodelled and inverted images of the gray sedge, and the ghastly tree-stems, and the vacant and eye-like windows.	そこでこの考えにしたがって、この家のそばに静かな光をたたえている黒い無気味な沼のけわしい崖縁（がけぶち）に馬を近づけ、灰色の菅草や、うす気味のわるい樹の幹や、うつろな眼のような窓などの、水面にうつっている倒影を見下ろした、――が、やはり前よりももっとぞっとして身ぶるいするばかりであった。
Nevertheless, in this mansion of gloom I now proposed to myself a sojourn of some weeks.	そのくせ、この陰鬱な屋敷に、いま私は二、三週間滞在しようとしているのである。
Its proprietor, Roderick Usher, had been one of my boon companions in boyhood ;	この家の主人、ロデリック・アッシャーは私の少年時代の親友であったが、
but many years had elapsed since our last meeting.	二人が最後に会ってからもう長い年月がたっていた。
A letter, however, had lately reached me in a distant part of the country - a letter from him - which, in its wildly importunate nature, had admitted of no other than a personal reply.	ところが最近になって一通の手紙が遠く離れた地方にいる私のもとへとどいて、――彼からの手紙であるが、――それは、ひどくせがむような書きぶりなので、私自身出かけてゆくよりほかに返事のしようのないようなものであった。
The MS.  gave evidence of nervous agitation.	その筆蹟（ひっせき）は明らかに神経の興奮をあらわしていた。
The writer spoke of acute bodily illness - of a mental disorder which oppressed him - and of an earnest desire to see me, as his best, and indeed his only personal friend, with a view of attempting, by the cheerfulness of my society, some alleviation of his malady.	急性の体の疾患のこと――苦しい心の病のこと――彼のもっとも親しい、そして実にただ一人の友である私に会い、その愉快な交遊によって病をいくらかでも軽くしたいという心からの願いのこと――などを、彼はその手紙で語っていた。
It was the manner in which all this, and much more, was said - it was the apparent _heart_ that went with his request - which allowed me no room for hesitation;	すべてこれらのことや、なおそのほかのことの書きぶり――彼の願いのなかに暖かにあらわれている真情［＃「真情」に傍点］――が、私に少しのためらう余地をも与えなかった。
and I accordingly obeyed forthwith what I still considered a very singular summons.	そこで私は、いまもなおたいへん奇妙なものと思われるこの招きに、すぐと応じたのである。
Although, as boys, we had been even intimate associates, yet I really knew little of my friend.	子供のころ二人はずいぶん仲のよい友達ではあったが、私は実のところ彼についてはほとんど知らなかった。
His reserve had been always excessive and habitual.	彼の無口はいつも極端で、しかも習慣的であったのだ。
