FATTY COON AT HOME	ふとっちょあらいぐまの家
1  Fatty Coon was so fat and round that he looked like a ball of fur, with a plumelike tail for a handle.	1 ふとっちょあらいぐまは、とても太っていてまん丸で、まるで毛皮のボールのよう、そこに取っ手ではなく、羽かざりのようなしっぽがついた姿をしていました。
But if you looked at him closely you would have seen a pair of very bright eyes watching you.	しかしまぢかに寄って見てみますと、するどくかがやくふたつの目が、あなたをじっと見かえしているのに、お気づきになるでしょう。
2 Fatty loved to eat.	2 ふとっちょは食べることが大好きでした。
--he loved eating better than anything else in the world.	――世界中のなによりも、食べることが好きでした。
That was what made him so fat.	ひどく太っているのはそのせいでした。
And that, too, was what led him into many adventures.	そしてたくさんの冒険をすることになったのもまた、そのせいでした。
3 Close by a swamp, which lay down in the valley, between Blue Mountain and Swift River, Fatty Coon lived with his mother and his brother and his two sisters.	3 ふとっちょあらいぐまは、お母さんと弟とふたりの妹といっしょに、ブルー山とスウィフト川のあいだの谷間に横たわる沼の近くに住んでいました。
A mong them all there was what grown people call "a strong family resemblance,"	一家はそのあたりに住んでいた大人たちみんなのあいだで、『強力るいじ家系』と呼ばれていました。
which is the same thing as saying that they all looked very much a like.	一家全員がとてもよく似ている、というのと同じ意味です。
The tail of each one of them	彼らそれぞれのしっぽに
--mother and children too	――お母さんに子どもたちも
--had six black rings around it.	――六つの黒い輪っかのもようがついていました。
Each of them had a dark brown patch of fur across the face, like a mask.	それぞれの顔は、黒い布切れを横にわたしたように毛が生えていて、まるでマスクをしているように見えました。
And--what do you think?--each of them,	それに、彼らそれぞれが――どう思います？
even Fatty and his brother and his sisters, had a stiff, white moustache!	――ふとっちょに弟に妹たちまでもが、かたくて白い口ひげを生やしていました！
4 Of course, though they all looked so much alike, you would have known which was Mrs. Coon, for she was so much bigger than her children.	4 一家はみなとてもよく似た姿をしていたとはいうものの、もちろんみなさんはおわかりでしょうが、あらいぐま夫人は子どもたちに比べるとずっと大きな体でした。
And you would have known which was Fatty--he was so much rounder than his brother and his sisters.	そして、おわかりでしょう、ふとっちょは――弟や妹たちよりもずっとまん丸な体でした。
5 Mrs. Coon's home was in the hollow branch of an old tree.	5 あらいぐま夫人の家は、古い木の枝に空いたうろの中にありました。
It was a giant of a tree	それは巨大な木で
--a poplar close by a brook which ran into the swamp	――そのポプラの木は、沼に流れこむ小川のそばに立っていました
--and the branch which was Mrs. Coon's home was as big as most tree-trunks are.	――枝のうろの中のあらいぐま夫人の家は、ふつうの木の幹に空いたうろの中と同じくらいの広さがありました。
6 Blackie was Fatty's brother	6 黒っちょは、ふとっちょの弟です
--for the mask on his face was just a little darker than the others'.	――顔のマスクの色が、ほかの者よりもほんの少しだけ黒かったからです。
Fluffy was one of Fatty's sisters,	ふわっちょは、ふとっちょの妹の一ぴきです。
because her fur was just a little fluffier than the other children's.	毛皮が、ほかの子どもよりほんの少しだけふわふわだったからです。
And Cutey was the other sister's name,	もう一ぴきの妹の名前は、かわいっちょです。
because she was so quaint.	なぜなら、たいそうかわいかったからです。
7 Now, Fatty Coon was forever looking around for something to eat.	7 さて、ふとっちょあらいぐまは、いつでも食べものを探しまわっていました。
He was never satisfied with what his mother brought home for him.	お母さんがふとっちょのために家に持ちかえる食べもので満足したことなど、決してありませんでした。
No matter how big a dinner Mrs. Coon set before her family, as soon as he had finished eating his share	あらいぐま夫人がどんなに大きなごちそうを家族の前に置こうと、ふとっちょは自分の分け前をたちまち平らげてしまいました。
Fatty would wipe his white moustache carefully	そして、ていねいに白い口ひげをふき
--for all the world like some old gentleman	――どこからどう見ても老紳士のようです
--and hurry off in search of something more.	――もっと食べものを探しに、いそいそと出かけていくのでした。
Sometimes he went to the edge of the brook and tried to catch fish by hooking them out of the water with his sharp claws.	8 あるときはふとっちょは小川の川べりに行き、するどいかぎづめで水の中の魚を引っかけて、つかまえようとしました。
Sometimes he went over to the swamp and hunted for duck among the tall reeds.	またあるときは沼に出かけ、背の高いアシの中にかくれているカモをつかまえようとしました。
And though he did not yet know how to catch a duck, he could always capture a frog or two;	カモのつかまえ方はまだ知りませんでしたが、カエルならばいつも一ぴきか二ひきはつかまえられました。
and Fatty ate them as if he hadn't had a mouthful of food for days.	そして、まるで何日もひと口も食べたことがないようなようすで、つかまえたカエルをむしゃむしゃ食べるのでした。
To tell the truth, Fatty would eat almost anything he could get	9 本当のことを申しますと、ふとっちょはとれるものならほとんどなんでも食べました
--nuts, cherries, wild grapes, blackberries, bugs, small snakes, fish, chickens, honey	――木の実、サクランボ、野ブドウ、ヤブイチゴ、虫、小さなヘビ、魚、ニワトリ、ハチミツ
--there was no end to the different kinds of food he liked.	――ふとっちょが好きな食べものの種類はさまざまあり、きりがありませんでした。
He ate everything.	なんでもかんでも食べました。
And he always wanted more.	そして、いつももっとなにか食べたいと思っていました。
"Is this all there is?"	10 「これで全部なの？」
Fatty Coon asked his mother one day.	ある日、ふとっちょあらいぐまはお母さんにたずねました。
He had gobbled up every bit of the nice fish that Mrs. Coon had brought home for him.	あらいぐま夫人がふとっちょのために持ちかえったおいしい魚を、きれいにむさぼり食べたあとのことでした。
It was gone in no time at all.	それはじつにあっというまのことでした。
Mrs. Coon sighed.	11 あらいぐま夫人はため息をつきました。
She had heard that question so many times;	もういく度となくその質問を聞いてきたからです。
and she wished that for once Fatty might have all the dinner he wanted.	一度でよいから、ふとっちょが欲しがるだけごちそうをたらふく食べさせてやれればいいのにと思っていたのです。
"Yes	12 「そうなんだよ
--that's all,"	――これで全部なんだよ」
she said,	あらいぐま夫人は言いました。
