Why you should use the GNU FDL	なぜGNUフリー文書利用許諾契約書を使うべきか
Richard Stallman	リチャード・ストールマン
This article was written in March 2000.	この記事は2000年3月に書かれた。
Can technical writers earn money by writing free documentation for free software?	技術文書を書くライターは、 フリーソフトウェアのためのフリーな文書を書いてお金を稼ぐことができるのか。
We seriously hope so,	われわれは切にそれを望む。
and that is the reason for the GNU Free Documentation License.	そしてそれが、GNUフリー文書利用許諾契約書(GNU Free Documentation License)の存在理由である。
The GFDL is meant as a way to enlist commercial publishers in funding free documentation without surrendering any vital liberty.	GFDLは、フリー文書に出資する商業出版社の協力を得ながらも、 生きた自由を何一つ放棄せずにすむ1つの道を示している。
The "cover text" feature, and certain other aspects of the license that deal with covers, title page, history, and endorsements, are included to make the license appealing to commercial publishers for books whose authors are paid.	このライセンスの中に、 特徴的な「カバーテキスト(cover text)」という部分、 またその他に、 カバー(cover)、タイトルページ(title page)、 履歴(history)、 それから推薦の辞(endorsements)を取り扱っている部分を含めたのは、 著者に料金を支払っている本を商業的に出版している人たちにこのライセンスをアピールするためである。
To improve the appeal, I consulted specifically with staff of publishing companies, as well as lawyers, free documentation writers, and the community at large, in writing the GFDL.	このアピールを改善するため、私は、 出版社のスタッフ、弁護士、フリー文書の著者、 そしてコミュニティー全体に特別に意見を求めて、 GFDLを書いた。
At least two commercial publishers of software manuals have told me they are interested in using this license.	ソフトウェアマニュアルの商業出版社のうち少なくとも2社は、 このライセンスを使うことに興味を持っている、と私に言ってくれた。
The future is never a sure thing,	未来は決して確実なものではない。
but the GFDL looks like it has a good chance to succeed	しかし、GFDLは次のような社会システムの形成に成功するチャンスを持っているようだ。
in shaping a social system where commercial publishers pay people to write commercial free manuals for free software.	すなわち、フリーソフトウェアの商業的なフリー文書を書くため、商業出版社が人に料金を支払うような社会システムの形成に。
