To Build a Fire	火を起こす
Jack London	ジャック・ロンドン
Day had broken	夜が明けた。
cold and grey,	風は冷たく空は暗い。
exceedingly cold and grey,	きわめて冷たくきわめて暗い。
when the man turned aside from the main Yukon trail and climbed the high earth-zbank,	男はユーコンの本道を外れ、高い土手を登っていた。
where a dim and little-travelled trail led eastward through the fat spruce timberland.	その道はいかにも頼りないものだったが、東へ、トウヒの森の向こうに通じているはずだった。
It was a steep bank, and he paused for breath at the top,	急峻な土手を登りつめ、息を整える。
excusing the act to himself by looking at his watch.	それをごまかそうと懐中時計をとりだす。
It was nine o'clock.	9時。
There was no sun nor hint of sun,	太陽はその気配すらない。
though there was not a cloud in the sky.	が、空が曇っているわけでもない。
It was a clear day,	空は澄みきっていた。
and yet there seemed an intangible pall over the face of things,	それでもあたりのものは不透明な幕がはっているようだった。
a subtle gloom that made the day dark,	日を暗く染めるかすかな闇。
and that was due to the absence of sun.	太陽がないからだ。
This fact did not worry the man.	だからといって男は困惑したりしなかった。
He was used to the lack of sun.	太陽がないのには慣れている。
It had been days since he had seen the sun, and he knew that a few more days must pass before that cheerful orb, due south, would just peep above the sky-line and dip immediately from view.	太陽が昇ったのは数日前、だから、お天道様が南の地平線から顔を出し、即座に引っ込むのが見られるのはあと何日か経ってのことだと知っていた。
The man flung a look back along the way he had come.	男は今きた道を振り返った。
The Yukon lay a mile wide and hidden under three feet of ice.	ユーコン川は1マイルにわたって厚さ1メートルの氷の下に閉ざされている。
On top of this ice were as many feet of snow.	この氷の上にもやはり1メートルほどの雪。
It was all pure white, rolling in gentle undulations where the ice-jams of the freeze-up had formed.	氷雪が風に吹かれて波のようにうねる白銀の世界。
North and south, as far as his eye could see, it was unbroken white,	北も南も目の届くかぎり見事なほどの白さだった。
save for a dark hair-line that curved and twisted from around the spruce-covered island to the south,	ただ、トウヒが密生する島から南にかけて黒い線がほっそりと曲がりくねっているのを除けば。
