Free Software is More Reliable!	フリーソフトウェアは独占的ソフトウェアよりも信頼できる
Apologists for proprietary software like to say,	独占的ソフトウェア の弁明をする人たちは、 こういう話をするのが好きです。
``free software is a nice dream, but we all know that only the proprietary system can produce reliable products.	フリーソフトウェア は素敵な夢だが、 信頼性の高い製品を作れるのは、 独占的な組織だけだっていうのは、 我々みんなが知ってることだよ。
A bunch of hackers just can't do this.''	ハッカーの寄り集まりにはそんなことできっこない」
Empirical evidence disagrees, however;	しかしながら、経験上得られた事実はその意見に反しています。
scientific tests, described below, have found GNU software to be more reliable than comparable proprietary software.	以下で述べる科学的なテストによれば、 GNUソフトウェアは、それと比較できる独占的ソフトウェアよりももっと信頼できることがわかったのです。
This should not be a surprise;	これは驚くべきことではありません。
there are good reasons for the high reliability of GNU software, good reasons to expect free software will often (though not always) have high reliability.	GNUソフトウェアが高信頼性であることには確かな理由がありますし、 フリーソフトウェアがたいてい（常に、とはかぎりませんが） 高信頼性であることにも確かな理由があるのです。
* GNU Utilities Safer!	* GNUユーティリティはより安全
* Why Free Software is More Reliable	* フリーソフトウェアがより信頼できるのはなぜか
* Cancer Clinic Relies on Free Software!	* ガンクリニックもフリーソフトウェアを頼っています
* Help Bulletproof GNU Utilities!	* GNUユーティリティの防弾チョッキを援助してください
GNU Utilities Safer!	GNUユーティリティはより安全
Barton P. Miller and his colleagues tested the reliability of Unix utility programs in 1990 and 1995.	Barton P. Millerとその同僚は、 1990年と1995年に、Unixのユーティリティプログラムの信頼性をテストしました。
Each time, GNU's utilities came out considerably ahead.	そのいずれにおいても、GNUのユーティリティは非常に抜きん出ていました。
They tested seven commercial Unix systems as well as GNU.	彼らは7つの商用UnixシステムをGNU同様にテストしました。
By subjecting them to a random input stream,	ランダムな入力ストリームを与えたところ、
they could ``crash (with core dump) or hang (infinite loop) over 40% (in the worst case) of the basic utility programs ...''	「基本的なユーティリティプログラムのうち40%以上が、（コアダンプして）クラッシュしたり、 ハング（無限ループ）したりしました…」
These researchers found that the commercial Unix systems had a failure rate that ranged from 15% to 43%.	この研究者たちは、 商用のUnixシステムの故障率 （訳者： failure rate。適切な訳語は？ ） は15%から43%の範囲なのに対して、
In contrast, the failure rate for GNU was only 7%.	GNUの故障率は7%にすぎない、 ということを発見したのです。
Miller also said that,	Millerはまた次のように言っています。
``the three commercial systems that we compared in both 1990 and 1995 noticeably improved in reliability,	「我々が比較した商業製品のシステム3つは、 1990年と1995年にはるかに信頼性が改善された。
but still had significant rates of failure	しかし、failureの割合はそれでも著しく高かったのだ
(the basic utilities from GNU/Linux still were noticeably better than those of the commercial systems).''	（GNU/Linuxからの基本ユーティリティは、 これらの商業製品よりもはるかによかった）」
For details, see their paper:	詳細は彼らの論文を参照してください。
Why Free Software is More Reliable	フリーソフトウェアがより信頼できるのはなぜか
It is no fluke that the GNU utilities are so reliable.	GNUユーティリティの信頼性がこんなに高いのは、まぐれではありません。
There are good reasons why free software tends to be of high quality.	フリーソフトウェアが高信頼性を持つ傾向があるのには、 確かな理由があるのです。
