TWO GALLANTS	二人の色男
James Joyce	ジェイムズ・ジョイス
THE grey warm evening of August had descended upon the city and a mild warm air, a memory of summer, circulated in the streets.	八月の灰色の暖かい夕暮れが市街に垂れ込め、夏の名残の穏やかな暖かい空気が街路を循環していた。
The streets, shuttered for the repose of Sunday, swarmed with a gaily coloured crowd.	日曜の休息でシャッターの閉められた街路には華やかな色合いの群衆がごった返していた。
Like illumined pearls the lamps shone from the summits of their tall poles upon the living texture below which, changing shape and hue unceasingly, sent up into the warm grey evening air an unchanging unceasing murmur.	光を受ける真珠のように灯火が輝いて高い柱の頂点から照らすその下では、形と色調を絶え間なく変化させる生きた織り物が暖かい灰色の夕暮れの空気の中に変化のない絶え間ないざわめきを放っていた。
Two young men came down the hill of Rutland Square.	二人の若い男がラトランド・スクエアの丘を下ってきた。
One of them was just bringing a long monologue to a close.	その一人はちょうど長広舌を終わろうとしていた。
The other, who walked on the verge of the path and was at times obliged to step on to the road, owing to his companion's rudeness, wore an amused listening face.	もう一人は、連れの傍若無人のせいで歩道の際を歩き、時にはやむをえず道路に踏み出したりしながら、面白そうに聞いている顔をしていた。
He was squat and ruddy.	彼はずんぐりして赤ら顔だった。
A yachting cap was shoved far back from his forehead and the narrative to which he listened made constant waves of expression break forth over his face from the corners of his nose and eyes and mouth.	ヨット帽はぐっと額の後ろに押しやられ、耳を傾けている物語が引き起こす表情の波が繰り返し彼の鼻と目と口の隅から顔中にぱっと広がるのだった。
Little jets of wheezing laughter followed one another out of his convulsed body.	痙攣する彼のからだから、短くあえぐような笑い声が次から次へと噴出した。
His eyes, twinkling with cunning enjoyment, glanced at every moment towards his companion's face.	狡猾な喜びに光る彼の目は、絶えず連れの顔の方をチラチラ見ていた。
Once or twice he rearranged the light waterproof which he had slung over one shoulder in toreador fashion.	一二度彼は、闘牛士のように肩に引っ掛けた軽いレインコートを直した。
His breeches, his white rubber shoes and his jauntily slung waterproof expressed youth.	彼の半ズボン、白いラバーシューズ、気取って引っ掛けたレインコートが若さを表していた。
But his figure fell into rotundity at the waist, his hair was scant and grey and his face, when the waves of expression had passed over it, had a ravaged look.	しかし彼の姿は腰の辺りが丸くなり、髪は薄く灰色で、表情の波が過ぎ去ってしまった後の顔には荒廃した様子があった。
When he was quite sure that the narrative had ended he laughed noiselessly for fully half a minute.	すっかり物語が終わったと確信したところで彼はまるまる三十秒も声を立てずに笑った。
Then he said:	それから彼は言った。
"Well!	「へえ！
... That takes the biscuit!"	・・・そいつは金星だ！」
His voice seemed winnowed of vigour;	彼の声は勢いばかりが吹き飛ばされたようだった。
and to enforce his words he added with humour:	そして彼は自分の言葉を強調しようとユーモアをこめて付け加えた。
"That takes the solitary, unique, and, if I may so call it, recherche biscuit! "	「そいつは一人ぼっちの、類のない、それと、言わせてもらえりゃ、よくぞ見つけた金の星！ってやつだ。」
He became serious and silent when he had said this.	彼はこう言ってしまうとまじめな顔になり沈黙した。
His tongue was tired for he had been talking all the afternoon in a public-house in Dorset Street.	その午後はずっとドーセット・ストリートのパブでしゃべり続けていたので彼は口が疲れていた。
Most people considered Lenehan a leech but, in spite of this reputation, his adroitness and eloquence had always prevented his friends from forming any general policy against him.	多くの人はレネハンをヒルとみなしていたが、この評判にもかかわらず、彼の器用さと雄弁が友人たちをして全般的に彼に対抗する方策を立てさせるのをいつも防いでいた。
He had a brave manner of coming up to a party of them in a bar and of holding himself nimbly at the borders of the company until he was included in a round.	彼は勇ましい態度で、酒場に集まった連中に近寄って一座の縁にすばやく取り付き、ついには輪の中に含まれるのだった。
He was a sporting vagrant armed with a vast stock of stories, limericks and riddles.	彼はぶらぶらしている遊び人で物語、リメリック、なぞなぞをしこたま溜め込んで武器にしていた。
He was insensitive to all kinds of discourtesy.	彼はあらゆる非礼に鈍感だった。
No one knew how he achieved the stern task of living, but his name was vaguely associated with racing tissues.	どうやって彼が生活のための厳しい仕事をやりおおせるのか誰も知らなかったが、彼の名からは漠然と競馬の予想が連想された。
"And where did you pick her up, Corley?"	「それでどこでその女をひっかけたんだ、コーリー？」
he asked.	と彼は尋ねた。
Corley ran his tongue swiftly along his upper lip.	コーリーは舌を上唇に沿ってすばやく走らせた。
"One night, man,"	「ある晩なあ、」
he said,	彼は言った、
"I was going along Dame Street and I spotted a fine tart under Waterhouse's clock and said good- night, you know.	「俺はデイム・ストリートを歩いていてウォーターハウスの時計の下で上玉を見つけてこんばんはと言ってね。
So we went for a walk round by the canal and she told me she was a slavey in a house in Baggot Street.	それで俺たちは運河に沿ってぐるっと散歩に出かけ、彼女はバゴット・ストリートのある家の下女だと俺に言った。
I put my arm round her and squeezed her a bit that night.	その夜俺は彼女に腕を回し、ちょっとばかりぎゅっと抱きしめたよ。
Then next Sunday, man, I met her by appointment.	それから次の日曜になあ、約束して彼女に会った。
We vent out to Donnybrook and I brought her into a field there.	俺たちはドニーブルックに出て俺は彼女をそこの原っぱへ連れ込んだ。
She told me she used to go with a dairyman.	前には牛乳屋と付き合ったと彼女は言った
... It was fine, man.	・・・すばらしかったなあ。
Cigarettes every night she'd bring me and paying the tram out and back.	タバコも毎晩彼女が持ってくる、出るのも戻るのも電車賃は彼女持ちだ。
And one night she brought me two bloody fine cigars--O, the real cheese, you know, that the old fellow used to smoke.	いつの晩だかめちゃくちゃ上等の葉巻を二本持ってきたな−−ああ、本物だぜ、そら、昔の男がいつも吹かしてた
... I was afraid, man, she'd get in the family way.	・・・あいつになあ、がきができちまうんじゃないかと思ったんだが。
But she's up to the dodge."	でもあいつがうまくやってるんだ。」
"Maybe she thinks you'll marry her,"	「ことによるとあんたが彼女と結婚すると思ってるぜ」
said Lenehan.	とレネハンは言った。
"I told her I was out of a job,"	「俺は失業中だと言ったよ」
said Corley.	とコーリーは言った。
"I told her I was in Pim's.	「ピムの店にいると言ったんだ。
She doesn't know my name.	あいつは俺の名前を知らない。
I was too hairy to tell her that.	それを教えるほど俺は甘くなかったってわけよ。
But she thinks I'm a bit of class, you know."	だがあいつは俺のことをちょっと上流と思ってるんでね。」
Lenehan laughed again, noiselessly.	レネハンは再び声を立てずに笑った。
"Of all the good ones ever I heard,"	「今までずいぶんうまい話は聞いたが、」
he said,	彼は言った、
"that emphatically takes the biscuit."	「そいつは断然の金星だ。」
Corley's stride acknowledged the compliment.	コーリーの歩幅はその賛辞に応えていた。
The swing of his burly body made his friend execute a few light skips from the path to the roadway and back again.	彼がたくましいからだを揺らすと彼の友人は歩道から車道へと二三歩軽くスキップをやってのけ、また元に戻った。
Corley was the son of an inspector of police and he had inherited his father's frame and gut.	コーリーは警察の警部補の息子で、父親の骨格と歩き方を受け継いでいた。
He walked with his hands by his sides, holding himself erect and swaying his head from side to side.	彼は両手を脇に、からだをまっすぐにして左右に頭を揺すりながら歩いた。
His head was large, globular and oily;	彼の頭は大きく、球形で脂ぎっていた。
it sweated in all weathers;	天気にかかわらず汗をかいた。
and his large round hat, set upon it sideways, looked like a bulb which had grown out of another.	そしてその上にはすに載った大きな丸い帽子は、一つの球根から生じたもう一つの球根のように見えた。
