The Gift of the Magi	賢者の贈り物
O. Henry	オー・ヘンリー作
One dollar and eighty-seven cents.	１ドル８７セント。
That was all.	それで全部。
And sixty cents of it was in pennies.	しかもそのうち６０セントは小銭でした。
Pennies saved one and two	小銭は一回の買い物につき一枚か二枚づつ浮かせたものです。
at a time by bulldozing the grocer and the vegetable man and the butcher until one's cheeks burned with the silent imputation of parsimony that such close dealing implied.	乾物屋や八百屋や肉屋に無理矢理まけさせたので、しまいに、こんなに値切るなんてという無言の非難で頬が赤くなるほどでした。
Three times Della counted it.	デラは三回数えてみました。
One dollar and eighty-seven cents.	でもやっぱり１ドル８７セント。
And the next day would be Christmas.	明日はクリスマスだというのに。
There was clearly nothing to do but flop down on the shabby little couch and howl.	これでは、まったくのところ、粗末な小椅子に突っ伏して泣くしかありません。
So Della did it.	ですからデラはそうしました。
Which instigates the moral reflection that life is made up of sobs, sniffles, and smiles, with sniffles predominating.	そうしているうちに、人生というものは、わあわあ泣くのと、しくしく泣くのと、微笑みとでできており、しかも、わあわあ泣くのが大部分を占めていると思うようになりました。
While the mistress of the home is gradually subsiding from the first stage to the second, take a look at the home.	この家の主婦が第一段階から第二段階へと少しづつ移行している間に、家の様子を見ておきましょう。
A furnished flat at $8 per week.	ここは週８ドルの家具付きアパートです。
It did not exactly beggar description, but it certainly had that word on the lookout for the mendicancy squad.	全く筆舌に尽くしがたいというわけではないけれど、浮浪者一掃部隊に気をつけるためにアパートという名前をつけたに違いありません。
In the vestibule below was a letter-box into which no letter would go, and an electric button from which no mortal finger could coax a ring.	階下には郵便受けがありましたが手紙が入る様子はなく、呼び鈴はありましたが人間の指では鳴らせそうもありません。
Also appertaining thereunto was a card bearing the name "Mr.  James Dillingham Young."	その上には「ミスター・ジェームズ・ディリンガム・ヤング」という名前が書かれた名刺が貼ってありました。
The "Dillingham" had been flung to the breeze during a former period of prosperity when its possessor was being paid $30 per week.	その「ディリンガム」の文字は、その名の持ち主に週３０ドルの収入があった繁栄の時代にはそよ風にはためいてきました。
Now, when the income was shrunk to $20, though, they were thinking seriously of contracting to a modest and unassuming D.	でもいまや収入は２０ドルに減ってしまい、文字たちはもっと慎ましく謙遜な「Ｄ」一文字に押し縮めようかと真剣に考えているようでした。
But whenever Mr. James Dillingham Young came home and reached his flat above he was called "Jim" and greatly hugged by Mrs. James Dillingham Young, already introduced to you as Della.	しかし、ジェームズ・ディリンガム・ヤング氏が家に帰って二階のアパートに着くと、すでにデラとしてご紹介済みのジェームズ・ディリンガム・ヤング夫人が、「ジム」と呼びながら、いつでもぎゅうっと夫を抱きしめるのでした。
Which is all very good.	これはたいへん結構なことですね。
Della finished her cry and attended to her cheeks with the powder rag.	デラは泣くのをやめ、頬に白粉をはたくのに意識を集中させました。
She stood by the window and looked out dully at a gray cat walking a gray fence in a gray backyard.	デラは窓辺に立ち、灰色の裏庭にある灰色の塀の上を灰色の猫が歩いているのを物憂げに見ました。
Tomorrow would be Christmas Day, and she had only $1.87 with which to buy Jim a present.	明日はクリスマスだというのに、ジムに贈り物を買うお金が１ドル８７セントしかありません。
She had been saving every penny she could for months, with this result.	何月も何月もコツコツとためてきたのに、これがその結果なのです。
Twenty dollars a week doesn't go far.	週２０ドルでは、大したことはできません。
Expenses had been greater than she had calculated.	支出はデラが計算した以上にありました。
They always are.	支出というものはいつだってそういうものでした。
Only $1.87 to buy a present for Jim.	ジムへの贈り物を買うのに１ドル８７セントしかないなんて。
Her Jim.	大切なジムなのに。
Many a happy hour she had spent planning for something nice for him.	デラは、ジムのために何かすばらしいものをあげようと、長い間計画していたのです。
Something fine and rare and sterling	何か、すてきで、めったにないもの
--something just a little bit near to being worthy of the honor of being owned by Jim.	―― ジムの所有物となる栄誉を受けるに少しでも値する何かを。
There was a pier-glass between the windows of the room.	その部屋の窓と窓の間には姿見の鏡が掛けられていました。
Perhaps you have seen a pierglass in an $8 flat.	たぶんあなたも８ドルの安アパートで見たことのあるような姿見でした。
A very thin and very agile person may, by observing his reflection in a rapid sequence of longitudinal strips, obtain a fairly accurate conception of his looks.	たいそう細身で機敏な人だけが、縦に細長い列に映る自分をすばやく見てとって、全身像を非常に正確に把握することができるのでしょう。
Della, being slender, had mastered the art.	デラはすらっとしていたので、その技術を会得しておりました。
Suddenly she whirled from the window and stood before the glass.	急にデラは窓からくるりと身をひるがえし、その鏡の前に立ちました。
her eyes were shining brilliantly, but her face had lost its color within twenty seconds.	デラの目はきらきらと輝いていましたが、顔は２０秒の間、色を失っていたのでした。
Rapidly she pulled down her hair and let it fall to its full length.	デラは手早く髪を下ろし、その長さいっぱいまで垂らしました。
Now, there were two possessions of the James Dillingham Youngs in which they both took a mighty pride.	さて、ジェームズ・ディリンガム・ヤング家には、誇るべき二つのものがありました。
One was Jim's gold watch	一つはジムの金時計です。
that had been his father's and his grandfather's.	かつてはジムの父、そしてその前にはジムの祖父が持っていたという金時計。
The other was Della's hair.	もう一つはデラの髪でした。
Had the queen of Sheba lived in the flat across the airshaft,	シバの女王が通風縦孔の向こう側のアパートに住んでいたとしましょう。
Della would have let her hair hang out the window some day to dry just to depreciate Her Majesty's jewels and gifts.	ある日、デラが窓の外にぬれた髪を垂らして乾かそうとしたら、それだけで、女王様の宝石や宝物は色あせてしまったことでしょう。
Had King Solomon been the janitor, with all his treasures piled up in the basement,	また、ソロモン王がビルの管理人をやっていて、宝物は地下室に山積みしていたとしましょう。
Jim would have pulled out his watch every time he passed, just to see him pluck at his beard from envy.	ジムが通りがかりに時計を出すたび、王様はうらやましさのあまり、ひげをかきむしったことでしょう。
So now Della's beautiful hair fell about her rippling and shining like a cascade of brown waters.	さて、そのデラの美しい髪は褐色の小さな滝のようにさざなみをうち、輝きながら彼女のまわりを流れ落ちていきました。
It reached below her knee and made itself almost a garment for her.	髪はデラの膝のあたりまで届き、まるで長い衣のようでした。
And then she did it up again nervously and quickly.	やがてデラは神経質そうにまた手早く髪をまとめあげました。
Once she faltered for a minute and stood still	ためらいながら１分間じっと立っていました。
while a tear or two splashed on the worn red carpet.	が、そのうちに涙が一粒、二粒、すりきれた赤いカーペットに落ちました。
On went her old brown jacket;	デラは褐色の古いジャケットを羽織り、
on went her old brown hat.	褐色の古い帽子をかぶりました。
With a whirl of skirts and with the brilliant sparkle still in her eyes, she fluttered out the door and down the stairs to the street.	スカートをはためかせ、目にはまだ涙を光らせて、ドアの外に出ると、表通りへ続く階段を降りていきました。
Where she stopped the sign read:	デラが立ち止まったところの看板には、
"Mne. Sofronie.	「マダム・ソフロニー。
Hair Goods of All Kinds."	ヘア用品なら何でも。」
One flight up Della ran, and collected herself, panting.	デラは階段を一つかけのぼり、胸をどきどきさせながらも気持ちを落ち着けました。
Madame, large, too white, chilly, hardly looked the "Sofronie."	女主人は大柄で、色は白すぎ、冷ややかで、とうてい「ソフロニー」という名前のようには見えませんでした。
"Will you buy my hair?"	「髪を買ってくださいますか」
asked Della.	とデラは尋ねました。
"I buy hair,"	「買うさ」
said Madame.	と女主人は言いました。
"Take yer hat off and let's have a sight at the looks of it."	「帽子を取って見せなさいよ」
Down rippled the brown cascade.	褐色の滝がさざなみのようにこぼれ落ちました。
"Twenty dollars,"	「２０ドル」
said Madame, lifting the mass with a practised hand.	手馴れた手つきで髪を持ち上げて女主人は言いました。
"Give it to me quick,"	「すぐにください」
said Della.	とデラは言いました。
Oh, and the next two hours tripped by on rosy wings.	ああ、それから、薔薇のような翼に乗って２時間が過ぎていきました。
Forget the hashed metaphor.	…なんて、使い古された比喩は忘れてください。
She was ransacking the stores for Jim's present.	デラはジムへの贈り物を探してお店を巡っておりました。
She found it at last.	そしてとうとうデラは見つけたのです。
It surely had been made for Jim and no one else.	それは確かにジムのため、ジムのためだけに作られたものでした。
There was no other like it in any of the stores,	それほどすばらしいものはどの店にもありませんでした。
and she had turned all of them inside out.	デラは全部の店をひっくり返さんばかりに見たのですから。
It was a platinum fob chain simple and chaste in design,	それはプラチナの時計鎖で、デザインはシンプルで上品でした。
properly proclaiming its value by substance alone and not by meretricious ornamentation	ごてごてした飾りではなく、素材のみがその価値を主張していたのです
--as all good things should do.	―― すべてのよきものがそうあるべきなのですが。
It was even worthy of The Watch.	その鎖は彼の時計につけるのにふさわしいとまで言えるものでした。
As soon as she saw it she knew that it must be Jim's.	その鎖を見たとたん、これはジムのものだ、とデラにはわかりました。
It was like him.	この鎖はジムに似ていました。
