TWO GENTLEMEN who were in the lavatory at the time tried to lift him up:	その時便所にいた二人の紳士が彼を引き起こそうとしたが、
but he was quite helpless.	彼はまったくどうしようもなかった。
He lay curled up at the foot of the stairs down which he had fallen.	彼は転落した階段の下に丸くなって寝ていた。
They succeeded in turning him over.	彼らは彼をひっくり返すことに成功した。
His hat had rolled a few yards away and his clothes were smeared with the filth and ooze of the floor on which he had lain, face downwards.	彼の帽子は数ヤード離れた所にころがり、彼の服は顔を下にして寝ていた床の汚物や泥にまみれていた。
His eyes were closed and he breathed with a grunting noise.	彼は目を閉じ、豚のような音を立てて息をしていた。
A thin stream of blood trickled from the corner of his mouth.	彼の口の端から一筋の血がしたたり落ちた。
These two gentlemen and one of the curates carried him up the stairs and laid him down again on the floor of the bar.	二人の紳士とバーテンの一人が彼をかかえて階段を運び上げ、酒場の床に彼を再び横たえた。
In two minutes he was surrounded by a ring of men.	二分のうちに彼は男たちの輪に取り囲まれた。
The manager of the bar asked everyone who he was and who was with him.	酒場の支配人は皆に彼が誰で彼が誰と一緒かを尋ねた。
No one knew who he was but one of the curates said he had served the gentleman with a small rum.	誰も彼が誰か知らなかったが、バーテンの一人がこの紳士にラム酒のハーフを出したと言った。
"Was he by himself?"	「この人は一人きりだったのか？」
asked the manager.	と支配人は尋ねた。
"No, sir.	「いえだんな。
There was two gentlemen with him."	紳士が二人、この人と一緒でした。」
"And where are they?"	「それでその人たちはどこに？」
No one knew;	誰もわからなかった。
a voice said:	ある声が言った。
"Give him air.	「外気に当てろ。
He's fainted."	気絶してるんだ。」
The ring of onlookers distended and closed again elastically.	見物人の輪は弾力的に膨れてまた閉じた。
A dark medal of blood had formed itself near the man's head on the tessellated floor.	モザイク模様の床の上、男の頭の近くに血が黒ずんだメダルをなしていた。
The manager, alarmed by the grey pallor of the man's face, sent for a policeman.	支配人は男の蒼白な顔色に不安を感じ、巡査を呼びにやった。
His collar was unfastened and his necktie undone.	彼のカラーははずされネクタイは緩められた。
He opened eyes for an instant, sighed and closed them again.	彼は一瞬目を開き、ため息をついて再び閉じた。
One of gentlemen who had carried him upstairs held a dinged silk hat in his hand.	彼を上に運んだ紳士の一人が打ち付けられたシルクハットを手に持っていた。
The manager asked repeatedly did no one know who the injured man was or where had his friends gone.	支配人はけがをした男は誰か、彼の友達がどこへ行ったか誰も知らないのかと繰り返し尋ねていた。
The door of the bar opened and an immense constable entered.	酒場のドアが開き、大男の巡査が入ってきた。
A crowd which had followed him down the laneway collected outside the door, struggling to look in through the glass panels.	ドアの外には横町を彼についてきた者たちの人だかりができ、懸命にガラス板を通して中をのぞこうとしていた。
The manager at once began to narrate what he knew.	支配人はすぐに知っていることを話し始めた。
The costable, a young man with thick immobile features, listened.	愚鈍で無表情な顔の若い男、巡査が聞いていた。
He moved his head slowly to right and left and from the manager to the person on the floor, as if he feared to be the victim some delusion.	彼は頭をゆっくり左右に、そして支配人から床の人物へと動かし、まるで何か思い違いの犠牲者になるのを恐れるかのようだった。
Then he drew off his glove, produced a small book from his waist, licked the lead of his pencil and made ready to indite.	それから彼は手袋をとり、上着から小さな帳面を出し、鉛筆の芯をなめて書き取る準備をした。
He asked in a suspicious provincial accent:	彼は疑わしげに田舎なまりで尋ねた。
"Who is the man?	「この男は誰です？
What's his name and address?"	名前と住所は？」
A young man in a cycling-suit cleared his way through the ring of bystanders.	サイクリングスーツの若い男が傍観者の輪を通り抜けてきた。
He knelt down promptly beside the injured man and called for water.	彼は敏速にけが人のそばにひざまずき、水を求めた。
The constable knelt down also to help.	巡査もまた手助けにひざまずいた。
The young man washed the blood from the injured man's mouth and then called for some brandy.	若い男はけが人の口から出た血を洗い、それからブランデーを要求した。
The constable repeated the order in an authoritative voice until a curate came running with the glass.	巡査はバーテンがグラスを手に走ってくるまで有無を言わさぬ声で命令を繰り返した。
The brandy was forced down the man's throat.	ブランデーが無理やり男ののどに流された。
In a few seconds he opened his eyes and looked about him.	数秒で彼は目を開け、あたりを見回した。
He looked at the circle of faces and then, understanding, strove to rise to his feet.	彼はぐるりの顔を見てそれから、理解し、なんとかして立ち上がろうとした。
"You're all right now?"	「もう大丈夫ですか？」
asked the young man in the cycling- suit.	サイクリングスーツの若い男が尋ねた。
"Sha,'s nothing,"	「ああ、なんでもないです」
said the injured man, trying to stand up.	とけがをした男は立とうとしながら言った。
He was helped to his feet.	彼は手を借りて立ち上がった。
The manager said something about a hospital and some of the bystanders gave advice.	支配人は何か病院のことを言い、助言をする傍観者もいた。
The battered silk hat was placed on the man's head.	つぶれたシルクハットは男の頭にのせられた。
The constable asked:	巡査が尋ねた。
"Where do you live?"	「どこに住んでます？」
The man, without answering, began to twirl the ends of his moustache.	男は答えずに、口ひげの端をひねくり始めた。
He made light of his accident.	彼は事故を軽視した。
It was nothing, he said:	なんでもない、と彼は言った、
