The Great Gatsby	グレイト・ギャツビー
F. Scott Fitzgerald	Ｆ・スコット・フィッツジェラルド
Chapter 1	第1章
In my younger and more vulnerable years my father gave me some advice that I’ve been turning over in my mind ever since.	ぼくが今より若くて今より傷つきやすかった時代に父から受けた一種の忠告を、ぼくは何度も心の中で繰りかえしながら生きてきた。
“Whenever you feel like criticizing any one,” he told me, “just remember that all the people in this world haven’t had the advantages that you’ve had.”	「他人のことをとやかく言いたくなったときはいつでもね、この世の誰もがおまえほどに恵まれた生き方をしてるわけじゃないと思い出すことだ」
He didn’t say any more, but we’ve always been unusually communicative in a reserved way, and I understood that he meant a great deal more than that.	父はそれ以上何も言わなかったものの、ぼくと父とは、他人行儀なやりかたで異常なほど意思を伝え合ってきたから、父はこの言葉にもっと大きな意味を含めているのがよく分かった。
In consequence, I’m inclined to reserve all judgments, a habit that has opened up many curious natures to me and also made me the victim of not a few veteran bores.	結果として、ぼくはどんなときでも判断を保留したがるくせがつき、そのためにいろいろな面白いひとたちから関心をよせられたし、また、困った連中につきまとわれることも少なからずあった。
The abnormal mind is quick to detect and attach itself to this quality when it appears in a normal person,	風変わりな精神の持ち主は、ぼくのような資質が平凡なひとたちの中に現れると、それを目ざとく見出し、すりよってくるものなのだ。
and so it came about that in college I was unjustly accused of being a politician,	それで大学では、あいつは策士だなんて不当な非難を浴びたりもした。
because I was privy to the secret griefs of wild, unknown men.	というのもぼくは、よく知りもしない乱暴者たちが胸に抱えこんだ苦悩を知っていたりしたからだ。
Most of the confidences were unsought――	ぼくはそうした信頼を求めて得たわけではない。
frequently I have feigned sleep, preoccupation, or a hostile levity when I realized by some unmistakable sign that an intimate revelation was quivering on the horizon;	よく、寝たふりをしたり、考え事をしているふりをしてみせたり、嫌がらせに走ったりして、相手を遠ざけようとしたのだ――
for the intimate revelations of young men, or at least the terms in which they express them, are usually plagiaristic and marred by obvious suppressions.	なぜなら、若者たちの親しいつきあいには――というか、少なくともそういうつきあいにおいて用いられる言葉には――オリジナリティーが欠けているのがふつうだし、本心を隠そうとする見え透いたやりくちのせいで実体を失ってしまっているからだ。
Reserving judgments is a matter of infinite hope.	判断の保留は無限の希望を生む。
I am still a little afraid of missing something if I forget that, as my father snobbishly suggested, and I snobbishly repeat, a sense of the fundamental decencies is parcelled out unequally at birth.	父がえらそうに言い出したように、そしてぼくがえらそうに繰りかえすように、常識非常識の感覚は生まれながらに十人十色なのであって、これを忘れてしまうようではぼくもまた何事かを見落としてしまうのではないだろうか。
And, after boasting this way of my tolerance, I come to the admission that it has a limit.	それで、ぼくはこうして自分の心の広さを誇っておきながら、それにも限度があるということを認めることになる。
Conduct may be founded on the hard rock or the wet marshes, but after a certain point I don’t care what it’s founded on.	行儀振舞というものは岩のようにがっしりしたところに根をおろしたり、あるいは沼地のようにじめじめとしたところに根をおろしたりもするのだけれども、ある一点を超えると、その根っこがどこにあるのかまったく気にならなくなってしまう。
When I came back from the East last autumn I felt that I wanted the world to be in uniform and at a sort of moral attention forever;	去年の秋、東部からもどってきたぼくは、世間というものがいつまでも軍服を着、その道徳観に「気をつけ」みたいにしていて欲しい気分だった。
I wanted no more riotous excursions with privileged glimpses into the human heart.	いい気に人の心を垣間見ながら馬鹿騒ぎに満ちた旅をやるのはもうまっぴらだった。
Only Gatsby, the man who gives his name to this book, was exempt from my reaction――	ただひとりギャツビー、この本に名をふきこんだ男だけは、ぼくの反感の対象範囲外だった――
Gatsby, who represented everything for which I have an unaffected scorn.	ギャツビー、ぼくが心からの軽蔑を抱いているものすべてを一身に表したような男。
If personality is an unbroken series of successful gestures, then there was something gorgeous about him,	もし人格というものを首尾よく続けられた一連の演技のことだとすれば、かれの人格には豪華絢爛とでもいうべきところがあった。
some heightened sensitivity to the promises of life, as if he were related to one of those intricate machines that register earthquakes ten thousand miles away.	人生の希望を捉える研ぎ澄まされた感性というか、まるで、数千マイル離れた場所の地震を感知する、あの複雑な機械とつながりがありそうに思えた。
This responsiveness had nothing to do with that flabby impressionability which is dignified under the name of the “creative temperament.”;	この鋭敏さは、「クリエイティブな気質」とか呼ばれるあの危うい影響の受けやすさとは違う――
it was an extraordinary gift for hope, a romantic readiness	ギャツビーのは、希望を見出す天分やロマンティックな思考回路だった。
such as I have never found in any other person and which it is not likely I shall ever find again.	ぼくがこれまで他の人に見出したことがなく、これからも見出せそうには思えないような。
No――	そう――
Gatsby turned out all right at the end;	最後になってみればギャツビーはすべて正しかったのだ。
