Blue & Green	青と緑
Virginia Woolf	ヴァージニア・ウルフ
The ported fingers of glass hang downwards.	ガラスの尖った指たちは下を向いてぶらさがっている。
The light slides down the glass, and drops a pool of green.	光がガラスにすべりおち、緑の水たまりを滴らせる。
All day long the ten fingers of the lustre drop green upon the marble.	日がな一日中、艶めく十の指が大理石の上に緑を滴らせる。
The feathers of parakeets -- their harsh cries -- sharp blades of palm trees -- green, too;	インコたちの羽――その不快な鳴き声――ヤシの尖った葉――ともに緑。
green needles glittering in the sun.	緑の針々が陽光にきらめく。
But the hard glass drips on to the marble; the pools hover above the desert sand; the camels lurch through them; the pools settle on the marble; rushes edge them; weeds clog them;	だが、固いガラスは大理石の上に滴り、水たまりは砂漠の砂の上に這い、そこにラクダたちは足を踏み入れ、水たまりは大理石の上に沈み、イグサがまわりに茂り、水草が中を泳ぐ。
here and there a white blossom; the frog flops over;	あちらこちらで白い花ざかり、蛙がその上に倒れこむ。
at night the stars are set there unbroken.	夜、かなたに星々があどけなく浮かんでいる。
Evening comes, and the shadow sweeps the green over the mantlepiece;	日が落ち、影がマントルピースを覆う緑を拭い去る。
the ruffled surface of ocean.	荒れる海原。
No ships come;	船はこない。
the aimless waves sway beneath the empty sky.	波が目的もなく揺れている何もない空の下。
It's night;	夜だ。
the needles drip blots of blue.	かの針々が青の染みを滴らせる。
The green's out.	緑は消える。
The snub-nosed monster rises to the surface and spouts through his blunt nostrils two columns of water,	鼻のつぶれた化け物が水面に浮きあがり、大きな鼻の穴から2柱の水柱を立てる。
which, fiery-white in the centre,	その芯はめらめら炎の青白さ。
spray off into a fringe of blue beads.	その水飛沫（みずしぶき）は青いビーズの房（ふさ）となる。
Strokes of blue line the black tarpaulin of his hide.	その毛皮、黒い防水布に幾重もの青い線。
Slushing the water through mouth and nostrils he sings,	口と鼻の穴をすすぎながら彼は歌う。
heavy with water,	水のぶん重々しく。
and the blue closes over him dowsing the polished pebbles of his eyes.	青が彼に覆い被さりその両眼の小石を磨く。
Thrown upon the beach he lies, blunt, obtuse, shedding dry blue scales.	岸辺に打ち寄せられた彼は寝そべる、のろのろどろどろと流れる青い鱗。
Their metallic blue stains the rusty iron on the beach.	そのメタリックブルーが岸辺の錆びた鉄を汚す。
Blue are the ribs of the wrecked rowing boat.	その青さは破れた手漕ぎ船の肋材（ろくざい）。
A wave rolls beneath the blue bells.	波が転がってゆく青いベルの下。
But the cathedral's different,	だが、カテドラルは違う。
cold, incense laden, faint blue with the veils of madonnas.	もっと別の、冷たくて、麝香（じゃこう）を焚き染めたような、聖母のあのヴェールの微かな青。
