Usable GUI Design: A Quick Guide for F/OSS Developers	使える GUI デザイン:フリー／オープンソース・ソフトウェア開発者のための手引き
Introduction	イントロダクション
The Open Source software world is full of excellent software.	オープンソース・ソフトウェアの世界は優れたソフトウェアでいっぱいです。
High-quality F/OSS software is available for virtually any task a computer user could want to do, from word-processing to web-serving.	ワードプロセッサから Web サービスにいたるまで、コンピュータでしたいと思うようなおおよそすべての作業において、高品質のフリー／オープンソース・ソフトウェアを利用することができます。
There is one small problem with much of this huge array of software:	しかしこうして勢ぞろいしたソフトウェアにも、ひとつ欠点があります。
it is often far more difficult to use than it could be.	あるべき使い勝手からかけ離れて使いにくいということがたびたびあるのです。
Professional UI designers tell us that user interfaces should be the first thing designed when we come to develop an application, and that programmers are incapable of doing this kind of design.	UI デザインの専門家は、アプリケーションの開発にあたっていちばんに設計されるべきなのはユーザー・インターフェースであるといいますが、プログラマにはこうした設計をすることができません。
They say it can only be done by the professional UI experts;	それは UI の専門家でなければできないことで、
OSS projects don't have access to these kind of people, and therefore can never be truly usable.	オープンソース・ソフトウェアのプロジェクトではこうした人々の手を借りることができず、それゆえ本当の使いやすさというものは望むべくもないというのです。
This doesn't mean we should just give up on UI design.	これは、わたしたちが UI デザインをあきらめるべきだということではありません。
From the quality of many commercial applications' UIs, having usability experts on staff doesn't guarantee a good interface either.	多くの商用アプリケーションの UI の品質を見ればわかるように、スタッフにユーザビリティのエキスパートを加えればそれで優れたユーザー・インターフェースが保証されるというわけでもないのです。
Effort, knowledge and thought by any developer can improve the usability of an application greatly.	開発者の努力、知識、洞察力がアプリケーションの使い勝手を大きく向上させることを可能にするのです。
We may only find a local optimum rather than the global, but even that is a step in the right direction.	わたしたちに見つけられるのは絶対的ではなくて近似的な解にすぎないかもしれませんが、それでもそれは正しい方向への進歩です。
After years of struggling with these problems, I thought I would write down a short list of five things that we OSS developers should consider when designing our application's GUI.	こうした問題に数年にわたって取り組んだ末に、わたしはオープンソース・ソフトウェア開発者がアプリケーションの GUI をデザインする際に守るべき 5 つの点について書くことにしました。
These are drawn from my experience in using and writing OSS software and my reading of a few very interesting books and web sites on the subject.	これらは、わたしがオープンソース・ソフトウェアを使用・開発した経験と、こうしたことがらについて扱っているいくつかのたいへん興味深い書籍や Web サイトから導き出したものです。
These works are listed in the references	それらの作品については参考文献に挙げてあります
――they are all excellent reading for any developer interested in usability issues.	――ユーザビリティの問題に興味がある開発者にとってはどれもすばらしい読みものです。
I have intentionally only mentioned points here which do not require major amounts of work to implement, and about which there is little controversy.	ほとんどの作品に必ずしも実装を要求されないことがらや、ちょっとした論争になっているようなことがらについては、わたしはあえて軽く触れるにとどめました。
Larger “whole-application” issues are beyond the scope of this article.	より広い「すべてのアプリケーション」についてが本稿の対象だからです。
