The Hacker FAQ	管理職のためのハッカー FAQ
The following list is an attempt to cover some of the issues that will invariably come up when people without previous experience of the hacker community try to hire a hacker.	以下のリストは、ハッカー・コミュニティに属した経験のない人がハッカーを雇おうとする際に常に頭をもたげる問題をある程度カバーしようとする試みである。
This FAQ is intended for free distribution, and may be copied as desired.	この FAQ は自由な配布を意図しているし、好きなように複製してよい。
It is in an early revision.	これは初期の改訂版である。
If you wish to modify the FAQ, or distribute it for publication, please contact the author.	もしこの FAQ を修正したい、もしくは出版物による配布をしたい場合は、どうか作者に連絡していただきたい。
The author is seebs@plethora.net.	作者は seebs@plethora.net である。
The official distribution site (as of revision 0.05) is "http://www.plethora.net/‾seebs/faqs/hacker.html".	正式版（0.05 版）があるサイトは、"http://www.plethora.net/‾seebs/faqs/hacker.html" である。
DISCLAIMER:	免責事項：
The author is a hacker.	作者はハッカーである。
Bias is inevitable.	バイアスがかかるのは避けられない。
Unaltered distribution is permitted.	変更を加えない限り配布は許可される。
Revision 0.05 - Last modified September 28, 1999	0.05版：1999年9月28日最終更新
Questions and Answers:	質問と回答：
Section 0: Basic understanding.	0章： 基本的な理解
0.0: Won't my hacker break into my computer and steal my trade secrets?	0.0: うちで働くハッカーは私のコンピュータに侵入したり、企業秘密を盗んだりしないでしょうか？
No.	いえ。
Hackers aren't, contrary to media reporting, the people who break into computers.	ハッカーというのは、メディアの報道に反して、コンピュータに侵入する人間のことではありません。
Those are crackers.	そうした手合はクラッカーです。
Hackers are people who enjoy playing with computers.	ハッカーはコンピュータと戯れる人達です。
Your hacker may occasionally circumvent security measures, but this is not malicious;	あなたが雇っているハッカーは時折安全対策を出し抜いたりしますが、これに悪意はないのです。
she just does it when the security is in her way, or because she's curious.	セキュリティがそれなりのものである場合に特にそうしたがるわけで、これはすなわち好奇心ゆえなのです。
0.1: Was it a good idea to hire a hacker?	0.1: ハッカーを雇ったのは得策だったでしょうか？
It depends on the job.	仕事に依ります。
A hacker can be dramatically more effective than a non-hacker at a job, or dramatically less effective.	ハッカーはある仕事においては非ハッカーよりも劇的に有能たりえるし、そうでなければ劇的に劣ってしまいます。
Jobs where hackers are particularly good are:	ハッカーが特に得意とする仕事は、
Systems administration	システム管理
Programming	プログラミング
Design	デザイン
Jobs where hackers are particularly bad are:	ハッカーが特に不得手とする仕事は、
Data entry	データ入力
More generally, a job that requires fast and unexpected changes, significant skill, and is not very repetitive will be one a hacker will excel at.	大体において、迅速さや予期せぬ変化、傑出した技能を必要とし、余り繰り返しのない仕事というのが、ハッカーが秀でるところです。
Repetitive, simple jobs are a waste of a good hacker, and will make your hacker bored and frustrated.	繰り返しが多い単調な仕事は優れたハッカーを無駄にし、あなたが雇っているハッカーを退屈させ欲求不満にさせるでしょう。
No one works well bored and frustrated.	退屈で欲求不満ではよく働いてはくれませんよね。
The good news is, if you get a hacker on something he particularly likes, you will frequently see performance on the order of five to ten times what a "normal" worker would produce.	ありがたいことに、ハッカーを彼が特に好むところに置いてやれば、しばしば「平均的な」労働者のおよそ５倍から１０倍もの成績を上げるのを目の当たりにするでしょう。
This is not consistent, and you shouldn't expect to see it all the time, but it will happen.	これは首尾一貫しておらず、毎度それを期待すべきではないのですが、往々にして起きることです。
This is most visible on particularly difficult tasks.	これは特に困難な仕事を与えたときに最も目にします。
0.2: How should I manage my hacker?	0.2: 私はうちで雇っているハッカーを管理すべきなのでしょうか？
The same way you herd cats.	猫を飼うのと同じ要領です。
It can be a bit confusing;	いくらか困惑するでしょう。
they're not like most other workers.	彼らは他の大部分の労働者と毛色が異なるわけですから。
Don't worry!	でも心配無用！
Your hacker is likely to be willing to suggest answers to problems, if asked.	あなたのところのハッカーは、もし求められたら、問題への解を進んで提案してくれるでしょう。
Most hackers are nearly self-managing.	多くのハッカーはほとんど自己管理がなってます。
