The Manager FAQ	ハッカーのための管理職 FAQ
The following list is an attempt to cover some of the issues that will invariably come up when hackers without previous experience of the business community first start working in it.	以下のリストは、業界経験のないハッカーがはじめてその中で働き始める際に、必ず頭をもたげる問題点の一部を網羅しようという試みである。
Other workers may also find it informative.	そうでない社会人の参考になるかもしれない。
DISCLAIMER:	免責事項：
The author is a hacker.	作者はハッカーである。
Bias is inevitable.	バイアスがかかるのは避けられない。
Unaltered distribution is permitted.	変更を加えない限り、配布は許可される。
Revision 0.01 - Last modified February 7, 2001	0.01版 - 2001年2月7日最終更新
Questions and Answers:	質問と回答：
Section 1: Basic understanding.	1章: 基本的な理解
1.1: Why doesn't my manager just do some actual work?	1.1: どうしてうちの管理職は、まともに働こうとしないのですか？
Management is a kind of work.	管理が業務内容なのです。
Just as programs need architecture and design,  functional groups of people can need organizing principles.	ちょうどプログラムにアーキテクチャと設計が必要なように、人間が集団で機能するには、組織原理が必要になるのです。
Having a person picked to handle this work can reduce the amount of time spent trying to decide how to make decisions, and can free other people up to do the work they're best at.	こうした仕事をさばく人間を割り当てることで、決定を行なう方法を決めるのに要する時間を減らし、他の人達がベストの仕事をできるよう解放できます。
1.2: Is it useful for me to have a manager?	1.2: 管理職がいるということは、僕にとって有益なのでしょうか？
It depends on the kind of job you're doing.	あなたの職種に依ります。
A manager can dramatically improve your performance, both as an individual and as a member of a team, or a manager can get in the way and keep you from working .	管理職がいることで、あなたの仕事の効率が、個人としても、チームの一員としても劇的に向上することがありえますし、そうでなければ管理職があなたの仕事の邪魔にもなりえます。
Work environments where managers are particularly useful are:	管理職の存在が特に有益になる職場環境というのは：
Large environments, especially with high turnover.	大きな職場、特に異動が多い場合
Jobs where a significant amount of incoming information must be factored into planning.	大量の情報を計画に織り込まなければならないような職場
Jobs which are prone to substantial obstructions coming between workers and their work.	働く人間とその仕事の間に入る障害が大きくなりがちな職場
Jobs where managers may interfere are:	管理職の存在が妨げになる可能性がある職場は：
Creative work.	創造的な仕事
Fundamental engineering or research.	基礎技術の研究
More generally, if the job allows for a person (who might not be able to do the job) to substantially help the people actually doing the work get it done, or depends on a substantial amount of decision making that doesn't really require everyone's constant input, it will probably benefit from management.	もっと一般的に言うと、その仕事に実際に携わる人間がうまくやれるようにしっかりと助ける（その仕事を実際にやる能力はない）人間が必要な場合か、皆の同意を必要としない意思決定の量が多い場合、大抵マネージメントによる恩恵があります。
If the job consists entirely of things a single person can just sit down and do, a manager may just get underfoot.	もしその仕事が、一人の人がただ座ってやるだけでできることから成り立っているなら、管理職の存在が足手まといになるかもしれません。
The good news is, a manager who does a good job of "running interference" for his workers can improve productivity by amazing amounts;	朗報なのは、部下にとって「防波堤」となるような良い仕事をしてくれる管理職がいると、驚くほど生産性を向上させることが可能である、ということです。
you may see five to ten times the productivity you would have gotten if everyone had to stop working all the time to interact with the rest of the company (or the outside world).	もし職場の全員が、その会社の別の部署（もしくは外の世界）と交流するのに、働くのを止めずに済むなら、その生産性は５倍から１０倍にもなるかもしれません。
This won't happen all the time, but it will happen.	これはいつも起こることではありませんが、往々にして起こることなのです。
1.3: How should I deal with my manager's management?	1.3: 僕は自分の管理職の管理にどう対処すべきなのでしょうか？
The same way you deal with any other source of requirements.	他からの要求への対処と同じ要領です。
Whenever possible, assume that she is basically aware of what needs to happen - possibly more aware than you are.	可能なときは常に、彼女が自分よりもよく気付いているからこそ、要求すべきことに気付くのだと思うようにしてください。
Don't fight her without good cause, and she'll be fine.	正当な理由なしに彼女と争わないようにすれば、彼女の機嫌はよいでしょう。
1.4: I don't understand this at all.	1.4: 僕にはまったく理解できません。
This is confusing.	戸惑ってます。
Is there a book on this?	これについて書かれた本はありますか？
