At Denver there was an influx of passengers into the coaches on the eastbound B. & M. express.	デンバーで、東部に向かうＢ＆Ｍ急行列車の普通客車に乗客が流れ込んできた。
In one coach there sat a very pretty young woman dressed in elegant taste and surrounded by all the luxurious comforts of an experienced traveler.	ある客車では、趣味のよい服装をした若い美人が、経験豊かな旅行者がもつあらゆる贅沢な品に囲まれて座っていた。
Among the newcomers were two young men,	乗りこんできたばかりの客のなかに2人の若い男がいた。
one of handsome presence with a bold, frank countenance and manner;	ひとりはふてぶてしくフランクな面構えをしており、また態度もそれに見合ったものだった。
the other a ruffled, glum-faced person, heavily built and roughly dressed.	もうひとりはしわくちゃの、陰気な顔の男で、鈍重そうな体つきをしており、着ているものも乱雑だった。
The two were handcuffed together.	2人はおたがいに手錠でつながれていた。
As they passed down the aisle of the coach	2人は客車の通路を歩いて行った。
the only vacant seat offered was a reversed one facing the attractive young woman.	空席は、例の魅力的な女性の差し向かいの席しかない。
Here the linked couple seated themselves.	そこに、2人1組の男たちは座った。
The young woman's glance fell upon them with a distant, swift disinterest;	その若い女性はかすかに、すばやく、また何気なく、男たちに目を走らせた。
then with a lovely smile brightening her countenance and a tender pink tingeing her rounded cheeks, she held out a little gray-gloved hand.	と、彼女は、顔を輝かせ、ふっくらした頬をかすかに赤らめて、灰色の手袋に包まれた小さな手を差し出した。
When she spoke her voice, full, sweet, and deliberate, proclaimed that its owner was accustomed to speak and be heard.	そして口を開いたのだが、そのゆったりとした甘ったるい声からして、声の主は話し慣れした人物であり、また聞いてもらうのにも慣れているに違いない。
"Well, Mr. Easton, if you ‾will‾ make me speak first, I suppose I must.	「イーストンさん、あのう、わたしのほうから声をかけてほしがっておられるみたいですから、そうしますね。
Don't vou ever recognize old friends when you meet them in the West?"	西部で知り合った昔のお友だちのこと、忘れてしまったんですか？」
The younger man roused himself sharply at the sound of her voice, seemed to struggle with a slight embarrassment which he threw off instantly, and then clasped her fingers with his left hand.	その声を聞くと若いほうの男がはっとなり、わずかに当惑したそぶりを見せたが、すぐに落ちつきをとりもどして、左手で彼女の手をしっかりと握った。
"It's Miss Fairchild,"	「フェアチャイルドさんでしたか」
he said, with a smile.	と、彼はほほえみながら言った。
"I'll ask you to excuse the other hand; "it's otherwise engaged just at present."	「もう一方の手はご勘弁願います、さしあたっては別の役割がありましてね」
He slightly raised his right hand,	彼は右手を軽くあげて見せた。
bound at the wrist by the shining "bracelet" to the left one of his companion.	その手首は、きらきらした「ブレスレット」で同伴者の左手首とつながれていた。
The glad look in the girl's eyes slowly changed to a bewildered horror.	娘の喜びをたたえていた目は次第に困惑した恐怖の色合いを強めていき、頬からは火照りが消えていった。
The glow faded from her cheeks.  Her lips parted in a vague, relaxing distress.	唇はわずかに開かれて、困りきっているのを隠そうとしていた。
Easton, with a little laugh, as if amused, was about to speak again when the other forestalled him.	イーストンにはそれが面白かったのか、すこしだけ笑ってふたたび口を開こうとしたが、それをだしぬいて同伴者が口を開いた。
The glum-faced man had been watching the girl's countenance with veiled glances from his keen, shrewd eyes.	その陰気な顔つきの男は、抜け目のない確かな眼力で、こっそりと娘の顔色を観察していたのだ。
