A Sense of History: Some Components	歴史学における常識
All students who graduate from a liberal arts college should take with them an indelible awareness of the following:	大学の教養学科を卒業した学生ならば、以下に示すことを常に意識していなければならない。
1. Some things happened before other things.	１．ある出来事は別の出来事のまえに起こった。
Studying history is much more than the memorization of dates.	歴史を学ぶこと、それは単に事件の日付を暗記するというだけのものではない。
But if we get things out of chronological order, we'll inevitably get a lot of other things wrong too.	しかし、我々が物事を年代順に置かなかったら、多くのまちがいを得ることになってしまうのだ。
Imagine that we are in a new city trying to find "408 N. 5th St.,"	初めて訪れた町で「408 N. 5th St.」を見つけようとしていると仮定する。
but vandals have taken down the signs for 3rd, 4th, 5th, 6th, 7th, and 8th streets and rearranged them in random order.	この時、心ない人物が、3rd, 4th, 5th, 6th, 7th, 8thのそれぞれの通りから標識を取り去り、ランダムに並べ替えてしまったとしたらどうなるだろうか。
We'll probably fail.	たぶん「408 N. 5th St.」を探し出すことはできないだろう。
Neither can we expect to succeed in the study of history	そんなことをしたら、我々は歴史をきちんと学べるはずがないのだ。
if we think Socrates was Aristotle's student, and they both argued with St. Paul when the Christian apostle preached in Athens.	たとえば、ソクラテスがアリストテレスの教え子だったとか、その２人が聖ポールで議論していたとき、アテネではキリスト教の教祖が説教していたなどと思いこんではいけないのだ。
2. Some things only happened in certain places.	２．出来事はある特定の場所でだけ起こった。
Athens is in Greece, of course.	アテネはもちろんギリシャの中にある。
It may be nearer to Jerusalem than some people think,	普通考えられている以上にエルサレムに近い場所にあると思うかもしれない。
but the two cities are on different sides of the Mediterranean Sea.	だが、２つの都市は互いに地中海を挟んで反対側の位置にあるのだ。
In other words, geography is as basic to the study of history as is chronology.	言い換えると、地理学は年代学とともに歴史を学ぶものにとっての基礎となっている。
Time and space are the most basic units of historical study	時間と空間は、歴史を研究するためのもっとも基礎的な単位である。
because they are the most basic units of historical existence.	その２つが、歴史的事象のもっとも基礎的な単位だからだ。
We must respect them both.	従って、我々は両方とも尊重しなければならないのだ。
For a human being to exist in a "place," however, also means to exist in a particular community, society, and culture.	ところで、ある人間がある「場所」にいるということは、ある特定の集団、社会、文化の中にいるということでもある。
When the third-century Christian apologist Tertullian asked,  "What has Athens to do with Jerusalem?" he was not denying that there were routes for travelling between the two.	３世紀のキリスト教弁解者であるテルトリアヌスが「アテネとエルサレムの間に何の関係があるか。」と聞いたとき、２つの都市の間に旅行ルートがあることは否定しなかった。
He was not talking about geography.	テルトリアヌスは地理学について話しているのではなかった。
He was insisting	テルトリアヌスはこう主張していたのだ。
that Greek philosophy and Christian theology grew out of very different cultures or worldviews.	ギリシャ哲学とキリスト教神学は、非常に異なった文化や世界観から生じているのだ。
He may have been wrong to exaggerate their differences	確かに、その違いを誇大に言い立ててまちがいを犯したかもしれない。
-- but he was right to expect differences.	しかし、違いがあると予想した点では正しかった。
To expect and recognize cultural differences is also to exercise a sense of "place."	文化の違いを想定し、認識することは、「場所」に対する感覚を養うことでもあるのだ。
3. Meanings and definitions of words change.	３．言葉の意味と定義は変化している。
Let's say we read the word "virtue" in an English translation of a text	我々が「virtue」という言葉を見たとしよう。
that the Christian thinker Tertullian wrote 200 years after the birth of Jesus.	この言葉は、キリスト教弁解者テルトリアヌスが、イエスの生誕から200年後に書いた文章の英訳の中にあるものだ。
Later we read the word "virtue" in an English translation of a text that the Greek philosopher Aristotle wrote 350 years before the birth of Jesus.	その後で、「virtue」という言葉をもう一度、ただし今度はギリシャの哲学者アリストテレスが、イエスの生誕の350年前に書いた文書の英訳の中で見たとしよう。
Should we assume they mean the same thing?	さて、この２つの「virtue」は同じものと言えるだろうか。
No!	そうではないのだ。
If nothing else, we must should remember that Tertullian wrote in Latin, whereas Aristotle wrote in Greek.	もしもそう思わないのであれば、テルトリアヌスはラテン語で書き、アリストテレスはギリシャ語で文章を書いたのだということを思い出さなければいけない。
So we can't assume that the words behind the English translation meant exactly the same thing.	そう、英訳されたあとに同じ言葉になったからといって、必ずしも同じ意味を指しているとは限らないのである
(If you are studying a foreign language while in college, you should already know this.	（もし君が大学で外国語を学んでいるなら、当然知っているべきである。
If you aren't studying a foreign language	外国語を学んでいないとしたら
-- why aren't you?)	――何で学んでないのかね）。
More importantly, words get their meanings from the times, places, and cultures in which people use those words.	もっと大事なことは、言葉の意味は使う人の時代とか場所とか属する文化とかに依存しているということである
(Remember points 1 and 2?)	（ポイント１と２を覚えているだろうか）。
Aristotle was both reflecting and deliberately changing the meaning of "virtue" that he had learned from other Greeks, such as the ancient poet Homer.	アリストテレスは、よく考えたあとで、他のギリシャ人、たとえばホメロスのような詩人から習った「virtue」という言葉の意味を、違う意味を表すものとして使っていた。
Tertullian and other early Christians had rejected some of the Greek virtues entirely, and modified the meaning of others.	テルトリアヌスなどの初期のキリスト教徒は、ギリシャ語における「virtue」の意味のうち、ある意味は拒絶し、ある意味は修正して使っていた。
So there is no way to understand the meaning of words except to read them in context	だから、文脈を読む以外には、ある言葉の意味を理解する方法はないのだ。
-- noting how they are used, associating them with related words, learning as much historical background as possible, and so on.	つまり、その使い方に注意し、関連語を結びつけ、できる限り、言葉の歴史的背景やなんかを学ばなければいけないのである。
Lesson: there are no short cuts to reading, and reading carefully.	Lesson：速読することなく、きちんと精読しなさい。
We reluctantly allow ourselves a huge short cut when we use English translations!	我々が英訳を使うときには、まったく不本意なことではあるが、巨大なショートカットを認めることになるのだ。
What more can we ask?	その多くを突きとめるには何ができるだろうか。
Hint: unless you really want to aggravate your professors, never begin a history paper with Webster's definition of "virtue" or any other word.	Hint：教授をいらいらさせたいと思っている場合は別として、「virtue」やその他の単語の定義をウェブスターから引いてきて、歴史的文書を読み始めないようにする。
4. Where there is no record there is no history.	４．記録がないところに歴史はない。
Professional historians get as frustrated as their students over this one.	歴史の専門家は、このことに学生と同じような失望感を覚えてしまう。
Sure, stuff happened before human beings started leaving artifacts and writing things down.	もちろん、物事は人間が加工品を捨てたりものを書き留め始めたりする前にすでに始まっている。
And sure, a lot more stuff happened afterwards that nonetheless left no trace.	そして確かに、物事がかなり進んだあとであってもたどるべき記録がないことはある。
So we'd like to know more.	だから、我々は物事をもっと知りたいと思う。
We'd like to fill in the gaps.	記録の隙間を埋めたいとも思う。
But we can't draw conclusions where we don't have evidence.	しかし、証拠がなければ結論を導くことはできないのだ。
Sometimes we can make educated guesses and speculate, but we dare not pass our speculations off as facts.	ときには、それまでの情報や専門知識から推測したり考えたりすることは可能だが、推測を事実に見せかけるなんて我々にはとてもできない。
So students shouldn't try either.	だから、学生は推測とか思考とかを試みてはならない。
