THE STORY OF MIMI-NASHI-HOICHI	耳無芳一の話
Lafcadio Hearn	小泉八雲
More than seven hundred years ago, at Dan-no-ura, in the Straits of Shimonoseki, was fought the last battle of the long contest between the Heike, or Taira clan, and the Genji, or Minamoto clan.	七百年以上も昔の事、下ノ関海峡の壇ノ浦で、平家すなわち平族と、源氏すなわち源族との間の、永い争いの最後の戦闘が戦われた。
There the Heike perished utterly, with their women and children, and their infant emperor likewise -- now remembered as Antoku Tenno.	この壇ノ浦で平家は、その一族の婦人子供ならびにその幼帝――今日安徳天皇として記憶されている――と共に、まったく滅亡した。
And that sea and shore have been haunted for seven hundred years...	そうしてその海と浜辺とは七百年間その怨霊に祟られていた……
Elsewhere I told you about the strange crabs found there, called Heike crabs, which have human faces on their backs, and are said to be the spirits of the Heike warriors [1].	他の個処で私はそこに居る平家蟹という不思議な蟹の事を読者諸君に語った事があるが、それはその背中が人間の顔になっており、平家の武者の魂であると云われているのである。
But there are many strange things to be seen and heard along that coast.	しかしその海岸一帯には、たくさん不思議な事が見聞きされる。
On dark nights thousands of ghostly fires hover about the beach, or flit above the waves,--	闇夜には幾千となき幽霊火が、水うち際にふわふわさすらうか、もしくは波の上にちらちら飛ぶ――
pale lights which the fishermen call Oni-bi, or demon-fires;	すなわち漁夫の呼んで鬼火すなわち魔の火と称する青白い光りである。
and, whenever the winds are up, a sound of great shouting comes from that sea, like a clamor of battle.	そして風の立つ時には大きな叫び声が、戦の叫喚のように、海から聞えて来る。
In former years the Heike were much more restless than they now are.	平家の人達は以前は今よりも遥かに焦慮（もが）いていた。
They would rise about ships passing in the night, and try to sink them;	夜、漕ぎ行く船のほとりに立ち顕れ、それを沈めようとし、
and at all times they would watch for swimmers, to pull them down.	また水泳する人をたえず待ち受けていては、それを引きずり込もうとするのである。
It was in order to appease those dead that the Buddhist temple, Amidaji, was built at Akamagaseki [2].	これ等の死者を慰めるために建立されたのが、すなわち赤間ヶ関の仏教の御寺なる阿彌陀寺であったが、
A cemetery also was made close by, near the beach;	その墓地もまた、それに接して海岸に設けられた。
and within it were set up monuments inscribed with the names of the drowned emperor and of his great vassals;	そしてその墓地の内には入水された皇帝と、その歴歴の臣下との名を刻みつけた幾箇かの石碑が立てられ、
and Buddhist services were regularly performed there, on behalf of the spirits of them.	かつそれ等の人々の霊のために、仏教の法会がそこで整然（ちゃん）と行われていたのである。
After the temple had been built, and the tombs erected, the Heike gave less trouble than before;	この寺が建立され、その墓が出来てから以後、平家の人達は以前よりも禍いをする事が少くなった。
but they continued to do queer things at intervals,--	しかしそれでもなお引き続いておりおり、怪しい事をするのではあった――
proving that they had not found the perfect peace.	彼等が完き平和を得ていなかった事の証拠として。
Some centuries ago there lived at Akamagaseki a blind man named Hoichi, who was famed for his skill in recitation and in playing upon the biwa [3].	幾百年か以前の事、この赤間ヶ関に芳一という盲人が住んでいたが、この男は吟誦して、琵琶を奏するに妙を得ているので世に聞えていた。
From childhood he had been trained to recite and to play;	子供の時から吟誦し、かつ弾奏する訓練を受けていたのであるが、
and while yet a lad he had surpassed his teachers.	まだ少年の頃から、師匠達を凌駕していた。
As a professional biwa-hoshi he became famous chiefly by his recitations of the history of the Heike and the Genji;	本職の琵琶法師としてこの男は重もに、平家及び源氏の物語を吟誦するので有名になった、
