Homesteading the Noosphere	ノウアスフィアの開墾
After observing a contradiction between the official ideology defined by open-source licenses and the actual behavior of hackers,	オープンソースのライセンスで定義された「公式」イデオロギーとハッカーたちの実際の行動には矛盾が観察される。
I examine the actual customs that regulate the ownership and control of open-source software.	これをふまえて、ぼくたちはオープンソースソフトの所有権とコントロールをめぐる実際の慣習を検討する。
I show that they imply an underlying theory of property rights homologous to the Lockean theory of land tenure.	そこで明らかになったのは、そうした慣習の根底にあるのが、ロックの土地保有に関する理論と類似した、所有権の理論であるということだ。
I then relate that to an analysis of the hacker culture as a `gift culture'	これと関連づけるかたちで、ハッカー文化を「贈与文化」として分析する。
in which participants compete for prestige by giving time, energy, and creativity away.	つまりそこの参加者たちは時間とエネルギーと創造性をあげてしまうことで、名声を競うわけだ。
Finally, I examine the consequences of this analysis for conflict resolution in the culture, and develop some prescriptive implications.	さらにこの分析が、ハッカー文化における紛争解決にとってどのような意味を持つかを検討し、いくつかの処方箋的な示唆を得るものとする。
An Introductory Contradiction	1　そもそもの矛盾
The Varieties of Hacker Ideology	2　ハッカーイデオロギーのさまざま
Promiscuous Theory, Puritan Practice	3　放縦な理論と純潔な実践
Ownership and Open Source	4　所有権とオープンソース
Locke and Land Title	5　ロックと土地所有権
The Hacker Milieu as Gift Culture	6　贈与経済としてのハッカー文化
The Joy of Hacking	7　ハッキングのよろこび
The Many Faces of Reputation	8　評判のさまざまな相貌
Ownership Rights and Reputation Incentives	9　所有権と評判によるインセンティブ
The Problem of Ego	10　エゴの問題
The Value of Humility	11　謙虚さの美徳
Global Implications of the Reputation-Game Model	12　評判ゲームモデルが持つ分野全体としての意義
How Fine a Gift?	13　どれほどすばらしい贈り物？
Noospheric Property and the Ethology of Territory	14　ノウアスフィア的所有権となわばりの動物行動学
Causes of Conflict	15　紛争の原因
Project Structures and Ownership	16　プロジェクト構造と所有権
Conflict and Conflict Resolution	17　紛争とその解決
Acculturation Mechanisms and the Link to Academia	18　文化への順応過程とアカデミズムとの関連
Conclusion: From Custom to Customary Law	19　結論：慣習から慣習法へ
Questions for Further Research	20　これからの研究の課題
Notes Bibliography	21　書誌、注
Acknowledgements	22　謝辞
An Introductory Contradiction	1　そもそもの矛盾
Anyone who watches the busy, tremendously productive world of Internet open-source software for a while is bound to notice an interesting contradiction between what open-source hackers say they believe and the way they actually behave;	インターネットのオープンソースソフトの、活発でものすごく生産的な世界をしばらくでもながめていれば、だれでもオープンソースハッカーが信念として語る内容と、かれらの実際の行動との間におもしろい矛盾があることに気がついてしまうだろう。
between the official ideology of the open-source culture and its actual practice.	つまり、オープンソース文化の公式イデオロギーと、その実際の活動は一致していないわけだ。
Cultures are adaptive machines.	文化は適応力のある機械だ。
The open-source culture is a response to an identifiable set of drives and pressures.	オープンソース文化は、はっきりした動きや圧力への反応として生まれてきている。
As usual, the culture's adaptation to its circumstances manifests both as conscious ideology and as implicit, unconscious or semi-conscious knowledge.	いつもながら、ある文化の状況への対応方法は、意識的なイデオロギーとしての部分と、無意識的またはあまりはっきり意識されない暗黙の知識としての部分との両方の形であらわれてくる。
And, as is not uncommon, the unconscious adaptations are partly at odds with the conscious ideology.	そしてよくあることだが、無意識的な適応は、意識されたイデオロギーと部分的に矛盾するところがある。
In this essay, I will dig around the roots of that contradiction, and use it to discover those drives and pressures.	この論文では、この矛盾の根っこのまわりを掘り下げてみて、それをもとにこの文化を動かす動きや圧力を明らかにする。
I will deduce some interesting things about the hacker culture and its customs.	そしてハッカー文化とその習慣について、おもしろい事実を導き出す。
I will conclude by suggesting ways in which the culture's implicit knowledge can be leveraged better.	そして結論として、この文化が内に持った知識をもっといいほうに活用するための方法をいくつか示唆してみる。
The Varieties of Hacker Ideology	2　ハッカーイデオロギーのさまざま
The ideology of the Internet open-source culture (what hackers say they believe) is a fairly complex topic in itself.	インターネットのオープンソース文化のイデオロギー（ハッカーが信念として口にするもの）は、それ自体がなかなかややこしい代物ではある。
All members agree that open source (that is, software that is freely redistributable and can readily evolved and be modified to fit changing needs) is a good thing and worthy of significant and collective effort.	メンバーはみんな、オープンソース（つまり自由に再配布ができて、ニーズの変化に対応して自由に発展・変更可能なソフト）がいいものであって、大がかりに力をあわせる価値のあるものだということには合意している。
This agreement effectively defines membership in the culture.	この合意がこの文化への参加を実質的に定義つけるものだ。
However, the reasons individuals and various subcultures give for this belief vary considerably.	でも、この信念の理由として各個人やさまざまな下位の小文化群が挙げるものは、かなりちがっている。
One degree of variation is zealotry;	大きな差がみられるのは熱狂性だ。
whether open source development is regarded merely as a convenient means to an end (good tools and fun toys and an interesting game to play) or as an end in itself.	オープンソースがある目的（よいツールやおもしろいおもちゃや楽しいゲーム）を実現するための、ただの便利な手法としてとらえられているか、それともそれ自体が目的として考えられているか。
A person of great zeal might say	すごく熱狂的な人間なら、こんなことをいうだろう。
``Free software is my life!	「フリーソフト命！
