A HORSEMAN IN THE SKY	空飛ぶ騎兵空飛ぶ騎兵
Ambrose Bierce	アンブローズ・ビアス
One sunny afternoon in the autumn of the year 1861, a soldier lay in a clump of laurel by the side of a road in Western Virginia.	1861年秋、ある日差しの強い日のこと、1人の兵士が、西ヴァージニア道のわきにある月桂樹の木立の中に横たわっていた。
He lay at full length, upon his stomach, his feet resting upon the toes, his head upon the left forearm.	全身をうつぶせに伸ばし、足を爪先立たせ、頭を左腕の上に乗せていた。
His extended right hand loosely grasped his rifle.	右腕はまっすぐに伸びてライフルを握っていた。
But for the somewhat methodical disposition of his limbs and a slight rhythmic movement of the cartridge-box at the back of his belt,	どことなく秩序だったところのある手足の置き方や、ベルトの背中側にある弾薬嚢のリズミカルな微動。
he might have been thought to be dead.	こうした点がなければ、死んでいるのだと思われたかもしれない。
He was asleep at his post of duty.	彼は、自分の持ち場で眠っているのだった。
But if detected he would be dead shortly afterward,	ただし、もしことがばれれば、その後すぐに死体となっていただろう。
that being the just and legal penalty of his crime.	死は、職務怠慢という罪に対する正当かつ合法的な罰だった。
The clump of laurel in which the criminal lay was in the angle of a road	この軍法違反者が横たわっている月桂樹の茂みは道の曲がり角にあった。
which, after, ascending, southward, a steep acclivity to that point, turned sharply to the west, running along the summit for perhaps one hundred yards.	道はその先、南に向かう急勾配になっており、問題の場所で急に西に折れて、そこから頂上まで百ヤードほど続いているようだった。
There it turned southward again and went zigzagging downward through the forest.	そこで再び南に折れ、森をジグザグに縫って下ってゆく。
At the salient of that second angle was a large flat rock,	第二の角、突き出した部分には、大きな平べったい岩があった。
jutting out northward, overlooking the deep valley from which the road ascended.	岩は北向きに張り出しており、その道が昇ってくる元の深い渓谷を臨んでいる。
The rock capped a high cliff;	岩は、高い崖の上に何気なく置かれていた。
a stone dropped from its outer edge would have fallen sheer downward one thousand feet to the tops of the pines.	小石がひとつ、外縁部から落ちたとしたら、その下千ヤードのところにある松のてっぺんまでまっすぐ落ちていったことだろう。
The angle where the soldier lay was on another spur of the same cliff.	兵士が横たわっているところの角もまた、同じような崖になっていた。
Had he been awake, he would have commanded a view, not only of the short arm of the road and the jutting rock, but of the entire profile of the cliff below it.	目覚めた彼が景色を見下ろせば、道の一部や、張り出した岩だけでなく、崖からの全容を目にしたはずだ。
It might well have made him giddy to look.	それは、彼の目をくらませてしまうような眺めだったかもしれない。
The country was wooded everywhere except at the bottom of the valley to the northward,	この地方は、渓谷の底から北方面を除いて森が広がっていた。
where there was a small natural meadow, through which flowed a stream scarcely visible from the valley's rim.	森でない部分は自然の草地になっており、そこを横切るようにして流れる小川が渓谷の外れから続いているのが見えた。
This open ground looked hardly larger than an ordinary dooryard, but was really several acres in extent.	この開けた土地は一般家庭の庭と大差ない広さのように見えたが、本当のところ、数エーカー程度の広さはあった。
Its green was more vivid than that of the inclosing forest.	草地の緑は、隣接する森の緑よりも鮮やかだ。
