STORY OF THE DOOR	ドアにまつわる話
MR. UTTERSON the lawyer was a man of a rugged countenance, that was never lighted by a smile;	アターソン氏は弁護士で、いかつい顔をしており、ついぞ笑った顔を見せたことがなかった。
cold, scanty and embarrassed in discourse; backward in sentiment;	話すときも冷たい感じで、言葉少なめにもごもごと話すといった具合だった。
lean, long, dusty, dreary, and yet somehow lovable.	背が高くやせており、そっけないものうげな男だったが、どこか憎めないところがあった。
At friendly meetings, and when the wine was to his taste, something eminently human beaconed from his eye;	内輪の会合で、ワインを口にしたときなどは、隠し切れない人間味がその目からうかがえたものだ。
something indeed which never found its way into his talk, but which spoke not only in these silent symbols of the after-dinner face, but more often and loudly in the acts of his life.	こうした感じは、話しぶりからは決してうかがえないのだが、夕食後の顔に声には出ないものとして見出せるだけでなく、日常生活の行動の端々にしばしばうかがえるのだった。
He was austere with himself;	節度のある男で、
drank gin when he was alone, to mortify a taste for vintages;	一人のときは高いワインを控えてジンを飲むくらいだったし、
and though he enjoyed the theatre, had not crossed the doors of one for twenty years.	芝居好きにもかかわらず、劇場の門をくぐったことは２０年もないほどだった。
But he had an approved tolerance for others;	しかしみなも認めるように、他人には寛大だった。
sometimes wondering, almost with envy, at the high pressure of spirits involved in their misdeeds;	人が不始末をしでかしてひどく意気消沈していると、ときどきうらやましいとばかりに驚き、
and in any extremity inclined to help rather than to reprove.	本当に困っているときには非難するどころか助けてやるのだった。
(2) "I incline to, Cain's heresy,"	「私は、カインの反論には同感だな」
he used to say.	ともらしたりして、
