TO THE HESITATING PURCHASER	読もうかどうか迷っている人へ
If sailor tales to sailor tunes,	もし船乗りが歌うように語れば
Storm and adventure, heat and cold,	嵐に冒険、暑さに寒さ
If schooners, islands, and maroons,	帆船、島々、孤島への置き去り人
And buccaneers, and buried gold,	そして海賊、埋蔵金
And all the old romance, retold	全ての古いロマンスが
Exactly in the ancient way,	昔そのままに再び語られれば、
Can please, as me they pleased of old,	昔の私をかくも喜ばせたように
The wiser youngsters of today:	今の若者たちだって喜ぶだろう。
--So be it, and fall on!  If not,	まあいい、とにかく飛びつけ！　とはいえ、
If studious youth no longer crave,	もし教養ある若者が
His ancient appetites forgot,	歴史を知りたい気持ちを失って、
Kingston, or Ballantyne the brave,	もうキングストンやバレンタインの勇者、
Or Cooper of the wood and wave:	森と湖のクーパーを望まないなら、
So be it, also!  And may I	まあそれもいいだろう！
And all my pirates share the grave	それなら私や私の海賊たちは、
Where these and their creations lie!	あの作者や登場人物が眠る墓場を分かち合うこととしよう。
PART ONE    The Old Buccaneer ................................................................... 5	一部　老海賊
1.  THE OLD SEA-DOG AT THE ADMIRAL BENBOW ............................................ 5	１ ベンボウ提督亭の年老いた船乗り
2.  BLACK DOG APPEARS AND DISAPPEARS ........................................ 9	２ 黒犬が姿をあらわし、そして消えた。
3.  THE BLACK SPOT ..................................................................... 15	３ 黒点
4.  THE SEA-CHEST ........................................................... 20	４ 船乗りの衣装箱
5.  THE LAST OF THE BLIND MAN ......................................................... 25	５ めくらの男の最後
6.  THE CAPTAIN'S PAPERS ............................................................... 30	６ 船長の地図
PART TWO    The Sea Cook .............................................................. 37	二部　船の料理番
7.  I GO TO BRISTOL ......................................................... 37	７ 僕はブリストルへ
8.  AT THE SIGN OF THE SPY-GLASS ........................................................... 41	８ 望遠鏡屋の看板
9.  POWDER AND ARMS ............................................................... 46	９ 火薬と武器
10.  THE VOYAGE ..................................................................... 52	10 航海
11.  WHAT I HEARD IN THE APPLE BARREL ............................................... 57	11 僕が林檎のたるで聞いたこと
12.  COUNCIL OF WAR ............................................................... 63	12 争いの相談
PART THREE     My Shore Adventure .......................................................... 69	三部　僕の海岸の冒険
13.  HOW MY SHORE ADVENTURE BEGAN ......................................... 69	13 どのように海岸の冒険をはじめたか
14.  THE FIRST BLOW ............................................................... 73	14 最初の一撃
15.  THE MAN OF THE ISLAND ................................................................... 77	15 島の男
PART FOUR     The Stockade .................................................................. 85	四部　防護柵
16.  NARRATIVE CONTINUED BY THE DOCTOR:	16 先生による続きの物語：
HOW THE SHIP WAS ABANDONED ........................... 85	どうやって船を見捨てたか
17.  NARRATIVE CONTINUED BY THE DOCTOR:	17 先生による続きの物語：
THE JOLLY-BOAT'S LAST TRIP ............................. 89	小型ボートの最後の航行
18.  NARRATIVE CONTINUED BY THE DOCTOR:	18 先生による続きの物語：
END OF THE FIRST DAY'S FIGHTING ................................... 93	初日の襲撃の結末
19.  NARRATIVE RESUMED BY JIM HAWKINS:	19 再びジム・ホーキンスによる物語：
THE GARRISON IN THE STOCKADE ............................. 98	防護柵の要塞
20.  SILVER'S EMBASSY ....................................103	20 使節としてやってきたシルバー
21.  THE ATTACK ...................................108	21 攻撃
PART FIVE      My Sea Adventure ........................................................... 115	五部　僕の海の冒険
22.  HOW MY SEA ADVENTURE BEGAN ................................115	22 僕の海の冒険がどのようにして始まったか？
23.  THE EBB-TIDE RUNS ................................119	23 潮が引いていく
24.  THE CRUISE OF THE CORACLE ................................123	24 コラクル舟での航海
25.  I STRIKE THE JOLLY ROGER ................................127	25 僕が海賊旗を引き下ろす
26.  ISRAEL HANDS ................................132	26 イスラエル・ハンズ
27.  "PIECES OF EIGHT" ................................138	27 八分銀貨
PART SIX     Captain Silver ....................................................... 144	六部　ジョン・シルバー
28.  IN THE ENEMY'S CAMP ................................144	28 敵のキャンプ
29.  THE BLACK SPOT AGAIN ................................151	29 黒点ふたたび
30.  ON PAROLE ................................156	30 仮釈放
31.  THE TREASURE-HUNT--FLINT'S POINTER ................................163	31.宝さがし　フリントの地図
32.  THE TREASURE-HUNT--THE VOICE AMONG  THE TREES	32.宝さがし　木々にこだまする声
33.  THE FALL OF A CHIEFTAIN ................................174	33.かしらの没落
34.  AND LAST ................................179	34 結末
PART ONE      The Old Buccaneer	一部　老海賊
1  The Old Sea-dog at the Admiral Benbow	１ ベンボウ提督亭の年老いた船乗り
SQUIRE TRELAWNEY, Dr. Livesey, and the rest of these gentlemen having asked me	大地主のトレローニーさんやお医者さんのリバシーさんやその他の偉い人たちが、僕にそうするように言ったんだ。
to write down the whole particulars about Treasure Island, from the beginning to the end,	宝島のことをはじめから終わりまでなにもかも書いておくようにって。
keeping nothing back but the bearings of the island, and that only because there is still treasure not yet lifted,	ただしまだ埋められている宝物があるかもしれないから、島の位置だけは隠しておくようにともね。
I take up my pen in the year of grace 17__ and go back to the time when my father kept the Admiral Benbow inn and the brown old seaman with the sabre cut first took up his lodging under our roof.	そこで僕はペンをとって、今は西暦１７××年だけど、僕の親父がベンボウ提督亭っていう宿屋をやってて、日に焼けた刀傷のある年老いた船乗りがその宿に泊まった時までさかのぼることとしよう。
I remember him as if it were yesterday,	僕は、やつが現れた時のことをまるで昨日のことのようによく覚えている。
as he came plodding to the inn door, his sea-chest following behind him in a hand-barrow	やつは宿の入り口のところまで重い足をひきずりながらやってくると、その後ろに船乗りの衣装箱を手押し車で運ばせていた。
--a tall, strong, heavy, nut-brown man, his tarry pigtail falling over the shoulder of his soiled blue coat,	背が高くて、力強くがっしりした褐色の男で、よごれた青いコートの肩のところにタールまみれの弁髪をたらしていた。
his hands ragged and scarred, with black, broken nails, and the sabre cut across one cheek, a dirty, livid white.	両手はごつごつとして傷だらけで、爪は黒ずんで割れていて、ほおにはくすんだ青白い刀傷が走っている。
I remember him	僕は覚えてる。
looking round the cover and whistling to himself as he did so, and then breaking out in that old sea-song that he sang so often afterwards:	やつは小さな入り江を見回しながら口笛をふくと、突然、いつも歌っていたあの古い船乗りの歌を歌い始めたんだ。
"Fifteen men on the dead man's chest--	死んだやつの衣装箱に１５人
Yo-ho-ho, and a bottle of rum!"	ヨーホー、ヨーホー、ラム酒を１本！
in the high, old tottering voice that seemed to have been tuned and broken at the capstan bars.	甲高い老けたしゃがれ声は、錨をまきあげるのに合わせて声を張り上げているうちにそうなってしまったものだと思う。
Then he rapped on the door with a bit of stick like a handspike that he carried, and when my father appeared, called roughly for a glass of rum.	それからやつは手に持っていたてこ棒みたいな棒でドアを叩いて、僕の親父が顔をだすと、ラム酒を一杯といいはなったもんだ。
This, when it was brought to him, he drank slowly,	ラム酒がでてくると、通みたいにゆっくりすすったもんだ。
like a connoisseur, lingering on the taste and still looking about him at the cliffs and up at our signboard.	味わいながら、また周りをみまわして、崖の方をみたり宿の看板を見上げたりしてたんだ。
"This is a handy cove," says he at length; "and a pleasant sittyated grog-shop.	やっと口を開くと、「手ごろな入り江だな、おまけになかなかごきげんな場所にある飲み屋じゃねぇか。
Much company, mate?"	にぎわってんのか、おい？」
My father told him no, very little company, the more was the pity.	親父は、ぜんぜん客なんていやしないですよ、残念ながらね、なんてやつに答えてた。
"Well, then," said he, "this is the berth for me.	「よしよし、ここがおれの港だな。
Here you, matey,"	さあ、おい」
he cried to the man who trundled the barrow;	やつは手押し車を押してきた男に怒鳴りつけた。
"bring up alongside and help up my chest.	「こっちにきて、上に運び上げるのを手伝うんだ。
I'll stay here a bit,"	ちょこっとばっかしここに腰を落ち着けるぜ」
he continued.	やつは続けた。
"I'm a plain man;	「おれは、あれこれうるさいことはいわん。
rum and bacon and eggs is what I want,	ラムとベーコンエッグさえありゃいいんだ。
and that head up there for to watch ships off.	あとは、船を見張るのに宿があっちの方を向いててくれればな。
What you mought call me?	おれをなんと呼べばいいかって？
You mought call me captain.	船長って呼んでくれればいいぜ。
Oh, I see what you're at-- there";	おい、なにがほしいかはわかってるぞ」
and he threw down three or four gold pieces on the threshold.	そして戸口のところに金貨を３、４枚ほうりなげると、
"You can tell me when I've worked through that,"	「使い切ったら言えばいい」
says he, looking as fierce as a commander.	と言ったその顔は、司令官のような厳しいものだった。
And indeed bad as his clothes were and coarsely as he spoke, he had none of the appearance of a man who sailed before the mast, but seemed like a mate or skipper accustomed to be obeyed or to strike.	やつの服や言葉使いはひどいものだったが、どこかただの水夫には見えず、命令に従わせたり、なぐることになれている航海士やちょっとした船の船長といった風だった。
The man who came with the barrow told us the mail had set him down the morning before at the Royal George, that he had inquired what inns there were along the coast, and hearing ours well spoken of, I suppose, and described as lonely, had chosen it from the others for his place of residence.	手押し車を押してきた男がいうには、その朝にジョージ国王亭の前で郵便馬車から降りると、この沿岸にどんな宿があるかを尋ね、うちの宿の評判を聞きつけて、一軒家ということで腰を落ち着ける場所として選んだというわけらしい。
And that was all we could learn of our guest.	それがあの客について知りうるすべてというわけ。
He was a very silent man by custom.	やつは普段とても静かだった。
All day he hung round the cove or upon the cliffs with a brass telescope;	一日中、入り江のあたりや崖の上を真鍮製の望遠鏡をもってうろついてて、
all evening he sat in a corner of the parlour next the fire and drank rum and water very strong.	夜はずっとラウンジの隅の暖炉の近くで、とても強いラムの水割りを飲んでいた。
Mostly he would not speak when spoken to, only look up sudden and fierce and blow through his nose like a fog-horn;	たいがい話しかけられても口をきかなくて、ただ突然ものすごい顔つきで見上げると霧笛のように鼻をならしたものだった。
and we and the people who came about our house soon learned to let him be.	僕たちや家にやってくる人たちは、すぐにやつには好きなようにさせておくようにした。
Every day when he came back from his stroll he would ask if any seafaring men had gone by along the road.	毎日散歩からかえってくると、やつは船乗り稼業の男たちが通って行かなかったかと聞いたものだった。
At first we thought it was the want of company of his own kind that made him ask this question, but at last we began to see he was desirous to avoid them.	最初僕たちはこんなことを聞くのは、船乗りの仲間がほしいからだと思っていたが、しまいには船乗りをさけたいと思っていることがわかってきた。
When a seaman did put up at the Admiral Benbow (as now and then some did, making by the coast road for Bristol) he would look in at him through the curtained door before he entered the parlour;	船乗りが一人でもベンボウ提督に泊まることがあると（時々は、海岸の道をブリストルに向かうものがいた）、やつはラウンジに入る前に入り口のカーテンの間から泊り客を覗き込んだものだ。
and he was always sure to be as silent as a mouse when any such was present.	そしてそんな客がいたときには、必ずいつもねずみみたいにこっそりしていた。
For me, at least, there was no secret about the matter,	僕にとっては、少なくともそういうことはぜんぜん秘密じゃなかった。
for I was, in a way, a sharer in his alarms.	というのも僕はある意味では、やつの恐怖を分け合っていたようなものだったから。
He had taken me aside one day and promised me a silver fourpenny on the first of every month if I would only keep my "weather-eye open for a seafaring man with one leg" and let him know the moment he appeared.	やつはある日僕をわきに呼ぶと、もし僕が一本足の船乗りに注意して姿をあらわしたらすぐに知らせてくれれば、毎月最初に４ペニー銀貨をやると言ったのだ。
Often enough when the first of the month came round and I applied to him for my wage, he would only blow through his nose at me and stare me down,	でも僕が月の最初になって、金をもらいにやつのところにいくと、僕に鼻をならして見下ろすだけだった。
but before the week was out he was sure to think better of it, bring me my four-penny piece, and repeat his orders to look out for "the seafaring man with one leg."	でも一週間もしないうちに考え直して、僕のところに４ペニー銀貨をもってくると、あの一本足の船乗りを見張るんだと繰り返すのだった。
How that personage haunted my dreams, I need scarcely tell you.	いうまでもないことに、一本足の男はまさに悪夢だった。
On stormy nights, when the wind shook the four corners of the house and the surf roared along the cove and up the cliffs, I would see him in a thousand forms, and with a thousand diabolical expressions.	嵐の夜は、風が家の四隅をゆらし、波は入り江でくだけ崖に打上げて、僕は一本足の男がありとあらゆる姿にかたちをかえ、本当に悪魔のような表情をしているように見えたものだ。
Now the leg would be cut off at the knee, now at the hip;	こうなると足はひざのところでちょん切れていたはずが、そのときは根元からちょん切れており、
now he was a monstrous kind of a creature who had never had but the one leg, and that in the middle of his body.	もともと一本足しかない怪物みたいな生き物で、足は体の真ん中からているのだった。
To see him leap and run and pursue me over hedge and ditch was the worst of nightmares.	怪物がかきねや溝をまたいで、走って僕を追いかけてくるのを夢に見るのは、まさに悪夢としかいいようがなかった。
And altogether I paid pretty dear for my monthly fourpenny piece, in the shape of these abominable fancies.	要するに月に４ペンスの気前のいい払いも、こんな悪魔のような幻想が形をかえたものだったわけだ。
But though I was so terrified by the idea of the seafaring man with one leg, I was far less afraid of the captain himself than anybody else who knew him.	僕は一本足の船乗りの悪夢に恐れおののいていたが、船長については、やつを知っている誰よりも恐れてなかったと思う。
There were nights when he took a deal more rum and water than his head would carry;	やつは、ときどき夜には頭をしっかりささえていられないほどラムの水割りを飲みすぎることがあった。
and then he would sometimes sit and sing his wicked, old, wild sea-songs, minding nobody;	そして、座ってあのうすきみ悪い昔の乱暴な海賊の歌をあたりかまわず歌うこともあれば、
but sometimes he would call for glasses round and force all the trembling company to listen to his stories or bear a chorus to his singing.	ときどきは震え上がっているみなに一杯おごり、話を無理やり聞かせたり、自分が歌うのに合わせてコーラスさせたりしたものだった。
Often I have heard the house shaking with "Yo-ho-ho, and a bottle of rum,"	僕は、何度も家中に「ヨーホーヨーホー、ラム酒を１本！」という声が響き渡るのを聞いたものだ。
all the neighbours joining in for dear life, with the fear of death upon them, and each singing louder than the other to avoid remark.	隣近所が殺されてはたまらない、命がおしいとばかりに歌に加わり、自分は目に付かないようにといっそう声を張り上げる。
For in these fits he was the most overriding companion ever known;	そんな気分のときのやつは、僕が知ってる中でもものすごく無茶な部類だった。
he would slap his hand on the table for silence all round;	みんなを静かにさせるためにテーブルを手で叩いたかとおもえば、
he would fly up in a passion of anger at a question, or sometimes because none was put, and so he judged the company was not following his story.	ある質問に怒りのあまりとびあがったり、また質問がないから誰もわしの話がわかってないと怒ったりしたものだ。
Nor would he allow anyone to leave the inn till he had drunk himself sleepy and reeled off to bed.	そして自分が酔っ払って眠くなり、千鳥足でベッドに行くまではだれも宿から一歩でも外に出ることをゆるさなかった。
His stories were what frightened people worst of all.	やつの話は、みんなを心からこわがらせた。
Dreadful stories they were--about hanging, and walking the plank, and storms at sea, and the Dry Tortugas, and wild deeds and places on the Spanish Main.	恐ろしい話ばかりで、しばり首、板渡り、そして海で嵐にあったことや、ドライトルトゥーガス諸島やカリブ海での蛮行風土の話だった。
By his own account he must have lived his life among some of the wickedest men that God ever allowed upon the sea, and the language in which he told these stories shocked our plain country people almost as much as the crimes that he described.	やつの説明によると、自分こそが、神が海に生を授けたもっとも邪悪な男たちに囲まれて生き延びてきた男に違いないということで、そしてやつがそういうことを話すときの言葉使いといったら、僕らふつうの田舎暮らしをしているものにとっては、話している内容の犯罪と同じくらい罪深いことだった。
My father was always saying the inn would be ruined,	僕の親父は、いつも宿もおしまいだとこぼしてた。
for people would soon cease coming there to be tyrannized over and put down, and sent shivering to their beds;	みんな、こんなに脅されたりやりこめられたりして、震えながらベッドに入るようでは宿に来るのをやめてしまうだろうと思ったのだ。
but I really believe his presence did us good.	でも僕は、ちゃんとちゃんとやつがいた方がいいんだって知っていた。
People were frightened at the time, but on looking back they rather liked it;	みんなそのときは怖がっているようだったけど、振り返ってみれば楽しんでたんだ。
it was a fine excitement in a quiet country life,	平穏な田舎暮らしじゃ、いい刺激になったんだ。
