IVY DAY IN THE COMMITTEE ROOM	アイビーデイの委員会室
OLD JACK raked the cinders together with a piece of cardboard and spread them judiciously over the whitening dome of coals.	ジャック老人はボール紙の一枚で燃え滓をかき集め、それを白くなったドーム型の石炭の上に気をつけてうまくばらまいた。
When the dome was thinly covered his face lapsed into darkness but, as he set himself to fan the fire again, his crouching shadow ascended the opposite wall and his face slowly reemerged into light.	ドームがうっすら覆われると彼の顔は暗くなってしまったが、彼がもう一度火をあおりにかかると、中腰になった彼の影が反対側の壁に立ち上り、彼の顔がまたゆっくりと明るみの中に現れた。
It was an old man's face, very bony and hairy.	それはとても骨ばって毛深い、年取った男の顔だった。
The moist blue eyes blinked at the fire and the moist mouth fell open at times, munching once or twice mechanically when it closed.	うるんだ青い目は火を見てぱちくりし、湿った口は時々だらりと開いて、閉じるたびに機械的に一、二度もぐもぐした。
When the cinders had caught he laid the piece of cardboard against the wall, sighed and said:	燃え滓が燃え付くと彼はボール紙を壁に立てかけ、ほっと息をついて言った。
"That's better now, Mr. O'Connor."	「ほらよくなったよ、オコナーさん。」
Mr. O'Connor, a grey-haired young man, whose face was disfigured by many blotches and pimples, had just brought the tobacco for a cigarette into a shapely cylinder but when spoken to he undid his handiwork meditatively.	オコナー氏、顔のたくさんのしみや吹き出物が醜い、灰色の髪の若い男はタバコを紙巻にしようとちょうどかっこうのよい円筒にしたところだったが、話しかけられると彼は深く考え込むようにしてその細工を元に戻した。
Then he began to roll the tobacco again meditatively and after a moment's thought decided to lick the paper.	それから彼は深く考え込むようにして再びタバコを巻き始め、ちょっと考えた後、意を決して紙をなめた。
"Did Mr. Tierney say when he'd be back?"	「ティアニーさんはいつ戻ると言った？」
he asked in a sky falsetto.	と彼はばか高い裏声で尋ねた。
"He didn't say."	「言ってなかったね。」
Mr. O'Connor put his cigarette into his mouth and began search his pockets.	オコナー氏はタバコを口に差し入れ、ポケットを探り始めた。
He took out a pack of thin pasteboard cards.	彼は一包みになった薄い板紙のカードを取り出した。
"I'll get you a match,"	「マッチを持ってきよう」
said the old man.	と老人が言った。
"Never mind, this'll do,"	「いいよいいよ、これで十分」
said Mr. O'Connor.	とオコナー氏は言った。
He selected one of the cards and read what was printed on it:	彼はカードを一枚選んでそこに印刷されていることを読んだ。
MUNICIPAL ELECTIONS	市議会議員選挙
ROYAL EXCHANGE WARD	ロイヤル・エクスチェンジ選挙区
Mr. Richard J. Tierney, P.L.G., respectfully solicits the favour of your vote and influence at the coming election in the Royal Exchange Ward.	リチャード・Ｊ・ティアニー氏、Ｐ.Ｌ.Ｇ.は来たるべきロイヤル・エクスチェンジ区の選挙においてあなたの投票とお力添えを謹んでお願いします。
