Jack and the Beanstalk	ジャックと豆のつる
There was once upon a time a poor widow who had an only son named Jack, and a cow named Milky-white.	昔々あるところに、老婦人がひとり、ジャックという名の息子と、ミルキーホワイトという名の雌牛と一緒に住んでおりました。
And all they had to live on was the milk the cow gave every morning which they carried to the market and sold.	二人はミルキーホワイトが出したお乳を市場に持っていってお金に換えることで、どうにか日々の暮らしを立てておりました。
But one morning Milky-white gave no milk	ところがある日、ミルキーホワイトがお乳を出さなかったのです。
and they didn't know what to do.	二人はもうどうしていけばいいのか分かりませんでした。
"What shall we do, what shall we do?"	「あぁ、どうすればいいの、どうすればいいの？」
said the widow, wringing her hands.	老婦人は悲しみの余り、こう言いながら手をもみしぼっていました。
"Cheer up, mother, I'll go and get work somewhere,"	「元気出してよ、ぼくが町へ行って、何か仕事を見つけてくるよ。」
said Jack.	ジャックはこう母に言いました。
"We've tried that before, and nobody would take you,"	「前にもそんなこと言って、結局誰も雇ってくれなかっただろう。」
said his mother;	老婦人は言いました。
"we must sell Milky-white and with the money do something, start shop, or something."	「ミルキーホワイトを売って、そのお金で何か商売を始めるしかないだろうね。」
"All right, mother,"	「分かったよママ。」
says Jack;	ジャックが言いました。
"it's market-day today, and I'll soon sell Milky-white,	「さっそく市場に行って、ミルキーホワイトを売ってくるよ。
and then we'll see what we can do."	それからどうすればいいか考えることにするよ。」
So he took the cow's halter in his hand, and off he starts.	そしてジャックは牛の綱を手に取り、市場へと出かけていきました。
He hadn't gone far when he met a funny-looking old man	ところが、まだ市場に着かないうちに、不思議な老人に出会ったのでした。
who said to him:	老人はジャックに
"Good morning, Jack."	「おはようジャック。」
"Good morning to you,"	「おはようございます。」
said Jack, and wondered how he knew his name.	どうして自分の名前を知っているのか分からないまま、ジャックは答えました。
"Well, Jack, and where are you off to?"	「ところでジャック、いったいどこへ行くつもりなんだ？」
said the man.	老人は言いました。
"I'm going to market to sell our cow here."	「市場に行って、牛を売ろうと思ってるんだ。」
"Oh, you look the proper sort of chap to sell cows,"	「なるほど、おまえさんなら牛を売るのにぴったりだな。
"I wonder if you know how many beans make five."	そしたら、豆いくつで五つになるか分かるかい。」
"Two in each hand and one in your mouth,"	「両手に二つと口にひとつだろ。」
says Jack, as sharp as a needle.	鋭くジャックは言いかえしました。
