Waiting for the Knock	ノックを待ちながら
by Richard Stallman.	リチャード・ストールマン
Imagine	想像してください。
that you are afraid of a knock on the door.	あなたは、ドアがノックされるのを恐れています。
Imagine	想像してください。
that the knock could be the police, coming in secret to interrogate you.	そのノックは警察のもので、警察はあなたを秘密裏に尋問するためにやって来るのです。
Imagine	想像してください。
that they can demand you decrypt files for them, and demand you tell them your code keys, even to get evidence to use against you.	その警察は、 ファイルの暗号を解けとあなたに命じることができ、 暗号の鍵を教えよと求めることができ、 しかも、その目的があなたに不利になる証拠を得るためでもかまいません。
In effect, they can force you to testify against yourself, and it is a crime to refuse.	結局、警察は自分に不利な証言をあなたに強制できることになり、 それを拒否することは法律に反する罪となるのです。
Imagine	想像してください。
that for these offenses you are effectively considered guilty unless you can prove your innocence:	あなたは自分の無罪を証明できない限り、 事実上有罪であると見なされます。
mere failure to comply is the crime.	要求に応じなかったというだけで法律に反する罪となります。
If you do not have the key they demand, you will be imprisoned unless you can prove it.	もしもあなたが、警察の求める暗号鍵を持っていなかったら、 持っていないということを証明できない限り、刑務所入りとなるのです。
Imagine	想像してください。
that they can behave arbitrarily,	その警察は思うままに行動できます。
because their actions are secret.	なぜなら、彼らの行動は秘密だからです。
They do not need to get a court's authorization to demand your testimony.	警察があなたの証言を求めるのに、裁判所の認証は不要です。
And if you tell anyone--your friends and associates, a news reporter, even in most circumstances an open courtroom--that you have been forced to testify, they will imprison you just for telling.	そしてもしもあなたが誰かに――友人や仲間に、 ニュースレポーターに、ほとんどの状況では公開された法廷に対してですら――強制的に証言させられた、 と言ったなら、あなたは単にそう言ったことだけで刑務所入りとなります。
Imagine	想像してください。
that the only judicial control over these actions is a special secret court, with no jury, where decisions are made by judges chosen for their sympathy to the prosecution.	これらの行動に対する司法的な規制は特殊な秘密裁判だけであり、 陪審員もなく、 検察当局に賛意を示す裁判官によって判決がなされます。
Imagine	想像してください。
that they can hear evidence from the prosecutors in secret, so you do not even have a chance to deny it.	裁判官は検察官から秘密裏に証言を聞くことができ、 あなたはその証言を否定することすらできません。
Unfortunately, there is no need for imagination.	不幸なことに、想像力は必要ありません。
This is a real proposal	これは現実の提案です
--not in China or Iraq, as you might expect, but in Britain.	――中国やイラクの話だろうとあなたは思うかもしれませんが、 英本国(Britain)の話なのです。
It was proposed as part of the draft Electronic Communications bill, but has been withdrawn from there,	これは 電子通信法案(Electronic Communications bill)の草稿の一部として提案されましたが、 そこから取り下げられました。
probably to be reintroduced shortly in a separate "Regulation of Investigatory Powers" bill.	おそらく、独立した「捜査権限の制限(Regulation of Investigatory Powers)」法案としてまもなく再提案されるでしょう。
(Proposals to extend government power are often secreted in bills with opposite-sounding names.)	(政府の権力を広げるような提案は、 反対の意味合いを持つ名前の法案の中に隠されることが多いものです。)
The country that gave the world the concept of the rights of citizens, of protection from abuse of government power, of the right to remain silent and not be compelled to testify against yourself, is tearing up the concept and throwing it away.	市民権、政府権力の乱用防止、黙秘権、自己に不利な証言の強制禁止という概念を世界に対して示した国が、 その概念を破り捨ててしまおうとしているのです。
The rot in the British legal system began under the previous Conservative government,	英国の法制度の腐敗は、先の保守政権の元で始まりました。
which passed an "anti-terrorist" law saying that--for certain crimes--if you refuse to answer questions, that can be held against you.	その政権は、 ――ある種の犯罪に関して―― 質問に答えることを拒否した人に対して適用できる 「反テロリスト」法("anti-terrorist" law)を成立させました。
Thus the first stone was thrown at the right to remain silent.	このようにして、黙秘する権利に対する最初の一石が投じられたのです。
As a supposed protection against abuse, this law said that courts must not convict based on silence alone;	この法律の乱用を避けるために、 この法律は、裁判所が黙秘のみを根拠として有罪宣告をしてはならない、 と述べています。
they must have some other basis as well.	有罪宣告のためには、裁判所は他の根拠がなければなりません。
But the same law established that an official accusation of membership in a prohibited organization can also be held against you.	（訳者： 次の1文、意味が取れませんでした。 ）
This, too, is not sufficient by itself	これもまた、それ自身としては十分ではありません
--which only means that the two together are needed for a conviction.	――有罪判決のためにはこの両方が必要なのです。
If you are accused of belonging to a prohibited organization, and you refuse to answer police questions, you go to prison.	法律上禁じられている組織に属しているとして告発され、 しかも警察の質問に答えることを拒否したならば、 刑務所に行かねばなりません。
Of course, every law that undermines the rights of citizens has an "urgent" justification.	もちろん、法律というものはおしなべて、 「火急を要する」正当な理由があれば市民の権利をおかすものです。
For this law, the justification was IRA terrorism;	この法律に関して言えば、その正当な理由というのはIRAのテロリズムです。
but the cure is far worse than the disease.	しかし、この治療法というのは病気よりもはるかにたちの悪いものです。
A century from now, IRA bombing will be just a chapter of history, but the painful effects of the "cure" will still be felt.	今から1世紀の後には、IRAの爆弾は単なる歴史の一章に過ぎなくなるでしょうが、 しかし、その時でもまだ「治療」の痛い効果は感じられることでしょう。
The "New Labor" government of Prime Minister Blair which replaced the Conservative government is eager to extend this policy to other areas.	保守政権に代わって登場したブレア首相の「New Labor」政権は、 この方針を熱心に他の領域まで広げようとしています。
I was not greatly surprised to learn that the same government also plans to eliminate the right to a jury in criminal trials	この政権が犯罪の公判における陪審員の権利を剥奪しようと計画していると知ったときも、 私は大して驚くことはありませんでした
(see The Guardian, November 20 1999, page 1).	(1999年11月20日のガーディアン紙1面を参照)。
These policies would gladden the heart of an Argentine general.	これらの方針を知ったら、アルゼンチン人は概して喜ぶでしょう。
When you speak with British officials about the issue, they insist that you can trust them to use their power wisely for the good of all.	この問題に関して英国の役人と話すと、 万人の利益のために権力を賢明に使うから、信用してくれたまえ、 と主張します。
Of course, that is absurd.	もちろん、それはばかげています。
Britain must hold to the tradition of British law, and respect the rights of citizens to a fair trial and non-self-incrimination.	英国は英国法(British law)の伝統を固持し、 公正な裁判と、non-self-incriminationの、 市民の権利を重んじなければなりません。
When you try to discuss the details, they respond with pettifoggery;	詳細を議論しようとすると、 彼らはwith pettifoggeryで答えます。
for example, they pretend that the plan would not really consider you guilty until proven innocent,	例えば、無罪だと証明されるまでは、 あなたを実際に有罪だと見なすことはない、と彼らはうそぶきます。
because the official forms that demand your code keys and your silence are officially considered the proof of guilt. ）	（訳者： 次の文、間違っている訳。原文は、
more perspicuity than they will admit to.	彼らが認める以上の明快さを...
If you live in Britain, what can you do?	もしもあなたが英国に住んでいるなら、 あなたは何ができるでしょうか。
1. Take political action now.	1. 政治的な行動をいま、取ってください。
Tell all the political parties that this issue is of great concern to you,	すべての政党に対して、この問題が自分にとって大きな関心事であることを伝えてください。
and invite each to be the one you will vote for to prevent such laws.	そして各政党に対して、投票するから、このような法律に反対してもらいたいと言いましょう。
Look at www.stand.org.uk for further advice.	さらなるアドバイスを得るには www.stand.org.uk を見てください。
2. Write to your MP,	2. これらの法案に対して自分が確固として反対であると述べた手紙を書きなさい。
the e-Minister Patricia Hewitt (e.minister@dti.gov.uk), the Home Secretary, and the newspapers, stating your firm opposition to these measures.	あて先は、 MPつまりe-Minister Patricia Hewitt (e.minister@dti.gov.uk)、 内務大臣、そして新聞です。
3. Talk with your Internet Service Provider's management about the importance of this issue.	3. インターネット・サービス・プロバイダの管理者と、 この問題の重要性について話しなさい。
4. Start using encrypted mail, using the GNU Privacy Guard or another suitable encryption program,	4. 暗号メールを使いはじめ、 GNUプライバシー・ガード(GNU Privacy Guard)や他の適切な暗号化プログラムを使いはじめなさい。
and use it as widely as possible and with as many people as possible.	そして、できるだけ広範囲に、できるだけ多くの人と使うようにしなさい。
The more people are using encryption, the harder it will be for governments to stamp it out.	暗号を使う人が多ければ多いほど、政府は暗号を根絶することが困難になります。
