A bargain is a bargain.	武士に二言なし
A bird in the hand is worth two in the bush.	今日の百より明日の五十
A cat has nine lives.	猫には九生
A friend in need is a friend in deed.	困ったときの友こそ真の友
A little learning is a dangerous thing.	生兵法は怪我のもと
A rolling stone gathers no moss.	転石苔（コケ）むさず
"A stitch in time saves nine,"	今日の一針、明日の十針
A watched pot never boils.	待つ身は長い
Accidents will happen.	事故は起こるもの
All roads lead to Rome.	すべての道はローマに通ず
All that glitters is not gold.	光るもの必ずしも金ならず
All work and no play makes Jack a dull boy.	よく学び、よく遊べ
All's well that ends well.	終わりよければすべてよし
An apple a day keeps the doctor away.	１日につき、りんご１個で医者要らず
"An eye for an eye, and a tooth for a tooth."	目には目を。歯には歯を
Anything is better than nothing.	枯れ木も山のにぎわい
As well be hanged for a sheep as a lamb.	毒を食わば皿まで
Bad news travels fast.	悪事千里を走る
Beauty is only skin deep.	美しいも皮一重
Better late than never	遅くともしないよりはまし
Birds of a feather flock together.	類は友を呼ぶ
Blood is thicker than water.	他人よりも身内
Boys will be boys.	男の子はやっぱり男の子
Business before pleasure.	遊ぶのはまず仕事をしてから
Call a spade a spade.	歯に衣着せぬ。
Charity begins at home.	博愛は家庭に始まる
Clothes make the man.	馬子にも衣装
Constant dripping wears away a stone.	点滴石をも穿つ。
Curiosity killed the cat.	心配は身の毒
Dead men tell no tales.	死人に口なし。
Do not put new wine into old bottles.	新しい葡萄酒は古い皮袋に入れてはならない。
Do not throw pearls to swine.	豚に真珠。
Don't count your chickens before they are hatched.	捕らぬ狸の皮算用
Don't cross the bridge until you come to it.	取り越し苦労。
Don't make a mountain out of a molehill.	針小棒大
Don't put off till tomorrow what you can do today.	今日できることは明日に延ばすな。
Easier said than done.	言うは易く、行いは難し。
"Easy come, easy go.　"	あぶく銭は身に付かず。
Even Homer sometimes nods.	弘法にも筆のあやまり
Everything comes to him who waits.	待てば海路の日和あり。
Fact is stranger than fiction.	事実は小説より奇なり。
Faint heart never won fair lady.	男は度胸
"First come, first served."	早い者勝ち
Fools rush in where angels fear to tread.	飛んで火に入る夏の虫。
Forgive and forget.	許して忘れよ
"Give him an inch, and he'll take a mile."	庇（ひさし）を貸して母屋を取られる
Haste makes waste.	急いてはことを仕損じる
He who laughs last laughs longest.	最後に笑うものが一番よく笑う。
History repeats itself.	歴史は繰り返す。
Honesty is the best policy.	正直の頭に神宿る。
Hungry is the best sauce.	空き腹にまずいものなし
Ignorance is bliss.	知らぬが仏。
It is an ill wind that blows nobody good.	泣く者もあれば笑うものもある
It is no use crying over spilt milk.	覆水盆にかえらず
It never rains but it pours.	降れば土砂降り
"Jack of all trades, master of none."	多芸は無芸。
Kill two birds with one stone.	一石二鳥
Knowledge is power.	知は力なり。
Last but not least.	残り物には福がある。
Laughter is the best medicine.	笑いは百薬の長
Less is more.	過ぎたるは及ばざるがごとし。
Let sleeping dogs lie.	触らぬ神に祟りなし。
"Like father, like son."	この父にしてこの子あり。
Look before you leap.	石橋をたたいて渡る。
Love is blind.	恋は盲目。
"Love me, love my dog."	坊主憎くけりゃ袈裟まで憎い。
Make hay while the sun shines.	好機逃すべからず
Man shall not live by bread alone.	人はパンのみにて生きるにあらず。
Many a true word is spoken in jest.	嘘から出た誠。
Might makes right.	無理が通れば道理が引っ込む。
Money makes the mare to go.	地獄の沙汰も金次第。
Money talks.	金がものを言う。
Necessity is the mother of invention.	必要は発明の母
Never put off till tomorrow what you can do today.	今日出来ることを明日まで延ばすな
No man can serve two masters.	夫婦げんかは犬も食わない
No news is good news.	便りのないのはよい便り
"No pain, no gain."	苦あれば楽あり
Nothing ventured nothing gained.	虎穴に入らずんば、虎児を得ず
One good turn deserves another.	情けは人のためならず。
One is never too old to learn.	八十の手習い。
One man's meat is another man's poison.	甲の薬は乙の毒
One may (or might) as well hanged for a sheep as ( for) a lamb.	毒を食らわば皿まで
"Out of sight,out of mind."	去るものは日々に疎し
"Out of the frying pan, into the fire."	一難去って又一難。
People will talk.	人の口に戸は立てられぬ
"Physician, heal yourself."	医者の不養生
Practice makes perfect.	習うより慣れろ
Practice what you preach.	論語読みの論語知らず
Pride goes before a fall.	おごれるものは久しからず
Rome was not built in a day.	ローマは一日にしてならず
Saying is one thing and doing another.	言うは易く行うは難し
Scratch my back and I will scratch yours.	魚心あれば水心。
Seeing is believing.	百聞は一見にしかず
Silence is golden.	沈黙は金
Slow and steady wins the race.	急がば回れ
"So many men, so many minds."	十人十色。
Spare the rod and spoil the child.	かわいい子には旅をさせろ
"Speak of the devil, and he'll appear."	噂をすれば影。
Speech is silver; silence is golden.	沈黙は雄弁に勝る。
Still waters run deep.	脳ある鷹は爪を隠す。
Strike while the iron is hot.	好機逃すべからず
Talk is cheap.	言うは易く行うは難し
The darkest hour is before the dawn.	一陽来復
The die is cast.	賽は投げられた。
The early birds catches the worm.	早起きは三文の得
The end justifies the means.	嘘も方便。
The eyeｓ are the window of the soul.	目は心の鏡
The father's sins are visited on the children.	親の因果が子に報い。
The husband is always the last to know.	知らぬは亭主ばかりなり。
The Lord helps those who help themselves.	天は自ら助くる者を助く
The pen is mightier than the sword.	文は武よりも強し
The pot calls kettle black.	五十歩百歩。
The proof of the pudding is in the eating.	論より証拠
"The sooner, the better."	善は急げ
The tree is known by its fruit.	実を見て木を知れ。
The walls have ears.	壁に耳あり
There is always a next time.	必ず又の機会が来る。
There is no accounting for tastes.	蓼（たで）食う虫も好きずき
There is no place like home.	我が家が一番
There is no royal road to learning.	学問に王道なし
There is no smoke without fire.	火のないところに煙はたたぬ
There is nothing new under the sun.	この世に全く新しきものなし
Those who live in glass houses should not throw stones.	すねに傷持つ身で他人の批評などせぬがよい
Those whom the gods love die young.	佳人薄命
Time and tide wait for no man.	光陰矢のごとし
Time is money.	時は金なり
"To err is human,to forgive divine."	過ちは人の常、許すのは神の業
To lock the barn when the horse is stolen.	盗人を捕らえて縄をなう。
To try the patience of a saint.	仏の顔も三度まで
To wash one's hands of a thing.	足を洗う
Tomorrow is another day.	明日は明日の風が吹く
Too many cooks spoil the broth.	船頭多くして、船、山に登る
Two ｈeads are better than one.	三人寄れば文殊の知恵
Variety is the spice of life.	変化は人生の香辛料
Virtue is its own reward.	善行の報いはその中にあり
We cannot see the forest for the trees.	木を見て森を見ず。
What is worth doing at all is worth doing well.	卑しくも価値のあることなら立派にやるだけの価値がある
When in Rome do as the Romans do.	郷に入りては郷に従え。
"When the cat's away, the mice will play."	鬼のいぬ間に洗濯
"Where there is a will, there is a way."	精神一到何事かならざらん
"Where there is life, there is hope."	命有っての、物だね。
"Where there is smoke, there is fire.　"	火のないところに煙は立たず。
You cannot get blood out of a stone.	冷酷な人間から、同情は得られない
You cannot make an omelet without breaking eggs.	犠牲なしに収穫はない
You can't teach an old dog new tricks.	歳はとるもんじゃないね
You have to draw the line somewhere.	和して同せず。
You have to start somewhere.	千里の道も一歩から
You reap what you sow.	因果応報
You scratch my back and I'll scratch yours.	魚心あれば水心
You'll never know unless you try.	物は試し。
