An Inner Landscape	ある心の風景
Kajii Motojiro	梶井基次郎
Takashi gazes from his window at the sleeping street.	喬（たかし）は彼の部屋の窓から寝静まった通りに凝視（みい）っていた。
No windows are lit, and the silence of late night forms a halo about the street lights.	起きている窓はなく、深夜の静けさは暈（かさ）となって街燈のぐるりに集まっていた。
The occasional harsh sound could be beetles colliding.	固い音が時どきするのは突き当っていく黄金虫（ぶんぶん）の音でもあるらしかった。
It is a maze-like town, and even during the day few people pass by.	そこは入り込んだ町で、昼間でも人通りは少なく、
Fish entrails and the corpses of rats lie for days without moving.	魚の腹綿（はらわた）や鼠の死骸は幾日も位置を動かなかった。
The houses on either side have a dilapidated air,	両側の家々はなにか荒廃していた。
and show the scars of weathering.	自然力の風化して行くあとが見えた。
The colorings are faded, the rough plaster walls crumbling, and one feels that the people within must live spiritless lives like old rags.	紅殻（べにがら）が古びてい、荒壁の塀（へい）は崩れ、人びとはそのなかで古手拭のように無気力な生活をしているように思われた。
The window in Takashi's room opens out to that street, positioning him as if sitting at the head of a table.	喬の部屋はそんな通りの、卓子（テーブル）で言うなら主人役の位置に窓を開いていた。
At times the sound of a clock's pendulum can be heard seeping in through gaps in the door.	時どき柱時計の振子の音が戸の隙間から洩れてきこえて来た。
A wind blows blackly through a faraway tree,	遠くの樹に風が黒く渡る。
and then a nearby oleander tree begins to shudder in the deep night.	と、やがて眼近い夾竹桃（きょうちくとう）は深い夜のなかで揺れはじめるのであった。
Takashi just gazes.	喬（たかし）はただ凝視（みい）っている。
The dimly white peaks of houses fade away and then reappear in his field of vision, and he feels unfocused thoughts passing through his mind again.	――暗（やみ）のなかに仄（ほの）白く浮かんだ家の額（ひたい）は、そうした彼の視野のなかで、消えてゆき現われて来、喬は心の裡に定かならぬ想念のまた過ぎてゆくのを感じた。
Crickets are chirping.	蟋蟀（こおろぎ）が鳴いていた。
From where he thinks he can hear them wafts a faint odor of moldering vegetation.	そのあたりから――と思われた――微（かす）かな植物の朽ちてゆく匂いが漂って来た。
"Your room always smells like French escargot,"	「君の部屋は仏蘭西（フランス）の蝸牛（エスカルゴ）の匂いがするね」
