Lappin And Lapinova	ラピンとラピノヴァラピンとラピノヴァ
Virginia Woolf	ヴァージニア・ウルフ
They were married.	2人は結婚した。
The wedding march pealed out.	ウェディングマーチが鳴り響いた。
The pigeons fluttered.	鳩が羽ばたいた。
Small boys in Eton jackets threw rice;	イートンのジャケットを着た小さな少年たちが米を投げる。
a fox terrier sauntered across the path;	フォックステリアがのんびりと道を横切る。
and Ernest Thorburn led his bride to the car through that small inquisitive crowd of complete strangers	そしてアーネスト・ソーバーンは花嫁の手をとり、誰一人知った顔のいない野次馬の群れをかきわけ、車へと導いた。
which always collects in London to enjoy other people’s  happiness or unhappiness.	ロンドンの人々は、いつもこうして集まっては他人の幸不幸を楽しむものだった。
Certainly he looked handsome and she looked shy.	確かに、かれはハンサムに見えたし彼女はシャイに見えた。
More rice was thrown, and the car moved off.	さらに米が投げられ、車が走り出した。
That was on Tuesday.	それは火曜日のことだった。
Now it was Saturday.	今は土曜日。
Rosalind had still to get used to the fact that she was Mrs. Ernest Thorburn.	ロザリンドはまだ自分がミセス・アーネスト・ソーバーンであるという事実に慣れていなかった。
Perhaps she never would get used to the fact that she was Mrs. Ernest Anybody, she thought,	たぶん、この先自分がミセス・アーネスト・ソーバーンであるという事実に慣れることはないだろう、と彼女は思った。
as she sat in the bow window of the hotel looking over the lake to the mountains,	湖から山々を望むホテルの飾り窓に腰掛けて。
and waited for her husband to come down to breakfast.	そして夫が朝食をとりに降りてくるのを待っていた。
Ernest was a difficult name to get used to.	アーネストとは、慣れにくい名前だった。
It was not the name she would have chosen.	それは、彼女が選びたいと思っていた名前ではなかった。
She would have preferred Timothy, Antony, or Peter.	彼女は、ティモシーとか、アンソニーとか、ピーターといった名前の方が好きだった。
He did not look like Ernest either.	それに、かれはアーネストのように見えなかった。
The name suggested the Albert Memorial, mahogany sideboards, steel engravings of the Prince Consort with his family――her mother―in―law’s dining――room in Porchester Terrace in short.	つまりその名前は、アルバート記念碑やマホガニーの食器棚や、鉄製のコンソート王子の彫刻、それからかれの家族――ポーチェスターテラスにある、義母のダイニング・ルームを思わせるものだった。
But here he was.	けれどもここにかれはいる。
Thank goodness he did not look like Ernest――	ありがたいこと、かれはアーネストのように見えなかった――
no.	そうとも。
But what did he look like?	でも、じゃあかれは何のように見えるんだろう？
She glanced at him sideways.	彼女はかれを横目で盗み見た。
Well, when he was eating toast he looked like a rabbit.	すると、トーストを食べているときのかれはうさぎのように見えた。
Not that anyone else would have seen a likeness to a creature so diminutive and timid in this spruce, muscular young man with the straight nose, the blue eyes, and the very firm mouth.	そういうちっぽけで臆病な動物と、このこぎれいでたくましい若い男性とのつながりを見出したものは他に誰もいなかったことだろう。
But that made it all the more amusing.	だが、それはすべてをもっと面白くしてくれる。
His nose twitched very slightly when he ate.	食事中、かれの鼻は極々わずかにひくついた。
So did her pet rabbit’s.	彼女が飼っていたうさぎがそうしたように。
She kept watching his nose twitch;	彼女はかれの鼻がひくつくのをずっと観察していた。
and then she had to explain, when he caught her looking at him, why she laughed.	やがて笑い出した彼女は、怪訝な視線を受けて説明をしなければならなくなった。
“It’s because you’re like a rabbit, Ernest,”	「だって、アーネストがうさぎみたいだったんだもの」
she said.	と彼女は言った。
“Like a wild rabbit,”	「野生のうさぎ」
she added, looking at him.	かれを見つめながら付け加える。
“A hunting rabbit; a King Rabbit; a rabbit that makes laws for all the other rabbits.”	「狩りをするうさぎ、王さまうさぎ、他のうさぎたちのために法律を作ってやるうさぎ」
Ernest had no objection to being that kind of rabbit, and since it amused her to see him twitch his nose――	アーネストは自分がそういううさぎであることに別段不満もなかったし、鼻をひくつかせるとロザリンドが面白がるので――
he had never known that his nose twitched――	かれ自身は自分の鼻がひくつくなんて知らなかったのだけれども――
