In a little district west of Washington Square the streets have run crazy and broken themselves into small strips called "places."	ワシントン・スクエア西にある小地区は、 道路が狂ったように入り組んでおり、「プレース」と呼ばれる区域に小さく分かれておりました。
These "places" make strange angles and curves.	この「プレース」は不可思議な角度と曲線を描いており、
One street crosses itself a time or two.	一、二回自分自身と交差している通りがあるほどでした。
An artist once discovered a valuable possibility in this street.	かつて、ある画家は、この通りが貴重な可能性を持っていることを発見しました。
Suppose a collector with a bill for paints, paper and canvas should, in traversing this route, suddenly meet himself coming back,	例えば絵や紙やキャンバスの請求書を手にした取り立て屋を考えてみてください。取り立て屋は、この道を歩き回ったあげく、 ぐるりと元のところまで戻ってくるに違いありません。
without a cent having been paid on account!	一セントも取り立てることができずにね。
So, to quaint old Greenwich Village the art people soon came prowling,	それで、芸術家たちはまもなく、奇妙で古いグリニッチ・ヴィレッジへとやってき
hunting for north windows and eighteenth-century gables and Dutch attics and low rents.	そして、北向きの窓と十八世紀の切り妻とオランダ風の屋根裏部屋と安い賃貸料を探してうろついたのです。
Then they imported some pewter mugs and a chafing dish or two from Sixth avenue, and became a "colony."	やがて、彼らは しろめ製のマグやこんろ付き卓上なべを一、二個、六番街から持ち込み、 「コロニー」を形成することになりました。
At the top of a squatty, three-story brick Sue and Johnsy had their studio.	ずんぐりした三階建ての煉瓦造りの最上階では、スーとジョンジーがアトリエを持っていました。
"Johnsy" was familiar for Joanna.	「ジョンジー」はジョアンナの愛称です。
One was from Maine; the other from California.	スーはメイン州の、ジョンジーはカリフォルニア州の出身でした。
They had met at the table d'hote of an Eighth street "Delmonico's," and found their tastes in art, chicory salad and bishop sleeves so congenial that the joint studio resulted.	二人は八番街の「デルモニコの店」の定食で出会い、 芸術と、チコリーのサラダと、ビショップ・スリーブの趣味がぴったりだとわかって、 共同のアトリエを持つことになったのでした。
That was in May.	それが五月のことでした。
In November a cold, unseen stranger, whom the doctors called Pneumonia, stalked about the colony,	十一月に入ると、冷たく、目に見えないよそ者がそのコロニーを巡り歩きはじめました。
touching one here and there with his icy fingers.	そのよそ者は医者から肺炎氏と呼ばれ、 氷のような指でそこかしこにいる人に触れていくのでした。
Over on the east side this ravager strode boldly, smiting his victims by scores,	この侵略者は東の端から大胆に歩きまわり、何十人もの犠牲者に襲いかかりました。
but his feet trod slowly through the maze of the narrow and moss-grown "places."	しかし、狭くて苔むした「プレース」の迷宮を通るときにはさすがの彼の足取りも鈍りました。
Mr. Pneumonia was not what you would call a chivalric old gentleman.	肺炎氏は騎士道精神に満ちた老紳士とは呼べませんでした。
A mite of a little woman with blood thinned by California zephyrs was hardly fair game for the red-fisted, short-breathed old duffer.	息が荒く、血にまみれた手を持った年寄りのエセ者が、 カリフォルニアのそよ風で血の気の薄くなっている小柄な婦人を相手に取るなどというのは フェアプレイとは言えますまい。
But Johnsy he smote;	しかし肺炎氏はジョンジーを襲いました。
and she lay, scarcely moving, on her painted iron bedstead,	その結果ジョンジーは倒れ、 自分の絵が描いてある鉄のベッドに横になったまま少しも動けなくなりました。
looking through the small Dutch window-panes at the blank side of the next brick house.	そして小さなオランダ風の窓ガラスごしに、 隣にある煉瓦造りの家の何もない壁を見つめつづけることになったのです。
One morning the busy doctor invited Sue into the hallway with a shaggy, gray eyebrow.	ある朝、灰色の濃い眉をした多忙な医者がスーを廊下に呼びました。
"She has one chance in--let us say, ten,"	「助かる見込みは ―― そう、十に一つですな」
he said, as he shook down the mercury in his clinical thermometer.	医者は、体温計の水銀を振り下げながら言いました。
"And that chance is for her to want to live.	「で、その見込みはあの子が『生きたい』と思うかどうかにかかっている。
This way people have of lining-up on the side of the undertaker makes the entire pharmacopeia look silly.	こんな風に葬儀屋の側につこうとしてたら、どんな薬でもばかばかしいものになってしまう。
Your little lady has made up her mind that she's not going to get well.	あのお嬢さんは、自分はよくならない、と決めている。
Has she anything on her mind?"	あの子が何か心にかけていることはあるかな？」
"She--she wanted to paint the Bay of Naples some day,"	「あの子は ―― いつかナポリ湾を描きたいって言ってたんです」
said Sue.	とスーは言いました。
"Paint?	「絵を描きたいって？
--bosh!	―― ふむ。
Has she anything on her mind worth thinking about twice--a man, for instance?"	もっと倍くらい実のあることは考えていないのかな ―― 例えば男のこととか」
"A man?"	「男？」
said Sue, with a jew's-harp twang in her voice.	スーは びあぼんの弦の音みたいな鼻声で言いました。
"Is a man worth	「男なんて
--but, no,	――いえ、ないです。
doctor;	先生。
there is nothing of the kind."	そういう話はありません」
"Well,	「ふむ。
it is the weakness, then,"	じゃあそこがネックだな」
said the doctor.	医者は言いました。
